"plj0047","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Rural Area","85","0.371306987936886","0.31223692857831","0.430377047295462"
"Big worries","1992","Urban Area","780","0.430020134302971","0.408311899936874","0.451728368669069"
"No worries","1992","Rural Area","74","0.255507292994318","0.20218443684123","0.308830149147406"
"No worries","1992","Urban Area","344","0.172984587502046","0.156399763931485","0.189569411072608"
"Some worries","1992","Rural Area","98","0.373185719068796","0.31405495666259","0.432316481475002"
"Some worries","1992","Urban Area","874","0.396995278194983","0.375541520256536","0.418449036133429"
"Big worries","1993","Rural Area","131","0.540496019162513","0.4801514300835","0.600840608241526"
"Big worries","1993","Urban Area","907","0.493884765682633","0.471642816538818","0.516126714826448"
"No worries","1993","Rural Area","34","0.127695395225728","0.0872825761838952","0.168108214267562"
"No worries","1993","Urban Area","220","0.106969444625658","0.0932195821899121","0.120719307061405"
"Some worries","1993","Rural Area","97","0.331808585611759","0.274793247969103","0.388823923254414"
"Some worries","1993","Urban Area","814","0.399145789691708","0.377359380616229","0.420932198767188"
"Big worries","1994","Rural Area","82","0.395234639922228","0.334509381496856","0.455959898347599"
"Big worries","1994","Urban Area","884","0.493071325940128","0.470405489906412","0.515737161973845"
"No worries","1994","Rural Area","47","0.162892842115971","0.117026939391769","0.208758744840172"
"No worries","1994","Urban Area","198","0.0964467561034655","0.0830634279251865","0.109830084281745"
"Some worries","1994","Rural Area","120","0.441872517961801","0.380189783657628","0.503555252265975"
"Some worries","1994","Urban Area","787","0.410481917956406","0.388180163954316","0.432783671958496"
"Big worries","1995","Rural Area","84","0.377440656291836","0.315198468770066","0.439682843813606"
"Big worries","1995","Urban Area","716","0.462281901525865","0.438801532412632","0.485762270639098"
"No worries","1995","Rural Area","50","0.193343879346199","0.14263551976147","0.244052238930927"
"No worries","1995","Urban Area","215","0.123163689421395","0.107687118038756","0.138640260804033"
"Some worries","1995","Rural Area","99","0.429215464361965","0.365661315033808","0.492769613690122"
"Some worries","1995","Urban Area","801","0.414554409052741","0.391353329871637","0.437755488233844"
"Big worries","1996","Rural Area","1311","0.3268856198049","0.312981280519309","0.340789959090491"
"Big worries","1996","Urban Area","2552","0.28541768170354","0.275855104991586","0.294980258415494"
"No worries","1996","Rural Area","777","0.168415876171216","0.157322783946567","0.179508968395866"
"No worries","1996","Urban Area","1423","0.176319424805818","0.1682500877855","0.184388761826136"
"Some worries","1996","Rural Area","2284","0.504698504023884","0.489878140960331","0.519518867087436"
"Some worries","1996","Urban Area","4593","0.538262893490642","0.527706806232899","0.548818980748385"
"Big worries","1997","Rural Area","1266","0.315330619100205","0.301495679376208","0.329165558824203"
"Big worries","1997","Urban Area","2636","0.305101741276032","0.295284201005316","0.314919281546748"
"No worries","1997","Rural Area","809","0.175597287464516","0.164268528048447","0.186926046880585"
