"plj0047","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","lower secondary degree","in school","","","",""
"Big worries","1992","lower secondary degree","inadequately","","","",""
"Big worries","1992","lower secondary degree","general elemantary","118","0.484794150050519","0.424046358345261","0.545541941755777"
"Big worries","1992","lower secondary degree","middle vocational","75","0.48565832928241","0.413245782426872","0.558070876137948"
"Big worries","1992","lower secondary degree","vocational + Abi","3","","",""
"Big worries","1992","lower secondary degree","higher vocational","1","","",""
"Big worries","1992","lower secondary degree","higher education","2","","",""
"Big worries","1992","secondary school degree","in school","","","",""
"Big worries","1992","secondary school degree","inadequately","","","",""
"Big worries","1992","secondary school degree","general elemantary","35","0.554259090523096","0.436979833641072","0.671538347405121"
"Big worries","1992","secondary school degree","middle vocational","16","","",""
"Big worries","1992","secondary school degree","vocational + Abi","","","",""
"Big worries","1992","secondary school degree","higher vocational","2","","",""
"Big worries","1992","secondary school degree","higher education","1","","",""
"Big worries","1992","college entrance qualification","in school","","","",""
"Big worries","1992","college entrance qualification","inadequately","","","",""
"Big worries","1992","college entrance qualification","general elemantary","","","",""
"Big worries","1992","college entrance qualification","middle vocational","17","","",""
"Big worries","1992","college entrance qualification","vocational + Abi","9","","",""
"Big worries","1992","college entrance qualification","higher vocational","2","","",""
"Big worries","1992","college entrance qualification","higher education","2","","",""
"Big worries","1992","Other degree","in school","","","",""
"Big worries","1992","Other degree","inadequately","3","","",""
"Big worries","1992","Other degree","general elemantary","174","0.376870167317517","0.334049770085918","0.419690564549115"
"Big worries","1992","Other degree","middle vocational","108","0.411161864673827","0.356031386970165","0.466292342377489"
"Big worries","1992","Other degree","vocational + Abi","24","","",""
"Big worries","1992","Other degree","higher vocational","2","","",""
"Big worries","1992","Other degree","higher education","11","","",""
"Big worries","1992","no degree/no degree yet","in school","18","","",""
"Big worries","1992","no degree/no degree yet","inadequately","191","0.405359814796074","0.362666123174274","0.448053506417873"
"Big worries","1992","no degree/no degree yet","general elemantary","","","",""
"Big worries","1992","no degree/no degree yet","middle vocational","16","","",""
"Big worries","1992","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","1992","no degree/no degree yet","higher vocational","2","","",""
"Big worries","1992","no degree/no degree yet","higher education","1","","",""
"Some worries","1992","lower secondary degree","in school","","","",""
"Some worries","1992","lower secondary degree","inadequately","","","",""
"Some worries","1992","lower secondary degree","general elemantary","107","0.373764072587781","0.314957051089711","0.43257109408585"
"Some worries","1992","lower secondary degree","middle vocational","80","0.383889307066647","0.313427313411304","0.454351300721991"
"Some worries","1992","lower secondary degree","vocational + Abi","2","","",""
"Some worries","1992","lower secondary degree","higher vocational","3","","",""
"Some worries","1992","lower secondary degree","higher education","","","",""
"Some worries","1992","secondary school degree","in school","","","",""
"Some worries","1992","secondary school degree","inadequately","","","",""
"Some worries","1992","secondary school degree","general elemantary","21","","",""
"Some worries","1992","secondary school degree","middle vocational","13","","",""
"Some worries","1992","secondary school degree","vocational + Abi","","","",""
"Some worries","1992","secondary school degree","higher vocational","","","",""
"Some worries","1992","secondary school degree","higher education","1","","",""
"Some worries","1992","college entrance qualification","in school","","","",""
"Some worries","1992","college entrance qualification","inadequately","","","",""
"Some worries","1992","college entrance qualification","general elemantary","","","",""
"Some worries","1992","college entrance qualification","middle vocational","19","","",""
"Some worries","1992","college entrance qualification","vocational + Abi","9","","",""
"Some worries","1992","college entrance qualification","higher vocational","1","","",""
"Some worries","1992","college entrance qualification","higher education","8","","",""
"Some worries","1992","Other degree","in school","","","",""
"Some worries","1992","Other degree","inadequately","1","","",""
