"plj0047","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Full Time","(0) in school","","","",""
"Big worries","1992","Full Time","(1a) inadequately completed","87","0.358261535446813","0.299866310487105","0.416656760406521"
"Big worries","1992","Full Time","(1b) general elementary school","157","0.41211606513398","0.365429736588943","0.458802393679018"
"Big worries","1992","Full Time","(1c) basic vocational qualification","101","0.365910098268407","0.312028369761891","0.419791826774922"
"Big worries","1992","Full Time","(2b) intermediate general qualification","11","","",""
"Big worries","1992","Full Time","(2a) intermediate vocational","15","","",""
"Big worries","1992","Full Time","(2c_gen) general maturity certificate","14","","",""
"Big worries","1992","Full Time","(2c_voc) vocational maturity certificate","18","","",""
"Big worries","1992","Full Time","(3a) lower tertiary education","","","",""
"Big worries","1992","Full Time","(3b) higher tertiary education","9","","",""
"Big worries","1992","Part Time","(0) in school","2","","",""
"Big worries","1992","Part Time","(1a) inadequately completed","30","0.478691026932384","0.371863372841234","0.585518681023534"
"Big worries","1992","Part Time","(1b) general elementary school","61","0.434462628198553","0.352933877784889","0.515991378612216"
"Big worries","1992","Part Time","(1c) basic vocational qualification","32","0.56085695921798","0.436315992522881","0.685397925913078"
"Big worries","1992","Part Time","(2b) intermediate general qualification","8","","",""
"Big worries","1992","Part Time","(2a) intermediate vocational","2","","",""
"Big worries","1992","Part Time","(2c_gen) general maturity certificate","10","","",""
"Big worries","1992","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1992","Part Time","(3a) lower tertiary education","1","","",""
"Big worries","1992","Part Time","(3b) higher tertiary education","5","","",""
"Big worries","1992","Not Working","(0) in school","16","","",""
"Big worries","1992","Not Working","(1a) inadequately completed","93","0.399715346866777","0.336547491424037","0.462883202309517"
"Big worries","1992","Not Working","(1b) general elementary school","77","0.418894748668224","0.34836878575334","0.489420711583108"
"Big worries","1992","Not Working","(1c) basic vocational qualification","25","","",""
"Big worries","1992","Not Working","(2b) intermediate general qualification","16","","",""
"Big worries","1992","Not Working","(2a) intermediate vocational","1","","",""
"Big worries","1992","Not Working","(2c_gen) general maturity certificate","19","","",""
"Big worries","1992","Not Working","(2c_voc) vocational maturity certificate","19","","",""
"Big worries","1992","Not Working","(3a) lower tertiary education","","","",""
"Big worries","1992","Not Working","(3b) higher tertiary education","2","","",""
"Some worries","1992","Full Time","(0) in school","","","",""
"Some worries","1992","Full Time","(1a) inadequately completed","103","0.374824351299208","0.3158703706283","0.433778331970116"
"Some worries","1992","Full Time","(1b) general elementary school","199","0.430237523490121","0.383276752543696","0.477198294436545"
"Some worries","1992","Full Time","(1c) basic vocational qualification","139","0.402047397141733","0.347200645508546","0.456894148774921"
"Some worries","1992","Full Time","(2b) intermediate general qualification","14","","",""
"Some worries","1992","Full Time","(2a) intermediate vocational","8","","",""
"Some worries","1992","Full Time","(2c_gen) general maturity certificate","18","","",""
"Some worries","1992","Full Time","(2c_voc) vocational maturity certificate","28","","",""
"Some worries","1992","Full Time","(3a) lower tertiary education","4","","",""
"Some worries","1992","Full Time","(3b) higher tertiary education","13","","",""
"Some worries","1992","Part Time","(0) in school","1","","",""
"Some worries","1992","Part Time","(1a) inadequately completed","38","0.394818308614751","0.290286135208699","0.499350482020804"
"Some worries","1992","Part Time","(1b) general elementary school","54","0.422564853887132","0.341318812047568","0.503810895726696"
"Some worries","1992","Part Time","(1c) basic vocational qualification","17","","",""
"Some worries","1992","Part Time","(2b) intermediate general qualification","3","","",""
"Some worries","1992","Part Time","(2a) intermediate vocational","3","","",""
"Some worries","1992","Part Time","(2c_gen) general maturity certificate","7","","",""
"Some worries","1992","Part Time","(2c_voc) vocational maturity certificate","6","","",""
"Some worries","1992","Part Time","(3a) lower tertiary education","","","",""
"Some worries","1992","Part Time","(3b) higher tertiary education","3","","",""
"Some worries","1992","Not Working","(0) in school","18","","",""
"Some worries","1992","Not Working","(1a) inadequately completed","94","0.410764122252462","0.347321234287029","0.474207010217896"
"Some worries","1992","Not Working","(1b) general elementary school","81","0.39657679098973","0.326649964566555","0.466503617412905"
"Some worries","1992","Not Working","(1c) basic vocational qualification","32","0.376395559987669","0.262900772437225","0.489890347538112"
"Some worries","1992","Not Working","(2b) intermediate general qualification","4","","",""
"Some worries","1992","Not Working","(2a) intermediate vocational","1","","",""
"Some worries","1992","Not Working","(2c_gen) general maturity certificate","24","","",""
"Some worries","1992","Not Working","(2c_voc) vocational maturity certificate","8","","",""
"Some worries","1992","Not Working","(3a) lower tertiary education","2","","",""
"Some worries","1992","Not Working","(3b) higher tertiary education","","","",""
"No worries","1992","Full Time","(0) in school","","","",""
"No worries","1992","Full Time","(1a) inadequately completed","69","0.266914113253979","0.213042323107648","0.32078590340031"
"No worries","1992","Full Time","(1b) general elementary school","71","0.157646411375899","0.123082457794224","0.192210364957573"
"No worries","1992","Full Time","(1c) basic vocational qualification","67","0.23204250458986","0.184821930008716","0.279263079171004"
"No worries","1992","Full Time","(2b) intermediate general qualification","4","","",""
"No worries","1992","Full Time","(2a) intermediate vocational","5","","",""
"No worries","1992","Full Time","(2c_gen) general maturity certificate","2","","",""
"No worries","1992","Full Time","(2c_voc) vocational maturity certificate","8","","",""
"No worries","1992","Full Time","(3a) lower tertiary education","1","","",""
"No worries","1992","Full Time","(3b) higher tertiary education","3","","",""
"No worries","1992","Part Time","(0) in school","","","",""
"No worries","1992","Part Time","(1a) inadequately completed","16","","",""
"No worries","1992","Part Time","(1b) general elementary school","27","","",""
"No worries","1992","Part Time","(1c) basic vocational qualification","12","","",""
"No worries","1992","Part Time","(2b) intermediate general qualification","4","","",""
"No worries","1992","Part Time","(2a) intermediate vocational","3","","",""
"No worries","1992","Part Time","(2c_gen) general maturity certificate","","","",""
"No worries","1992","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1992","Part Time","(3a) lower tertiary education","","","",""
"No worries","1992","Part Time","(3b) higher tertiary education","","","",""
"No worries","1992","Not Working","(0) in school","6","","",""
"No worries","1992","Not Working","(1a) inadequately completed","44","0.189520530880761","0.138979832110053","0.240061229651468"
"No worries","1992","Not Working","(1b) general elementary school","30","0.184528460342046","0.129077988027097","0.239978932656995"
"No worries","1992","Not Working","(1c) basic vocational qualification","13","","",""
"No worries","1992","Not Working","(2b) intermediate general qualification","5","","",""
"No worries","1992","Not Working","(2a) intermediate vocational","1","","",""
"No worries","1992","Not Working","(2c_gen) general maturity certificate","7","","",""
"No worries","1992","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1992","Not Working","(3a) lower tertiary education","","","",""
"No worries","1992","Not Working","(3b) higher tertiary education","","","",""
"Big worries","1993","Full Time","(0) in school","","","",""
"Big worries","1993","Full Time","(1a) inadequately completed","97","0.446999939027339","0.383023447435719","0.510976430618959"
"Big worries","1993","Full Time","(1b) general elementary school","181","0.475768697880926","0.42645592913547","0.525081466626381"
"Big worries","1993","Full Time","(1c) basic vocational qualification","112","0.381203450427342","0.325400912707143","0.437005988147541"
"Big worries","1993","Full Time","(2b) intermediate general qualification","10","","",""
"Big worries","1993","Full Time","(2a) intermediate vocational","20","","",""
"Big worries","1993","Full Time","(2c_gen) general maturity certificate","18","","",""
"Big worries","1993","Full Time","(2c_voc) vocational maturity certificate","22","","",""
"Big worries","1993","Full Time","(3a) lower tertiary education","2","","",""
"Big worries","1993","Full Time","(3b) higher tertiary education","9","","",""
"Big worries","1993","Part Time","(0) in school","","","",""
"Big worries","1993","Part Time","(1a) inadequately completed","41","0.569209413702712","0.460014179386261","0.678404648019164"
"Big worries","1993","Part Time","(1b) general elementary school","76","0.620006490541411","0.541807086985661","0.69820589409716"
"Big worries","1993","Part Time","(1c) basic vocational qualification","29","","",""
"Big worries","1993","Part Time","(2b) intermediate general qualification","4","","",""
"Big worries","1993","Part Time","(2a) intermediate vocational","3","","",""
"Big worries","1993","Part Time","(2c_gen) general maturity certificate","17","","",""
"Big worries","1993","Part Time","(2c_voc) vocational maturity certificate","10","","",""
"Big worries","1993","Part Time","(3a) lower tertiary education","1","","",""
"Big worries","1993","Part Time","(3b) higher tertiary education","4","","",""
"Big worries","1993","Not Working","(0) in school","21","","",""
"Big worries","1993","Not Working","(1a) inadequately completed","125","0.546374189416809","0.48428820370524","0.608460175128377"
"Big worries","1993","Not Working","(1b) general elementary school","98","0.588170081723675","0.516667321259015","0.659672842188336"
"Big worries","1993","Not Working","(1c) basic vocational qualification","35","0.436588338809018","0.323587618271794","0.549589059346242"
"Big worries","1993","Not Working","(2b) intermediate general qualification","19","","",""
"Big worries","1993","Not Working","(2a) intermediate vocational","1","","",""
"Big worries","1993","Not Working","(2c_gen) general maturity certificate","21","","",""
"Big worries","1993","Not Working","(2c_voc) vocational maturity certificate","12","","",""
"Big worries","1993","Not Working","(3a) lower tertiary education","","","",""
"Big worries","1993","Not Working","(3b) higher tertiary education","2","","",""
"Some worries","1993","Full Time","(0) in school","","","",""
"Some worries","1993","Full Time","(1a) inadequately completed","97","0.412165179712088","0.348826733962246","0.475503625461931"
"Some worries","1993","Full Time","(1b) general elementary school","169","0.423315997627543","0.374529316735573","0.472102678519512"
"Some worries","1993","Full Time","(1c) basic vocational qualification","146","0.485172392619809","0.427750097000543","0.542594688239075"
"Some worries","1993","Full Time","(2b) intermediate general qualification","10","","",""
"Some worries","1993","Full Time","(2a) intermediate vocational","11","","",""
"Some worries","1993","Full Time","(2c_gen) general maturity certificate","12","","",""
"Some worries","1993","Full Time","(2c_voc) vocational maturity certificate","21","","",""
"Some worries","1993","Full Time","(3a) lower tertiary education","3","","",""
"Some worries","1993","Full Time","(3b) higher tertiary education","8","","",""
"Some worries","1993","Part Time","(0) in school","1","","",""
"Some worries","1993","Part Time","(1a) inadequately completed","28","","",""
"Some worries","1993","Part Time","(1b) general elementary school","56","0.303609165455506","0.229529127594524","0.377689203316489"
"Some worries","1993","Part Time","(1c) basic vocational qualification","25","","",""
"Some worries","1993","Part Time","(2b) intermediate general qualification","11","","",""
"Some worries","1993","Part Time","(2a) intermediate vocational","4","","",""
"Some worries","1993","Part Time","(2c_gen) general maturity certificate","9","","",""
"Some worries","1993","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"Some worries","1993","Part Time","(3a) lower tertiary education","1","","",""
"Some worries","1993","Part Time","(3b) higher tertiary education","7","","",""
"Some worries","1993","Not Working","(0) in school","19","","",""
"Some worries","1993","Not Working","(1a) inadequately completed","94","0.36640773334581","0.306319855799871","0.426495610891749"
"Some worries","1993","Not Working","(1b) general elementary school","62","0.261386983673169","0.197551397008592","0.325222570337746"
"Some worries","1993","Not Working","(1c) basic vocational qualification","27","","",""
"Some worries","1993","Not Working","(2b) intermediate general qualification","9","","",""
"Some worries","1993","Not Working","(2a) intermediate vocational","2","","",""
"Some worries","1993","Not Working","(2c_gen) general maturity certificate","21","","",""
"Some worries","1993","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"Some worries","1993","Not Working","(3a) lower tertiary education","","","",""
"Some worries","1993","Not Working","(3b) higher tertiary education","1","","",""
"No worries","1993","Full Time","(0) in school","","","",""
"No worries","1993","Full Time","(1a) inadequately completed","38","0.140834881260573","0.0960741129048845","0.185595649616261"
"No worries","1993","Full Time","(1b) general elementary school","44","0.100915304491531","0.0711727134179152","0.130657895565148"
"No worries","1993","Full Time","(1c) basic vocational qualification","33","0.133624156952849","0.0945313141761892","0.172716999729508"
"No worries","1993","Full Time","(2b) intermediate general qualification","5","","",""
"No worries","1993","Full Time","(2a) intermediate vocational","4","","",""
"No worries","1993","Full Time","(2c_gen) general maturity certificate","4","","",""
"No worries","1993","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"No worries","1993","Full Time","(3a) lower tertiary education","1","","",""
"No worries","1993","Full Time","(3b) higher tertiary education","3","","",""
"No worries","1993","Part Time","(0) in school","","","",""
"No worries","1993","Part Time","(1a) inadequately completed","10","","",""
"No worries","1993","Part Time","(1b) general elementary school","16","","",""
"No worries","1993","Part Time","(1c) basic vocational qualification","8","","",""
"No worries","1993","Part Time","(2b) intermediate general qualification","1","","",""
"No worries","1993","Part Time","(2a) intermediate vocational","1","","",""
"No worries","1993","Part Time","(2c_gen) general maturity certificate","2","","",""
"No worries","1993","Part Time","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1993","Part Time","(3a) lower tertiary education","","","",""
"No worries","1993","Part Time","(3b) higher tertiary education","","","",""
"No worries","1993","Not Working","(0) in school","","","",""
"No worries","1993","Not Working","(1a) inadequately completed","28","","",""
"No worries","1993","Not Working","(1b) general elementary school","22","","",""
"No worries","1993","Not Working","(1c) basic vocational qualification","12","","",""
"No worries","1993","Not Working","(2b) intermediate general qualification","4","","",""
"No worries","1993","Not Working","(2a) intermediate vocational","2","","",""
"No worries","1993","Not Working","(2c_gen) general maturity certificate","1","","",""
"No worries","1993","Not Working","(2c_voc) vocational maturity certificate","","","",""
"No worries","1993","Not Working","(3a) lower tertiary education","","","",""
"No worries","1993","Not Working","(3b) higher tertiary education","","","",""
"Big worries","1994","Full Time","(0) in school","","","",""
"Big worries","1994","Full Time","(1a) inadequately completed","76","0.411583302654424","0.344543259341705","0.478623345967142"
"Big worries","1994","Full Time","(1b) general elementary school","155","0.494622759512936","0.441400521871106","0.547844997154766"
"Big worries","1994","Full Time","(1c) basic vocational qualification","102","0.377444056891674","0.320563809472878","0.43432430431047"
"Big worries","1994","Full Time","(2b) intermediate general qualification","8","","",""
"Big worries","1994","Full Time","(2a) intermediate vocational","18","","",""
"Big worries","1994","Full Time","(2c_gen) general maturity certificate","15","","",""
"Big worries","1994","Full Time","(2c_voc) vocational maturity certificate","22","","",""
"Big worries","1994","Full Time","(3a) lower tertiary education","2","","",""
"Big worries","1994","Full Time","(3b) higher tertiary education","6","","",""
"Big worries","1994","Part Time","(0) in school","","","",""
"Big worries","1994","Part Time","(1a) inadequately completed","45","0.504765881972044","0.399705557117374","0.609826206826714"
"Big worries","1994","Part Time","(1b) general elementary school","70","0.572644703270466","0.48888543755799","0.656403968982942"
"Big worries","1994","Part Time","(1c) basic vocational qualification","34","0.703243028843254","0.589531256385912","0.816954801300595"
"Big worries","1994","Part Time","(2b) intermediate general qualification","9","","",""
