"plj0047","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Not Employed","lower secondary degree","39","0.492934158624762","0.384058143736084","0.60181017351344"
"Big worries","1992","Not Employed","secondary school degree","17","","",""
"Big worries","1992","Not Employed","college entrance qualification","13","","",""
"Big worries","1992","Not Employed","Other degree","89","0.477101376216418","0.412125933621367","0.54207681881147"
"Big worries","1992","Not Employed","no degree/no degree yet","110","0.43683100668999","0.377886988863097","0.495775024516883"
"Big worries","1992","Employed","lower secondary degree","160","0.479268912545362","0.428706377515711","0.529831447575012"
"Big worries","1992","Employed","secondary school degree","37","0.547816438640395","0.440091543518475","0.655541333762315"
"Big worries","1992","Employed","college entrance qualification","17","","",""
"Big worries","1992","Employed","Other degree","233","0.370605657927801","0.334035391060263","0.407175924795339"
"Big worries","1992","Employed","no degree/no degree yet","118","0.396573315229084","0.344575795033067","0.4485708354251"
"Some worries","1992","Not Employed","lower secondary degree","35","0.373494041801339","0.268149988788702","0.478838094813977"
"Some worries","1992","Not Employed","secondary school degree","6","","",""
"Some worries","1992","Not Employed","college entrance qualification","10","","",""
"Some worries","1992","Not Employed","Other degree","100","0.37008416956996","0.307274475506566","0.432893863633354"
"Some worries","1992","Not Employed","no degree/no degree yet","112","0.388949844529068","0.331013796222451","0.446885892835685"
"Some worries","1992","Employed","lower secondary degree","157","0.384238190899304","0.335007141145158","0.43346924065345"
"Some worries","1992","Employed","secondary school degree","29","","",""
"Some worries","1992","Employed","college entrance qualification","27","","",""
"Some worries","1992","Employed","Other degree","303","0.42389817363519","0.386479267435269","0.46131707983511"
"Some worries","1992","Employed","no degree/no degree yet","138","0.371243888180507","0.319889282535208","0.422598493825806"
"No worries","1992","Not Employed","lower secondary degree","7","","",""
"No worries","1992","Not Employed","secondary school degree","8","","",""
"No worries","1992","Not Employed","college entrance qualification","4","","",""
"No worries","1992","Not Employed","Other degree","38","0.152814454213621","0.106007902381473","0.199621006045769"
"No worries","1992","Not Employed","no degree/no degree yet","50","0.174219148780942","0.129143292376632","0.219295005185251"
"No worries","1992","Employed","lower secondary degree","58","0.136492896555334","0.101745646510053","0.171240146600615"
"No worries","1992","Employed","secondary school degree","16","","",""
"No worries","1992","Employed","college entrance qualification","2","","",""
"No worries","1992","Employed","Other degree","134","0.20549616843701","0.174900457298066","0.236091879575954"
"No worries","1992","Employed","no degree/no degree yet","84","0.23218279659041","0.187302825272682","0.277062767908137"
"Big worries","1993","Not Employed","lower secondary degree","45","0.672130202083122","0.563697756061553","0.780562648104691"
"Big worries","1993","Not Employed","secondary school degree","21","","",""
