"plj0047","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","(0) in school","in school","","","",""
"Big worries","1992","(0) in school","inadequately","","","",""
"Big worries","1992","(0) in school","general elemantary","","","",""
"Big worries","1992","(0) in school","middle vocational","","","",""
"Big worries","1992","(0) in school","vocational + Abi","","","",""
"Big worries","1992","(0) in school","higher vocational","","","",""
"Big worries","1992","(0) in school","higher education","","","",""
"Big worries","1992","(1a) inadequately completed","in school","","","",""
"Big worries","1992","(1a) inadequately completed","inadequately","192","0.402559598723719","0.360080480046201","0.445038717401238"
"Big worries","1992","(1a) inadequately completed","general elemantary","","","",""
"Big worries","1992","(1a) inadequately completed","middle vocational","","","",""
"Big worries","1992","(1a) inadequately completed","vocational + Abi","","","",""
"Big worries","1992","(1a) inadequately completed","higher vocational","","","",""
"Big worries","1992","(1a) inadequately completed","higher education","","","",""
"Big worries","1992","(1b) general elementary school","in school","","","",""
"Big worries","1992","(1b) general elementary school","inadequately","","","",""
"Big worries","1992","(1b) general elementary school","general elemantary","292","0.413430685871581","0.378234127861651","0.448627243881511"
"Big worries","1992","(1b) general elementary school","middle vocational","","","",""
"Big worries","1992","(1b) general elementary school","vocational + Abi","","","",""
"Big worries","1992","(1b) general elementary school","higher vocational","","","",""
"Big worries","1992","(1b) general elementary school","higher education","","","",""
"Big worries","1992","(1c) basic vocational qualification","in school","","","",""
"Big worries","1992","(1c) basic vocational qualification","inadequately","","","",""
"Big worries","1992","(1c) basic vocational qualification","general elemantary","","","",""
"Big worries","1992","(1c) basic vocational qualification","middle vocational","157","0.416958367006215","0.370409878202232","0.463506855810198"
"Big worries","1992","(1c) basic vocational qualification","vocational + Abi","","","",""
"Big worries","1992","(1c) basic vocational qualification","higher vocational","","","",""
"Big worries","1992","(1c) basic vocational qualification","higher education","","","",""
"Big worries","1992","(2b) intermediate general qualification","in school","","","",""
"Big worries","1992","(2b) intermediate general qualification","inadequately","","","",""
"Big worries","1992","(2b) intermediate general qualification","general elemantary","35","0.554259090523096","0.436979833641072","0.671538347405121"
"Big worries","1992","(2b) intermediate general qualification","middle vocational","","","",""
"Big worries","1992","(2b) intermediate general qualification","vocational + Abi","","","",""
"Big worries","1992","(2b) intermediate general qualification","higher vocational","","","",""
"Big worries","1992","(2b) intermediate general qualification","higher education","","","",""
"Big worries","1992","(2a) intermediate vocational","in school","","","",""
"Big worries","1992","(2a) intermediate vocational","inadequately","","","",""
"Big worries","1992","(2a) intermediate vocational","general elemantary","","","",""
"Big worries","1992","(2a) intermediate vocational","middle vocational","","","",""
"Big worries","1992","(2a) intermediate vocational","vocational + Abi","","","",""
"Big worries","1992","(2a) intermediate vocational","higher vocational","","","",""
"Big worries","1992","(2a) intermediate vocational","higher education","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","in school","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","inadequately","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","general elemantary","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","middle vocational","43","0.480148739468653","0.382713770461863","0.577583708475443"
"Big worries","1992","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","higher vocational","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","higher education","","","",""
