"plj0047","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Schleswig-Holstein","","","",""
"Big worries","1992","Hamburg","","","",""
"Big worries","1992","Lower Saxony","63","0.480593997281292","0.393700178517569","0.567487816045015"
"Big worries","1992","Bremen","","","",""
"Big worries","1992","North Rhine-Westphalia","274","0.477144949816621","0.437860732008768","0.516429167624474"
"Big worries","1992","Hesse","66","0.247371326994139","0.198133129917601","0.296609524070678"
"Big worries","1992","Rhineland-Palatinate,Saarland","35","0.302437583237981","0.216603224924913","0.388271941551049"
"Big worries","1992","Baden-Württemberg","243","0.404638432305925","0.366189446621294","0.443087417990557"
"Big worries","1992","Bavaria","102","0.399602695964179","0.345511524687627","0.453693867240731"
"Big worries","1992","Berlin","53","0.615262689229584","0.515299561306444","0.715225817152724"
"Big worries","1992","Brandenburg","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","","","",""
"Big worries","1992","Saxony","","","",""
"Big worries","1992","Saxony-Anhalt","","","",""
"Big worries","1992","Thuringia","","","",""
"Some worries","1992","Schleswig-Holstein","","","",""
"Some worries","1992","Hamburg","","","",""
"Some worries","1992","Lower Saxony","47","0.438740328342098","0.352436129090201","0.525044527593996"
"Some worries","1992","Bremen","","","",""
"Some worries","1992","North Rhine-Westphalia","245","0.36239406413375","0.324587343823985","0.400200784443516"
"Some worries","1992","Hesse","140","0.442654200645198","0.385973952344834","0.499334448945562"
"Some worries","1992","Rhineland-Palatinate,Saarland","57","0.45615104614531","0.36307343365502","0.5492286586356"
"Some worries","1992","Baden-Württemberg","261","0.376572028423193","0.338616233165555","0.414527823680831"
"Some worries","1992","Bavaria","160","0.461752868982399","0.406698919859786","0.516806818105012"
"Some worries","1992","Berlin","35","0.350466293908027","0.25243801692043","0.448494570895624"
"Some worries","1992","Brandenburg","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","","","",""
"Some worries","1992","Saxony","","","",""
"Some worries","1992","Saxony-Anhalt","","","",""
"Some worries","1992","Thuringia","","","",""
"No worries","1992","Schleswig-Holstein","","","",""
"No worries","1992","Hamburg","","","",""
"No worries","1992","Lower Saxony","","","",""
"No worries","1992","Bremen","","","",""
"No worries","1992","North Rhine-Westphalia","102","0.160460986049629","0.131593599963657","0.1893283721356"
"No worries","1992","Hesse","89","0.309974472360663","0.257198939535774","0.362750005185552"
"No worries","1992","Rhineland-Palatinate,Saarland","","","",""
"No worries","1992","Baden-Württemberg","122","0.218789539270882","0.186403471055609","0.251175607486155"
"No worries","1992","Bavaria","53","0.138644435053423","0.100482071256403","0.176806798850442"
"No worries","1992","Berlin","","","",""
"No worries","1992","Brandenburg","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","","","",""
"No worries","1992","Saxony","","","",""
"No worries","1992","Saxony-Anhalt","","","",""
"No worries","1992","Thuringia","","","",""
"Big worries","1993","Schleswig-Holstein","","","",""
"Big worries","1993","Hamburg","","","",""
"Big worries","1993","Lower Saxony","82","0.648086926342354","0.566306988870743","0.729866863813965"
"Big worries","1993","Bremen","","","",""
"Big worries","1993","North Rhine-Westphalia","338","0.579515779852116","0.540659633124133","0.618371926580098"
"Big worries","1993","Hesse","80","0.366216127308026","0.309986803398531","0.422445451217521"
"Big worries","1993","Rhineland-Palatinate,Saarland","","","",""
"Big worries","1993","Baden-Württemberg","286","0.414021295390563","0.375890897877104","0.452151692904021"
"Big worries","1993","Bavaria","141","0.548899271512982","0.4921160308453","0.605682512180664"
"Big worries","1993","Berlin","49","0.620556670483799","0.512172236528175","0.728941104439423"
"Big worries","1993","Brandenburg","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","","","",""
"Big worries","1993","Saxony","","","",""
"Big worries","1993","Saxony-Anhalt","","","",""
"Big worries","1993","Thuringia","","","",""
"Some worries","1993","Schleswig-Holstein","","","",""
"Some worries","1993","Hamburg","","","",""
"Some worries","1993","Lower Saxony","39","0.29232072338023","0.214434528922901","0.37020691783756"
"Some worries","1993","Bremen","","","",""
"Some worries","1993","North Rhine-Westphalia","223","0.333313706718565","0.296208094965362","0.370419318471768"
"Some worries","1993","Hesse","153","0.463340910450517","0.405140894258197","0.521540926642837"
"Some worries","1993","Rhineland-Palatinate,Saarland","52","0.540374024557963","0.438537471280976","0.64221057783495"
"Some worries","1993","Baden-Württemberg","270","0.451413195135252","0.412889416402387","0.489936973868117"
"Some worries","1993","Bavaria","125","0.357279522663597","0.302596537574097","0.411962507753096"
"Some worries","1993","Berlin","","","",""
"Some worries","1993","Brandenburg","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","","","",""
"Some worries","1993","Saxony","","","",""
"Some worries","1993","Saxony-Anhalt","","","",""
"Some worries","1993","Thuringia","","","",""
"No worries","1993","Schleswig-Holstein","","","",""
"No worries","1993","Hamburg","","","",""
"No worries","1993","Lower Saxony","","","",""
"No worries","1993","Bremen","","","",""
"No worries","1993","North Rhine-Westphalia","59","0.0871705134293195","0.0649664796967307","0.109374547161908"
"No worries","1993","Hesse","49","0.170442962241456","0.126555931416559","0.214329993066353"
"No worries","1993","Rhineland-Palatinate,Saarland","","","",""
"No worries","1993","Baden-Württemberg","85","0.134565509474185","0.108147319679785","0.160983699268585"
"No worries","1993","Bavaria","","","",""
"No worries","1993","Berlin","","","",""
"No worries","1993","Brandenburg","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","","","",""
"No worries","1993","Saxony","","","",""
"No worries","1993","Saxony-Anhalt","","","",""
"No worries","1993","Thuringia","","","",""
"Big worries","1994","Schleswig-Holstein","","","",""
"Big worries","1994","Hamburg","","","",""
"Big worries","1994","Lower Saxony","71","0.621620120054436","0.536938459155728","0.706301780953143"
"Big worries","1994","Bremen","","","",""
"Big worries","1994","North Rhine-Westphalia","329","0.5846500436904","0.544371918588301","0.624928168792499"
"Big worries","1994","Hesse","111","0.410620816584904","0.353101620358011","0.468140012811796"
"Big worries","1994","Rhineland-Palatinate,Saarland","41","0.370657167491297","0.273020261026417","0.468294073956177"
"Big worries","1994","Baden-Württemberg","263","0.465540625176935","0.426371830258549","0.50470942009532"
"Big worries","1994","Bavaria","102","0.417099181266172","0.360543834883784","0.473654527648559"
"Big worries","1994","Berlin","","","",""
"Big worries","1994","Brandenburg","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","","","",""
"Big worries","1994","Saxony","","","",""
"Big worries","1994","Saxony-Anhalt","","","",""
"Big worries","1994","Thuringia","","","",""
"Some worries","1994","Schleswig-Holstein","","","",""
"Some worries","1994","Hamburg","","","",""
"Some worries","1994","Lower Saxony","46","0.326783465377016","0.244886041238026","0.408680889516006"
"Some worries","1994","Bremen","","","",""
"Some worries","1994","North Rhine-Westphalia","189","0.322393720895528","0.284190835388788","0.360596606402268"
"Some worries","1994","Hesse","132","0.448055979275083","0.389911486512221","0.506200472037945"
"Some worries","1994","Rhineland-Palatinate,Saarland","36","0.46096074308311","0.360191886145064","0.561729600021157"
"Some worries","1994","Baden-Württemberg","287","0.444819966601729","0.405797643222867","0.483842289980591"
"Some worries","1994","Bavaria","150","0.451633064261505","0.394552907084737","0.508713221438273"
"Some worries","1994","Berlin","32","0.454085843975982","0.33660834144387","0.571563346508095"
"Some worries","1994","Brandenburg","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","","","",""
"Some worries","1994","Saxony","","","",""
"Some worries","1994","Saxony-Anhalt","","","",""
"Some worries","1994","Thuringia","","","",""
"No worries","1994","Schleswig-Holstein","","","",""
"No worries","1994","Hamburg","","","",""
"No worries","1994","Lower Saxony","","","",""
"No worries","1994","Bremen","","","",""
"No worries","1994","North Rhine-Westphalia","57","0.0929562354140713","0.069222420386453","0.11669005044169"
"No worries","1994","Hesse","38","0.141323204140014","0.10059300511023","0.182053403169797"
"No worries","1994","Rhineland-Palatinate,Saarland","","","",""
"No worries","1994","Baden-Württemberg","73","0.0896394082213367","0.067207806631472","0.112071009811201"
"No worries","1994","Bavaria","40","0.131267754472324","0.0925349749002493","0.170000534044398"
"No worries","1994","Berlin","","","",""
"No worries","1994","Brandenburg","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","","","",""
"No worries","1994","Saxony","","","",""
"No worries","1994","Saxony-Anhalt","","","",""
"No worries","1994","Thuringia","","","",""
"Big worries","1995","Schleswig-Holstein","","","",""
"Big worries","1995","Hamburg","","","",""
"Big worries","1995","Lower Saxony","46","0.435925495098078","0.347203389906339","0.524647600289817"
"Big worries","1995","Bremen","","","",""
"Big worries","1995","North Rhine-Westphalia","272","0.564342855572588","0.521888096223484","0.606797614921693"
"Big worries","1995","Hesse","85","0.3986277525119","0.336812588437058","0.460442916586741"
"Big worries","1995","Rhineland-Palatinate,Saarland","","","",""
"Big worries","1995","Baden-Württemberg","237","0.447699586194586","0.40787826081575","0.487520911573422"
"Big worries","1995","Bavaria","90","0.368322864396999","0.312322922116388","0.424322806677611"
"Big worries","1995","Berlin","","","",""
"Big worries","1995","Brandenburg","","","",""
"Big worries","1995","Mecklenburg-Western Pomerania","","","",""
"Big worries","1995","Saxony","","","",""
"Big worries","1995","Saxony-Anhalt","","","",""
"Big worries","1995","Thuringia","","","",""
"Some worries","1995","Schleswig-Holstein","","","",""
"Some worries","1995","Hamburg","","","",""
"Some worries","1995","Lower Saxony","63","0.487608708364908","0.398176477420466","0.577040939309351"
"Some worries","1995","Bremen","","","",""
"Some worries","1995","North Rhine-Westphalia","196","0.331058473341107","0.29076554049392","0.371351406188294"
"Some worries","1995","Hesse","126","0.458959764384139","0.396046581350107","0.521872947418172"
"Some worries","1995","Rhineland-Palatinate,Saarland","42","0.506342900119237","0.395390718565759","0.617295081672714"
"Some worries","1995","Baden-Württemberg","274","0.434182737023475","0.394490182261739","0.473875291785211"
"Some worries","1995","Bavaria","142","0.443162205510421","0.385489361146448","0.500835049874393"
"Some worries","1995","Berlin","","","",""
"Some worries","1995","Brandenburg","","","",""
"Some worries","1995","Mecklenburg-Western Pomerania","","","",""
"Some worries","1995","Saxony","","","",""
"Some worries","1995","Saxony-Anhalt","","","",""
"Some worries","1995","Thuringia","","","",""
"No worries","1995","Schleswig-Holstein","","","",""
"No worries","1995","Hamburg","","","",""
"No worries","1995","Lower Saxony","","","",""
"No worries","1995","Bremen","","","",""
"No worries","1995","North Rhine-Westphalia","56","0.104598671086305","0.0783954670677501","0.130801875104859"
"No worries","1995","Hesse","30","0.142412483103961","0.0982907234496244","0.186534242758298"
"No worries","1995","Rhineland-Palatinate,Saarland","","","",""
"No worries","1995","Baden-Württemberg","88","0.118117676781939","0.09227143237494","0.143963921188939"
"No worries","1995","Bavaria","53","0.18851493009258","0.143106257808913","0.233923602376247"
"No worries","1995","Berlin","","","",""
"No worries","1995","Brandenburg","","","",""
"No worries","1995","Mecklenburg-Western Pomerania","","","",""
"No worries","1995","Saxony","","","",""
"No worries","1995","Saxony-Anhalt","","","",""
"No worries","1995","Thuringia","","","",""
"Big worries","1996","Schleswig-Holstein","90","0.342327435243057","0.286947906890325","0.397706963595788"
"Big worries","1996","Hamburg","33","0.274271753038202","0.196371230072942","0.352172276003462"
"Big worries","1996","Lower Saxony","321","0.318214218576268","0.28979631719325","0.346632119959285"
"Big worries","1996","Bremen","39","0.402999805886713","0.304365965506835","0.501633646266591"
"Big worries","1996","North Rhine-Westphalia","790","0.291768672287069","0.274052064428508","0.30948528014563"
"Big worries","1996","Hesse","270","0.280941374101573","0.251609836925617","0.310272911277529"
"Big worries","1996","Rhineland-Palatinate,Saarland","199","0.289108972888854","0.255184091738891","0.323033854038816"
"Big worries","1996","Baden-Württemberg","520","0.292709136234553","0.271098978829583","0.314319293639523"
"Big worries","1996","Bavaria","523","0.328873099276622","0.306142530682926","0.351603667870318"
"Big worries","1996","Berlin","170","0.300908014886003","0.262187800986727","0.33962822878528"
"Big worries","1996","Brandenburg","150","0.265384691505817","0.229906822245752","0.300862560765882"
"Big worries","1996","Mecklenburg-Western Pomerania","98","0.23374051503488","0.19168449020975","0.27579653986001"
"Big worries","1996","Saxony","271","0.251764878321235","0.226080953223936","0.277448803418534"
"Big worries","1996","Saxony-Anhalt","201","0.30181376867291","0.267106645374374","0.336520891971447"
"Big worries","1996","Thuringia","188","0.296091771993663","0.261049239594285","0.331134304393042"
"Some worries","1996","Schleswig-Holstein","136","0.475477846968247","0.417190995241976","0.533764698694517"
"Some worries","1996","Hamburg","61","0.449082482361515","0.362232613557945","0.535932351165085"
"Some worries","1996","Lower Saxony","561","0.523840676299362","0.493369866384587","0.554311486214137"
"Some worries","1996","Bremen","40","0.424545354013511","0.325152792092775","0.523937915934247"
"Some worries","1996","North Rhine-Westphalia","1424","0.58217186987542","0.562949889814141","0.601393849936699"
"Some worries","1996","Hesse","451","0.497893504501603","0.46526396292054","0.530523046082666"
