"plj0047","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Not Employed","in school","16","","",""
"Big worries","1992","Not Employed","inadequately","87","0.398897128719261","0.333290750895676","0.464503506542847"
"Big worries","1992","Not Employed","general elemantary","92","0.438893063910709","0.37209216018694","0.505693967634479"
"Big worries","1992","Not Employed","middle vocational","54","0.458381878529407","0.377281215785254","0.539482541273561"
"Big worries","1992","Not Employed","vocational + Abi","18","","",""
"Big worries","1992","Not Employed","higher vocational","2","","",""
"Big worries","1992","Not Employed","higher education","2","","",""
"Big worries","1992","Employed","in school","2","","",""
"Big worries","1992","Employed","inadequately","108","0.41703986776469","0.361521717067702","0.472558018461677"
"Big worries","1992","Employed","general elemantary","235","0.419374397768667","0.380183203983336","0.458565591553997"
"Big worries","1992","Employed","middle vocational","184","0.410063590772668","0.367038238202248","0.453088943343088"
"Big worries","1992","Employed","vocational + Abi","18","","",""
"Big worries","1992","Employed","higher vocational","8","","",""
"Big worries","1992","Employed","higher education","15","","",""
"Some worries","1992","Not Employed","in school","18","","",""
"Some worries","1992","Not Employed","inadequately","86","0.415882891156894","0.349847509070089","0.4819182732437"
"Some worries","1992","Not Employed","general elemantary","85","0.378124107388908","0.312848758060333","0.443399456717483"
"Some worries","1992","Not Employed","middle vocational","67","0.373474032532415","0.294739757444644","0.452208307620185"
"Some worries","1992","Not Employed","vocational + Abi","8","","",""
"Some worries","1992","Not Employed","higher vocational","","","",""
"Some worries","1992","Not Employed","higher education","2","","",""
"Some worries","1992","Employed","in school","1","","",""
"Some worries","1992","Employed","inadequately","123","0.36939609472649","0.315052138141802","0.423740051311177"
"Some worries","1992","Employed","general elemantary","269","0.425552087698762","0.386283874961086","0.464820300436438"
"Some worries","1992","Employed","middle vocational","214","0.372375018634995","0.330085123117429","0.414664914152562"
"Some worries","1992","Employed","vocational + Abi","33","0.507799462507447","0.383356767895082","0.632242157119813"
"Some worries","1992","Employed","higher vocational","6","","",""
"Some worries","1992","Employed","higher education","20","","",""
"No worries","1992","Not Employed","in school","6","","",""
"No worries","1992","Not Employed","inadequately","41","0.185219980123844","0.133171829075901","0.237268131171787"
"No worries","1992","Not Employed","general elemantary","35","0.182982828700383","0.130935203187358","0.235030454213407"
"No worries","1992","Not Employed","middle vocational","24","","",""
"No worries","1992","Not Employed","vocational + Abi","1","","",""
"No worries","1992","Not Employed","higher vocational","","","",""
"No worries","1992","Not Employed","higher education","","","",""
"No worries","1992","Employed","in school","","","",""
"No worries","1992","Employed","inadequately","72","0.213564037508821","0.167419263797755","0.259708811219887"
"No worries","1992","Employed","general elemantary","105","0.155073514532571","0.126324846929151","0.183822182135991"
"No worries","1992","Employed","middle vocational","104","0.217561390592337","0.181469279809105","0.253653501375569"
"No worries","1992","Employed","vocational + Abi","11","","",""
"No worries","1992","Employed","higher vocational","1","","",""
"No worries","1992","Employed","higher education","4","","",""
"Big worries","1993","Not Employed","in school","21","","",""
"Big worries","1993","Not Employed","inadequately","116","0.532146816284991","0.467662410577916","0.596631221992066"
"Big worries","1993","Not Employed","general elemantary","117","0.592453693189233","0.526464324157911","0.658443062220555"
"Big worries","1993","Not Employed","middle vocational","69","0.463852353346394","0.382400882879097","0.545303823813691"
"Big worries","1993","Not Employed","vocational + Abi","11","","",""
"Big worries","1993","Not Employed","higher vocational","2","","",""
"Big worries","1993","Not Employed","higher education","2","","",""
"Big worries","1993","Employed","in school","","","",""
"Big worries","1993","Employed","inadequately","123","0.502683971080694","0.443373617283098","0.561994324878289"
"Big worries","1993","Employed","general elemantary","269","0.501695226990891","0.46103895688636","0.542351497095422"
"Big worries","1993","Employed","middle vocational","215","0.452847857521069","0.409260610592365","0.496435104449773"
"Big worries","1993","Employed","vocational + Abi","31","0.404667751276656","0.284417191604021","0.524918310949291"
"Big worries","1993","Employed","higher vocational","6","","",""
"Big worries","1993","Employed","higher education","16","","",""
"Some worries","1993","Not Employed","in school","19","","",""
"Some worries","1993","Not Employed","inadequately","88","0.379407846911569","0.31669731747335","0.442118376349787"
"Some worries","1993","Not Employed","general elemantary","70","0.26207039494853","0.203012938550057","0.321127851347003"
