"plj0047","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","in school","Male","10","","","","1"
"Big worries","1992","in school","Female","8","","","","1"
"Big worries","1992","inadequately","Male","68","0.360050767852278","0.293855485620855","0.426246050083701","1"
"Big worries","1992","inadequately","Female","127","0.442661023427991","0.387809566955483","0.497512479900499","1"
"Big worries","1992","general elemantary","Male","175","0.41547262529647","0.369478492916242","0.461466757676699","1"
"Big worries","1992","general elemantary","Female","152","0.43563563724354","0.385781892723038","0.485489381764042","1"
"Big worries","1992","middle vocational","Male","153","0.401136318318176","0.353636011259433","0.44863662537692","1"
"Big worries","1992","middle vocational","Female","85","0.457121768199257","0.393832980349537","0.520410556048976","1"
"Big worries","1992","vocational + Abi","Male","25","","","","1"
"Big worries","1992","vocational + Abi","Female","11","","","","1"
"Big worries","1992","higher vocational","Male","5","","","","1"
"Big worries","1992","higher vocational","Female","5","","","","1"
"Big worries","1992","higher education","Male","12","","","","1"
"Big worries","1992","higher education","Female","5","","","","1"
"No worries","1992","inadequately","Male","53","0.266491782993706","0.205521696766629","0.327461869220784","3"
"No worries","1992","inadequately","Female","60","0.160360987756346","0.119839210963911","0.200882764548782","3"
"No worries","1992","general elemantary","Male","69","0.158246384653323","0.124182969323353","0.192309799983293","3"
"No worries","1992","general elemantary","Female","71","0.167795895184637","0.130224105232134","0.20536768513714","3"
"No worries","1992","middle vocational","Male","88","0.224681617758067","0.184232388700855","0.265130846815279","3"
"No worries","1992","middle vocational","Female","40","0.17292830621951","0.124881532007576","0.220975080431444","3"
"No worries","1992","vocational + Abi","Male","9","","","","3"
"No worries","1992","vocational + Abi","Female","3","","","","3"
"No worries","1992","higher vocational","Male","","","","","3"
"No worries","1992","higher vocational","Female","1","","","","3"
"No worries","1992","higher education","Male","4","","","","3"
"No worries","1992","higher education","Female","","","","","3"
"No worries","1992","in school","Male","1","","","","3"
"No worries","1992","in school","Female","5","","","","3"
"Some worries","1992","inadequately","Male","81","0.373457449154016","0.306750933704052","0.44016396460398","2"
"Some worries","1992","inadequately","Female","128","0.396977988815663","0.342947038004771","0.451008939626554","2"
"Some worries","1992","general elemantary","Male","197","0.426280990050206","0.38012517766917","0.472436802431243","2"
"Some worries","1992","general elemantary","Female","157","0.396568467571823","0.347383840531601","0.445753094612045","2"
"Some worries","1992","middle vocational","Male","168","0.374182063923756","0.327284323007392","0.421079804840121","2"
"Some worries","1992","middle vocational","Female","113","0.369949925581233","0.308613478159945","0.431286373002522","2"
"Some worries","1992","vocational + Abi","Male","25","","","","2"
"Some worries","1992","vocational + Abi","Female","16","","","","2"
"Some worries","1992","higher vocational","Male","4","","","","2"
"Some worries","1992","higher vocational","Female","2","","","","2"
"Some worries","1992","higher education","Male","14","","","","2"
"Some worries","1992","higher education","Female","8","","","","2"
"Some worries","1992","in school","Male","13","","","","2"
"Some worries","1992","in school","Female","6","","","","2"
"Big worries","1993","in school","Male","13","","","","1"
"Big worries","1993","in school","Female","8","","","","1"
"Big worries","1993","inadequately","Male","84","0.456936443388852","0.387197833925102","0.526675052852601","1"
"Big worries","1993","inadequately","Female","155","0.554183708371673","0.498582561723774","0.609784855019571","1"
"Big worries","1993","general elemantary","Male","198","0.500069542358087","0.452644890259333","0.54749419445684","1"
"Big worries","1993","general elemantary","Female","188","0.558920071702494","0.508121844101773","0.609718299303215","1"
"Big worries","1993","middle vocational","Male","176","0.428914037314255","0.380831568454763","0.476996506173747","1"
"Big worries","1993","middle vocational","Female","108","0.501897923257032","0.438375583250882","0.565420263263183","1"
"Big worries","1993","vocational + Abi","Male","28","","","","1"
"Big worries","1993","vocational + Abi","Female","14","","","","1"
"Big worries","1993","higher vocational","Male","6","","","","1"
"Big worries","1993","higher vocational","Female","2","","","","1"
"Big worries","1993","higher education","Male","14","","","","1"
"Big worries","1993","higher education","Female","4","","","","1"
"No worries","1993","in school","Male","","","","","3"
"No worries","1993","in school","Female","","","","","3"
"No worries","1993","inadequately","Male","25","","","","3"
"No worries","1993","inadequately","Female","38","0.108854613739761","0.0740147373642181","0.143694490115304","3"
"No worries","1993","general elemantary","Male","54","0.124394957889151","0.0930916906324793","0.155698225145823","3"
"No worries","1993","general elemantary","Female","38","0.0949416832852612","0.0649513146303167","0.124932051940206","3"
"No worries","1993","middle vocational","Male","46","0.115366229032728","0.0843297824530414","0.146402675612414","3"
"No worries","1993","middle vocational","Female","34","0.149346651265152","0.104063810391154","0.194629492139149","3"
"No worries","1993","vocational + Abi","Male","3","","","","3"
"No worries","1993","vocational + Abi","Female","2","","","","3"
"No worries","1993","higher vocational","Male","","","","","3"
"No worries","1993","higher vocational","Female","","","","","3"
"No worries","1993","higher education","Male","3","","","","3"
"No worries","1993","higher education","Female","1","","","","3"
"Some worries","1993","in school","Male","10","","","","2"
"Some worries","1993","in school","Female","10","","","","2"
"Some worries","1993","inadequately","Male","87","0.446230713432517","0.376637928334066","0.515823498530969","2"
"Some worries","1993","inadequately","Female","114","0.336961677888566","0.284088127400647","0.389835228376486","2"
"Some worries","1993","general elemantary","Male","175","0.375535499752762","0.329603692938204","0.42146730656732","2"
"Some worries","1993","general elemantary","Female","141","0.346138245012244","0.297465838402521","0.394810651621968","2"
"Some worries","1993","middle vocational","Male","185","0.455719733653017","0.407334694349257","0.504104772956777","2"
"Some worries","1993","middle vocational","Female","96","0.348755425477816","0.288208491224924","0.409302359730708","2"
"Some worries","1993","vocational + Abi","Male","26","","","","2"
"Some worries","1993","vocational + Abi","Female","13","","","","2"
"Some worries","1993","higher vocational","Male","3","","","","2"
"Some worries","1993","higher vocational","Female","3","","","","2"
"Some worries","1993","higher education","Male","13","","","","2"
"Some worries","1993","higher education","Female","7","","","","2"
"Big worries","1994","in school","Male","15","","","","1"
"Big worries","1994","in school","Female","11","","","","1"
"Big worries","1994","inadequately","Male","66","0.367269327774313","0.297991638611866","0.43654701693676","1"
"Big worries","1994","inadequately","Female","144","0.531950296250417","0.473917909054303","0.58998268344653","1"
"Big worries","1994","general elemantary","Male","184","0.530026008435128","0.479910619402507","0.580141397467749","1"
"Big worries","1994","general elemantary","Female","164","0.51984128961955","0.466736166014449","0.572946413224652","1"
"Big worries","1994","middle vocational","Male","154","0.409993621237642","0.361305618328498","0.458681624146785","1"
