"plj0047","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","college entrance qualification","Female","","","",""
"Big worries","1992","college entrance qualification","Male","","","",""
"Big worries","1992","lower secondary degree","Female","77","0.512678954517946","0.438196261953676","0.587161647082216"
"Big worries","1992","lower secondary degree","Male","122","0.461915129160332","0.403830481752518","0.519999776568146"
"Big worries","1992","no degree/no degree yet","Female","137","0.425243173024572","0.373815762318823","0.476670583730321"
"Big worries","1992","no degree/no degree yet","Male","91","0.401412357815391","0.341482841592626","0.461341874038156"
"Big worries","1992","Other degree","Female","134","0.423100239836318","0.372827454103083","0.473373025569553"
"Big worries","1992","Other degree","Male","188","0.382403701344892","0.340873063156436","0.423934339533348"
"Big worries","1992","secondary school degree","Female","","","",""
"Big worries","1992","secondary school degree","Male","","","",""
"No worries","1992","college entrance qualification","Female","","","",""
"No worries","1992","college entrance qualification","Male","","","",""
"No worries","1992","lower secondary degree","Female","","","",""
"No worries","1992","lower secondary degree","Male","46","0.172094666904512","0.128117330736313","0.216072003072711"
"No worries","1992","no degree/no degree yet","Female","70","0.169373730627083","0.13035620069739","0.208391260556777"
"No worries","1992","no degree/no degree yet","Male","64","0.25179026098461","0.19872471074925","0.30485581121997"
"No worries","1992","Other degree","Female","74","0.189952001829679","0.150036788920839","0.229867214738519"
"No worries","1992","Other degree","Male","98","0.19304636796238","0.15931683507294","0.22677590085182"
"No worries","1992","secondary school degree","Female","","","",""
"No worries","1992","secondary school degree","Male","","","",""
"Some worries","1992","college entrance qualification","Female","","","",""
"Some worries","1992","college entrance qualification","Male","","","",""
"Some worries","1992","lower secondary degree","Female","77","0.406109106902925","0.332927871520902","0.479290342284949"
"Some worries","1992","lower secondary degree","Male","115","0.365990203935156","0.30986762906442","0.422112778805892"
"Some worries","1992","no degree/no degree yet","Female","148","0.405383096348345","0.354310803239257","0.456455389457433"
"Some worries","1992","no degree/no degree yet","Male","102","0.346797381199998","0.288608046387303","0.404986716012693"
"Some worries","1992","Other degree","Female","163","0.386947758334003","0.337387216458547","0.436508300209459"
"Some worries","1992","Other degree","Male","240","0.424549930692728","0.382309977384897","0.46678988400056"
"Some worries","1992","secondary school degree","Female","","","",""
"Some worries","1992","secondary school degree","Male","","","",""
"Big worries","1993","college entrance qualification","Female","","","",""
"Big worries","1993","college entrance qualification","Male","","","",""
"Big worries","1993","lower secondary degree","Female","87","0.611974802213948","0.538287919390111","0.685661685037785"
"Big worries","1993","lower secondary degree","Male","139","0.529206492262144","0.470845489491322","0.587567495032967"
"Big worries","1993","no degree/no degree yet","Female","170","0.53347985136699","0.480913933150116","0.586045769583864"
"Big worries","1993","no degree/no degree yet","Male","112","0.467536622154633","0.405439004430325","0.529634239878941"
"Big worries","1993","Other degree","Female","168","0.526837492521092","0.474229280602555","0.57944570443963"
"Big worries","1993","Other degree","Male","208","0.410056122263069","0.367243570805914","0.452868673720224"
"Big worries","1993","secondary school degree","Female","","","",""
"Big worries","1993","secondary school degree","Male","30","0.49482062949801","0.367244686368025","0.622396572627995"
"No worries","1993","college entrance qualification","Female","","","",""
"No worries","1993","college entrance qualification","Male","","","",""
"No worries","1993","lower secondary degree","Female","","","",""
"No worries","1993","lower secondary degree","Male","","","",""
"No worries","1993","no degree/no degree yet","Female","43","0.108146808793868","0.0754230199735403","0.140870597614196"
"No worries","1993","no degree/no degree yet","Male","32","0.0880967262936166","0.0528209546053742","0.123372497981859"
"No worries","1993","Other degree","Female","38","0.113508668298668","0.0800844081749717","0.146932928422365"
"No worries","1993","Other degree","Male","61","0.116109177839109","0.0882237894010625","0.143994566277155"
"No worries","1993","secondary school degree","Female","","","",""
"No worries","1993","secondary school degree","Male","","","",""
"Some worries","1993","college entrance qualification","Female","","","",""
"Some worries","1993","college entrance qualification","Male","","","",""
"Some worries","1993","lower secondary degree","Female","58","0.307291493415367","0.237525468353183","0.37705751847755"
"Some worries","1993","lower secondary degree","Male","116","0.367980717034404","0.311594543167918","0.42436689090089"
"Some worries","1993","no degree/no degree yet","Female","133","0.358373339839142","0.307846854532016","0.408899825146268"
"Some worries","1993","no degree/no degree yet","Male","104","0.444366651551751","0.382524138141404","0.506209164962098"
"Some worries","1993","Other degree","Female","140","0.359653839180239","0.309087699853263","0.410219978507216"
"Some worries","1993","Other degree","Male","238","0.473834699897822","0.430371805560397","0.517297594235247"
"Some worries","1993","secondary school degree","Female","","","",""
"Some worries","1993","secondary school degree","Male","","","",""
"Big worries","1994","college entrance qualification","Female","","","",""
"Big worries","1994","college entrance qualification","Male","","","",""
"Big worries","1994","lower secondary degree","Female","75","0.550758499615138","0.473924101846984","0.627592897383293"
"Big worries","1994","lower secondary degree","Male","117","0.457432621188038","0.396877368225919","0.517987874150157"
"Big worries","1994","no degree/no degree yet","Female","163","0.55191113403886","0.497845280370792","0.605976987706928"
"Big worries","1994","no degree/no degree yet","Male","94","0.421676471469328","0.358937885261002","0.484415057677654"
"Big worries","1994","Other degree","Female","154","0.460205023946637","0.406912222657404","0.513497825235871"
"Big worries","1994","Other degree","Male","191","0.443699532152688","0.398347492227535","0.48905157207784"
"Big worries","1994","secondary school degree","Female","","","",""
"Big worries","1994","secondary school degree","Male","","","",""
"No worries","1994","college entrance qualification","Female","","","",""
"No worries","1994","college entrance qualification","Male","","","",""
"No worries","1994","lower secondary degree","Female","","","",""
"No worries","1994","lower secondary degree","Male","","","",""
"No worries","1994","no degree/no degree yet","Female","31","0.0674614437549774","0.0401925434156589","0.0947303440942959"
"No worries","1994","no degree/no degree yet","Male","32","0.0905682836817003","0.0541069349575632","0.127029632405837"
"No worries","1994","Other degree","Female","48","0.148121104387264","0.110139277269435","0.186102931505093"
"No worries","1994","Other degree","Male","64","0.123952767812018","0.0938719593962789","0.154033576227758"
"No worries","1994","secondary school degree","Female","","","",""
"No worries","1994","secondary school degree","Male","","","",""
"Some worries","1994","college entrance qualification","Female","","","",""
"Some worries","1994","college entrance qualification","Male","","","",""
"Some worries","1994","lower secondary degree","Female","69","0.32807355363004","0.25554957323297","0.40059753402711"
"Some worries","1994","lower secondary degree","Male","118","0.474306432805877","0.413610826259708","0.535002039352047"
"Some worries","1994","no degree/no degree yet","Female","131","0.380627422206163","0.327839759372781","0.433415085039544"
"Some worries","1994","no degree/no degree yet","Male","112","0.487755244848971","0.42425149852342","0.551258991174522"
"Some worries","1994","Other degree","Female","134","0.391673871666099","0.339481264936697","0.4438664783955"
"Some worries","1994","Other degree","Male","206","0.432347700035294","0.387125112743656","0.477570287326931"
"Some worries","1994","secondary school degree","Female","","","",""
"Some worries","1994","secondary school degree","Male","","","",""
"Big worries","1995","college entrance qualification","Female","","","",""
"Big worries","1995","college entrance qualification","Male","","","",""
"Big worries","1995","lower secondary degree","Female","66","0.485544823470729","0.404474837462679","0.566614809478779"
"Big worries","1995","lower secondary degree","Male","94","0.451027630748025","0.387942652476349","0.514112609019702"
"Big worries","1995","no degree/no degree yet","Female","129","0.485605589539891","0.428475568405803","0.542735610673978"
"Big worries","1995","no degree/no degree yet","Male","82","0.402751935406071","0.336731808602977","0.468772062209166"
"Big worries","1995","Other degree","Female","118","0.414160720563795","0.35888023251252","0.469441208615071"
"Big worries","1995","Other degree","Male","164","0.437054745450562","0.389100376383096","0.485009114518028"
"Big worries","1995","secondary school degree","Female","","","",""
"Big worries","1995","secondary school degree","Male","","","",""
"No worries","1995","college entrance qualification","Female","","","",""
"No worries","1995","college entrance qualification","Male","","","",""
"No worries","1995","lower secondary degree","Female","","","",""
"No worries","1995","lower secondary degree","Male","","","",""
"No worries","1995","no degree/no degree yet","Female","34","0.101665457632807","0.0671208562672446","0.13621005899837"
"No worries","1995","no degree/no degree yet","Male","","","",""
"No worries","1995","Other degree","Female","45","0.142560547584793","0.103323205581111","0.181797889588475"
"No worries","1995","Other degree","Male","74","0.187520447081555","0.149784286174293","0.225256607988816"
"No worries","1995","secondary school degree","Female","","","",""
"No worries","1995","secondary school degree","Male","","","",""
"Some worries","1995","college entrance qualification","Female","","","",""
"Some worries","1995","college entrance qualification","Male","","","",""
"Some worries","1995","lower secondary degree","Female","67","0.452079495555579","0.371348957965078","0.53281003314608"
"Some worries","1995","lower secondary degree","Male","118","0.457146763381762","0.393990244965165","0.520303281798358"
"Some worries","1995","no degree/no degree yet","Female","131","0.412728952827302","0.356452568253034","0.469005337401571"
"Some worries","1995","no degree/no degree yet","Male","101","0.463898438601633","0.3967686697167","0.531028207486565"
"Some worries","1995","Other degree","Female","142","0.443278731851412","0.387527364272022","0.499030099430802"
"Some worries","1995","Other degree","Male","173","0.375424807467883","0.328610238542612","0.422239376393155"
"Some worries","1995","secondary school degree","Female","","","",""
"Some worries","1995","secondary school degree","Male","32","0.578842281367946","0.447152002717324","0.710532560018567"
"Big worries","1996","college entrance qualification","Female","216","0.250716161366489","0.220977777762661","0.280454544970317"
"Big worries","1996","college entrance qualification","Male","227","0.223034499282345","0.198126713582577","0.247942284982112"
"Big worries","1996","lower secondary degree","Female","887","0.335524827887265","0.317773735876906","0.353275919897625"
"Big worries","1996","lower secondary degree","Male","785","0.309000607376824","0.290894589797283","0.327106624956364"
"Big worries","1996","no degree/no degree yet","Female","173","0.399632115993139","0.354674364021804","0.444589867964475"
"Big worries","1996","no degree/no degree yet","Male","113","0.323000542290674","0.274424863490859","0.37157622109049"
"Big worries","1996","Other degree","Female","166","0.373712593659311","0.331136779766631","0.416288407551992"
"Big worries","1996","Other degree","Male","233","0.389636789851155","0.350419369690521","0.428854210011789"
"Big worries","1996","secondary school degree","Female","525","0.263339206196558","0.244079499810335","0.282598912582782"
"Big worries","1996","secondary school degree","Male","401","0.25577388458085","0.233962074387377","0.277585694774323"
"No worries","1996","college entrance qualification","Female","104","0.127529881217178","0.104643123606783","0.150416638827574"
"No worries","1996","college entrance qualification","Male","215","0.190190274469819","0.16670833973117","0.213672209208468"
"No worries","1996","lower secondary degree","Female","474","0.18013927712751","0.165691613785072","0.194586940469948"
"No worries","1996","lower secondary degree","Male","450","0.179466041403822","0.164429641769767","0.194502441037876"
"No worries","1996","no degree/no degree yet","Female","60","0.134061229104605","0.102788854446665","0.165333603762546"
"No worries","1996","no degree/no degree yet","Male","63","0.182548508627252","0.142420904358678","0.222676112895826"
"No worries","1996","Other degree","Female","62","0.105780111331285","0.0787136534089784","0.132846569253592"
"No worries","1996","Other degree","Male","71","0.131145132802666","0.103999212088672","0.158291053516661"
"No worries","1996","secondary school degree","Female","290","0.150731541550725","0.135086284951621","0.166376798149828"
"No worries","1996","secondary school degree","Male","339","0.218344668181189","0.197691337423666","0.238997998938712"
"Some worries","1996","college entrance qualification","Female","496","0.621753957416333","0.588480380724739","0.655027534107926"
"Some worries","1996","college entrance qualification","Male","631","0.586775226247837","0.557312204244393","0.61623824825128"
"Some worries","1996","lower secondary degree","Female","1357","0.484335894985225","0.46554791261969","0.50312387735076"
"Some worries","1996","lower secondary degree","Male","1267","0.511533351219355","0.491946759355417","0.531119943083293"
"Some worries","1996","no degree/no degree yet","Female","223","0.466306654902255","0.420519108673398","0.512094201131113"
"Some worries","1996","no degree/no degree yet","Male","180","0.494450949082073","0.442515206072303","0.546386692091844"
"Some worries","1996","Other degree","Female","268","0.520507295009403","0.476541830581364","0.564472759437442"
"Some worries","1996","Other degree","Male","290","0.479218077346178","0.439043675894285","0.519392478798072"
"Some worries","1996","secondary school degree","Female","1194","0.585929252252717","0.564390626598135","0.607467877907298"
"Some worries","1996","secondary school degree","Male","797","0.525881447237961","0.500918344907466","0.550844549568455"
"Big worries","1997","college entrance qualification","Female","193","0.244206276677208","0.215031627537561","0.273380925816855"
"Big worries","1997","college entrance qualification","Male","210","0.213496584353648","0.189214542564511","0.237778626142786"
"Big worries","1997","lower secondary degree","Female","914","0.336981201413436","0.31895735646796","0.355005046358912"
"Big worries","1997","lower secondary degree","Male","830","0.336931652361971","0.31829526311805","0.355568041605892"
"Big worries","1997","no degree/no degree yet","Female","143","0.305347220413218","0.262794952808905","0.34789948801753"
"Big worries","1997","no degree/no degree yet","Male","121","0.319643291697504","0.271736340628617","0.367550242766391"
"Big worries","1997","Other degree","Female","175","0.389101416815709","0.344977136523925","0.433225697107493"
"Big worries","1997","Other degree","Male","194","0.356171541249801","0.315967979287069","0.396375103212532"
"Big worries","1997","secondary school degree","Female","568","0.291081378329703","0.271192758972452","0.310969997686954"
"Big worries","1997","secondary school degree","Male","410","0.277304484303633","0.254799307802019","0.299809660805247"
"No worries","1997","college entrance qualification","Female","123","0.136598618659632","0.113277192034406","0.159920045284858"
"No worries","1997","college entrance qualification","Male","221","0.200210185412848","0.176498061901159","0.223922308924537"
"No worries","1997","lower secondary degree","Female","422","0.173575626639566","0.159133617554437","0.188017635724695"
"No worries","1997","lower secondary degree","Male","479","0.194062105986619","0.178468991180936","0.209655220792302"
"No worries","1997","no degree/no degree yet","Female","69","0.148261963643664","0.115429026965543","0.181094900321785"
"No worries","1997","no degree/no degree yet","Male","71","0.206982975616595","0.165362602651304","0.248603348581886"
"No worries","1997","Other degree","Female","63","0.169827472658352","0.135845403328713","0.203809541987992"
"No worries","1997","Other degree","Male","90","0.17262125560703","0.140892783774772","0.204349727439288"
"No worries","1997","secondary school degree","Female","337","0.173747615851798","0.157158813902094","0.190336417801502"
"No worries","1997","secondary school degree","Male","370","0.240637422363791","0.219147617305435","0.262127227422147"
"Some worries","1997","college entrance qualification","Female","517","0.61919510466316","0.586219663934852","0.652170545391468"
"Some worries","1997","college entrance qualification","Male","663","0.586293230233504","0.557109339972307","0.6154771204947"
"Some worries","1997","lower secondary degree","Female","1306","0.489443171946998","0.470381768839948","0.508504575054047"
"Some worries","1997","lower secondary degree","Male","1162","0.46900624165141","0.449329837352124","0.488682645950696"
