"plj0047","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Schleswig-Holstein","Full Time","2","","","","1"
"Big worries","1992","Schleswig-Holstein","Part Time","1","","","","1"
"Big worries","1992","Schleswig-Holstein","Not Working","3","","","","1"
"Big worries","1992","Hamburg","Full Time","9","","","","1"
"Big worries","1992","Hamburg","Part Time","2","","","","1"
"Big worries","1992","Hamburg","Not Working","6","","","","1"
"Big worries","1992","Lower Saxony","Full Time","24","","","","1"
"Big worries","1992","Lower Saxony","Part Time","9","","","","1"
"Big worries","1992","Lower Saxony","Not Working","30","0.567489131168706","0.42877288177032","0.706205380567092","1"
"Big worries","1992","Bremen","Full Time","4","","","","1"
"Big worries","1992","Bremen","Part Time","2","","","","1"
"Big worries","1992","Bremen","Not Working","","","","","1"
"Big worries","1992","North Rhine-Westphalia","Full Time","120","0.429317944078242","0.373949090389852","0.484686797766631","1"
"Big worries","1992","North Rhine-Westphalia","Part Time","51","0.486695601544237","0.391093014410392","0.582298188678083","1"
"Big worries","1992","North Rhine-Westphalia","Not Working","103","0.539391160333889","0.471815080448589","0.606967240219189","1"
"Big worries","1992","Hesse","Full Time","41","0.29436522964479","0.224824481256005","0.363905978033574","1"
"Big worries","1992","Hesse","Part Time","10","","","","1"
"Big worries","1992","Hesse","Not Working","15","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Full Time","20","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Part Time","3","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Not Working","12","","","","1"
"Big worries","1992","Baden-Württemberg","Full Time","135","0.385551727469588","0.335273398977664","0.435830055961513","1"
"Big worries","1992","Baden-Württemberg","Part Time","40","0.449197467539878","0.351706427210093","0.546688507869664","1"
"Big worries","1992","Baden-Württemberg","Not Working","68","0.418471100633454","0.343427712518982","0.493514488747925","1"
"Big worries","1992","Bavaria","Full Time","56","0.372162688345549","0.303789244880254","0.440536131810844","1"
"Big worries","1992","Bavaria","Part Time","23","","","","1"
"Big worries","1992","Bavaria","Not Working","23","","","","1"
"Big worries","1992","Berlin","Full Time","16","","","","1"
"Big worries","1992","Berlin","Part Time","16","","","","1"
"Big worries","1992","Berlin","Not Working","21","","","","1"
"Big worries","1992","Brandenburg","Full Time","","","","","1"
"Big worries","1992","Brandenburg","Part Time","","","","","1"
"Big worries","1992","Brandenburg","Not Working","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Big worries","1992","Saxony","Full Time","","","","","1"
"Big worries","1992","Saxony","Part Time","","","","","1"
"Big worries","1992","Saxony","Not Working","","","","","1"
"Big worries","1992","Saxony-Anhalt","Full Time","","","","","1"
"Big worries","1992","Saxony-Anhalt","Part Time","","","","","1"
"Big worries","1992","Saxony-Anhalt","Not Working","","","","","1"
"Big worries","1992","Thuringia","Full Time","","","","","1"
"Big worries","1992","Thuringia","Part Time","","","","","1"
"Big worries","1992","Thuringia","Not Working","","","","","1"
"No worries","1992","Rhineland-Palatinate,Saarland","Full Time","13","","","","3"
"No worries","1992","Hamburg","Not Working","3","","","","3"
"No worries","1992","Hesse","Not Working","27","","","","3"
"No worries","1992","Hesse","Part Time","16","","","","3"
"No worries","1992","Schleswig-Holstein","Full Time","3","","","","3"
"No worries","1992","Schleswig-Holstein","Part Time","2","","","","3"
"No worries","1992","Schleswig-Holstein","Not Working","2","","","","3"
"No worries","1992","Hamburg","Full Time","3","","","","3"
"No worries","1992","Hamburg","Part Time","1","","","","3"
"No worries","1992","Lower Saxony","Full Time","8","","","","3"
"No worries","1992","Lower Saxony","Part Time","3","","","","3"
"No worries","1992","Lower Saxony","Not Working","6","","","","3"
"No worries","1992","Bremen","Full Time","","","","","3"
"No worries","1992","Bremen","Part Time","","","","","3"
"No worries","1992","Bremen","Not Working","","","","","3"
"No worries","1992","North Rhine-Westphalia","Full Time","59","0.183260972766087","0.139984131822909","0.226537813709266","3"
"No worries","1992","North Rhine-Westphalia","Part Time","13","","","","3"
"No worries","1992","North Rhine-Westphalia","Not Working","30","0.129375514732915","0.083874987208898","0.174876042256932","3"
"No worries","1992","Hesse","Full Time","46","0.283307422828683","0.21455285621708","0.352061989440286","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Part Time","","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Not Working","5","","","","3"
"No worries","1992","Baden-Württemberg","Full Time","68","0.242444774343151","0.198174684466152","0.286714864220149","3"
"No worries","1992","Baden-Württemberg","Part Time","25","","","","3"
"No worries","1992","Baden-Württemberg","Not Working","29","","","","3"
"No worries","1992","Bavaria","Full Time","39","0.142603272650352","0.0931433840773694","0.192063161223335","3"
"No worries","1992","Bavaria","Part Time","6","","","","3"
"No worries","1992","Bavaria","Not Working","8","","","","3"
"No worries","1992","Berlin","Full Time","1","","","","3"
"No worries","1992","Berlin","Part Time","1","","","","3"
"No worries","1992","Berlin","Not Working","1","","","","3"
"No worries","1992","Brandenburg","Full Time","","","","","3"
"No worries","1992","Brandenburg","Part Time","","","","","3"
"No worries","1992","Brandenburg","Not Working","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Full Time","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Part Time","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Not Working","","","","","3"
"No worries","1992","Saxony","Full Time","","","","","3"
"No worries","1992","Saxony","Part Time","","","","","3"
"No worries","1992","Saxony","Not Working","","","","","3"
"No worries","1992","Saxony-Anhalt","Full Time","","","","","3"
"No worries","1992","Saxony-Anhalt","Part Time","","","","","3"
"No worries","1992","Saxony-Anhalt","Not Working","","","","","3"
