"plj0047","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Schleswig-Holstein","(0) in school","","","",""
"Big worries","1992","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Big worries","1992","Schleswig-Holstein","(1b) general elementary school","3","","",""
"Big worries","1992","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Big worries","1992","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Big worries","1992","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Big worries","1992","Schleswig-Holstein","(2c_gen) general maturity certificate","1","","",""
"Big worries","1992","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1992","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Big worries","1992","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Big worries","1992","Hamburg","(0) in school","1","","",""
"Big worries","1992","Hamburg","(1a) inadequately completed","2","","",""
"Big worries","1992","Hamburg","(1b) general elementary school","5","","",""
"Big worries","1992","Hamburg","(1c) basic vocational qualification","3","","",""
"Big worries","1992","Hamburg","(2b) intermediate general qualification","1","","",""
"Big worries","1992","Hamburg","(2a) intermediate vocational","","","",""
"Big worries","1992","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Big worries","1992","Hamburg","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1992","Hamburg","(3a) lower tertiary education","","","",""
"Big worries","1992","Hamburg","(3b) higher tertiary education","1","","",""
"Big worries","1992","Lower Saxony","(0) in school","","","",""
"Big worries","1992","Lower Saxony","(1a) inadequately completed","17","","",""
"Big worries","1992","Lower Saxony","(1b) general elementary school","20","","",""
"Big worries","1992","Lower Saxony","(1c) basic vocational qualification","9","","",""
"Big worries","1992","Lower Saxony","(2b) intermediate general qualification","6","","",""
"Big worries","1992","Lower Saxony","(2a) intermediate vocational","3","","",""
"Big worries","1992","Lower Saxony","(2c_gen) general maturity certificate","5","","",""
"Big worries","1992","Lower Saxony","(2c_voc) vocational maturity certificate","1","","",""
"Big worries","1992","Lower Saxony","(3a) lower tertiary education","","","",""
"Big worries","1992","Lower Saxony","(3b) higher tertiary education","","","",""
"Big worries","1992","Bremen","(0) in school","","","",""
