"plj0047","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","16-34 y.","Schleswig-Holstein","2","","",""
"Big worries","1992","16-34 y.","Hamburg","5","","",""
"Big worries","1992","16-34 y.","Lower Saxony","34","0.591029044231561","0.466628262126913","0.715429826336208"
"Big worries","1992","16-34 y.","Bremen","2","","",""
"Big worries","1992","16-34 y.","North Rhine-Westphalia","135","0.507628533335791","0.450286100228615","0.564970966442967"
"Big worries","1992","16-34 y.","Hesse","41","0.32949352753508","0.248695390741726","0.410291664328434"
"Big worries","1992","16-34 y.","Rhineland-Palatinate,Saarland","21","","",""
"Big worries","1992","16-34 y.","Baden-Württemberg","125","0.440381055496642","0.381919721034461","0.498842389958823"
"Big worries","1992","16-34 y.","Bavaria","42","0.441223374737057","0.354866960326213","0.527579789147902"
"Big worries","1992","16-34 y.","Berlin","29","","",""
"Big worries","1992","16-34 y.","Brandenburg","","","",""
"Big worries","1992","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Big worries","1992","16-34 y.","Saxony","","","",""
"Big worries","1992","16-34 y.","Saxony-Anhalt","","","",""
"Big worries","1992","16-34 y.","Thuringia","","","",""
"Big worries","1992","35-65 y.","Schleswig-Holstein","4","","",""
"Big worries","1992","35-65 y.","Hamburg","12","","",""
"Big worries","1992","35-65 y.","Lower Saxony","29","","",""
"Big worries","1992","35-65 y.","Bremen","4","","",""
"Big worries","1992","35-65 y.","North Rhine-Westphalia","138","0.45764086050598","0.40314023922016","0.5121414817918"
"Big worries","1992","35-65 y.","Hesse","24","","",""
"Big worries","1992","35-65 y.","Rhineland-Palatinate,Saarland","14","","",""
"Big worries","1992","35-65 y.","Baden-Württemberg","112","0.375108338856452","0.323570172146678","0.426646505566227"
"Big worries","1992","35-65 y.","Bavaria","60","0.378880508692206","0.308595733985736","0.449165283398675"
"Big worries","1992","35-65 y.","Berlin","24","","",""
"Big worries","1992","35-65 y.","Brandenburg","","","",""
"Big worries","1992","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Big worries","1992","35-65 y.","Saxony","","","",""
"Big worries","1992","35-65 y.","Saxony-Anhalt","","","",""
"Big worries","1992","35-65 y.","Thuringia","","","",""
"Big worries","1992","66 and older","Schleswig-Holstein","","","",""
"Big worries","1992","66 and older","Hamburg","","","",""
"Big worries","1992","66 and older","Lower Saxony","","","",""
"Big worries","1992","66 and older","Bremen","","","",""
"Big worries","1992","66 and older","North Rhine-Westphalia","1","","",""
"Big worries","1992","66 and older","Hesse","1","","",""
"Big worries","1992","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Big worries","1992","66 and older","Baden-Württemberg","6","","",""
"Big worries","1992","66 and older","Bavaria","","","",""
"Big worries","1992","66 and older","Berlin","","","",""
"Big worries","1992","66 and older","Brandenburg","","","",""
"Big worries","1992","66 and older","Mecklenburg-Western Pomerania","","","",""
"Big worries","1992","66 and older","Saxony","","","",""
"Big worries","1992","66 and older","Saxony-Anhalt","","","",""
"Big worries","1992","66 and older","Thuringia","","","",""
"Some worries","1992","16-34 y.","Schleswig-Holstein","8","","",""
"Some worries","1992","16-34 y.","Hamburg","4","","",""
"Some worries","1992","16-34 y.","Lower Saxony","20","","",""
"Some worries","1992","16-34 y.","Bremen","","","",""
"Some worries","1992","16-34 y.","North Rhine-Westphalia","115","0.364467844616617","0.309265815854562","0.419669873378672"
"Some worries","1992","16-34 y.","Hesse","59","0.435388310510372","0.350158851867604","0.52061776915314"
"Some worries","1992","16-34 y.","Rhineland-Palatinate,Saarland","30","0.552044655962766","0.42180041066341","0.682288901262122"
"Some worries","1992","16-34 y.","Baden-Württemberg","103","0.365164789252437","0.308464776446613","0.421864802058261"
"Some worries","1992","16-34 y.","Bavaria","61","0.408566140067694","0.323073149593737","0.494059130541652"
"Some worries","1992","16-34 y.","Berlin","16","","",""
"Some worries","1992","16-34 y.","Brandenburg","","","",""
"Some worries","1992","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Some worries","1992","16-34 y.","Saxony","","","",""
"Some worries","1992","16-34 y.","Saxony-Anhalt","","","",""
"Some worries","1992","16-34 y.","Thuringia","","","",""
"Some worries","1992","35-65 y.","Schleswig-Holstein","6","","",""
"Some worries","1992","35-65 y.","Hamburg","9","","",""
"Some worries","1992","35-65 y.","Lower Saxony","26","","",""
"Some worries","1992","35-65 y.","Bremen","","","",""
"Some worries","1992","35-65 y.","North Rhine-Westphalia","125","0.357629012417201","0.305195988446045","0.410062036388356"
"Some worries","1992","35-65 y.","Hesse","80","0.462644033802645","0.38562648835034","0.53966157925495"
"Some worries","1992","35-65 y.","Rhineland-Palatinate,Saarland","23","","",""
"Some worries","1992","35-65 y.","Baden-Württemberg","156","0.387425619211619","0.335566895442224","0.439284342981013"
"Some worries","1992","35-65 y.","Bavaria","96","0.495988912832308","0.423548890509975","0.568428935154641"
"Some worries","1992","35-65 y.","Berlin","19","","",""
"Some worries","1992","35-65 y.","Brandenburg","","","",""
"Some worries","1992","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Some worries","1992","35-65 y.","Saxony","","","",""
"Some worries","1992","35-65 y.","Saxony-Anhalt","","","",""
"Some worries","1992","35-65 y.","Thuringia","","","",""
"Some worries","1992","66 and older","Schleswig-Holstein","","","",""
"Some worries","1992","66 and older","Hamburg","","","",""
"Some worries","1992","66 and older","Lower Saxony","1","","",""
"Some worries","1992","66 and older","Bremen","","","",""
"Some worries","1992","66 and older","North Rhine-Westphalia","5","","",""
"Some worries","1992","66 and older","Hesse","1","","",""
"Some worries","1992","66 and older","Rhineland-Palatinate,Saarland","4","","",""
"Some worries","1992","66 and older","Baden-Württemberg","2","","",""
"Some worries","1992","66 and older","Bavaria","3","","",""
"Some worries","1992","66 and older","Berlin","","","",""
"Some worries","1992","66 and older","Brandenburg","","","",""
"Some worries","1992","66 and older","Mecklenburg-Western Pomerania","","","",""
"Some worries","1992","66 and older","Saxony","","","",""
"Some worries","1992","66 and older","Saxony-Anhalt","","","",""
"Some worries","1992","66 and older","Thuringia","","","",""
"No worries","1992","16-34 y.","Schleswig-Holstein","2","","",""
"No worries","1992","16-34 y.","Hamburg","1","","",""
"No worries","1992","16-34 y.","Lower Saxony","6","","",""
"No worries","1992","16-34 y.","Bremen","","","",""
"No worries","1992","16-34 y.","North Rhine-Westphalia","42","0.127903622047591","0.0895964291767295","0.166210814918453"
"No worries","1992","16-34 y.","Hesse","30","0.235118161954548","0.162219983206345","0.308016340702751"
"No worries","1992","16-34 y.","Rhineland-Palatinate,Saarland","5","","",""
"No worries","1992","16-34 y.","Baden-Württemberg","49","0.194454155250921","0.147845995983499","0.241062314518343"
"No worries","1992","16-34 y.","Bavaria","24","","",""
"No worries","1992","16-34 y.","Berlin","","","",""
"No worries","1992","16-34 y.","Brandenburg","","","",""
"No worries","1992","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"No worries","1992","16-34 y.","Saxony","","","",""
"No worries","1992","16-34 y.","Saxony-Anhalt","","","",""
"No worries","1992","16-34 y.","Thuringia","","","",""
"No worries","1992","35-65 y.","Schleswig-Holstein","5","","",""
"No worries","1992","35-65 y.","Hamburg","6","","",""
"No worries","1992","35-65 y.","Lower Saxony","11","","",""
"No worries","1992","35-65 y.","Bremen","","","",""
"No worries","1992","35-65 y.","North Rhine-Westphalia","58","0.18473012707682","0.142276467190816","0.227183786962823"
"No worries","1992","35-65 y.","Hesse","57","0.368581324793099","0.294063438482506","0.443099211103692"
"No worries","1992","35-65 y.","Rhineland-Palatinate,Saarland","13","","",""
"No worries","1992","35-65 y.","Baden-Württemberg","71","0.237466041931929","0.192168087228473","0.282763996635384"
"No worries","1992","35-65 y.","Bavaria","27","","",""
"No worries","1992","35-65 y.","Berlin","3","","",""
"No worries","1992","35-65 y.","Brandenburg","","","",""
"No worries","1992","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"No worries","1992","35-65 y.","Saxony","","","",""
"No worries","1992","35-65 y.","Saxony-Anhalt","","","",""
"No worries","1992","35-65 y.","Thuringia","","","",""
"No worries","1992","66 and older","Schleswig-Holstein","","","",""
"No worries","1992","66 and older","Hamburg","","","",""
"No worries","1992","66 and older","Lower Saxony","","","",""
"No worries","1992","66 and older","Bremen","","","",""
