"plj0047","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Schleswig-Holstein","West Germany","6","","","","1"
"Big worries","1992","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1992","Hamburg","West Germany","17","","","","1"
"Big worries","1992","Hamburg","East Germany","","","","","1"
"Big worries","1992","Lower Saxony","West Germany","63","0.480593997281292","0.393700178517569","0.567487816045015","1"
"Big worries","1992","Lower Saxony","East Germany","","","","","1"
"Big worries","1992","Bremen","West Germany","6","","","","1"
"Big worries","1992","Bremen","East Germany","","","","","1"
"Big worries","1992","North Rhine-Westphalia","West Germany","274","0.477144949816621","0.437860732008768","0.516429167624474","1"
"Big worries","1992","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1992","Hesse","West Germany","66","0.247371326994139","0.198133129917601","0.296609524070678","1"
"Big worries","1992","Hesse","East Germany","","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","West Germany","35","0.302437583237981","0.216603224924913","0.388271941551049","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1992","Baden-Württemberg","West Germany","243","0.404638432305925","0.366189446621294","0.443087417990557","1"
"Big worries","1992","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1992","Bavaria","West Germany","102","0.399602695964179","0.345511524687627","0.453693867240731","1"
"Big worries","1992","Bavaria","East Germany","","","","","1"
"Big worries","1992","Berlin","West Germany","53","0.615262689229584","0.515299561306444","0.715225817152724","1"
"Big worries","1992","Berlin","East Germany","","","","","1"
"Big worries","1992","Brandenburg","West Germany","","","","","1"
"Big worries","1992","Brandenburg","East Germany","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Big worries","1992","Saxony","West Germany","","","","","1"
"Big worries","1992","Saxony","East Germany","","","","","1"
"Big worries","1992","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1992","Saxony-Anhalt","East Germany","","","","","1"
"Big worries","1992","Thuringia","West Germany","","","","","1"
"Big worries","1992","Thuringia","East Germany","","","","","1"
"No worries","1992","Hamburg","East Germany","","","","","3"
"No worries","1992","Hamburg","West Germany","7","","","","3"
"No worries","1992","Bavaria","East Germany","","","","","3"
"No worries","1992","Schleswig-Holstein","East Germany","","","","","3"
