"plj0047","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","1-pers.-HH","(0) in school","","","",""
"Big worries","1992","1-pers.-HH","(1a) inadequately completed","10","","",""
"Big worries","1992","1-pers.-HH","(1b) general elementary school","9","","",""
"Big worries","1992","1-pers.-HH","(1c) basic vocational qualification","4","","",""
"Big worries","1992","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Big worries","1992","1-pers.-HH","(2a) intermediate vocational","6","","",""
"Big worries","1992","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"Big worries","1992","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1992","1-pers.-HH","(3a) lower tertiary education","","","",""
"Big worries","1992","1-pers.-HH","(3b) higher tertiary education","1","","",""
"Big worries","1992","(Married) couple without C. ","(0) in school","","","",""
"Big worries","1992","(Married) couple without C. ","(1a) inadequately completed","15","","",""
"Big worries","1992","(Married) couple without C. ","(1b) general elementary school","44","0.440542873188504","0.343722913075864","0.537362833301144"
"Big worries","1992","(Married) couple without C. ","(1c) basic vocational qualification","21","","",""
"Big worries","1992","(Married) couple without C. ","(2b) intermediate general qualification","3","","",""
"Big worries","1992","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Big worries","1992","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Big worries","1992","(Married) couple without C. ","(2c_voc) vocational maturity certificate","5","","",""
"Big worries","1992","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Big worries","1992","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"Big worries","1992","Single parent ","(0) in school","1","","",""
"Big worries","1992","Single parent ","(1a) inadequately completed","8","","",""
"Big worries","1992","Single parent ","(1b) general elementary school","13","","",""
"Big worries","1992","Single parent ","(1c) basic vocational qualification","11","","",""
"Big worries","1992","Single parent ","(2b) intermediate general qualification","","","",""
"Big worries","1992","Single parent ","(2a) intermediate vocational","1","","",""
"Big worries","1992","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Big worries","1992","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1992","Single parent ","(3a) lower tertiary education","","","",""
"Big worries","1992","Single parent ","(3b) higher tertiary education","1","","",""
"Big worries","1992","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","1992","Couple + C. LE 16 ","(1a) inadequately completed","48","0.509257269368081","0.414535073312512","0.60397946542365"
"Big worries","1992","Couple + C. LE 16 ","(1b) general elementary school","91","0.504094445261001","0.435651828915439","0.572537061606563"
"Big worries","1992","Couple + C. LE 16 ","(1c) basic vocational qualification","53","0.46459382946958","0.379511469002948","0.549676189936212"
"Big worries","1992","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Big worries","1992","Couple + C. LE 16 ","(2a) intermediate vocational","5","","",""
"Big worries","1992","Couple + C. LE 16 ","(2c_gen) general maturity certificate","10","","",""
"Big worries","1992","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Big worries","1992","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Big worries","1992","Couple + C. LE 16 ","(3b) higher tertiary education","3","","",""
"Big worries","1992","Couple + C. GT 16 ","(0) in school","6","","",""
"Big worries","1992","Couple + C. GT 16 ","(1a) inadequately completed","51","0.367317404803831","0.288305274805893","0.446329534801769"
"Big worries","1992","Couple + C. GT 16 ","(1b) general elementary school","55","0.375873739817931","0.301518511876118","0.450228967759743"
"Big worries","1992","Couple + C. GT 16 ","(1c) basic vocational qualification","35","0.353830210903598","0.25916163732118","0.448498784486016"
"Big worries","1992","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"Big worries","1992","Couple + C. GT 16 ","(2a) intermediate vocational","3","","",""
"Big worries","1992","Couple + C. GT 16 ","(2c_gen) general maturity certificate","11","","",""
"Big worries","1992","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","11","","",""
"Big worries","1992","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"Big worries","1992","Couple + C. GT 16 ","(3b) higher tertiary education","5","","",""
"Big worries","1992","Couple + C. LE and GT 16","(0) in school","11","","",""
"Big worries","1992","Couple + C. LE and GT 16","(1a) inadequately completed","44","0.442029696124819","0.352423435599921","0.531635956649717"
"Big worries","1992","Couple + C. LE and GT 16","(1b) general elementary school","50","0.401085504575135","0.320187198097531","0.481983811052738"
"Big worries","1992","Couple + C. LE and GT 16","(1c) basic vocational qualification","22","","",""
"Big worries","1992","Couple + C. LE and GT 16","(2b) intermediate general qualification","15","","",""
"Big worries","1992","Couple + C. LE and GT 16","(2a) intermediate vocational","1","","",""
"Big worries","1992","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","10","","",""
"Big worries","1992","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"Big worries","1992","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Big worries","1992","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"Some worries","1992","1-pers.-HH","(0) in school","1","","",""
"Some worries","1992","1-pers.-HH","(1a) inadequately completed","13","","",""
"Some worries","1992","1-pers.-HH","(1b) general elementary school","15","","",""
"Some worries","1992","1-pers.-HH","(1c) basic vocational qualification","10","","",""
"Some worries","1992","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Some worries","1992","1-pers.-HH","(2a) intermediate vocational","","","",""
"Some worries","1992","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Some worries","1992","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"Some worries","1992","1-pers.-HH","(3a) lower tertiary education","","","",""
"Some worries","1992","1-pers.-HH","(3b) higher tertiary education","3","","",""
"Some worries","1992","(Married) couple without C. ","(0) in school","","","",""
"Some worries","1992","(Married) couple without C. ","(1a) inadequately completed","36","0.562758208290071","0.4430847407188","0.682431675861341"
"Some worries","1992","(Married) couple without C. ","(1b) general elementary school","39","0.418529689546079","0.32232099712287","0.514738381969287"
"Some worries","1992","(Married) couple without C. ","(1c) basic vocational qualification","30","0.34021672141917","0.22760797741458","0.452825465423759"
"Some worries","1992","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Some worries","1992","(Married) couple without C. ","(2a) intermediate vocational","1","","",""
"Some worries","1992","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Some worries","1992","(Married) couple without C. ","(2c_voc) vocational maturity certificate","10","","",""
"Some worries","1992","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Some worries","1992","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"Some worries","1992","Single parent ","(0) in school","1","","",""
"Some worries","1992","Single parent ","(1a) inadequately completed","8","","",""
"Some worries","1992","Single parent ","(1b) general elementary school","14","","",""
