"plj0047","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","lower secondary degree","1-pers.-HH","6","","",""
"Big worries","1992","lower secondary degree","(Married) couple without C. ","16","","",""
"Big worries","1992","lower secondary degree","Single parent ","13","","",""
"Big worries","1992","lower secondary degree","Couple + C. LE 16 ","74","0.598346251082023","0.519365832165487","0.677326669998559"
"Big worries","1992","lower secondary degree","Couple + C. GT 16 ","41","0.421333976197706","0.327335158500657","0.515332793894754"
"Big worries","1992","lower secondary degree","Couple + C. LE and GT 16","27","","",""
"Big worries","1992","secondary school degree","1-pers.-HH","8","","",""
"Big worries","1992","secondary school degree","(Married) couple without C. ","3","","",""
"Big worries","1992","secondary school degree","Single parent ","1","","",""
"Big worries","1992","secondary school degree","Couple + C. LE 16 ","6","","",""
"Big worries","1992","secondary school degree","Couple + C. GT 16 ","18","","",""
"Big worries","1992","secondary school degree","Couple + C. LE and GT 16","16","","",""
"Big worries","1992","college entrance qualification","1-pers.-HH","2","","",""
"Big worries","1992","college entrance qualification","(Married) couple without C. ","3","","",""
"Big worries","1992","college entrance qualification","Single parent ","4","","",""
"Big worries","1992","college entrance qualification","Couple + C. LE 16 ","4","","",""
"Big worries","1992","college entrance qualification","Couple + C. GT 16 ","12","","",""
"Big worries","1992","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"Big worries","1992","Other degree","1-pers.-HH","10","","",""
"Big worries","1992","Other degree","(Married) couple without C. ","56","0.408299568529516","0.332843409864065","0.483755727194968"
"Big worries","1992","Other degree","Single parent ","14","","",""
"Big worries","1992","Other degree","Couple + C. LE 16 ","90","0.410226955802627","0.347867301753308","0.472586609851946"
"Big worries","1992","Other degree","Couple + C. GT 16 ","64","0.383345648253621","0.312514387397675","0.454176909109567"
"Big worries","1992","Other degree","Couple + C. LE and GT 16","59","0.428428119216596","0.350524676032172","0.506331562401021"
"Big worries","1992","no degree/no degree yet","1-pers.-HH","10","","",""
"Big worries","1992","no degree/no degree yet","(Married) couple without C. ","15","","",""
"Big worries","1992","no degree/no degree yet","Single parent ","9","","",""
"Big worries","1992","no degree/no degree yet","Couple + C. LE 16 ","48","0.55134054535033","0.456659392745634","0.646021697955026"
"Big worries","1992","no degree/no degree yet","Couple + C. GT 16 ","57","0.380289204588604","0.304593527694885","0.455984881482323"
"Big worries","1992","no degree/no degree yet","Couple + C. LE and GT 16","55","0.46571597852662","0.382490709012286","0.548941248040955"
"Some worries","1992","lower secondary degree","1-pers.-HH","7","","",""
"Some worries","1992","lower secondary degree","(Married) couple without C. ","15","","",""
"Some worries","1992","lower secondary degree","Single parent ","9","","",""
"Some worries","1992","lower secondary degree","Couple + C. LE 16 ","58","0.305415290068597","0.231211646532439","0.379618933604755"
"Some worries","1992","lower secondary degree","Couple + C. GT 16 ","47","0.446523493167828","0.351885197432657","0.541161788903"
"Some worries","1992","lower secondary degree","Couple + C. LE and GT 16","41","0.422153463814863","0.313241401672618","0.531065525957108"
"Some worries","1992","secondary school degree","1-pers.-HH","2","","",""
"Some worries","1992","secondary school degree","(Married) couple without C. ","2","","",""
"Some worries","1992","secondary school degree","Single parent ","2","","",""
"Some worries","1992","secondary school degree","Couple + C. LE 16 ","4","","",""
"Some worries","1992","secondary school degree","Couple + C. GT 16 ","14","","",""
"Some worries","1992","secondary school degree","Couple + C. LE and GT 16","7","","",""
"Some worries","1992","college entrance qualification","1-pers.-HH","6","","",""
"Some worries","1992","college entrance qualification","(Married) couple without C. ","2","","",""
"Some worries","1992","college entrance qualification","Single parent ","1","","",""
"Some worries","1992","college entrance qualification","Couple + C. LE 16 ","7","","",""
"Some worries","1992","college entrance qualification","Couple + C. GT 16 ","13","","",""
"Some worries","1992","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Some worries","1992","Other degree","1-pers.-HH","21","","",""
"Some worries","1992","Other degree","(Married) couple without C. ","70","0.38718537374339","0.312406603038235","0.461964144448545"
"Some worries","1992","Other degree","Single parent ","10","","",""
"Some worries","1992","Other degree","Couple + C. LE 16 ","108","0.425027682985791","0.362354577177011","0.487700788794571"
"Some worries","1992","Other degree","Couple + C. GT 16 ","79","0.425236639547138","0.353214058666912","0.497259220427364"
"Some worries","1992","Other degree","Couple + C. LE and GT 16","79","0.446579373899242","0.368315878062154","0.524842869736329"
"Some worries","1992","no degree/no degree yet","1-pers.-HH","14","","",""
"Some worries","1992","no degree/no degree yet","(Married) couple without C. ","36","0.562758208290071","0.4430847407188","0.682431675861341"
"Some worries","1992","no degree/no degree yet","Single parent ","8","","",""
"Some worries","1992","no degree/no degree yet","Couple + C. LE 16 ","31","0.245183777844427","0.163287976417944","0.327079579270909"
"Some worries","1992","no degree/no degree yet","Couple + C. GT 16 ","66","0.418235729371704","0.341322041435561","0.495149417307848"
"Some worries","1992","no degree/no degree yet","Couple + C. LE and GT 16","56","0.370448227452287","0.289875505793364","0.451020949111211"
"No worries","1992","lower secondary degree","1-pers.-HH","5","","",""
"No worries","1992","lower secondary degree","(Married) couple without C. ","3","","",""
"No worries","1992","lower secondary degree","Single parent ","6","","",""
"No worries","1992","lower secondary degree","Couple + C. LE 16 ","16","","",""
"No worries","1992","lower secondary degree","Couple + C. GT 16 ","18","","",""
"No worries","1992","lower secondary degree","Couple + C. LE and GT 16","11","","",""
"No worries","1992","secondary school degree","1-pers.-HH","1","","",""
"No worries","1992","secondary school degree","(Married) couple without C. ","4","","",""
"No worries","1992","secondary school degree","Single parent ","1","","",""
"No worries","1992","secondary school degree","Couple + C. LE 16 ","2","","",""
"No worries","1992","secondary school degree","Couple + C. GT 16 ","10","","",""
"No worries","1992","secondary school degree","Couple + C. LE and GT 16","6","","",""
"No worries","1992","college entrance qualification","1-pers.-HH","1","","",""
"No worries","1992","college entrance qualification","(Married) couple without C. ","1","","",""
"No worries","1992","college entrance qualification","Single parent ","1","","",""
"No worries","1992","college entrance qualification","Couple + C. LE 16 ","","","",""
"No worries","1992","college entrance qualification","Couple + C. GT 16 ","3","","",""
"No worries","1992","college entrance qualification","Couple + C. LE and GT 16","","","",""
"No worries","1992","Other degree","1-pers.-HH","16","","",""
