"plj0047","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Not Employed","West Germany","281","0.456825376443045","0.419134895663329","0.494515857222761","1"
"Big worries","1992","Not Employed","East Germany","","","","","1"
"Big worries","1992","Employed","West Germany","584","0.408911261386664","0.384700336484609","0.43312218628872","1"
"Big worries","1992","Employed","East Germany","","","","","1"
"No worries","1992","Not Employed","West Germany","111","0.164375609290141","0.136333474485551","0.192417744094731","3"
"No worries","1992","Not Employed","East Germany","","","","","3"
"No worries","1992","Employed","West Germany","307","0.189787818284584","0.170476849875531","0.209098786693637","3"
"No worries","1992","Employed","East Germany","","","","","3"
"Some worries","1992","Not Employed","West Germany","279","0.378799014266814","0.342095527862977","0.415502500670651","2"
"Some worries","1992","Not Employed","East Germany","","","","","2"
"Some worries","1992","Employed","West Germany","693","0.401300920328752","0.377162442750451","0.425439397907053","2"
"Some worries","1992","Employed","East Germany","","","","","2"
"Big worries","1993","Not Employed","West Germany","350","0.527317386777911","0.489792923063408","0.564841850492413","1"
"Big worries","1993","Not Employed","East Germany","","","","","1"
"Big worries","1993","Employed","West Germany","688","0.485933355914888","0.460832056302876","0.5110346555269","1"
"Big worries","1993","Employed","East Germany","","","","","1"
"No worries","1993","Not Employed","West Germany","72","0.102780131329509","0.0799558211878245","0.125604441471194","3"
"No worries","1993","Not Employed","East Germany","","","","","3"
"No worries","1993","Employed","West Germany","182","0.112116523136213","0.0962708410992948","0.127962205173132","3"
"No worries","1993","Employed","East Germany","","","","","3"
"Some worries","1993","Not Employed","West Germany","258","0.36990248189258","0.33361631098308","0.40618865280208","2"
"Some worries","1993","Not Employed","East Germany","","","","","2"
"Some worries","1993","Employed","West Germany","653","0.401950120948899","0.377326442874499","0.426573799023298","2"
"Some worries","1993","Employed","East Germany","","","","","2"
"Big worries","1994","Not Employed","West Germany","340","0.495867837168317","0.458561834365237","0.533173839971398","1"
"Big worries","1994","Not Employed","East Germany","","","","","1"
"Big worries","1994","Employed","West Germany","626","0.476978593462854","0.451073022792753","0.502884164132955","1"
"Big worries","1994","Employed","East Germany","","","","","1"
"No worries","1994","Not Employed","West Germany","75","0.0990110391353839","0.0767254002033913","0.121296678067376","3"
"No worries","1994","Not Employed","East Germany","","","","","3"
"No worries","1994","Employed","West Germany","170","0.105200412421201","0.0892872829550619","0.121113541887341","3"
"No worries","1994","Employed","East Germany","","","","","3"
"Some worries","1994","Not Employed","West Germany","275","0.405121123696299","0.368491684985594","0.441750562407004","2"
"Some worries","1994","Not Employed","East Germany","","","","","2"
"Some worries","1994","Employed","West Germany","632","0.417820994115945","0.392240590866752","0.443401397365138","2"
"Some worries","1994","Employed","East Germany","","","","","2"
"Big worries","1995","Not Employed","West Germany","314","0.497934407516513","0.460518840471113","0.535349974561912","1"
"Big worries","1995","Not Employed","East Germany","","","","","1"
"Big worries","1995","Employed","West Germany","486","0.428074444542003","0.400957408333437","0.45519148075057","1"
"Big worries","1995","Employed","East Germany","","","","","1"
"No worries","1995","Not Employed","West Germany","79","0.109102034189235","0.085771942756937","0.132432125621532","3"
"No worries","1995","Not Employed","East Germany","","","","","3"
"No worries","1995","Employed","West Germany","186","0.142849886113552","0.123672862120544","0.16202691010656","3"
"No worries","1995","Employed","East Germany","","","","","3"
"Some worries","1995","Not Employed","West Germany","293","0.392963558294253","0.356415058619758","0.429512057968748","2"
"Some worries","1995","Not Employed","East Germany","","","","","2"
"Some worries","1995","Employed","West Germany","607","0.429075669344445","0.401950713567639","0.456200625121251","2"
"Some worries","1995","Employed","East Germany","","","","","2"
"Big worries","1996","Not Employed","West Germany","1105","0.334667599067092","0.318555706685029","0.350779491449156","1"
"Big worries","1996","Not Employed","East Germany","371","0.294035784586786","0.269056839003005","0.319014730170567","1"
"Big worries","1996","Employed","West Germany","1779","0.283951355011949","0.272539976877293","0.295362733146604","1"
"Big worries","1996","Employed","East Germany","608","0.249450186695357","0.232026211749012","0.266874161641702","1"
"No worries","1996","Not Employed","West Germany","550","0.173683127521535","0.16074794660448","0.18661830843859","3"
"No worries","1996","Not Employed","East Germany","259","0.211804215784882","0.18940323580078","0.234205195768983","3"
"No worries","1996","Employed","West Germany","921","0.159976198265484","0.150698967872095","0.169253428658873","3"
"No worries","1996","Employed","East Germany","470","0.207399509646958","0.191072878109254","0.223726141184663","3"
"Some worries","1996","Not Employed","West Germany","1640","0.491649273411373","0.474579419405985","0.508719127416761","2"
"Some worries","1996","Not Employed","East Germany","648","0.494159999628332","0.466749115569876","0.521570883686788","2"
"Some worries","1996","Employed","West Germany","3298","0.556072446722567","0.543498645246259","0.568646248198875","2"
"Some worries","1996","Employed","East Germany","1291","0.543150303657685","0.523091166668802","0.563209440646568","2"
"Big worries","1997","Not Employed","West Germany","1106","0.329298194560178","0.31343363106333","0.345162758057026","1"
"Big worries","1997","Not Employed","East Germany","385","0.278559611642355","0.254302422558708","0.302816800726002","1"
"Big worries","1997","Employed","West Germany","1800","0.30700171186765","0.295127073782192","0.318876349953108","1"
