"plj0589","year","e11103","n","percent","lower_confidence","upper_confidence"
"Very often","2019","Full Time","","","",""
"Very often","2019","Part Time","","","",""
"Very often","2019","Not Working","8","","",""
"Often","2019","Full Time","","","",""
"Often","2019","Part Time","","","",""
"Often","2019","Not Working","21","","",""
"Sometimes","2019","Full Time","","","",""
"Sometimes","2019","Part Time","","","",""
"Sometimes","2019","Not Working","61","0.196818161866457","0.14991165680467","0.243724666928243"
"Rarely ","2019","Full Time","","","",""
"Rarely ","2019","Part Time","","","",""
"Rarely ","2019","Not Working","52","0.195840947366719","0.149022578573504","0.242659316159934"
"Never","2019","Full Time","","","",""
"Never","2019","Part Time","","","",""
"Never","2019","Not Working","134","0.509951185479008","0.450974885261197","0.568927485696819"
