"plj0589","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","16-34 y.","Employed","2275","0.581012421049141","0.565767949024982","0.5962568930733","5"
"Never","2013","35-65 y.","Employed","7400","0.57987718611182","0.571153761928839","0.5886006102948","5"
"Never","2013","66 and older","Not Employed","2781","0.587485821022885","0.573180149209524","0.601791492836246","5"
"Never","2013","66 and older","Employed","286","0.61060004237604","0.564830010867656","0.656370073884424","5"
"Never","2013","35-65 y.","Not Employed","1213","0.450891595145828","0.431834993426053","0.469948196865603","5"
"Never","2013","16-34 y.","Not Employed","830","0.494493982784033","0.470132568194729","0.518855397373337","5"
"Often","2013","16-34 y.","Employed","119","0.0325002531172905","0.0270214220881425","0.0379790841464386","2"
"Often","2013","16-34 y.","Not Employed","85","0.0590059467383581","0.0475244062069904","0.0704874872697259","2"
"Often","2013","35-65 y.","Not Employed","193","0.0791754166847937","0.068834382513736","0.0895164508558513","2"
"Often","2013","35-65 y.","Employed","363","0.0320340739048441","0.0289218777046534","0.0351462701050347","2"
"Often","2013","66 and older","Not Employed","156","0.0410228808797947","0.0352591018425081","0.0467866599170813","2"
"Often","2013","66 and older","Employed","6","","","","2"
"Rarely ","2013","16-34 y.","Employed","1164","0.288481336084771","0.274483170912694","0.302479501256849","4"
"Rarely ","2013","16-34 y.","Not Employed","463","0.285393175391543","0.263388538628927","0.307397812154158","4"
"Rarely ","2013","35-65 y.","Not Employed","679","0.262740710890684","0.245884725208376","0.279596696572992","4"
"Rarely ","2013","35-65 y.","Employed","3396","0.291740234225614","0.283706355047957","0.299774113403272","4"
"Rarely ","2013","66 and older","Not Employed","1157","0.260799763664598","0.248040524800282","0.273559002528915","4"
"Rarely ","2013","66 and older","Employed","112","0.301312372912223","0.258244357930316","0.344380387894131","4"
"Sometimes","2013","16-34 y.","Employed","431","0.092192554126299","0.0832540694750254","0.101131038777573","3"
"Sometimes","2013","35-65 y.","Not Employed","427","0.171895514051906","0.157445935443755","0.186345092660056","3"
"Sometimes","2013","66 and older","Employed","29","","","","3"
"Sometimes","2013","66 and older","Not Employed","416","0.101378953427319","0.0926078886717936","0.110150018182845","3"
"Sometimes","2013","16-34 y.","Not Employed","214","0.148570512060332","0.131240475214256","0.165900548906407","3"
"Sometimes","2013","35-65 y.","Employed","1061","0.0878743442488431","0.0828706676650434","0.0928780208326428","3"
"Very often","2013","16-34 y.","Not Employed","26","","","","1"
"Very often","2013","16-34 y.","Employed","35","0.00581343562249819","0.00346450881927326","0.00816236242572313","1"
"Very often","2013","35-65 y.","Not Employed","107","0.0352967632267888","0.028229607674828","0.0423639187787496","1"
"Very often","2013","35-65 y.","Employed","78","0.00847416150887883","0.00685410100912151","0.0100942220086362","1"
"Very often","2013","66 and older","Not Employed","39","0.00931258100540286","0.00652136479776056","0.0121037972130452","1"
"Very often","2013","66 and older","Employed","3","","","","1"
"Never","2014","16-34 y.","Employed","","","","","5"
"Never","2014","66 and older","Employed","","","","","5"
"Never","2014","35-65 y.","Not Employed","","","","","5"
"Never","2014","16-34 y.","Not Employed","","","","","5"
"Never","2014","66 and older","Not Employed","","","","","5"
"Never","2014","35-65 y.","Employed","","","","","5"
"Often","2014","16-34 y.","Employed","","","","","2"
"Often","2014","35-65 y.","Not Employed","","","","","2"
"Often","2014","35-65 y.","Employed","","","","","2"
"Often","2014","16-34 y.","Not Employed","","","","","2"
"Often","2014","66 and older","Not Employed","","","","","2"
"Often","2014","66 and older","Employed","","","","","2"
"Rarely ","2014","16-34 y.","Employed","","","","","4"
"Rarely ","2014","66 and older","Not Employed","","","","","4"
"Rarely ","2014","66 and older","Employed","","","","","4"
"Rarely ","2014","16-34 y.","Not Employed","","","","","4"
"Rarely ","2014","35-65 y.","Not Employed","","","","","4"
"Rarely ","2014","35-65 y.","Employed","","","","","4"
"Sometimes","2014","16-34 y.","Employed","","","","","3"
"Sometimes","2014","35-65 y.","Not Employed","","","","","3"
"Sometimes","2014","16-34 y.","Not Employed","","","","","3"
"Sometimes","2014","35-65 y.","Employed","","","","","3"
"Sometimes","2014","66 and older","Not Employed","","","","","3"
"Sometimes","2014","66 and older","Employed","","","","","3"
"Very often","2014","35-65 y.","Not Employed","","","","","1"
"Very often","2014","16-34 y.","Not Employed","","","","","1"
"Very often","2014","16-34 y.","Employed","","","","","1"
"Very often","2014","35-65 y.","Employed","","","","","1"
"Very often","2014","66 and older","Not Employed","","","","","1"
"Very often","2014","66 and older","Employed","","","","","1"
"Never","2015","16-34 y.","Employed","","","","","5"
"Never","2015","35-65 y.","Not Employed","","","","","5"
"Never","2015","66 and older","Not Employed","","","","","5"
"Never","2015","66 and older","Employed","","","","","5"
"Never","2015","16-34 y.","Not Employed","","","","","5"
"Never","2015","35-65 y.","Employed","","","","","5"
"Often","2015","35-65 y.","Employed","","","","","2"
"Often","2015","16-34 y.","Not Employed","","","","","2"
"Often","2015","35-65 y.","Not Employed","","","","","2"
"Often","2015","16-34 y.","Employed","","","","","2"
"Often","2015","66 and older","Not Employed","","","","","2"
"Often","2015","66 and older","Employed","","","","","2"
"Rarely ","2015","16-34 y.","Employed","","","","","4"
"Rarely ","2015","35-65 y.","Not Employed","","","","","4"
"Rarely ","2015","16-34 y.","Not Employed","","","","","4"
"Rarely ","2015","66 and older","Not Employed","","","","","4"
"Rarely ","2015","35-65 y.","Employed","","","","","4"
"Rarely ","2015","66 and older","Employed","","","","","4"
"Sometimes","2015","35-65 y.","Not Employed","","","","","3"
"Sometimes","2015","35-65 y.","Employed","","","","","3"
"Sometimes","2015","16-34 y.","Not Employed","","","","","3"
"Sometimes","2015","16-34 y.","Employed","","","","","3"
"Sometimes","2015","66 and older","Not Employed","","","","","3"
"Sometimes","2015","66 and older","Employed","","","","","3"
"Very often","2015","16-34 y.","Not Employed","","","","","1"
"Very often","2015","16-34 y.","Employed","","","","","1"
"Very often","2015","35-65 y.","Not Employed","","","","","1"
"Very often","2015","35-65 y.","Employed","","","","","1"
"Very often","2015","66 and older","Not Employed","","","","","1"
"Very often","2015","66 and older","Employed","","","","","1"
"Never","2016","16-34 y.","Not Employed","941","0.330010591592852","0.311264632122413","0.348756551063291","5"
"Never","2016","16-34 y.","Employed","","","","","5"
"Never","2016","35-65 y.","Not Employed","699","0.326388061328619","0.304702685911374","0.348073436745864","5"
"Never","2016","35-65 y.","Employed","","","","","5"
"Never","2016","66 and older","Not Employed","7","","","","5"
"Never","2016","66 and older","Employed","","","","","5"
"Often","2016","16-34 y.","Not Employed","322","0.175212458490975","0.160057201552723","0.190367715429227","2"
"Often","2016","16-34 y.","Employed","","","","","2"
"Often","2016","35-65 y.","Not Employed","249","0.171364437076261","0.153936858149221","0.188792016003301","2"
"Often","2016","35-65 y.","Employed","","","","","2"
"Often","2016","66 and older","Not Employed","1","","","","2"
"Often","2016","66 and older","Employed","","","","","2"
"Rarely ","2016","16-34 y.","Not Employed","423","0.183676643917626","0.168239468302508","0.199113819532744","4"
"Rarely ","2016","16-34 y.","Employed","","","","","4"
"Rarely ","2016","35-65 y.","Not Employed","317","0.151585881643046","0.13500039399049","0.168171369295602","4"
"Rarely ","2016","35-65 y.","Employed","","","","","4"
"Rarely ","2016","66 and older","Not Employed","4","","","","4"
"Rarely ","2016","66 and older","Employed","","","","","4"
"Sometimes","2016","16-34 y.","Not Employed","558","0.226751969672006","0.210058573083189","0.243445366260824","3"
"Sometimes","2016","16-34 y.","Employed","","","","","3"
"Sometimes","2016","35-65 y.","Not Employed","395","0.245162702159943","0.22526747967175","0.265057924648136","3"
"Sometimes","2016","35-65 y.","Employed","","","","","3"
"Sometimes","2016","66 and older","Not Employed","10","","","","3"
"Sometimes","2016","66 and older","Employed","","","","","3"
"Very often","2016","16-34 y.","Not Employed","173","0.084348336326541","0.0732690146776935","0.0954276579753884","1"
"Very often","2016","16-34 y.","Employed","","","","","1"
"Very often","2016","35-65 y.","Not Employed","136","0.10549891779213","0.0912916893928821","0.119706146191378","1"
"Very often","2016","35-65 y.","Employed","","","","","1"
"Very often","2016","66 and older","Not Employed","3","","","","1"
"Very often","2016","66 and older","Employed","","","","","1"
"Never","2017","16-34 y.","Not Employed","1558","0.451366229337042","0.435069850954729","0.467662607719355","5"
"Never","2017","16-34 y.","Employed","2630","0.589867352443085","0.575474137631054","0.604260567255116","5"
"Never","2017","35-65 y.","Not Employed","1406","0.416416136222076","0.399848513827185","0.432983758616967","5"
"Never","2017","35-65 y.","Employed","7908","0.610758868479248","0.602361548670597","0.6191561882879","5"
"Never","2017","66 and older","Not Employed","2669","0.584673702646425","0.570193708588323","0.599153696704528","5"
"Never","2017","66 and older","Employed","394","0.656451512516242","0.618452893537886","0.694450131494598","5"
"Often","2017","16-34 y.","Not Employed","339","0.0694750748875379","0.0611485493689524","0.0778016004061235","2"
"Often","2017","35-65 y.","Not Employed","380","0.11026505425123","0.0997383106003519","0.120791797902107","2"
"Often","2017","16-34 y.","Employed","173","0.038739746049317","0.0330927519504633","0.0443867401481708","2"
"Often","2017","66 and older","Employed","7","","","","2"
"Often","2017","35-65 y.","Employed","337","0.0235900453197954","0.0209762177997206","0.0262038728398703","2"
