"plj0589","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","West Germany","95","0.0151937696751597","0.0120549017538095","0.0183326375965099"
"Very often","2013","lower secondary degree","East Germany","","","",""
"Very often","2013","secondary school degree","West Germany","43","0.00690469801845357","0.0046591915255552","0.00915020451135194"
"Very often","2013","secondary school degree","East Germany","41","0.0158736327564242","0.0111256660646658","0.0206215994481827"
"Very often","2013","college entrance qualification","West Germany","","","",""
"Very often","2013","college entrance qualification","East Germany","","","",""
"Very often","2013","Other degree","West Germany","","","",""
"Very often","2013","Other degree","East Germany","","","",""
"Very often","2013","no degree/no degree yet","West Germany","","","",""
"Very often","2013","no degree/no degree yet","East Germany","","","",""
"Often","2013","lower secondary degree","West Germany","229","0.0423945892720921","0.0372243172833212","0.0475648612608631"
"Often","2013","lower secondary degree","East Germany","80","0.0666997307043161","0.0530526954027162","0.0803467660059159"
"Often","2013","secondary school degree","West Germany","171","0.0384319927721782","0.0332190499484315","0.0436449355959249"
"Often","2013","secondary school degree","East Germany","121","0.0462189185526652","0.0382430441382019","0.0541947929671286"
"Often","2013","college entrance qualification","West Germany","114","0.0243851409246792","0.020473875220725","0.0282964066286335"
"Often","2013","college entrance qualification","East Germany","31","0.0216629525215823","0.0140910155096536","0.029234889533511"
"Often","2013","Other degree","West Germany","79","0.0540118621312206","0.0424762803781698","0.0655474438842715"
"Often","2013","Other degree","East Germany","","","",""
"Often","2013","no degree/no degree yet","West Germany","53","0.0709408627559867","0.0519362513237478","0.0899454741882256"
"Often","2013","no degree/no degree yet","East Germany","","","",""
"Sometimes","2013","lower secondary degree","West Germany","621","0.0979174809417568","0.0902911064366397","0.105543855446874"
"Sometimes","2013","lower secondary degree","East Germany","182","0.150647387429754","0.131081912478061","0.170212862381446"
"Sometimes","2013","secondary school degree","West Germany","455","0.0921396338635918","0.0842966869328704","0.0999825807943132"
"Sometimes","2013","secondary school degree","East Germany","337","0.13189255309287","0.119038474709081","0.144746631476659"
"Sometimes","2013","college entrance qualification","West Germany","402","0.0751280750157793","0.0684437522780891","0.0818123977534695"
"Sometimes","2013","college entrance qualification","East Germany","130","0.10161342110683","0.0858985405959628","0.117328301617698"
"Sometimes","2013","Other degree","West Germany","234","0.162537886760201","0.143709549467984","0.181366224052417"
"Sometimes","2013","Other degree","East Germany","30","0.216440188903422","0.145097719973152","0.287782657833691"
"Sometimes","2013","no degree/no degree yet","West Germany","88","0.130451427145148","0.105519237441207","0.15538361684909"
"Sometimes","2013","no degree/no degree yet","East Germany","","","",""
"Rarely ","2013","lower secondary degree","West Germany","1596","0.278956507583347","0.267448136475653","0.290464878691041"
"Rarely ","2013","lower secondary degree","East Germany","371","0.294080319503408","0.269158703224198","0.319001935782618"
"Rarely ","2013","secondary school degree","West Germany","1395","0.291579811985254","0.279255272597182","0.303904351373325"
