"plj0589","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","West Germany","117","0.0149807953087645","0.0120556669135998","0.0179059237039293"
"Very often","2013","Not Employed","East Germany","55","0.0208936447835468","0.0148632916374264","0.0269239979296672"
"Very often","2013","Employed","West Germany","89","0.00709360222645616","0.00566131629104468","0.00852588816186764"
"Very often","2013","Employed","East Germany","27","","",""
"Often","2013","Not Employed","West Germany","305","0.0476679585889953","0.0425374239435127","0.0527984932344779"
"Often","2013","Not Employed","East Germany","129","0.0723390977606663","0.0614171051609142","0.0832610903604185"
"Often","2013","Employed","West Germany","366","0.0316005308717298","0.0286150340200853","0.0345860277233744"
"Often","2013","Employed","East Germany","122","0.0309580862609897","0.0252756686060063","0.036640503915973"
"Sometimes","2013","Not Employed","West Germany","737","0.115064340044241","0.107380445900909","0.122748234187574"
"Sometimes","2013","Not Employed","East Germany","320","0.161802428278796","0.146275468632958","0.177329387924634"
"Sometimes","2013","Employed","West Germany","1129","0.0831221635846127","0.0784106948474627","0.0878336323217627"
"Sometimes","2013","Employed","East Germany","392","0.111950341940206","0.101605921709996","0.122294762170416"
"Rarely ","2013","Not Employed","West Germany","1682","0.261070219257013","0.250493879306214","0.271646559207813"
"Rarely ","2013","Not Employed","East Germany","617","0.276387271752815","0.257531998711377","0.295242544794252"
"Rarely ","2013","Employed","West Germany","3589","0.284090693931878","0.276394080672571","0.291787307191184"
"Rarely ","2013","Employed","East Germany","1083","0.32257251852025","0.307236242899902","0.337908794140599"
"Never","2013","Not Employed","West Germany","3784","0.561216686800986","0.549267303587817","0.573166070014155"
"Never","2013","Not Employed","East Germany","1040","0.468577557424176","0.447538252144082","0.489616862704271"
"Never","2013","Employed","West Germany","8016","0.594093009385324","0.585712264061683","0.602473754708964"
"Never","2013","Employed","East Germany","1945","0.524923295171408","0.508539873542592","0.541306716800224"
"Very often","2014","Not Employed","West Germany","","","",""
"Very often","2014","Not Employed","East Germany","","","",""
"Very often","2014","Employed","West Germany","","","",""
"Very often","2014","Employed","East Germany","","","",""
"Often","2014","Not Employed","West Germany","","","",""
"Often","2014","Not Employed","East Germany","","","",""
"Often","2014","Employed","West Germany","","","",""
"Often","2014","Employed","East Germany","","","",""
"Sometimes","2014","Not Employed","West Germany","","","",""
"Sometimes","2014","Not Employed","East Germany","","","",""
"Sometimes","2014","Employed","West Germany","","","",""
"Sometimes","2014","Employed","East Germany","","","",""
"Rarely ","2014","Not Employed","West Germany","","","",""
"Rarely ","2014","Not Employed","East Germany","","","",""
"Rarely ","2014","Employed","West Germany","","","",""
"Rarely ","2014","Employed","East Germany","","","",""
"Never","2014","Not Employed","West Germany","","","",""
"Never","2014","Not Employed","East Germany","","","",""
"Never","2014","Employed","West Germany","","","",""
"Never","2014","Employed","East Germany","","","",""
"Very often","2015","Not Employed","West Germany","","","",""
"Very often","2015","Not Employed","East Germany","","","",""
"Very often","2015","Employed","West Germany","","","",""
"Very often","2015","Employed","East Germany","","","",""
"Often","2015","Not Employed","West Germany","","","",""
"Often","2015","Not Employed","East Germany","","","",""
"Often","2015","Employed","West Germany","","","",""
"Often","2015","Employed","East Germany","","","",""
"Sometimes","2015","Not Employed","West Germany","","","",""
"Sometimes","2015","Not Employed","East Germany","","","",""
"Sometimes","2015","Employed","West Germany","","","",""
"Sometimes","2015","Employed","East Germany","","","",""
"Rarely ","2015","Not Employed","West Germany","","","",""
"Rarely ","2015","Not Employed","East Germany","","","",""
"Rarely ","2015","Employed","West Germany","","","",""
"Rarely ","2015","Employed","East Germany","","","",""
"Never","2015","Not Employed","West Germany","","","",""
"Never","2015","Not Employed","East Germany","","","",""
"Never","2015","Employed","West Germany","","","",""
"Never","2015","Employed","East Germany","","","",""
"Very often","2016","Not Employed","West Germany","255","0.0892239195941198","0.0797811695737044","0.0986666696145351"
"Very often","2016","Not Employed","East Germany","57","0.0940118639415729","0.0729417475779032","0.115081980305243"
"Very often","2016","Employed","West Germany","","","",""
"Very often","2016","Employed","East Germany","","","",""
"Often","2016","Not Employed","West Germany","441","0.165300381592773","0.152996162061603","0.177604601123944"
"Often","2016","Not Employed","East Germany","131","0.209641856765848","0.180254176103091","0.239029537428605"
"Often","2016","Employed","West Germany","","","",""
"Often","2016","Employed","East Germany","","","",""
"Sometimes","2016","Not Employed","West Germany","759","0.22135303098466","0.207601056087937","0.235105005881383"
"Sometimes","2016","Not Employed","East Germany","204","0.290697012732123","0.257913874421041","0.323480151043204"
"Sometimes","2016","Employed","West Germany","","","",""
"Sometimes","2016","Employed","East Germany","","","",""
"Rarely ","2016","Not Employed","West Germany","638","0.187661052601929","0.174727800368705","0.200594304835153"
"Rarely ","2016","Not Employed","East Germany","106","0.11909114688499","0.0957071053765479","0.142475188393432"
"Rarely ","2016","Employed","West Germany","","","",""
"Rarely ","2016","Employed","East Germany","","","",""
"Never","2016","Not Employed","West Germany","1408","0.336461615226518","0.320810228444121","0.352113002008915"
"Never","2016","Not Employed","East Germany","239","0.286558119675467","0.25391437244836","0.319201866902573"
"Never","2016","Employed","West Germany","","","",""
"Never","2016","Employed","East Germany","","","",""
"Very often","2017","Not Employed","West Germany","310","0.020850517403961","0.0179209369339364","0.0237800978739857"
