"plj0589","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Couple + C. GT 16 ","East Germany","289","0.4943187812225","0.452946580016602","0.535690982428399","5"
"Never","2013","(Married) couple without C. ","West Germany","3594","0.618490565838832","0.605809865074827","0.631171266602837","5"
"Never","2013","(Married) couple without C. ","East Germany","1095","0.517373469440172","0.495468161275237","0.539278777605107","5"
"Never","2013","Couple + C. GT 16 ","West Germany","1346","0.57492289172567","0.554358765394617","0.595487018056723","5"
"Never","2013","1-pers.-HH","East Germany","408","0.456190203855719","0.423595400868943","0.488785006842495","5"
"Never","2013","Single parent ","West Germany","1069","0.528505646488661","0.506838458967402","0.55017283400992","5"
"Never","2013","Single parent ","East Germany","276","0.476144845526633","0.435036337407233","0.517253353646033","5"
"Never","2013","Couple + C. LE 16 ","West Germany","3130","0.618707258440677","0.60546638302041","0.631948133860943","5"
"Never","2013","Couple + C. LE 16 ","East Germany","714","0.569635321060767","0.542813081734057","0.596457560387477","5"
"Never","2013","1-pers.-HH","West Germany","1446","0.52521924573148","0.506320387242302","0.544118104220658","5"
"Never","2013","Couple + C. LE and GT 16","West Germany","1026","0.600903831423885","0.577814174089741","0.623993488758029","5"
"Never","2013","Couple + C. LE and GT 16","East Germany","155","0.543356065702982","0.485927195030113","0.600784936375851","5"
"Often","2013","(Married) couple without C. ","West Germany","116","0.0228710502117503","0.0189685488117624","0.0267735516117382","2"
"Often","2013","Single parent ","West Germany","124","0.0597156867227505","0.0494304737469048","0.0700008996985962","2"
"Often","2013","Single parent ","East Germany","38","0.0563384756300899","0.0373597419504664","0.0753172093097134","2"
"Often","2013","(Married) couple without C. ","East Germany","61","0.0466266192927506","0.0373841041950273","0.0558691343904738","2"
"Often","2013","1-pers.-HH","East Germany","63","0.0612696154500228","0.0455752094081699","0.0769640214918757","2"
"Often","2013","Couple + C. LE 16 ","East Germany","54","0.0318998958217573","0.022379981636991","0.0414198100065236","2"
"Often","2013","1-pers.-HH","West Germany","147","0.0611991271971182","0.0521276490059365","0.0702706053882998","2"
"Often","2013","Couple + C. LE 16 ","West Germany","132","0.0268441090693561","0.0224379463632866","0.0312502717754255","2"
"Often","2013","Couple + C. GT 16 ","West Germany","67","0.0312873938982912","0.0240454730403864","0.0385293147561959","2"
"Often","2013","Couple + C. GT 16 ","East Germany","21","","","","2"
"Often","2013","Couple + C. LE and GT 16","West Germany","62","0.0417312343846702","0.0323025629085669","0.0511599058607735","2"
"Often","2013","Couple + C. LE and GT 16","East Germany","9","","","","2"
"Rarely ","2013","(Married) couple without C. ","West Germany","1473","0.273662263842863","0.262023661354306","0.28530086633142","4"
"Rarely ","2013","1-pers.-HH","East Germany","266","0.290367880874811","0.260661975787319","0.320073785962303","4"
