"plj0589","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","Urban Area","57","0.0203107926679143","0.0147137221820745","0.0259078631537542"
"Very often","2013","1-pers.-HH","Rural Area","24","","",""
"Very often","2013","(Married) couple without C. ","Urban Area","33","0.0064090543993359","0.00415624025899184","0.00866186853967997"
"Very often","2013","(Married) couple without C. ","Rural Area","20","","",""
"Very often","2013","Single parent ","Urban Area","45","0.0254508080629315","0.0179400125704695","0.0329616035553934"
"Very often","2013","Single parent ","Rural Area","26","","",""
"Very often","2013","Couple + C. LE 16 ","Urban Area","25","","",""
"Very often","2013","Couple + C. LE 16 ","Rural Area","21","","",""
"Very often","2013","Couple + C. GT 16 ","Urban Area","5","","",""
"Very often","2013","Couple + C. GT 16 ","Rural Area","9","","",""
"Very often","2013","Couple + C. LE and GT 16","Urban Area","8","","",""
"Very often","2013","Couple + C. LE and GT 16","Rural Area","5","","",""
"Often","2013","1-pers.-HH","Urban Area","132","0.0588184636405719","0.0494827673354206","0.0681541599457232"
"Often","2013","1-pers.-HH","Rural Area","78","0.0669114582079511","0.0524004394177464","0.0814224769981557"
"Often","2013","(Married) couple without C. ","Urban Area","99","0.0236135618395581","0.0193269299411804","0.0279001937379358"
"Often","2013","(Married) couple without C. ","Rural Area","78","0.0356312240783767","0.0287847225851048","0.0424777255716485"
"Often","2013","Single parent ","Urban Area","111","0.0634912572637221","0.0518621561190919","0.0751203584083523"
"Often","2013","Single parent ","Rural Area","51","0.0517293318032226","0.0373943212802213","0.0660643423262239"
"Often","2013","Couple + C. LE 16 ","Urban Area","122","0.0272539717273872","0.0223250481138489","0.0321828953409256"
"Often","2013","Couple + C. LE 16 ","Rural Area","64","0.0288632289406688","0.0220000924763967","0.0357263654049408"
"Often","2013","Couple + C. GT 16 ","Urban Area","54","0.0315428726706139","0.0234165287515218","0.0396692165897059"
"Often","2013","Couple + C. GT 16 ","Rural Area","34","0.0346815218912506","0.0233636280038769","0.0459994157786243"
"Often","2013","Couple + C. LE and GT 16","Urban Area","45","0.0467723251107175","0.0349721531418169","0.0585724970796181"
"Often","2013","Couple + C. LE and GT 16","Rural Area","26","","",""
"Sometimes","2013","1-pers.-HH","Urban Area","299","0.126056979734095","0.112887209877509","0.139226749590681"
"Sometimes","2013","1-pers.-HH","Rural Area","161","0.145845130355717","0.125347648716191","0.166342611995242"
"Sometimes","2013","(Married) couple without C. ","Urban Area","386","0.0837902876084041","0.0759682687604661","0.0916123064563421"
"Sometimes","2013","(Married) couple without C. ","Rural Area","255","0.0873964774888273","0.0769656250766326","0.097827329901022"
"Sometimes","2013","Single parent ","Urban Area","232","0.144474675974148","0.127708054277786","0.16124129767051"
"Sometimes","2013","Single parent ","Rural Area","115","0.123637531615025","0.102332583979023","0.144942479251028"
"Sometimes","2013","Couple + C. LE 16 ","Urban Area","375","0.083975715702233","0.0755798051208851","0.0923716262835808"
"Sometimes","2013","Couple + C. LE 16 ","Rural Area","239","0.0868347078227692","0.0752913714858438","0.0983780441596945"
"Sometimes","2013","Couple + C. GT 16 ","Urban Area","162","0.0923617415490642","0.0788998269638639","0.105823656134264"
"Sometimes","2013","Couple + C. GT 16 ","Rural Area","102","0.0979278966884015","0.0795432590555917","0.116312534321211"
"Sometimes","2013","Couple + C. LE and GT 16","Urban Area","114","0.0849876501201245","0.069403363612961","0.100571936627288"
