"plj0589","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Urban Area","West Germany","146","0.00963805635780271","0.0080390504232181","0.0112370622923873"
"Very often","2013","Urban Area","East Germany","30","0.0140881476677201","0.00899139143414713","0.0191849039012931"
"Very often","2013","Rural Area","West Germany","60","0.0113850062367078","0.0085742990778672","0.0141957133955485"
"Very often","2013","Rural Area","East Germany","52","0.0142181718884519","0.0103910470942611","0.0180452966826426"
"Often","2013","Urban Area","West Germany","501","0.0380436963041518","0.0349127371738048","0.0411746554344988"
"Often","2013","Urban Area","East Germany","77","0.0365851548662497","0.0284660717516481","0.0447042379808514"
"Often","2013","Rural Area","West Germany","170","0.0367028916733097","0.0317213285682856","0.0416844547783338"
"Often","2013","Rural Area","East Germany","174","0.0538567326659154","0.0465594899356148","0.061153975396216"
"Sometimes","2013","Urban Area","West Germany","1338","0.0948479338511962","0.0900524428094947","0.0996434248928977"
"Sometimes","2013","Urban Area","East Germany","268","0.150411753684185","0.134952340435344","0.165871166933026"
"Sometimes","2013","Rural Area","West Germany","528","0.0963958172663098","0.0885767746873607","0.104214859845259"
"Sometimes","2013","Rural Area","East Germany","444","0.122073129318033","0.111490354642826","0.132655903993241"
"Rarely ","2013","Urban Area","West Germany","3731","0.269559889309235","0.262297520258667","0.276822258359803"
"Rarely ","2013","Urban Area","East Germany","605","0.291826462853699","0.272166619457973","0.311486306249426"
"Rarely ","2013","Rural Area","West Germany","1540","0.292092681041315","0.28004554247353","0.3041398196091"
"Rarely ","2013","Rural Area","East Germany","1095","0.310500939677128","0.295543452527586","0.32545842682667"
"Never","2013","Urban Area","West Germany","8625","0.587910424177615","0.579854603915691","0.595966244439539"
"Never","2013","Urban Area","East Germany","1074","0.507088480928146","0.48546755804617","0.528709403810122"
"Never","2013","Rural Area","West Germany","3175","0.563423603782358","0.550283977556363","0.576563230008352"
"Never","2013","Rural Area","East Germany","1911","0.499351026450471","0.483187728518999","0.515514324381943"
"Very often","2014","Urban Area","West Germany","","","",""
"Very often","2014","Urban Area","East Germany","","","",""
"Very often","2014","Rural Area","West Germany","","","",""
"Very often","2014","Rural Area","East Germany","","","",""
"Often","2014","Urban Area","West Germany","","","",""
"Often","2014","Urban Area","East Germany","","","",""
"Often","2014","Rural Area","West Germany","","","",""
"Often","2014","Rural Area","East Germany","","","",""
"Sometimes","2014","Urban Area","West Germany","","","",""
"Sometimes","2014","Urban Area","East Germany","","","",""
"Sometimes","2014","Rural Area","West Germany","","","",""
"Sometimes","2014","Rural Area","East Germany","","","",""
"Rarely ","2014","Urban Area","West Germany","","","",""
"Rarely ","2014","Urban Area","East Germany","","","",""
"Rarely ","2014","Rural Area","West Germany","","","",""
"Rarely ","2014","Rural Area","East Germany","","","",""
"Never","2014","Urban Area","West Germany","","","",""
"Never","2014","Urban Area","East Germany","","","",""
"Never","2014","Rural Area","West Germany","","","",""
"Never","2014","Rural Area","East Germany","","","",""
"Very often","2015","Urban Area","West Germany","","","",""
"Very often","2015","Urban Area","East Germany","","","",""
"Very often","2015","Rural Area","West Germany","","","",""
"Very often","2015","Rural Area","East Germany","","","",""
"Often","2015","Urban Area","West Germany","","","",""
"Often","2015","Urban Area","East Germany","","","",""
"Often","2015","Rural Area","West Germany","","","",""
"Often","2015","Rural Area","East Germany","","","",""
"Sometimes","2015","Urban Area","West Germany","","","",""
"Sometimes","2015","Urban Area","East Germany","","","",""
"Sometimes","2015","Rural Area","West Germany","","","",""
"Sometimes","2015","Rural Area","East Germany","","","",""
"Rarely ","2015","Urban Area","West Germany","","","",""
"Rarely ","2015","Urban Area","East Germany","","","",""
"Rarely ","2015","Rural Area","West Germany","","","",""
"Rarely ","2015","Rural Area","East Germany","","","",""
"Never","2015","Urban Area","West Germany","","","",""
"Never","2015","Urban Area","East Germany","","","",""
"Never","2015","Rural Area","West Germany","","","",""
"Never","2015","Rural Area","East Germany","","","",""
"Very often","2016","Urban Area","West Germany","183","0.0846257305541569","0.0740128750790943","0.0952385860292194"
"Very often","2016","Urban Area","East Germany","19","","",""
"Very often","2016","Rural Area","West Germany","75","0.103901842586013","0.0837301161225608","0.124073569049465"
"Very often","2016","Rural Area","East Germany","38","0.101184067585996","0.0734742389027257","0.128893896269267"
"Often","2016","Urban Area","West Germany","314","0.170668004787171","0.156322297989316","0.185013711585026"
"Often","2016","Urban Area","East Germany","45","0.19198346259659","0.146176556886045","0.237790368307135"
"Often","2016","Rural Area","West Germany","127","0.146225041631088","0.122867010301138","0.169583072961038"
"Often","2016","Rural Area","East Germany","86","0.21902529548638","0.181023158958917","0.257027432013843"
"Sometimes","2016","Urban Area","West Germany","557","0.212412032913976","0.19681576172094","0.228008304107013"
"Sometimes","2016","Urban Area","East Germany","84","0.297176406912021","0.24402445098355","0.350328362840491"
"Sometimes","2016","Rural Area","West Germany","205","0.2468599744975","0.2183552493501","0.2753646996449"
"Sometimes","2016","Rural Area","East Germany","121","0.286388626451588","0.244850093173479","0.327927159729698"
"Rarely ","2016","Urban Area","West Germany","487","0.190794113740444","0.17581128942982","0.205776938051067"
"Rarely ","2016","Urban Area","East Germany","39","0.134060414593827","0.0944341626228813","0.173686666564773"
"Rarely ","2016","Rural Area","West Germany","154","0.177313193520338","0.15206435262539","0.202562034415285"
"Rarely ","2016","Rural Area","East Germany","68","0.114064252836331","0.0848551454399445","0.143273360232718"
"Never","2016","Urban Area","West Germany","1101","0.341500118004252","0.323417764131487","0.359582471877017"
"Never","2016","Urban Area","East Germany","97","0.295591538977242","0.242521769366656","0.348661308587828"
"Never","2016","Rural Area","West Germany","318","0.325699947765061","0.294719399830495","0.356680495699627"
"Never","2016","Rural Area","East Germany","142","0.279337757639704","0.238111577337528","0.320563937941881"
"Very often","2017","Urban Area","West Germany","308","0.0118509475029217","0.0102330124313288","0.0134688825745147"
"Very often","2017","Urban Area","East Germany","24","","",""
"Very often","2017","Rural Area","West Germany","106","0.0104724297827195","0.00797726372998143","0.0129675958354576"
"Very often","2017","Rural Area","East Germany","63","0.01611149690301","0.0121078632305147","0.0201151305755054"
"Often","2017","Urban Area","West Germany","801","0.0378187241599863","0.0349666868003146","0.0406707615196581"
