"plj0589","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","66 and older","3067","0.589408240993903","0.575752076927831","0.603064405059976","5"
"Never","2013","16-34 y.","3105","0.562332658628733","0.549387711709701","0.575277605547766","5"
"Never","2013","35-65 y.","8613","0.556349498946777","0.548376867561349","0.564322130332206","5"
"Often","2013","16-34 y.","204","0.0382229645942652","0.0332199596078935","0.0432259695806368","2"
"Often","2013","66 and older","162","0.0387077534906409","0.0333529663384094","0.0440625406428724","2"
"Often","2013","35-65 y.","556","0.0406329162806495","0.0374645254365022","0.0438013071247968","2"
"Rarely ","2013","16-34 y.","1627","0.287814586785751","0.276000926240795","0.299628247330708","4"
"Rarely ","2013","66 and older","1269","0.264169215220234","0.251930224954208","0.27640820548626","4"
"Rarely ","2013","35-65 y.","4075","0.286450560333749","0.27919544670104","0.293705673966459","4"
"Sometimes","2013","16-34 y.","645","0.104364836486835","0.0963872004864404","0.112342472487229","3"
"Sometimes","2013","35-65 y.","1488","0.103200271614548","0.0983182971853297","0.108082246043767","3"
"Sometimes","2013","66 and older","445","0.0989602538542283","0.0906709533419886","0.107249554366468","3"
"Very often","2013","16-34 y.","61","0.00726495350441544","0.00504897957484431","0.00948092743398657","1"
"Very often","2013","35-65 y.","185","0.0133667528242755","0.0115238680676557","0.0152096375808952","1"
"Very often","2013","66 and older","42","0.00875453644099329","0.00616857113782627","0.0113405017441603","1"
"Never","2014","66 and older","","","","","5"
"Never","2014","16-34 y.","","","","","5"
"Never","2014","35-65 y.","","","","","5"
"Often","2014","66 and older","","","","","2"
"Often","2014","16-34 y.","","","","","2"
"Often","2014","35-65 y.","","","","","2"
"Rarely ","2014","66 and older","","","","","4"
"Rarely ","2014","16-34 y.","","","","","4"
"Rarely ","2014","35-65 y.","","","","","4"
"Sometimes","2014","35-65 y.","","","","","3"
"Sometimes","2014","66 and older","","","","","3"
"Sometimes","2014","16-34 y.","","","","","3"
"Very often","2014","35-65 y.","","","","","1"
"Very often","2014","66 and older","","","","","1"
"Very often","2014","16-34 y.","","","","","1"
"Never","2015","66 and older","","","","","5"
"Never","2015","16-34 y.","","","","","5"
"Never","2015","35-65 y.","","","","","5"
"Often","2015","66 and older","","","","","2"
"Often","2015","16-34 y.","","","","","2"
"Often","2015","35-65 y.","","","","","2"
"Rarely ","2015","35-65 y.","","","","","4"
"Rarely ","2015","66 and older","","","","","4"
"Rarely ","2015","16-34 y.","","","","","4"
"Sometimes","2015","35-65 y.","","","","","3"
"Sometimes","2015","66 and older","","","","","3"
"Sometimes","2015","16-34 y.","","","","","3"
"Very often","2015","35-65 y.","","","","","1"
"Very often","2015","66 and older","","","","","1"
"Very often","2015","16-34 y.","","","","","1"
"Never","2016","66 and older","7","","","","5"
"Never","2016","16-34 y.","946","0.330372558354158","0.3116639124809","0.349081204227415","5"
"Never","2016","35-65 y.","704","0.327966451994269","0.306314382833514","0.349618521155024","5"
"Often","2016","66 and older","1","","","","2"
"Often","2016","16-34 y.","322","0.174590998783371","0.159491265544329","0.189690732022413","2"
"Often","2016","35-65 y.","249","0.170444968181592","0.153102779326686","0.187787157036497","2"
"Rarely ","2016","35-65 y.","318","0.15103266408456","0.13451798457277","0.16754734359635","4"
"Rarely ","2016","66 and older","4","","","","4"
"Rarely ","2016","16-34 y.","426","0.184317829732522","0.168894863471314","0.19974079599373","4"
"Sometimes","2016","66 and older","10","","","","3"
"Sometimes","2016","35-65 y.","397","0.244658426730462","0.224832157397258","0.264484696063666","3"
"Sometimes","2016","16-34 y.","560","0.2264221159773","0.209775146060176","0.243069085894425","3"
"Very often","2016","35-65 y.","138","0.105897489009118","0.0917060738063269","0.120088904211909","1"
"Very often","2016","66 and older","3","","","","1"
"Very often","2016","16-34 y.","174","0.0842964971526489","0.0732453858812555","0.0953476084240424","1"
"Never","2017","66 and older","3063","0.592478644270508","0.578924973179189","0.606032315361827","5"
"Never","2017","16-34 y.","4188","0.55605712486779","0.545215649277166","0.566898600458414","5"
"Never","2017","35-65 y.","9314","0.578900102775252","0.571332522564732","0.586467682985772","5"
"Often","2017","66 and older","143","0.031241404599094","0.0264427613293706","0.0360400478688175","2"
"Often","2017","16-34 y.","512","0.0462427065980639","0.0416601725015357","0.0508252406945921","2"
"Often","2017","35-65 y.","717","0.0377987516082522","0.0348757144377464","0.0407217887787581","2"
"Rarely ","2017","35-65 y.","4262","0.267618764154417","0.260833144131664","0.274404384177171","4"
"Rarely ","2017","66 and older","1341","0.260941296869822","0.248828169559944","0.2730544241797","4"
"Rarely ","2017","16-34 y.","1990","0.27349901449735","0.263772412776282","0.283225616218418","4"
