"plj0589","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","(0) in school","West Germany","1","","",""
"Very often","2013","(0) in school","East Germany","","","",""
"Very often","2013","(1a) inadequately completed","West Germany","13","","",""
"Very often","2013","(1a) inadequately completed","East Germany","2","","",""
"Very often","2013","(1b) general elementary school","West Germany","48","0.0226954680626238","0.0156345432344519","0.0297563928907957"
"Very often","2013","(1b) general elementary school","East Germany","9","","",""
"Very often","2013","(1c) basic vocational qualification","West Germany","58","0.0134289827974198","0.010166644155237","0.0166913214396027"
"Very often","2013","(1c) basic vocational qualification","East Germany","21","","",""
"Very often","2013","(2b) intermediate general qualification","West Germany","8","","",""
"Very often","2013","(2b) intermediate general qualification","East Germany","6","","",""
"Very often","2013","(2a) intermediate vocational","West Germany","33","0.00560329945094524","0.0033802160662462","0.00782638283564428"
"Very often","2013","(2a) intermediate vocational","East Germany","33","0.0168902385472437","0.0114496817366978","0.0223307953577897"
"Very often","2013","(2c_gen) general maturity certificate","West Germany","4","","",""
"Very often","2013","(2c_gen) general maturity certificate","East Germany","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","West Germany","15","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"Very often","2013","(3a) lower tertiary education","West Germany","4","","",""
"Very often","2013","(3a) lower tertiary education","East Germany","2","","",""
"Very often","2013","(3b) higher tertiary education","West Germany","18","","",""
"Very often","2013","(3b) higher tertiary education","East Germany","6","","",""
"Often","2013","(0) in school","West Germany","14","","",""
"Often","2013","(0) in school","East Germany","2","","",""
"Often","2013","(1a) inadequately completed","West Germany","39","0.0906820753565944","0.0584553058573428","0.122908844855846"
"Often","2013","(1a) inadequately completed","East Germany","6","","",""
"Often","2013","(1b) general elementary school","West Germany","90","0.0595536356755411","0.0483334972366219","0.0707737741144602"
"Often","2013","(1b) general elementary school","East Germany","14","","",""
"Often","2013","(1c) basic vocational qualification","West Germany","170","0.0370212458009422","0.0316697255590807","0.0423727660428037"
"Often","2013","(1c) basic vocational qualification","East Germany","65","0.0574606273644533","0.0433843319166001","0.0715369228123064"
"Often","2013","(2b) intermediate general qualification","West Germany","28","","",""
"Often","2013","(2b) intermediate general qualification","East Germany","7","","",""
"Often","2013","(2a) intermediate vocational","West Germany","134","0.0363996031232352","0.0308219589045138","0.0419772473419566"
"Often","2013","(2a) intermediate vocational","East Germany","103","0.0470256553098241","0.0380878171519774","0.0559634934676708"
"Often","2013","(2c_gen) general maturity certificate","West Germany","25","","",""
"Often","2013","(2c_gen) general maturity certificate","East Germany","3","","",""
"Often","2013","(2c_voc) vocational maturity certificate","West Germany","65","0.0357534326481205","0.0274024317280485","0.0441044335681925"
"Often","2013","(2c_voc) vocational maturity certificate","East Germany","9","","",""
"Often","2013","(3a) lower tertiary education","West Germany","23","","",""
"Often","2013","(3a) lower tertiary education","East Germany","22","","",""
"Often","2013","(3b) higher tertiary education","West Germany","59","0.0227132931565526","0.0173250502400607","0.0281015360730445"
"Often","2013","(3b) higher tertiary education","East Germany","15","","",""
"Sometimes","2013","(0) in school","West Germany","27","","",""
"Sometimes","2013","(0) in school","East Germany","3","","",""
"Sometimes","2013","(1a) inadequately completed","West Germany","61","0.185527589602466","0.141902070146935","0.229153109057996"
"Sometimes","2013","(1a) inadequately completed","East Germany","10","","",""
"Sometimes","2013","(1b) general elementary school","West Germany","256","0.14630478116806","0.129549267604979","0.163060294731141"
"Sometimes","2013","(1b) general elementary school","East Germany","39","0.180567213032484","0.129505431855264","0.231628994209705"
"Sometimes","2013","(1c) basic vocational qualification","West Germany","480","0.0934954066021567","0.0852440862813328","0.101746726922981"
"Sometimes","2013","(1c) basic vocational qualification","East Germany","150","0.151450841097961","0.129767420702868","0.173134261493053"
"Sometimes","2013","(2b) intermediate general qualification","West Germany","73","0.140808363727686","0.112670683700485","0.168946043754887"
"Sometimes","2013","(2b) intermediate general qualification","East Germany","22","","",""
"Sometimes","2013","(2a) intermediate vocational","West Germany","370","0.089088340006232","0.0806043028248804","0.0975723771875836"
"Sometimes","2013","(2a) intermediate vocational","East Germany","282","0.13204907658109","0.117755539166495","0.146342613995685"
"Sometimes","2013","(2c_gen) general maturity certificate","West Germany","76","0.0766255130186157","0.059100752631865","0.0941502734053663"
"Sometimes","2013","(2c_gen) general maturity certificate","East Germany","21","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","West Germany","173","0.0908305703197404","0.0779057640727816","0.103755376566699"
"Sometimes","2013","(2c_voc) vocational maturity certificate","East Germany","41","0.137323327415803","0.101212988557812","0.173433666273794"
"Sometimes","2013","(3a) lower tertiary education","West Germany","93","0.0745117751768273","0.0609437825812818","0.0880797677723729"
"Sometimes","2013","(3a) lower tertiary education","East Germany","68","0.10976829692178","0.0857182607522339","0.133818333091327"
"Sometimes","2013","(3b) higher tertiary education","West Germany","195","0.0717494344462582","0.0624160754643419","0.0810827934281746"
"Sometimes","2013","(3b) higher tertiary education","East Germany","57","0.0730836089951855","0.0551262858726124","0.0910409321177586"
"Rarely ","2013","(0) in school","West Germany","116","0.27264008886389","0.228556738342082","0.316723439385699"
"Rarely ","2013","(0) in school","East Germany","14","","",""
"Rarely ","2013","(1a) inadequately completed","West Germany","86","0.299853851451446","0.248432043841804","0.351275659061088"
"Rarely ","2013","(1a) inadequately completed","East Germany","14","","",""
"Rarely ","2013","(1b) general elementary school","West Germany","476","0.275510099966415","0.25432834257098","0.29669185736185"
"Rarely ","2013","(1b) general elementary school","East Germany","57","0.243110282646688","0.186167614756158","0.300052950537217"
"Rarely ","2013","(1c) basic vocational qualification","West Germany","1318","0.277011862834099","0.2643278090543","0.289695916613897"
"Rarely ","2013","(1c) basic vocational qualification","East Germany","302","0.29571605326179","0.268112512924111","0.323319593599469"
"Rarely ","2013","(2b) intermediate general qualification","West Germany","142","0.253325758095426","0.218142642052896","0.288508874137956"
"Rarely ","2013","(2b) intermediate general qualification","East Germany","42","0.399153809129724","0.316543736886875","0.481763881372573"
"Rarely ","2013","(2a) intermediate vocational","West Germany","1167","0.295607168641953","0.282017184693796","0.30919715259011"
"Rarely ","2013","(2a) intermediate vocational","East Germany","647","0.304794882058308","0.28535987202201","0.324229892094606"
"Rarely ","2013","(2c_gen) general maturity certificate","West Germany","220","0.239663270907653","0.211539070635577","0.267787471179729"
"Rarely ","2013","(2c_gen) general maturity certificate","East Germany","44","0.258809380447641","0.187520949898422","0.330097810996859"
"Rarely ","2013","(2c_voc) vocational maturity certificate","West Germany","523","0.285127538150016","0.26482176759326","0.305433308706771"
"Rarely ","2013","(2c_voc) vocational maturity certificate","East Germany","109","0.348777958136067","0.298777447597796","0.398778468674338"
"Rarely ","2013","(3a) lower tertiary education","West Germany","363","0.277520172945532","0.254384729113871","0.300655616777194"
"Rarely ","2013","(3a) lower tertiary education","East Germany","207","0.316207084852731","0.280432562892936","0.351981606812525"
"Rarely ","2013","(3b) higher tertiary education","West Germany","704","0.246434337181195","0.230849320244514","0.262019354117877"
"Rarely ","2013","(3b) higher tertiary education","East Germany","239","0.314924364318317","0.282877634747965","0.346971093888669"
"Never","2013","(0) in school","West Germany","234","0.61175023861938","0.563505747486819","0.659994729751942"
"Never","2013","(0) in school","East Germany","35","0.645288477364984","0.517684028981691","0.772892925748277"
"Never","2013","(1a) inadequately completed","West Germany","106","0.385103055784793","0.330491088534497","0.439715023035089"
"Never","2013","(1a) inadequately completed","East Germany","21","","",""
"Never","2013","(1b) general elementary school","West Germany","839","0.49593601512736","0.472231410397544","0.519640619857177"
"Never","2013","(1b) general elementary school","East Germany","99","0.479340794374425","0.413024719141374","0.545656869607476"
"Never","2013","(1c) basic vocational qualification","West Germany","2756","0.579042501965383","0.565049282322515","0.59303572160825"
