"plj0589","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","(0) in school","","","",""
"Very often","2013","16-34 y.","(1a) inadequately completed","","","",""
"Very often","2013","16-34 y.","(1b) general elementary school","","","",""
"Very often","2013","16-34 y.","(1c) basic vocational qualification","","","",""
"Very often","2013","16-34 y.","(2b) intermediate general qualification","","","",""
"Very often","2013","16-34 y.","(2a) intermediate vocational","","","",""
"Very often","2013","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Very often","2013","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","16-34 y.","(3a) lower tertiary education","","","",""
"Very often","2013","16-34 y.","(3b) higher tertiary education","","","",""
"Very often","2013","35-65 y.","(0) in school","","","",""
"Very often","2013","35-65 y.","(1a) inadequately completed","","","",""
"Very often","2013","35-65 y.","(1b) general elementary school","","","",""
"Very often","2013","35-65 y.","(1c) basic vocational qualification","58","0.0206321497813698","0.0157585234316711","0.0255057761310686"
"Very often","2013","35-65 y.","(2b) intermediate general qualification","","","",""
"Very often","2013","35-65 y.","(2a) intermediate vocational","55","0.0120452566621417","0.00890981901109694","0.0151806943131865"
"Very often","2013","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Very often","2013","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","35-65 y.","(3a) lower tertiary education","","","",""
"Very often","2013","35-65 y.","(3b) higher tertiary education","","","",""
"Very often","2013","66 and older","(0) in school","","","",""
"Very often","2013","66 and older","(1a) inadequately completed","","","",""
"Very often","2013","66 and older","(1b) general elementary school","","","",""
"Very often","2013","66 and older","(1c) basic vocational qualification","","","",""
"Very often","2013","66 and older","(2b) intermediate general qualification","","","",""
"Very often","2013","66 and older","(2a) intermediate vocational","","","",""
"Very often","2013","66 and older","(2c_gen) general maturity certificate","","","",""
"Very often","2013","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","66 and older","(3a) lower tertiary education","","","",""
"Very often","2013","66 and older","(3b) higher tertiary education","","","",""
"Often","2013","16-34 y.","(0) in school","","","",""
"Often","2013","16-34 y.","(1a) inadequately completed","","","",""
"Often","2013","16-34 y.","(1b) general elementary school","","","",""
"Often","2013","16-34 y.","(1c) basic vocational qualification","","","",""
"Often","2013","16-34 y.","(2b) intermediate general qualification","","","",""
"Often","2013","16-34 y.","(2a) intermediate vocational","42","0.0481023665988266","0.035468518839997","0.0607362143576562"
"Often","2013","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Often","2013","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","16-34 y.","(3a) lower tertiary education","","","",""
"Often","2013","16-34 y.","(3b) higher tertiary education","","","",""
"Often","2013","35-65 y.","(0) in school","","","",""
"Often","2013","35-65 y.","(1a) inadequately completed","","","",""
"Often","2013","35-65 y.","(1b) general elementary school","50","0.0678604586808714","0.0502889283784296","0.0854319889833132"
"Often","2013","35-65 y.","(1c) basic vocational qualification","140","0.0394388906126842","0.0327657248687469","0.0461120563566216"
"Often","2013","35-65 y.","(2b) intermediate general qualification","","","",""
"Often","2013","35-65 y.","(2a) intermediate vocational","173","0.0397807445209615","0.0341632420333554","0.0453982470085677"
"Often","2013","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Often","2013","35-65 y.","(2c_voc) vocational maturity certificate","52","0.0335000370153193","0.0246219753770878","0.0423780986535507"
"Often","2013","35-65 y.","(3a) lower tertiary education","","","",""
"Often","2013","35-65 y.","(3b) higher tertiary education","55","0.0257632135901204","0.019541736498055","0.0319846906821859"
"Often","2013","66 and older","(0) in school","","","",""
"Often","2013","66 and older","(1a) inadequately completed","","","",""
"Often","2013","66 and older","(1b) general elementary school","30","0.0526189219149038","0.0356748221386314","0.0695630216911763"
"Often","2013","66 and older","(1c) basic vocational qualification","75","0.0423419872448401","0.0335865652904028","0.0510974091992775"
"Often","2013","66 and older","(2b) intermediate general qualification","","","",""
"Often","2013","66 and older","(2a) intermediate vocational","","","",""
"Often","2013","66 and older","(2c_gen) general maturity certificate","","","",""
"Often","2013","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","66 and older","(3a) lower tertiary education","","","",""
"Often","2013","66 and older","(3b) higher tertiary education","","","",""
"Sometimes","2013","16-34 y.","(0) in school","30","0.065603435714942","0.0426255761764569","0.0885812952534271"
"Sometimes","2013","16-34 y.","(1a) inadequately completed","","","",""
"Sometimes","2013","16-34 y.","(1b) general elementary school","81","0.159220076609772","0.126247141998696","0.192193011220848"
"Sometimes","2013","16-34 y.","(1c) basic vocational qualification","86","0.152075930503463","0.121561800102348","0.182590060904578"
"Sometimes","2013","16-34 y.","(2b) intermediate general qualification","59","0.159818591226913","0.125772420839334","0.193864761614492"
"Sometimes","2013","16-34 y.","(2a) intermediate vocational","128","0.0902749492514869","0.0733551191744735","0.1071947793285"
"Sometimes","2013","16-34 y.","(2c_gen) general maturity certificate","62","0.0829103468360408","0.0626843819973094","0.103136311674772"
"Sometimes","2013","16-34 y.","(2c_voc) vocational maturity certificate","46","0.0731653732170942","0.0497716936884814","0.096559052745707"
"Sometimes","2013","16-34 y.","(3a) lower tertiary education","","","",""
"Sometimes","2013","16-34 y.","(3b) higher tertiary education","48","0.0759058839077708","0.0542582720641949","0.0975534957513467"
"Sometimes","2013","35-65 y.","(0) in school","","","",""
"Sometimes","2013","35-65 y.","(1a) inadequately completed","41","0.251053545437303","0.18873745728482","0.313369633589786"
"Sometimes","2013","35-65 y.","(1b) general elementary school","126","0.154040877527293","0.128820394159727","0.179261360894858"
"Sometimes","2013","35-65 y.","(1c) basic vocational qualification","360","0.100418681013423","0.0901140003563442","0.110723361670503"
"Sometimes","2013","35-65 y.","(2b) intermediate general qualification","","","",""
"Sometimes","2013","35-65 y.","(2a) intermediate vocational","466","0.106270876308462","0.0974129573892184","0.115128795227706"
"Sometimes","2013","35-65 y.","(2c_gen) general maturity certificate","30","0.124377728906818","0.0853735217009341","0.163381936112701"
"Sometimes","2013","35-65 y.","(2c_voc) vocational maturity certificate","147","0.102048581536505","0.0871129187995757","0.116984244273435"
"Sometimes","2013","35-65 y.","(3a) lower tertiary education","102","0.0854518945229747","0.0707132279332919","0.100190561112657"
"Sometimes","2013","35-65 y.","(3b) higher tertiary education","174","0.0768678529423377","0.066407037498172","0.0873286683865035"
"Sometimes","2013","66 and older","(0) in school","","","",""
"Sometimes","2013","66 and older","(1a) inadequately completed","","","",""
"Sometimes","2013","66 and older","(1b) general elementary school","88","0.143903163025228","0.117266378947271","0.170539947103186"
"Sometimes","2013","66 and older","(1c) basic vocational qualification","184","0.0953405773971388","0.0825712599539536","0.108109894840324"
"Sometimes","2013","66 and older","(2b) intermediate general qualification","","","",""
"Sometimes","2013","66 and older","(2a) intermediate vocational","58","0.0973902223681971","0.0759411874287882","0.118839257307606"
"Sometimes","2013","66 and older","(2c_gen) general maturity certificate","","","",""
"Sometimes","2013","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2013","66 and older","(3a) lower tertiary education","41","0.0756108772903551","0.0518358601891839","0.0993858943915263"
"Sometimes","2013","66 and older","(3b) higher tertiary education","30","0.0553550000561607","0.0381424194547045","0.0725675806576169"
"Rarely ","2013","16-34 y.","(0) in school","130","0.265106551762497","0.224142483621971","0.306070619903023"
"Rarely ","2013","16-34 y.","(1a) inadequately completed","30","0.212914304284134","0.134237836994797","0.29159077157347"
"Rarely ","2013","16-34 y.","(1b) general elementary school","146","0.334232688331304","0.291721502878316","0.376743873784292"
"Rarely ","2013","16-34 y.","(1c) basic vocational qualification","169","0.340503610142546","0.300235676288881","0.38077154399621"
"Rarely ","2013","16-34 y.","(2b) intermediate general qualification","122","0.282599394877078","0.240764896233356","0.3244338935208"
"Rarely ","2013","16-34 y.","(2a) intermediate vocational","326","0.30576527519062","0.278563043122387","0.332967507258852"
"Rarely ","2013","16-34 y.","(2c_gen) general maturity certificate","187","0.259895663895341","0.227726114600355","0.292065213190327"
"Rarely ","2013","16-34 y.","(2c_voc) vocational maturity certificate","152","0.307407990490931","0.265956425769642","0.34885955521222"
"Rarely ","2013","16-34 y.","(3a) lower tertiary education","57","0.256763233648087","0.200429036164108","0.313097431132065"
"Rarely ","2013","16-34 y.","(3b) higher tertiary education","156","0.254828387053589","0.219210658279629","0.290446115827549"
"Rarely ","2013","35-65 y.","(0) in school","","","",""
"Rarely ","2013","35-65 y.","(1a) inadequately completed","51","0.340321365463697","0.272228370602833","0.408414360324561"
"Rarely ","2013","35-65 y.","(1b) general elementary school","234","0.296711924937563","0.264796924686784","0.328626925188342"
"Rarely ","2013","35-65 y.","(1c) basic vocational qualification","936","0.293006185647686","0.277401563087635","0.308610808207737"
"Rarely ","2013","35-65 y.","(2b) intermediate general qualification","45","0.257288957656045","0.197882051179273","0.316695864132816"
"Rarely ","2013","35-65 y.","(2a) intermediate vocational","1287","0.299561047177173","0.286395181205892","0.312726913148454"
"Rarely ","2013","35-65 y.","(2c_gen) general maturity certificate","70","0.215219513541297","0.166646319245446","0.263792707837147"
"Rarely ","2013","35-65 y.","(2c_voc) vocational maturity certificate","437","0.289005029803277","0.26663942965126","0.311370629955293"
