"plj0589","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","in school","Male","","","",""
"Very often","2013","in school","Female","1","","",""
"Very often","2013","inadequately","Male","7","","",""
"Very often","2013","inadequately","Female","8","","",""
"Very often","2013","general elemantary","Male","21","","",""
"Very often","2013","general elemantary","Female","46","0.0181136666097773","0.0118202376537816","0.024407095565773"
"Very often","2013","middle vocational","Male","45","0.0103375103141391","0.00765633577286736","0.0130186848554109"
"Very often","2013","middle vocational","Female","97","0.0117717131227143","0.00923834460778523","0.0143050816376434"
"Very often","2013","vocational + Abi","Male","2","","",""
"Very often","2013","vocational + Abi","Female","13","","",""
"Very often","2013","higher vocational","Male","6","","",""
"Very often","2013","higher vocational","Female","7","","",""
"Very often","2013","higher education","Male","13","","",""
"Very often","2013","higher education","Female","17","","",""
"Often","2013","in school","Male","9","","",""
"Often","2013","in school","Female","7","","",""
"Often","2013","inadequately","Male","16","","",""
"Often","2013","inadequately","Female","25","","",""
"Often","2013","general elemantary","Male","38","0.0594048782478848","0.0436613683662484","0.0751483881295213"
"Often","2013","general elemantary","Female","100","0.0593874813424522","0.0482341046034624","0.070540858081442"
"Often","2013","middle vocational","Male","181","0.0345277597568559","0.0296879571371787","0.0393675623765331"
"Often","2013","middle vocational","Female","296","0.0450225504874868","0.0401521856137423","0.0498929153612313"
"Often","2013","vocational + Abi","Male","18","","",""
"Often","2013","vocational + Abi","Female","46","0.0431666439690739","0.0314964674683213","0.0548368204698266"
"Often","2013","higher vocational","Male","21","","",""
"Often","2013","higher vocational","Female","25","","",""
"Often","2013","higher education","Male","54","0.025077560757487","0.0194607944803147","0.0306943270346593"
"Often","2013","higher education","Female","65","0.0275126264723603","0.0215126016600042","0.0335126512847164"
"Sometimes","2013","in school","Male","15","","",""
"Sometimes","2013","in school","Female","15","","",""
"Sometimes","2013","inadequately","Male","32","0.214913685358669","0.146627723658294","0.283199647059045"
"Sometimes","2013","inadequately","Female","43","0.244188887455574","0.182941612091279","0.305436162819869"
"Sometimes","2013","general elemantary","Male","108","0.129009031604123","0.106683283084561","0.151334780123684"
"Sometimes","2013","general elemantary","Female","267","0.152037742229576","0.135093681145368","0.168981803313784"
"Sometimes","2013","middle vocational","Male","551","0.100735625093048","0.092757353958606","0.108713896227489"
"Sometimes","2013","middle vocational","Female","759","0.104848947534701","0.097653130793706","0.112044764275697"
"Sometimes","2013","vocational + Abi","Male","51","0.086193280897646","0.0639219047383028","0.108464657056989"
"Sometimes","2013","vocational + Abi","Female","125","0.0958877663740423","0.0789803245278145","0.11279520822027"
"Sometimes","2013","higher vocational","Male","75","0.0850342095323486","0.0680244882264842","0.102043930838213"
"Sometimes","2013","higher vocational","Female","64","0.103390957580929","0.0798940304647439","0.126887884697114"
"Sometimes","2013","higher education","Male","183","0.0709087670696291","0.0616886205675167","0.0801289135717415"
"Sometimes","2013","higher education","Female","230","0.0834482585676514","0.0733037230453409","0.0935927940899619"
"Rarely ","2013","in school","Male","64","0.285949527922795","0.22497955380946","0.34691950203613"
"Rarely ","2013","in school","Female","64","0.239625493974565","0.1846986832521","0.294552304697029"
"Rarely ","2013","inadequately","Male","42","0.353422680749228","0.273953610427712","0.432891751070744"
"Rarely ","2013","inadequately","Female","55","0.249923263292765","0.188196517963552","0.311650008621979"
"Rarely ","2013","general elemantary","Male","256","0.303990858984029","0.273355224519338","0.334626493448719"
"Rarely ","2013","general elemantary","Female","444","0.256260488664519","0.23565870637879","0.276862270950248"
"Rarely ","2013","middle vocational","Male","1579","0.297569331035237","0.285450258886895","0.30968840318358"
"Rarely ","2013","middle vocational","Female","1833","0.268637876511363","0.25822670145664","0.279049051566086"
"Rarely ","2013","vocational + Abi","Male","180","0.300379748341806","0.264000838188147","0.336758658495466"
"Rarely ","2013","vocational + Abi","Female","309","0.255127789095797","0.230095250339206","0.280160327852388"
"Rarely ","2013","higher vocational","Male","346","0.35956762556525","0.330304220407196","0.388831030723303"
"Rarely ","2013","higher vocational","Female","161","0.266182205575288","0.232074550472003","0.300289860678574"
"Rarely ","2013","higher education","Male","809","0.268911405915046","0.252983881131003","0.284838930699089"
"Rarely ","2013","higher education","Female","704","0.271041616378664","0.2547368570908","0.287346375666528"
"Never","2013","in school","Male","123","0.610322084896701","0.544520053270866","0.676124116522535"
"Never","2013","in school","Female","145","0.623881268112166","0.561548336444731","0.6862141997796"
"Never","2013","inadequately","Male","42","0.324536118540098","0.246701415037979","0.402370822042217"
"Never","2013","inadequately","Female","58","0.351465360247247","0.283400173264439","0.419530547230056"
"Never","2013","general elemantary","Male","443","0.485516034279238","0.452228865682084","0.518803202876393"
"Never","2013","general elemantary","Female","868","0.514200621153675","0.490614945746041","0.53778629656131"
"Never","2013","middle vocational","Male","3111","0.55682977380072","0.543661766271329","0.569997781330111"
"Never","2013","middle vocational","Female","3978","0.569718912343735","0.558089538265238","0.581348286422231"
"Never","2013","vocational + Abi","Male","359","0.581033392014831","0.54187963648088","0.620187147548781"
"Never","2013","vocational + Abi","Female","672","0.593610981834908","0.565407217736269","0.621814745933547"
"Never","2013","higher vocational","Male","585","0.530598915127512","0.500165327364611","0.561032502890413"
"Never","2013","higher vocational","Female","388","0.558583027695756","0.52026204695487","0.596904008436642"
"Never","2013","higher education","Male","1918","0.628178862543538","0.610818157014999","0.645539568072077"
"Never","2013","higher education","Female","1839","0.611707696379552","0.593830624007239","0.629584768751865"
"Very often","2014","in school","Male","","","",""
"Very often","2014","in school","Female","","","",""
"Very often","2014","inadequately","Male","","","",""
"Very often","2014","inadequately","Female","","","",""
"Very often","2014","general elemantary","Male","","","",""
"Very often","2014","general elemantary","Female","","","",""
"Very often","2014","middle vocational","Male","","","",""
"Very often","2014","middle vocational","Female","","","",""
"Very often","2014","vocational + Abi","Male","","","",""
"Very often","2014","vocational + Abi","Female","","","",""
"Very often","2014","higher vocational","Male","","","",""
"Very often","2014","higher vocational","Female","","","",""
"Very often","2014","higher education","Male","","","",""
"Very often","2014","higher education","Female","","","",""
"Often","2014","in school","Male","","","",""
"Often","2014","in school","Female","","","",""
"Often","2014","inadequately","Male","","","",""
"Often","2014","inadequately","Female","","","",""
"Often","2014","general elemantary","Male","","","",""
"Often","2014","general elemantary","Female","","","",""
"Often","2014","middle vocational","Male","","","",""
"Often","2014","middle vocational","Female","","","",""
"Often","2014","vocational + Abi","Male","","","",""
"Often","2014","vocational + Abi","Female","","","",""
"Often","2014","higher vocational","Male","","","",""
"Often","2014","higher vocational","Female","","","",""
"Often","2014","higher education","Male","","","",""
"Often","2014","higher education","Female","","","",""
"Sometimes","2014","in school","Male","","","",""
"Sometimes","2014","in school","Female","","","",""
"Sometimes","2014","inadequately","Male","","","",""
"Sometimes","2014","inadequately","Female","","","",""
"Sometimes","2014","general elemantary","Male","","","",""
"Sometimes","2014","general elemantary","Female","","","",""
"Sometimes","2014","middle vocational","Male","","","",""
"Sometimes","2014","middle vocational","Female","","","",""
"Sometimes","2014","vocational + Abi","Male","","","",""
"Sometimes","2014","vocational + Abi","Female","","","",""
"Sometimes","2014","higher vocational","Male","","","",""
"Sometimes","2014","higher vocational","Female","","","",""
"Sometimes","2014","higher education","Male","","","",""
"Sometimes","2014","higher education","Female","","","",""
"Rarely ","2014","in school","Male","","","",""
"Rarely ","2014","in school","Female","","","",""
"Rarely ","2014","inadequately","Male","","","",""
"Rarely ","2014","inadequately","Female","","","",""
"Rarely ","2014","general elemantary","Male","","","",""
"Rarely ","2014","general elemantary","Female","","","",""
"Rarely ","2014","middle vocational","Male","","","",""
"Rarely ","2014","middle vocational","Female","","","",""
"Rarely ","2014","vocational + Abi","Male","","","",""
"Rarely ","2014","vocational + Abi","Female","","","",""
"Rarely ","2014","higher vocational","Male","","","",""
