"plj0589","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Full Time","East Germany","1265","0.53661880754561","0.515809986116863","0.557427628974356","5"
"Never","2013","Part Time","East Germany","680","0.502699078044337","0.476155232617353","0.529242923471322","5"
"Never","2013","Not Working","West Germany","3784","0.561216686800986","0.549267303587817","0.573166070014155","5"
"Never","2013","Not Working","East Germany","1040","0.468577557424176","0.447538252144082","0.489616862704271","5"
"Never","2013","Part Time","West Germany","3400","0.567267676315453","0.554463774371981","0.580071578258926","5"
"Never","2013","Full Time","West Germany","4616","0.610528780792707","0.599446224238183","0.621611337347231","5"
"Often","2013","Full Time","East Germany","63","0.0260007537354237","0.019359996313577","0.0326415111572703","2"
"Often","2013","Full Time","West Germany","169","0.0264354745084433","0.0227894034716859","0.0300815455452007","2"
"Often","2013","Part Time","West Germany","197","0.0400305798080136","0.0349646018948578","0.0450965577211694","2"
"Often","2013","Part Time","East Germany","59","0.040378180985723","0.029928005215537","0.050828356755909","2"
"Often","2013","Not Working","West Germany","305","0.0476679585889953","0.0425374239435127","0.0527984932344779","2"
"Often","2013","Not Working","East Germany","129","0.0723390977606663","0.0614171051609142","0.0832610903604185","2"
"Rarely ","2013","Full Time","East Germany","653","0.326355578554611","0.306789390821975","0.345921766287247","4"
"Rarely ","2013","Full Time","West Germany","2052","0.283652777822751","0.27340795359963","0.293897602045872","4"
"Rarely ","2013","Part Time","West Germany","1537","0.284805430416878","0.273142037958163","0.296468822875593","4"
"Rarely ","2013","Part Time","East Germany","430","0.315383816997961","0.290715277035169","0.340052356960753","4"
"Rarely ","2013","Not Working","West Germany","1682","0.261070219257013","0.250493879306214","0.271646559207813","4"
"Rarely ","2013","Not Working","East Germany","617","0.276387271752815","0.257531998711377","0.295242544794252","4"
"Sometimes","2013","Full Time","East Germany","217","0.104197079571894","0.0914479848640677","0.116946174279721","3"
"Sometimes","2013","Part Time","West Germany","561","0.097857007172433","0.0901785793350647","0.105535435009801","3"
"Sometimes","2013","Not Working","East Germany","320","0.161802428278796","0.146275468632958","0.177329387924634","3"
"Sometimes","2013","Not Working","West Germany","737","0.115064340044241","0.107380445900909","0.122748234187574","3"
"Sometimes","2013","Full Time","West Germany","568","0.0740941854304487","0.0681413391230909","0.0800470317378066","3"
