"plj0589","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","no migration background","36","0.00576012271903179","0.00412505397399794","0.00739519146406563"
"Very often","2013","Full Time","direct migration background","1","","",""
"Very often","2013","Full Time","indirect migration background","3","","",""
"Very often","2013","Part Time","no migration background","61","0.0107791562812898","0.00815470729498415","0.0134036052675955"
"Very often","2013","Part Time","direct migration background","9","","",""
"Very often","2013","Part Time","indirect migration background","6","","",""
"Very often","2013","Not Working","no migration background","140","0.0150893586024439","0.0123364112114093","0.0178423059934784"
"Very often","2013","Not Working","direct migration background","27","","",""
"Very often","2013","Not Working","indirect migration background","5","","",""
"Often","2013","Full Time","no migration background","188","0.0259524817960672","0.022517265562048","0.0293876980300865"
"Often","2013","Full Time","direct migration background","33","0.0346542027839369","0.0229618051737806","0.0463466003940933"
"Often","2013","Full Time","indirect migration background","11","","",""
"Often","2013","Part Time","no migration background","202","0.0382277066978967","0.0333543929190292","0.0431010204767642"
"Often","2013","Part Time","direct migration background","39","0.0541825939370549","0.0381826497204593","0.0701825381536505"
"Often","2013","Part Time","indirect migration background","15","","",""
"Often","2013","Not Working","no migration background","350","0.0506407860534","0.0456893678233684","0.0555922042834316"
"Often","2013","Not Working","direct migration background","64","0.0684671278839816","0.0523312192229089","0.0846030365450542"
"Often","2013","Not Working","indirect migration background","20","","",""
"Sometimes","2013","Full Time","no migration background","627","0.0781036808160455","0.0723060393953402","0.0839013222367508"
"Sometimes","2013","Full Time","direct migration background","109","0.0951535986969785","0.0763956991875488","0.113911498206408"
"Sometimes","2013","Full Time","indirect migration background","49","0.091092488706922","0.0651888931798203","0.116996084234024"
"Sometimes","2013","Part Time","no migration background","583","0.097211658525234","0.0896824163009719","0.104740900749496"
"Sometimes","2013","Part Time","direct migration background","108","0.141229616795636","0.116615381908418","0.165843851682853"
"Sometimes","2013","Part Time","indirect migration background","45","0.119519921116588","0.0876895604729206","0.151350281760255"
"Sometimes","2013","Not Working","no migration background","822","0.115582777547061","0.108362743156603","0.122802811937519"
"Sometimes","2013","Not Working","direct migration background","189","0.194399820064861","0.169114934880979","0.219684705248743"
"Sometimes","2013","Not Working","indirect migration background","46","0.186733336024177","0.143492089253615","0.229974582794739"
"Rarely ","2013","Full Time","no migration background","2303","0.290358633479459","0.280551063998857","0.30016620296006"
"Rarely ","2013","Full Time","direct migration background","293","0.317434880814032","0.287678265327294","0.347191496300769"
"Rarely ","2013","Full Time","indirect migration background","109","0.273170588637923","0.233056942796302","0.313284234479544"
"Rarely ","2013","Part Time","no migration background","1646","0.291251237269311","0.279703971325144","0.302798503213477"
"Rarely ","2013","Part Time","direct migration background","217","0.299359090937087","0.266990120017145","0.331728061857029"
"Rarely ","2013","Part Time","indirect migration background","104","0.236019262775298","0.194353765239404","0.277684760311191"
"Rarely ","2013","Not Working","no migration background","1950","0.26457069705543","0.254609639644524","0.274531754466336"
"Rarely ","2013","Not Working","direct migration background","256","0.250845445440893","0.223147847839791","0.278543043041995"
"Rarely ","2013","Not Working","indirect migration background","93","0.309371180577957","0.258081136781873","0.360661224374042"
"Never","2013","Full Time","no migration background","5075","0.599825081189397","0.589239570785284","0.610410591593509"
"Never","2013","Full Time","direct migration background","504","0.548528141163047","0.516715555927316","0.580340726398779"
"Never","2013","Full Time","indirect migration background","302","0.61396123223638","0.570133918261656","0.657788546211104"
"Never","2013","Part Time","no migration background","3455","0.562530241226269","0.549922244787024","0.575138237665514"
"Never","2013","Part Time","direct migration background","396","0.4944661983544","0.459129308316228","0.529803088392572"
"Never","2013","Part Time","indirect migration background","229","0.5892977062632","0.541026007494624","0.637569405031776"
"Never","2013","Not Working","no migration background","4271","0.554116380741665","0.542891664767486","0.565341096715844"
"Never","2013","Not Working","direct migration background","405","0.459074871579864","0.427235563705637","0.490914179454091"
"Never","2013","Not Working","indirect migration background","148","0.425859324604618","0.370992094950997","0.480726554258239"
"Very often","2014","Full Time","no migration background","","","",""
"Very often","2014","Full Time","direct migration background","","","",""
"Very often","2014","Full Time","indirect migration background","","","",""
"Very often","2014","Part Time","no migration background","","","",""
"Very often","2014","Part Time","direct migration background","","","",""
"Very often","2014","Part Time","indirect migration background","","","",""
"Very often","2014","Not Working","no migration background","","","",""
"Very often","2014","Not Working","direct migration background","","","",""
"Very often","2014","Not Working","indirect migration background","","","",""
"Often","2014","Full Time","no migration background","","","",""
"Often","2014","Full Time","direct migration background","","","",""
"Often","2014","Full Time","indirect migration background","","","",""
"Often","2014","Part Time","no migration background","","","",""
"Often","2014","Part Time","direct migration background","","","",""
"Often","2014","Part Time","indirect migration background","","","",""
"Often","2014","Not Working","no migration background","","","",""
"Often","2014","Not Working","direct migration background","","","",""
