"plj0589","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","Male","34","0.021407961077944","0.0141075366470819","0.0287083855088061"
"Very often","2013","1-pers.-HH","Female","47","0.0202536550400688","0.0141838271605245","0.026323482919613"
"Very often","2013","(Married) couple without C. ","Male","21","","",""
"Very often","2013","(Married) couple without C. ","Female","32","0.0086136339507531","0.00569122752344358","0.0115360403780626"
"Very often","2013","Single parent ","Male","10","","",""
"Very often","2013","Single parent ","Female","61","0.0207021299999259","0.0145668729048094","0.0268373870950424"
"Very often","2013","Couple + C. LE 16 ","Male","16","","",""
"Very often","2013","Couple + C. LE 16 ","Female","30","0.00639598965662064","0.00371402706312924","0.00907795225011205"
"Very often","2013","Couple + C. GT 16 ","Male","9","","",""
"Very often","2013","Couple + C. GT 16 ","Female","5","","",""
"Very often","2013","Couple + C. LE and GT 16","Male","6","","",""
"Very often","2013","Couple + C. LE and GT 16","Female","7","","",""
"Often","2013","1-pers.-HH","Male","85","0.0584843929277619","0.046648708633152","0.0703200772223717"
"Often","2013","1-pers.-HH","Female","125","0.0633603898768419","0.0528634423516103","0.0738573374020736"
"Often","2013","(Married) couple without C. ","Male","76","0.0232103315414735","0.0184198033347997","0.0280008597481474"
"Often","2013","(Married) couple without C. ","Female","101","0.0323342796036754","0.026740308606421","0.0379282506009298"
"Often","2013","Single parent ","Male","20","","",""
"Often","2013","Single parent ","Female","142","0.0743479074406098","0.0630440645140487","0.0856517503671708"
"Often","2013","Couple + C. LE 16 ","Male","68","0.0241551906827624","0.0187365978325469","0.0295737835329779"
"Often","2013","Couple + C. LE 16 ","Female","118","0.0314534518476712","0.0255814446695389","0.0373254590258035"
"Often","2013","Couple + C. GT 16 ","Male","47","0.0270858448502981","0.0187675486222958","0.0354041410783005"
"Often","2013","Couple + C. GT 16 ","Female","41","0.0394409321008231","0.0289327882602311","0.0499490759414151"
"Often","2013","Couple + C. LE and GT 16","Male","34","0.030041745737209","0.0193597428265299","0.0407237486478881"
"Often","2013","Couple + C. LE and GT 16","Female","37","0.0500959059511758","0.03681250717868","0.0633793047236715"
"Sometimes","2013","1-pers.-HH","Male","194","0.139265130656442","0.121802265062693","0.156727996250191"
"Sometimes","2013","1-pers.-HH","Female","266","0.126128146266832","0.111822821300905","0.140433471232759"
"Sometimes","2013","(Married) couple without C. ","Male","304","0.0798231049111296","0.0712004268512308","0.0884457829710284"
"Sometimes","2013","(Married) couple without C. ","Female","337","0.0903501088473749","0.0812838646307657","0.0994163530639841"
