"plj0589","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","West Germany","","","",""
"Very often","2013","Schleswig-Holstein","East Germany","","","",""
"Very often","2013","Hamburg","West Germany","","","",""
"Very often","2013","Hamburg","East Germany","","","",""
"Very often","2013","Lower Saxony","West Germany","30","0.0132259641725047","0.00870693785423261","0.0177449904907768"
"Very often","2013","Lower Saxony","East Germany","","","",""
"Very often","2013","Bremen","West Germany","","","",""
"Very often","2013","Bremen","East Germany","","","",""
"Very often","2013","North Rhine-Westphalia","West Germany","46","0.00881310782234858","0.00624925828434665","0.0113769573603505"
"Very often","2013","North Rhine-Westphalia","East Germany","","","",""
"Very often","2013","Hesse","West Germany","","","",""
"Very often","2013","Hesse","East Germany","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very often","2013","Baden-Württemberg","West Germany","","","",""
"Very often","2013","Baden-Württemberg","East Germany","","","",""
"Very often","2013","Bavaria","West Germany","45","0.0109490047919608","0.00773534406727456","0.0141626655166469"
"Very often","2013","Bavaria","East Germany","","","",""
"Very often","2013","Berlin","West Germany","","","",""
"Very often","2013","Berlin","East Germany","","","",""
"Very often","2013","Brandenburg","West Germany","","","",""
"Very often","2013","Brandenburg","East Germany","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","East Germany","","","",""
"Very often","2013","Saxony","West Germany","","","",""
"Very often","2013","Saxony","East Germany","","","",""
"Very often","2013","Saxony-Anhalt","West Germany","","","",""
"Very often","2013","Saxony-Anhalt","East Germany","","","",""
"Very often","2013","Thuringia","West Germany","","","",""
"Very often","2013","Thuringia","East Germany","","","",""
"Often","2013","Schleswig-Holstein","West Germany","33","0.0401966796916838","0.0273925492352666","0.0530008101481009"
"Often","2013","Schleswig-Holstein","East Germany","","","",""
"Often","2013","Hamburg","West Germany","","","",""
"Often","2013","Hamburg","East Germany","","","",""
"Often","2013","Lower Saxony","West Germany","89","0.0393369888344648","0.0316473058901824","0.0470266717787472"
"Often","2013","Lower Saxony","East Germany","","","",""
"Often","2013","Bremen","West Germany","","","",""
"Often","2013","Bremen","East Germany","","","",""
"Often","2013","North Rhine-Westphalia","West Germany","172","0.0336363207357954","0.0286906550067622","0.0385819864648286"
"Often","2013","North Rhine-Westphalia","East Germany","","","",""
"Often","2013","Hesse","West Germany","63","0.0482667982552315","0.0382307464192519","0.0583028500912111"
"Often","2013","Hesse","East Germany","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","West Germany","49","0.0412741215196295","0.0309240574627507","0.0516241855765083"
"Often","2013","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Often","2013","Baden-Württemberg","West Germany","101","0.0371523996104042","0.0304023862367506","0.0439024129840577"
"Often","2013","Baden-Württemberg","East Germany","","","",""
"Often","2013","Bavaria","West Germany","125","0.0377498257034718","0.0318640347290638","0.0436356166778797"
"Often","2013","Bavaria","East Germany","","","",""
"Often","2013","Berlin","West Germany","","","",""
"Often","2013","Berlin","East Germany","","","",""
"Often","2013","Brandenburg","West Germany","","","",""
"Often","2013","Brandenburg","East Germany","53","0.0513509863071962","0.0378193655468603","0.0648826070675322"
"Often","2013","Mecklenburg-Western Pomerania","West Germany","","","",""
"Often","2013","Mecklenburg-Western Pomerania","East Germany","36","0.0579614913587258","0.0390583864662123","0.0768645962512393"
"Often","2013","Saxony","West Germany","","","",""
"Often","2013","Saxony","East Germany","65","0.0467909850229295","0.0367957918197178","0.0567861782261411"
"Often","2013","Saxony-Anhalt","West Germany","","","",""
"Often","2013","Saxony-Anhalt","East Germany","40","0.049926771424459","0.0361925258186001","0.0636610170303178"
"Often","2013","Thuringia","West Germany","","","",""
"Often","2013","Thuringia","East Germany","43","0.0507207157036987","0.0371139459724333","0.0643274854349641"
"Sometimes","2013","Schleswig-Holstein","West Germany","86","0.0949722374178184","0.0758608084133708","0.114083666422266"
"Sometimes","2013","Schleswig-Holstein","East Germany","","","",""
"Sometimes","2013","Hamburg","West Germany","","","",""
"Sometimes","2013","Hamburg","East Germany","","","",""
