"plj0589","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","in school","Urban Area","1","","",""
"Very often","2013","in school","Rural Area","","","",""
"Very often","2013","inadequately","Urban Area","7","","",""
"Very often","2013","inadequately","Rural Area","8","","",""
"Very often","2013","general elemantary","Urban Area","49","0.022743892569148","0.0156401943077984","0.0298475908304976"
"Very often","2013","general elemantary","Rural Area","18","","",""
"Very often","2013","middle vocational","Urban Area","77","0.00988749617397135","0.00762980673023435","0.0121451856177084"
"Very often","2013","middle vocational","Rural Area","65","0.013119240786343","0.00998160078947543","0.0162568807832106"
"Very often","2013","vocational + Abi","Urban Area","12","","",""
"Very often","2013","vocational + Abi","Rural Area","3","","",""
"Very often","2013","higher vocational","Urban Area","9","","",""
"Very often","2013","higher vocational","Rural Area","4","","",""
"Very often","2013","higher education","Urban Area","18","","",""
"Very often","2013","higher education","Rural Area","12","","",""
"Often","2013","in school","Urban Area","12","","",""
"Often","2013","in school","Rural Area","4","","",""
"Often","2013","inadequately","Urban Area","25","","",""
"Often","2013","inadequately","Rural Area","16","","",""
"Often","2013","general elemantary","Urban Area","96","0.0642022001819043","0.0525229791601162","0.0758814212036923"
"Often","2013","general elemantary","Rural Area","42","0.0496496880255319","0.035450341174587","0.0638490348764768"
"Often","2013","middle vocational","Urban Area","273","0.0377064940771715","0.0333599847091504","0.0420530034451926"
"Often","2013","middle vocational","Rural Area","204","0.0440040682342847","0.0383483097343891","0.0496598267341803"
"Often","2013","vocational + Abi","Urban Area","50","0.0392930764996058","0.028678264793453","0.0499078882057586"
"Often","2013","vocational + Abi","Rural Area","14","","",""
"Often","2013","higher vocational","Urban Area","24","","",""
"Often","2013","higher vocational","Rural Area","22","","",""
"Often","2013","higher education","Urban Area","84","0.0234012241890845","0.0188292810314593","0.0279731673467097"
"Often","2013","higher education","Rural Area","35","0.034322801491796","0.025490063122275","0.0431555398613169"
"Sometimes","2013","in school","Urban Area","21","","",""
"Sometimes","2013","in school","Rural Area","9","","",""
"Sometimes","2013","inadequately","Urban Area","53","0.2530314718673","0.194647086545194","0.311415857189405"
"Sometimes","2013","inadequately","Rural Area","22","","",""
"Sometimes","2013","general elemantary","Urban Area","256","0.148751585729573","0.131796231334752","0.165706940124393"
"Sometimes","2013","general elemantary","Rural Area","119","0.13524318063711","0.112888270374554","0.157598090899666"
"Sometimes","2013","middle vocational","Urban Area","745","0.101459390401012","0.0945697945785051","0.108348986223519"
"Sometimes","2013","middle vocational","Rural Area","565","0.105327430214547","0.096862581018697","0.113792279410397"
"Sometimes","2013","vocational + Abi","Urban Area","121","0.078826091072143","0.0641041651790216","0.0935480169652645"
"Sometimes","2013","vocational + Abi","Rural Area","55","0.132214721859972","0.102161971284082","0.162267472435863"
"Sometimes","2013","higher vocational","Urban Area","77","0.0951568729858028","0.0769882941705775","0.113325451801028"
"Sometimes","2013","higher vocational","Rural Area","62","0.0854591627880827","0.0643847437381629","0.106533581838002"
"Sometimes","2013","higher education","Urban Area","301","0.0774404195406051","0.0693568252963262","0.085524013784884"
"Sometimes","2013","higher education","Rural Area","112","0.0740387579248248","0.061335533216524","0.0867419826331256"
"Rarely ","2013","in school","Urban Area","86","0.23897117572605","0.191267459100484","0.286674892351616"
"Rarely ","2013","in school","Rural Area","42","0.334719255287737","0.25541044007631","0.414028070499164"
"Rarely ","2013","inadequately","Urban Area","70","0.310553952469306","0.248413134895139","0.372694770043472"
"Rarely ","2013","inadequately","Rural Area","27","","",""
"Rarely ","2013","general elemantary","Urban Area","438","0.25700239087862","0.236180977737075","0.277823804020165"
"Rarely ","2013","general elemantary","Rural Area","262","0.303366868692496","0.273316183268853","0.333417554116138"
"Rarely ","2013","middle vocational","Urban Area","1960","0.275425669137667","0.265232189859559","0.285619148415775"
"Rarely ","2013","middle vocational","Rural Area","1452","0.293938683303414","0.281376474683891","0.306500891922937"
"Rarely ","2013","vocational + Abi","Urban Area","352","0.280664803931776","0.256116671931501","0.30521293593205"
"Rarely ","2013","vocational + Abi","Rural Area","137","0.256307421366164","0.21757135693179","0.295043485800538"
"Rarely ","2013","higher vocational","Urban Area","284","0.30906020320177","0.280447698495199","0.337672707908341"
"Rarely ","2013","higher vocational","Rural Area","223","0.355660952960116","0.319574012573515","0.391747893346718"
"Rarely ","2013","higher education","Urban Area","1055","0.257545711221816","0.244321022240922","0.27077040020271"
"Rarely ","2013","higher education","Rural Area","458","0.306035410405454","0.283676918372451","0.328393902438457"
"Never","2013","in school","Urban Area","187","0.638116454100194","0.584362143866406","0.691870764333983"
"Never","2013","in school","Rural Area","81","0.550769565936773","0.467171122844107","0.634368009029438"
"Never","2013","inadequately","Urban Area","58","0.328575503411355","0.26549800353873","0.391653003283979"
"Never","2013","inadequately","Rural Area","42","0.367768818813924","0.2796386546987","0.455898982929149"
"Never","2013","general elemantary","Urban Area","853","0.507299930640755","0.483478292413571","0.531121568867939"
"Never","2013","general elemantary","Rural Area","458","0.498969710757215","0.466285550784773","0.531653870729657"
"Never","2013","middle vocational","Urban Area","4323","0.575520950210178","0.564242810646304","0.586799089774052"
"Never","2013","middle vocational","Rural Area","2766","0.543610577461411","0.52987559356409","0.557345561358732"
"Never","2013","vocational + Abi","Urban Area","752","0.589330146367947","0.562452913260758","0.616207379475137"
"Never","2013","vocational + Abi","Rural Area","279","0.584392647572482","0.540667411525914","0.62811788361905"
"Never","2013","higher vocational","Urban Area","608","0.562372672928651","0.531655690353009","0.593089655504294"
"Never","2013","higher vocational","Rural Area","365","0.502419012901573","0.464727838931121","0.540110186872026"
"Never","2013","higher education","Urban Area","2742","0.635960612392182","0.621408945558645","0.65051227922572"
"Never","2013","higher education","Rural Area","1015","0.576076670442629","0.552100941696742","0.600052399188515"
"Very often","2014","in school","Urban Area","","","",""
"Very often","2014","in school","Rural Area","","","",""
"Very often","2014","inadequately","Urban Area","","","",""
"Very often","2014","inadequately","Rural Area","","","",""
"Very often","2014","general elemantary","Urban Area","","","",""
"Very often","2014","general elemantary","Rural Area","","","",""
"Very often","2014","middle vocational","Urban Area","","","",""
"Very often","2014","middle vocational","Rural Area","","","",""
"Very often","2014","vocational + Abi","Urban Area","","","",""
"Very often","2014","vocational + Abi","Rural Area","","","",""
"Very often","2014","higher vocational","Urban Area","","","",""
"Very often","2014","higher vocational","Rural Area","","","",""
"Very often","2014","higher education","Urban Area","","","",""
"Very often","2014","higher education","Rural Area","","","",""
"Often","2014","in school","Urban Area","","","",""
"Often","2014","in school","Rural Area","","","",""
"Often","2014","inadequately","Urban Area","","","",""
"Often","2014","inadequately","Rural Area","","","",""
"Often","2014","general elemantary","Urban Area","","","",""
"Often","2014","general elemantary","Rural Area","","","",""
"Often","2014","middle vocational","Urban Area","","","",""
"Often","2014","middle vocational","Rural Area","","","",""
"Often","2014","vocational + Abi","Urban Area","","","",""
"Often","2014","vocational + Abi","Rural Area","","","",""
"Often","2014","higher vocational","Urban Area","","","",""
"Often","2014","higher vocational","Rural Area","","","",""
"Often","2014","higher education","Urban Area","","","",""
"Often","2014","higher education","Rural Area","","","",""
"Sometimes","2014","in school","Urban Area","","","",""
"Sometimes","2014","in school","Rural Area","","","",""
"Sometimes","2014","inadequately","Urban Area","","","",""
"Sometimes","2014","inadequately","Rural Area","","","",""
"Sometimes","2014","general elemantary","Urban Area","","","",""
"Sometimes","2014","general elemantary","Rural Area","","","",""
"Sometimes","2014","middle vocational","Urban Area","","","",""
"Sometimes","2014","middle vocational","Rural Area","","","",""
"Sometimes","2014","vocational + Abi","Urban Area","","","",""
"Sometimes","2014","vocational + Abi","Rural Area","","","",""
"Sometimes","2014","higher vocational","Urban Area","","","",""
"Sometimes","2014","higher vocational","Rural Area","","","",""
"Sometimes","2014","higher education","Urban Area","","","",""
"Sometimes","2014","higher education","Rural Area","","","",""
"Rarely ","2014","in school","Urban Area","","","",""
"Rarely ","2014","in school","Rural Area","","","",""
"Rarely ","2014","inadequately","Urban Area","","","",""
"Rarely ","2014","inadequately","Rural Area","","","",""
"Rarely ","2014","general elemantary","Urban Area","","","",""
"Rarely ","2014","general elemantary","Rural Area","","","",""
"Rarely ","2014","middle vocational","Urban Area","","","",""
"Rarely ","2014","middle vocational","Rural Area","","","",""
"Rarely ","2014","vocational + Abi","Urban Area","","","",""
"Rarely ","2014","vocational + Abi","Rural Area","","","",""
"Rarely ","2014","higher vocational","Urban Area","","","",""
"Rarely ","2014","higher vocational","Rural Area","","","",""
"Rarely ","2014","higher education","Urban Area","","","",""
"Rarely ","2014","higher education","Rural Area","","","",""
"Never","2014","in school","Urban Area","","","",""
"Never","2014","in school","Rural Area","","","",""
"Never","2014","inadequately","Urban Area","","","",""
"Never","2014","inadequately","Rural Area","","","",""
"Never","2014","general elemantary","Urban Area","","","",""
"Never","2014","general elemantary","Rural Area","","","",""
"Never","2014","middle vocational","Urban Area","","","",""
"Never","2014","middle vocational","Rural Area","","","",""
"Never","2014","vocational + Abi","Urban Area","","","",""
"Never","2014","vocational + Abi","Rural Area","","","",""
"Never","2014","higher vocational","Urban Area","","","",""
"Never","2014","higher vocational","Rural Area","","","",""
"Never","2014","higher education","Urban Area","","","",""
"Never","2014","higher education","Rural Area","","","",""
"Very often","2015","in school","Urban Area","","","",""
"Very often","2015","in school","Rural Area","","","",""
"Very often","2015","inadequately","Urban Area","","","",""
"Very often","2015","inadequately","Rural Area","","","",""
"Very often","2015","general elemantary","Urban Area","","","",""
"Very often","2015","general elemantary","Rural Area","","","",""
"Very often","2015","middle vocational","Urban Area","","","",""
"Very often","2015","middle vocational","Rural Area","","","",""
"Very often","2015","vocational + Abi","Urban Area","","","",""
"Very often","2015","vocational + Abi","Rural Area","","","",""
"Very often","2015","higher vocational","Urban Area","","","",""
"Very often","2015","higher vocational","Rural Area","","","",""
"Very often","2015","higher education","Urban Area","","","",""
"Very often","2015","higher education","Rural Area","","","",""
"Often","2015","in school","Urban Area","","","",""
"Often","2015","in school","Rural Area","","","",""
"Often","2015","inadequately","Urban Area","","","",""
