"plj0589","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","lower secondary degree","79","0.0179590111524112","0.0136589327300846","0.0222590895747378"
"Very often","2013","Not Employed","secondary school degree","45","0.0147645028366339","0.0095625369223122","0.0199664687509556"
"Very often","2013","Not Employed","college entrance qualification","13","","",""
"Very often","2013","Not Employed","Other degree","23","","",""
"Very often","2013","Not Employed","no degree/no degree yet","11","","",""
"Very often","2013","Employed","lower secondary degree","41","0.011948305750291","0.00832479193306427","0.0155718195675178"
"Very often","2013","Employed","secondary school degree","39","0.00765232232938833","0.00541371537952951","0.00989092927924714"
"Very often","2013","Employed","college entrance qualification","20","","",""
"Very often","2013","Employed","Other degree","7","","",""
"Very often","2013","Employed","no degree/no degree yet","5","","",""
"Often","2013","Not Employed","lower secondary degree","193","0.0570726227002916","0.049561179346384","0.0645840660541992"
"Often","2013","Not Employed","secondary school degree","107","0.0561979785784295","0.046264785852551","0.0661311713043081"
"Often","2013","Not Employed","college entrance qualification","41","0.0280172315852207","0.0201049495592477","0.0359295136111938"
"Often","2013","Not Employed","Other degree","37","0.0524635112176305","0.0348565509918946","0.0700704714433664"
"Often","2013","Not Employed","no degree/no degree yet","44","0.0722050977303875","0.0503949112173498","0.0940152842434252"
"Often","2013","Employed","lower secondary degree","116","0.0316521043237163","0.0258135688235603","0.0374906398238722"
"Often","2013","Employed","secondary school degree","185","0.0348308716213728","0.0301207385855841","0.0395410046571614"
"Often","2013","Employed","college entrance qualification","104","0.0226334980052377","0.0187801273766466","0.0264868686338287"
"Often","2013","Employed","Other degree","48","0.052897395819155","0.0389335457853921","0.0668612458529179"
"Often","2013","Employed","no degree/no degree yet","17","","",""
"Sometimes","2013","Not Employed","lower secondary degree","441","0.113343401772651","0.103078703093355","0.123608100451946"
"Sometimes","2013","Not Employed","secondary school degree","265","0.153228650513372","0.137692581955737","0.168764719071008"
"Sometimes","2013","Not Employed","college entrance qualification","137","0.0966154958949533","0.0824503980705981","0.110780593719308"
"Sometimes","2013","Not Employed","Other degree","122","0.188878600342215","0.157969095879113","0.219788104805317"
"Sometimes","2013","Not Employed","no degree/no degree yet","61","0.120908244474582","0.0934359761428676","0.148380512806297"
"Sometimes","2013","Employed","lower secondary degree","362","0.096030217248096","0.0862044191305573","0.105856015365635"
"Sometimes","2013","Employed","secondary school degree","527","0.0852562049973541","0.0780821941997635","0.0924302157949446"
"Sometimes","2013","Employed","college entrance qualification","395","0.0735938718347946","0.0668290283378575","0.0803587153317317"
"Sometimes","2013","Employed","Other degree","142","0.147006277538126","0.124914514689234","0.169098040387018"
"Sometimes","2013","Employed","no degree/no degree yet","40","0.155255977470357","0.111898159014308","0.198613795926406"
"Rarely ","2013","Not Employed","lower secondary degree","932","0.255782406868191","0.241655220984877","0.269909592751504"
"Rarely ","2013","Not Employed","secondary school degree","555","0.260943396413104","0.242002520044294","0.279884272781915"
"Rarely ","2013","Not Employed","college entrance qualification","445","0.294382071587515","0.272529610877015","0.316234532298014"
"Rarely ","2013","Not Employed","Other degree","165","0.249930678687133","0.215739173444748","0.284122183929517"
"Rarely ","2013","Not Employed","no degree/no degree yet","143","0.263728097190336","0.22659623133055","0.300859963050121"
"Rarely ","2013","Employed","lower secondary degree","1035","0.31441950936728","0.298935946831786","0.329903071902775"
"Rarely ","2013","Employed","secondary school degree","1649","0.312294351614577","0.300389262469714","0.32419944075944"
"Rarely ","2013","Employed","college entrance qualification","1470","0.254742686796871","0.243454083696315","0.266031289897427"
"Rarely ","2013","Employed","Other degree","290","0.281002835056538","0.25296086931323","0.309044800799846"
"Rarely ","2013","Employed","no degree/no degree yet","88","0.332088870291209","0.27570340162214","0.388474338960279"
"Never","2013","Not Employed","lower secondary degree","2019","0.555842557506456","0.539754088140831","0.571931026872082"
"Never","2013","Not Employed","secondary school degree","1093","0.51486547165846","0.493309577637212","0.536421365679708"
"Never","2013","Not Employed","college entrance qualification","1035","0.572430489451729","0.548709947395996","0.596151031507463"
"Never","2013","Not Employed","Other degree","269","0.479847176221726","0.440394661831839","0.519299690611614"
"Never","2013","Not Employed","no degree/no degree yet","282","0.520549959752403","0.47845284349094","0.562647076013867"
"Never","2013","Employed","lower secondary degree","1900","0.545949863310616","0.529345768270206","0.562553958351026"
"Never","2013","Employed","secondary school degree","3421","0.559966249437308","0.547214398971763","0.572718099902853"
"Never","2013","Employed","college entrance qualification","3734","0.645129746719967","0.632733376156827","0.657526117283108"
"Never","2013","Employed","Other degree","500","0.50771940131862","0.476529948592101","0.538908854045139"
"Never","2013","Employed","no degree/no degree yet","118","0.42603041836089","0.366827183555934","0.485233653165845"
