"plj0589","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","Male","3","","",""
"Very often","2013","Schleswig-Holstein","Female","6","","",""
"Very often","2013","Hamburg","Male","","","",""
"Very often","2013","Hamburg","Female","2","","",""
"Very often","2013","Lower Saxony","Male","9","","",""
"Very often","2013","Lower Saxony","Female","21","","",""
"Very often","2013","Bremen","Male","1","","",""
"Very often","2013","Bremen","Female","1","","",""
"Very often","2013","North Rhine-Westphalia","Male","15","","",""
"Very often","2013","North Rhine-Westphalia","Female","31","0.00936656755807105","0.00578968846455696","0.0129434466515851"
"Very often","2013","Hesse","Male","6","","",""
"Very often","2013","Hesse","Female","12","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Male","6","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Female","10","","",""
"Very often","2013","Baden-Württemberg","Male","11","","",""
"Very often","2013","Baden-Württemberg","Female","17","","",""
"Very often","2013","Bavaria","Male","13","","",""
"Very often","2013","Bavaria","Female","32","0.0124723170582264","0.00785574291865756","0.0170888911977953"
"Very often","2013","Berlin","Male","8","","",""
"Very often","2013","Berlin","Female","8","","",""
"Very often","2013","Brandenburg","Male","5","","",""
"Very often","2013","Brandenburg","Female","8","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Male","2","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Female","5","","",""
"Very often","2013","Saxony","Male","8","","",""
"Very often","2013","Saxony","Female","15","","",""
"Very often","2013","Saxony-Anhalt","Male","4","","",""
"Very often","2013","Saxony-Anhalt","Female","8","","",""
"Very often","2013","Thuringia","Male","6","","",""
"Very often","2013","Thuringia","Female","15","","",""
"Often","2013","Schleswig-Holstein","Male","12","","",""
"Often","2013","Schleswig-Holstein","Female","21","","",""
"Often","2013","Hamburg","Male","3","","",""
"Often","2013","Hamburg","Female","6","","",""
"Often","2013","Lower Saxony","Male","36","0.0323818435389463","0.0219544186536757","0.0428092684242169"
"Often","2013","Lower Saxony","Female","53","0.0457387508307255","0.0345860786001139","0.0568914230613372"
