"plj0589","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","West Germany","Male","68","0.00953274695461571","0.00751897036002047","0.011546523549211"
"Very often","2013","West Germany","Female","138","0.0106020394558984","0.00867667241804458","0.0125274064937523"
"Very often","2013","East Germany","Male","","","",""
"Very often","2013","East Germany","Female","53","0.017147450792764","0.0125921741084632","0.0217027274770648"
"Often","2013","West Germany","Male","245","0.0307930006381949","0.027212724927636","0.0343732763487538"
"Often","2013","West Germany","Female","426","0.0441113362461294","0.0402511160239053","0.0479715564683534"
"Often","2013","East Germany","Male","99","0.042477508528055","0.0347403437299891","0.050214673326121"
"Often","2013","East Germany","Female","152","0.0527827844492121","0.0449369031429435","0.0606286657554807"
"Sometimes","2013","West Germany","Male","742","0.0875031808593332","0.0816470631761995","0.0933592985424668"
"Sometimes","2013","West Germany","Female","1124","0.102435223894669","0.0967350135768167","0.108135434212521"
"Sometimes","2013","East Germany","Male","306","0.129326210352206","0.116452644805667","0.142199775898746"
"Sometimes","2013","East Germany","Female","406","0.134863669988524","0.122878048569208","0.14684929140784"
"Rarely ","2013","West Germany","Male","2532","0.289049573107333","0.279654762670713","0.298444383543953"
"Rarely ","2013","West Germany","Female","2739","0.262635780683489","0.254363004113293","0.270908557253684"
"Rarely ","2013","East Germany","Male","809","0.331671039288352","0.313608585309028","0.349733493267675"
"Rarely ","2013","East Germany","Female","891","0.277006970337471","0.261303949830354","0.292709990844589"
"Never","2013","West Germany","Male","5357","0.583121498440523","0.572903484945556","0.59333951193549"
"Never","2013","West Germany","Female","6443","0.580215619719815","0.57093790179148","0.589493337648149"
"Never","2013","East Germany","Male","1367","0.485433740304899","0.466259707336548","0.504607773273249"
"Never","2013","East Germany","Female","1618","0.518199124432028","0.50066625801671","0.535731990847347"
"Very often","2014","West Germany","Male","","","",""
"Very often","2014","West Germany","Female","","","",""
"Very often","2014","East Germany","Male","","","",""
"Very often","2014","East Germany","Female","","","",""
"Often","2014","West Germany","Male","","","",""
"Often","2014","West Germany","Female","","","",""
"Often","2014","East Germany","Male","","","",""
"Often","2014","East Germany","Female","","","",""
"Sometimes","2014","West Germany","Male","","","",""
"Sometimes","2014","West Germany","Female","","","",""
"Sometimes","2014","East Germany","Male","","","",""
"Sometimes","2014","East Germany","Female","","","",""
"Rarely ","2014","West Germany","Male","","","",""
"Rarely ","2014","West Germany","Female","","","",""
"Rarely ","2014","East Germany","Male","","","",""
"Rarely ","2014","East Germany","Female","","","",""
"Never","2014","West Germany","Male","","","",""
"Never","2014","West Germany","Female","","","",""
"Never","2014","East Germany","Male","","","",""
"Never","2014","East Germany","Female","","","",""
"Very often","2015","West Germany","Male","","","",""
"Very often","2015","West Germany","Female","","","",""
"Very often","2015","East Germany","Male","","","",""
"Very often","2015","East Germany","Female","","","",""
"Often","2015","West Germany","Male","","","",""
"Often","2015","West Germany","Female","","","",""
"Often","2015","East Germany","Male","","","",""
"Often","2015","East Germany","Female","","","",""
"Sometimes","2015","West Germany","Male","","","",""
"Sometimes","2015","West Germany","Female","","","",""
"Sometimes","2015","East Germany","Male","","","",""
"Sometimes","2015","East Germany","Female","","","",""
"Rarely ","2015","West Germany","Male","","","",""
"Rarely ","2015","West Germany","Female","","","",""
"Rarely ","2015","East Germany","Male","","","",""
"Rarely ","2015","East Germany","Female","","","",""
"Never","2015","West Germany","Male","","","",""
"Never","2015","West Germany","Female","","","",""
"Never","2015","East Germany","Male","","","",""
"Never","2015","East Germany","Female","","","",""
"Very often","2016","West Germany","Male","166","0.0891991172316414","0.0772341409006796","0.101164093562603"
"Very often","2016","West Germany","Female","92","0.0899258021444608","0.0746144246797625","0.105237179609159"
"Very often","2016","East Germany","Male","38","0.106903379567564","0.0791160874523015","0.134690671682827"
"Very often","2016","East Germany","Female","","","",""
"Often","2016","West Germany","Male","276","0.175371759245003","0.159408235026726","0.191335283463281"
"Often","2016","West Germany","Female","165","0.135782159045146","0.117447760359937","0.154116557730356"
"Often","2016","East Germany","Male","84","0.220904452519443","0.183596717614743","0.258212187424142"
"Often","2016","East Germany","Female","47","0.175085792601655","0.129242482035469","0.220929103167841"
"Sometimes","2016","West Germany","Male","452","0.211162989261616","0.194030424417797","0.228295554105435"
"Sometimes","2016","West Germany","Female","310","0.247150066988335","0.224063025871721","0.270237108104949"
"Sometimes","2016","East Germany","Male","136","0.293499535280764","0.252548845536854","0.334450225024674"
"Sometimes","2016","East Germany","Female","69","0.281927853489736","0.227652937422573","0.3362027695569"
"Rarely ","2016","West Germany","Male","416","0.195666756386714","0.179013607056524","0.212319905716905"
"Rarely ","2016","West Germany","Female","225","0.165443861318488","0.145556058341225","0.185331664295752"
"Rarely ","2016","East Germany","Male","66","0.108179353538157","0.0802466971888221","0.136112009887492"
"Rarely ","2016","East Germany","Female","41","0.15913096982863","0.115005670846029","0.203256268811231"
"Never","2016","West Germany","Male","870","0.328599377875025","0.308882230511364","0.348316525238686"
"Never","2016","West Germany","Female","549","0.361698110503569","0.335981135240391","0.387415085766747"
"Never","2016","East Germany","Male","151","0.270513279094073","0.230564429637293","0.310462128550852"
"Never","2016","East Germany","Female","88","0.327274423310473","0.270673810857329","0.383875035763617"
"Very often","2017","West Germany","Male","193","0.0104109629225344","0.0085308257599194","0.0122911000851493"
"Very often","2017","West Germany","Female","221","0.0125691053152032","0.0106069169656321","0.0145312936647743"
"Very often","2017","East Germany","Male","39","0.0144490457872251","0.00997267665269567","0.0189254149217545"
"Very often","2017","East Germany","Female","48","0.0142446135119457","0.0101130497046292","0.0183761773192622"
"Often","2017","West Germany","Male","504","0.0345471585519177","0.03116426489879","0.0379300522050454"
"Often","2017","West Germany","Female","596","0.0393877189239847","0.0359617009513427","0.0428137368966267"
"Often","2017","East Germany","Male","119","0.0432066983914285","0.035579740103123","0.050833656679734"
"Often","2017","East Germany","Female","153","0.0445865434727467","0.0373903616270792","0.0517827253184142"
"Sometimes","2017","West Germany","Male","1229","0.091793264424686","0.0864449810152794","0.0971415478340927"
"Sometimes","2017","West Germany","Female","1493","0.113330515471617","0.107747234706387","0.118913796236848"
"Sometimes","2017","East Germany","Male","302","0.111505627171153","0.0996985473117906","0.123312707030515"
"Sometimes","2017","East Germany","Female","414","0.126871513877648","0.115267033741368","0.138475994013929"
"Rarely ","2017","West Germany","Male","2891","0.279179367114369","0.270869924171881","0.287488810056858"
"Rarely ","2017","West Germany","Female","3086","0.249207336603359","0.24158872951445","0.256825943692268"
"Rarely ","2017","East Germany","Male","796","0.306343346045863","0.289051423895416","0.32363526819631"
"Rarely ","2017","East Germany","Female","820","0.262308638330497","0.246971363664496","0.277645912996499"
"Never","2017","West Germany","Male","6379","0.584069246986493","0.574939487592886","0.593199006380099"
"Never","2017","West Germany","Female","6987","0.585505323685836","0.576828514294686","0.594182133076985"
"Never","2017","East Germany","Male","1474","0.524495282604331","0.505761952946451","0.543228612262211"
"Never","2017","East Germany","Female","1725","0.551988690807162","0.534650086788978","0.569327294825346"
"Very often","2018","West Germany","Male","","","",""
"Very often","2018","West Germany","Female","","","",""
"Very often","2018","East Germany","Male","","","",""
"Very often","2018","East Germany","Female","","","",""
"Often","2018","West Germany","Male","","","",""
"Often","2018","West Germany","Female","","","",""
"Often","2018","East Germany","Male","","","",""
