"plj0589","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","West Germany","43","0.00656750228283109","0.00419107932298383","0.00894392524267835"
"Very often","2013","16-34 y.","East Germany","","","",""
"Very often","2013","35-65 y.","West Germany","127","0.0117150767793244","0.00975976560765464","0.0136703879509941"
"Very often","2013","35-65 y.","East Germany","58","0.0202015666738732","0.0153897683919983","0.0250133649557482"
"Very often","2013","66 and older","West Germany","36","0.00964001075343111","0.0065098007150477","0.0127702207918145"
"Very often","2013","66 and older","East Germany","","","",""
"Often","2013","16-34 y.","West Germany","151","0.0367412774384695","0.0312064632797577","0.0422760915971813"
"Often","2013","16-34 y.","East Germany","53","0.0444639147377545","0.0328209859231283","0.0561068435523807"
"Often","2013","35-65 y.","West Germany","409","0.0392518787120743","0.0357229960091222","0.0427807614150264"
"Often","2013","35-65 y.","East Germany","147","0.0463477988869372","0.0391573487088073","0.0535382490650671"
"Often","2013","66 and older","West Germany","111","0.035403450527859","0.029483285332753","0.0413236157229649"
"Often","2013","66 and older","East Germany","51","0.0532104393213974","0.0407276268616492","0.0656932517811457"
"Sometimes","2013","16-34 y.","West Germany","481","0.0951051673302091","0.0864742778948023","0.103736056765616"
"Sometimes","2013","16-34 y.","East Germany","164","0.143367086945484","0.12357202084346","0.163162153047507"
"Sometimes","2013","35-65 y.","West Germany","1091","0.0968766136057572","0.091501529726745","0.102251697484769"
"Sometimes","2013","35-65 y.","East Germany","397","0.12936825138923","0.117889950081023","0.140846552697437"
"Sometimes","2013","66 and older","West Germany","294","0.0921618389271039","0.0828952913358177","0.10142838651839"
"Sometimes","2013","66 and older","East Germany","151","0.12879870297519","0.110169155977639","0.147428249972741"
"Rarely ","2013","16-34 y.","West Germany","1265","0.285052778345428","0.271771065921851","0.298334490769006"
"Rarely ","2013","16-34 y.","East Germany","362","0.299447480217071","0.273576342441617","0.325318617992524"
"Rarely ","2013","35-65 y.","West Germany","3087","0.279539833964915","0.271384738199507","0.287694929730323"
"Rarely ","2013","35-65 y.","East Germany","988","0.315047892383745","0.299160050492299","0.330935734275192"
"Rarely ","2013","66 and older","West Germany","919","0.259600571419854","0.245555497251027","0.273645645588681"
"Rarely ","2013","66 and older","East Germany","350","0.284221131299313","0.259136662336935","0.30930560026169"
"Never","2013","16-34 y.","West Germany","2498","0.576533274603062","0.561996224870738","0.591070324335386"
"Never","2013","16-34 y.","East Germany","607","0.502518860583739","0.474276607472113","0.530761113695364"
"Never","2013","35-65 y.","West Germany","6919","0.572616596937929","0.563626942056683","0.581606251819175"
"Never","2013","35-65 y.","East Germany","1694","0.489034490666214","0.471937799968447","0.506131181363981"
"Never","2013","66 and older","West Germany","2383","0.603194128371752","0.587520996955481","0.618867259788023"
