"plj0589","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Thuringia","Rural Area","356","0.505429817894082","0.468339139732228","0.542520496055937","5"
"Never","2013","Saxony","Urban Area","491","0.539397905053134","0.506276706294066","0.572519103812202","5"
"Never","2013","Schleswig-Holstein","Urban Area","137","0.487076074737607","0.42560708010187","0.548545069373343","5"
"Never","2013","Schleswig-Holstein","Rural Area","351","0.547803154203894","0.509541174119166","0.586065134288622","5"
"Never","2013","Hamburg","Urban Area","289","0.679191327451728","0.633842088576748","0.724540566326708","5"
"Never","2013","Hamburg","Rural Area","","","","","5"
"Never","2013","Lower Saxony","Urban Area","674","0.594397324780569","0.565381122051135","0.623413527510003","5"
"Never","2013","Lower Saxony","Rural Area","755","0.554501296709053","0.528037451440793","0.580965141977313","5"
"Never","2013","Bremen","Urban Area","107","0.486758402708077","0.414538511126408","0.558978294289746","5"
"Never","2013","Bremen","Rural Area","","","","","5"
"Never","2013","North Rhine-Westphalia","Urban Area","2964","0.589413829920446","0.575757694052631","0.603069965788262","5"
"Never","2013","North Rhine-Westphalia","Rural Area","81","0.690385861944815","0.607665237443795","0.773106486445835","5"
"Never","2013","Hesse","Urban Area","844","0.603221698365835","0.577484231971577","0.628959164760092","5"
"Never","2013","Hesse","Rural Area","188","0.522297508003081","0.470983595481686","0.573611420524476","5"
"Never","2013","Rhineland-Palatinate,Saarland","Urban Area","651","0.607022507171013","0.577550609741836","0.63649440460019","5"
"Never","2013","Rhineland-Palatinate,Saarland","Rural Area","218","0.546208153711929","0.495062959417518","0.59735334800634","5"
"Never","2013","Baden-Württemberg","Urban Area","1620","0.570531506455573","0.55177328457901","0.589289728332136","5"
"Never","2013","Baden-Württemberg","Rural Area","210","0.581647372040655","0.529290699546474","0.634004044534835","5"
"Never","2013","Bavaria","Urban Area","1040","0.600147630335652","0.57718973502359","0.623105525647713","5"
"Never","2013","Bavaria","Rural Area","1372","0.572991640969001","0.552683589286034","0.593299692651967","5"
"Never","2013","Berlin","Urban Area","533","0.532908999582813","0.501751883463263","0.564066115702364","5"
"Never","2013","Berlin","Rural Area","","","","","5"
"Never","2013","Brandenburg","Urban Area","34","0.434791090190091","0.330623340497921","0.538958839882262","5"
"Never","2013","Brandenburg","Rural Area","456","0.474240561324068","0.442234283359674","0.506246839288462","5"
"Never","2013","Mecklenburg-Western Pomerania","Urban Area","28","","","","5"
