"plj0589","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","(0) in school","","","",""
"Very often","2013","Not Employed","(1a) inadequately completed","11","","",""
"Very often","2013","Not Employed","(1b) general elementary school","43","0.0273865505957986","0.0178069046051789","0.0369661965864183"
"Very often","2013","Not Employed","(1c) basic vocational qualification","50","0.0163239242509931","0.0116032570118296","0.0210445914901566"
"Very often","2013","Not Employed","(2b) intermediate general qualification","9","","",""
"Very often","2013","Not Employed","(2a) intermediate vocational","36","0.0152535075722331","0.00918142033574857","0.0213255948087177"
"Very often","2013","Not Employed","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","Not Employed","(2c_voc) vocational maturity certificate","8","","",""
"Very often","2013","Not Employed","(3a) lower tertiary education","1","","",""
"Very often","2013","Not Employed","(3b) higher tertiary education","11","","",""
"Very often","2013","Employed","(0) in school","1","","",""
"Very often","2013","Employed","(1a) inadequately completed","4","","",""
"Very often","2013","Employed","(1b) general elementary school","14","","",""
"Very often","2013","Employed","(1c) basic vocational qualification","29","","",""
"Very often","2013","Employed","(2b) intermediate general qualification","5","","",""
"Very often","2013","Employed","(2a) intermediate vocational","30","0.00681683244973381","0.00451789373700903","0.0091157711624586"
"Very often","2013","Employed","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","Employed","(2c_voc) vocational maturity certificate","9","","",""
"Very often","2013","Employed","(3a) lower tertiary education","5","","",""
"Very often","2013","Employed","(3b) higher tertiary education","13","","",""
"Often","2013","Not Employed","(0) in school","11","","",""
"Often","2013","Not Employed","(1a) inadequately completed","33","0.100886895621641","0.0582856772656249","0.143488113977657"
"Often","2013","Not Employed","(1b) general elementary school","68","0.0710996999935943","0.0560152634287486","0.0861841365584401"
"Often","2013","Not Employed","(1c) basic vocational qualification","138","0.0492122538136012","0.0411539532178158","0.0572705544093865"
"Often","2013","Not Employed","(2b) intermediate general qualification","18","","",""
"Often","2013","Not Employed","(2a) intermediate vocational","83","0.0566609281286423","0.045206677713386","0.0681151785438985"
"Often","2013","Not Employed","(2c_gen) general maturity certificate","8","","",""
"Often","2013","Not Employed","(2c_voc) vocational maturity certificate","22","","",""
"Often","2013","Not Employed","(3a) lower tertiary education","17","","",""
"Often","2013","Not Employed","(3b) higher tertiary education","24","","",""
"Often","2013","Employed","(0) in school","5","","",""
"Often","2013","Employed","(1a) inadequately completed","12","","",""
"Often","2013","Employed","(1b) general elementary school","36","0.0448929601253813","0.0306504931609335","0.059135427089829"
"Often","2013","Employed","(1c) basic vocational qualification","97","0.0296678546797475","0.0236601719169553","0.0356755374425397"
"Often","2013","Employed","(2b) intermediate general qualification","17","","",""
"Often","2013","Employed","(2a) intermediate vocational","154","0.0335315476061687","0.0285018479915649","0.0385612472207725"
"Often","2013","Employed","(2c_gen) general maturity certificate","20","","",""
"Often","2013","Employed","(2c_voc) vocational maturity certificate","52","0.0275949864375547","0.0200106467579839","0.0351793261171255"
"Often","2013","Employed","(3a) lower tertiary education","28","","",""
"Often","2013","Employed","(3b) higher tertiary education","50","0.0194784661376624","0.0143975503188094","0.0245593819565154"
"Sometimes","2013","Not Employed","(0) in school","24","","",""
"Sometimes","2013","Not Employed","(1a) inadequately completed","37","0.185984380391765","0.130947718886883","0.241021041896647"
"Sometimes","2013","Not Employed","(1b) general elementary school","185","0.159552331106123","0.138058314866285","0.18104634734596"
"Sometimes","2013","Not Employed","(1c) basic vocational qualification","311","0.106391381219033","0.0949047693617762","0.117877993076291"
"Sometimes","2013","Not Employed","(2b) intermediate general qualification","38","0.193550672638512","0.146250080397457","0.240851264879567"
"Sometimes","2013","Not Employed","(2a) intermediate vocational","209","0.155841303949404","0.137871462052178","0.173811145846629"
"Sometimes","2013","Not Employed","(2c_gen) general maturity certificate","43","0.113927381262294","0.0823132724499273","0.14554149007466"
"Sometimes","2013","Not Employed","(2c_voc) vocational maturity certificate","55","0.116695639806279","0.0872278087355789","0.146163470876979"
"Sometimes","2013","Not Employed","(3a) lower tertiary education","58","0.100144987057544","0.0753482366201549","0.124941737494933"
