"plj0589","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Urban Area","176","0.0100912890269995","0.00856138821180376","0.0116211898421952"
"Very often","2013","Rural Area","112","0.0124412651074854","0.0101699624095541","0.0147125678054166"
"Often","2013","Urban Area","578","0.0378951468513437","0.0349723718752478","0.0408179218274395"
"Often","2013","Rural Area","344","0.0430981748806976","0.0389369191311983","0.0472594306301969"
"Sometimes","2013","Urban Area","1606","0.100506994895079","0.0959045412854988","0.105109448504659"
"Sometimes","2013","Rural Area","972","0.105968815094961","0.099661759630156","0.112275870559767"
"Rarely ","2013","Urban Area","4336","0.271827694138078","0.265017549906625","0.278637838369531"
"Rarely ","2013","Rural Area","2635","0.298955635372162","0.289574888857093","0.308336381887232"
"Never","2013","Urban Area","9699","0.5796788750885","0.572123139936968","0.587234610240031"
"Never","2013","Rural Area","5086","0.539536109544693","0.529322733451149","0.549749485638238"
"Very often","2014","Urban Area","","","",""
"Very often","2014","Rural Area","","","",""
"Often","2014","Urban Area","","","",""
"Often","2014","Rural Area","","","",""
"Sometimes","2014","Urban Area","","","",""
"Sometimes","2014","Rural Area","","","",""
"Rarely ","2014","Urban Area","","","",""
"Rarely ","2014","Rural Area","","","",""
"Never","2014","Urban Area","","","",""
"Never","2014","Rural Area","","","",""
"Very often","2015","Urban Area","","","",""
"Very often","2015","Rural Area","","","",""
"Often","2015","Urban Area","","","",""
"Often","2015","Rural Area","","","",""
"Sometimes","2015","Urban Area","","","",""
"Sometimes","2015","Rural Area","","","",""
"Rarely ","2015","Urban Area","","","",""
"Rarely ","2015","Rural Area","","","",""
"Never","2015","Urban Area","","","",""
"Never","2015","Rural Area","","","",""
"Very often","2016","Urban Area","202","0.0842875150571631","0.0742211628193789","0.0943538672949472"
"Very often","2016","Rural Area","113","0.102938594634506","0.0866317332419084","0.119245456027104"
"Often","2016","Urban Area","359","0.172765199165668","0.159067315896602","0.186463082434734"
"Often","2016","Rural Area","213","0.172027286259461","0.151774869411452","0.192279703107469"
"Sometimes","2016","Urban Area","641","0.220751866392333","0.205723872580622","0.235779860204044"
"Sometimes","2016","Rural Area","326","0.260869924923999","0.237306271860272","0.284433577987725"
"Rarely ","2016","Urban Area","526","0.185212174286672","0.171136540441466","0.199287808131877"
"Rarely ","2016","Rural Area","222","0.154896174985511","0.135480810114456","0.174311539856566"
"Never","2016","Urban Area","1198","0.336983245098165","0.319856401335805","0.354110088860524"
"Never","2016","Rural Area","460","0.309268019196523","0.284465690157781","0.334070348235266"
"Very often","2017","Urban Area","332","0.0117995756782444","0.0102751882963851","0.0133239630601037"
"Very often","2017","Rural Area","169","0.0124425613829068","0.0102906065230581","0.0145945162427555"
"Often","2017","Urban Area","893","0.0377481313130268","0.0350576390818203","0.0404386235442333"
"Often","2017","Rural Area","479","0.0392093860264633","0.0354414243611181","0.0429773476918084"
"Sometimes","2017","Urban Area","2242","0.103202479156796","0.0989077884072493","0.107497169906342"
"Sometimes","2017","Rural Area","1196","0.110936721207135","0.104839933425002","0.117033508989268"
"Rarely ","2017","Urban Area","4806","0.259779004752414","0.253588552815717","0.26596945668911"
"Rarely ","2017","Rural Area","2787","0.284034444450005","0.275279998850945","0.292788890049065"
"Never","2017","Urban Area","11003","0.587470809099519","0.580521204105446","0.594420414093593"
"Never","2017","Rural Area","5562","0.55337688693349","0.543725756523314","0.563028017343665"
"Very often","2018","Urban Area","16","","",""
"Very often","2018","Rural Area","11","","",""
"Often","2018","Urban Area","27","","",""
"Often","2018","Rural Area","13","","",""
"Sometimes","2018","Urban Area","59","0.219158165198826","0.169538614791571","0.268777715606081"
"Sometimes","2018","Rural Area","34","0.255388335048963","0.186737205369458","0.324039464728469"
"Rarely ","2018","Urban Area","45","0.193945935255639","0.146520111008771","0.241371759502507"
"Rarely ","2018","Rural Area","26","","",""
"Never","2018","Urban Area","120","0.448462672550163","0.388808192344379","0.508117152755948"
"Never","2018","Rural Area","71","0.494451770278927","0.415742568697278","0.573160971860576"
"Very often","2019","Urban Area","3","","",""
"Very often","2019","Rural Area","5","","",""
"Often","2019","Urban Area","15","","",""
"Often","2019","Rural Area","6","","",""
"Sometimes","2019","Urban Area","37","0.224628460856828","0.162077014764788","0.287179906948867"
"Sometimes","2019","Rural Area","23","","",""
"Rarely ","2019","Urban Area","26","","",""
"Rarely ","2019","Rural Area","25","","",""
"Never","2019","Urban Area","90","0.521341121579832","0.446468319584845","0.59621392357482"
"Never","2019","Rural Area","42","0.494948643180828","0.397441766768326","0.59245551959333"
