"plj0589","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","in school","West Germany","1","","",""
"Very often","2013","in school","East Germany","","","",""
"Very often","2013","inadequately","West Germany","12","","",""
"Very often","2013","inadequately","East Germany","3","","",""
"Very often","2013","general elemantary","West Germany","53","0.0190925759495904","0.0134392162623761","0.0247459356368047"
"Very often","2013","general elemantary","East Germany","14","","",""
"Very often","2013","middle vocational","West Germany","92","0.00967773819013088","0.00769603933601073","0.011659437044251"
"Very often","2013","middle vocational","East Germany","50","0.0164708758492039","0.0119575733467383","0.0209841783516695"
"Very often","2013","vocational + Abi","West Germany","13","","",""
"Very often","2013","vocational + Abi","East Germany","2","","",""
"Very often","2013","higher vocational","West Germany","9","","",""
"Very often","2013","higher vocational","East Germany","4","","",""
"Very often","2013","higher education","West Germany","22","","",""
"Very often","2013","higher education","East Germany","8","","",""
"Often","2013","in school","West Germany","14","","",""
"Often","2013","in school","East Germany","2","","",""
"Often","2013","inadequately","West Germany","36","0.103883038078735","0.0680815845376305","0.139684491619839"
"Often","2013","inadequately","East Germany","5","","",""
"Often","2013","general elemantary","West Germany","117","0.058551859281196","0.0488528161692432","0.0682509023931488"
"Often","2013","general elemantary","East Germany","21","","",""
"Often","2013","middle vocational","West Germany","322","0.0373266354903596","0.0334894627231535","0.0411638082575657"
"Often","2013","middle vocational","East Germany","155","0.05042548583389","0.042666015906432","0.0581849557613481"
"Often","2013","vocational + Abi","West Germany","58","0.0379688448724112","0.0283001911680224","0.0476374985768001"
"Often","2013","vocational + Abi","East Germany","6","","",""
"Often","2013","higher vocational","West Germany","24","","",""
"Often","2013","higher vocational","East Germany","22","","",""
"Often","2013","higher education","West Germany","82","0.023479463869498","0.018993102909125","0.0279658248298711"
"Often","2013","higher education","East Germany","37","0.0363576061072084","0.0267431882660966","0.0459720239483202"
"Sometimes","2013","in school","West Germany","27","","",""
"Sometimes","2013","in school","East Germany","3","","",""
"Sometimes","2013","inadequately","West Germany","64","0.225063032471598","0.17605906285146","0.274067002091736"
"Sometimes","2013","inadequately","East Germany","11","","",""
"Sometimes","2013","general elemantary","West Germany","318","0.142505196624525","0.128064390321191","0.156946002927859"
"Sometimes","2013","general elemantary","East Germany","57","0.157937683887049","0.119174126047789","0.196701241726309"
"Sometimes","2013","middle vocational","West Germany","892","0.0918796526511474","0.0860325081268536","0.0977267971754412"
"Sometimes","2013","middle vocational","East Germany","418","0.144789816872233","0.132311732298239","0.157267901446228"
"Sometimes","2013","vocational + Abi","West Germany","140","0.0830474897254436","0.0690872003198518","0.0970077791310354"
"Sometimes","2013","vocational + Abi","East Germany","36","0.154107375574555","0.111356782798199","0.196857968350911"
"Sometimes","2013","higher vocational","West Germany","90","0.0853555800281961","0.0698413161702293","0.100869843886163"
"Sometimes","2013","higher vocational","East Germany","49","0.111396420536157","0.0817279017313183","0.141064939340995"
"Sometimes","2013","higher education","West Germany","288","0.0727563550558842","0.0650607666096733","0.0804519435020951"
"Sometimes","2013","higher education","East Germany","125","0.0909825846809192","0.0762108111577956","0.105754358204043"
"Rarely ","2013","in school","West Germany","114","0.268862602287904","0.224803262149433","0.312921942426376"
"Rarely ","2013","in school","East Germany","14","","",""
"Rarely ","2013","inadequately","West Germany","84","0.291394303839882","0.238074463792918","0.344714143886845"
"Rarely ","2013","inadequately","East Germany","13","","",""
"Rarely ","2013","general elemantary","West Germany","603","0.269148913405583","0.250826988135929","0.287470838675237"
"Rarely ","2013","general elemantary","East Germany","97","0.296632927524263","0.248080681167368","0.345185173881158"
"Rarely ","2013","middle vocational","West Germany","2506","0.277277229804896","0.268215618590007","0.286338841019785"
"Rarely ","2013","middle vocational","East Germany","906","0.301535881711031","0.285262266855322","0.317809496566739"
"Rarely ","2013","vocational + Abi","West Germany","408","0.276973366256312","0.25433454047731","0.299612192035314"
"Rarely ","2013","vocational + Abi","East Germany","81","0.259099678550849","0.207221330523595","0.310978026578103"
"Rarely ","2013","higher vocational","West Germany","378","0.324270340823197","0.298278970649338","0.350261710997056"
"Rarely ","2013","higher vocational","East Germany","129","0.331097230164954","0.28671945877529","0.375475001554619"
"Rarely ","2013","higher education","West Germany","1067","0.257765657880401","0.244806031399277","0.270725284361526"
"Rarely ","2013","higher education","East Germany","446","0.315550221725173","0.291679121185301","0.339421322265045"
"Never","2013","in school","West Germany","233","0.614321392982088","0.56595052450877","0.662692261455405"
"Never","2013","in school","East Germany","35","0.645288477364984","0.517684028981691","0.772892925748277"
"Never","2013","inadequately","West Germany","83","0.340582840668488","0.284974812796471","0.396190868540504"
"Never","2013","inadequately","East Germany","17","","",""
"Never","2013","general elemantary","West Germany","1160","0.510701454739106","0.490050941339501","0.53135196813871"
"Never","2013","general elemantary","East Germany","151","0.457420909012473","0.404466982838996","0.51037483518595"
"Never","2013","middle vocational","West Germany","5563","0.583838743863466","0.573860830436045","0.593816657290887"
"Never","2013","middle vocational","East Germany","1526","0.486777939733642","0.469053986896142","0.504501892571142"
"Never","2013","vocational + Abi","West Germany","882","0.593017780448448","0.568164751803311","0.617870809093585"
"Never","2013","vocational + Abi","East Germany","149","0.552847710323895","0.493976454967177","0.611718965680613"
"Never","2013","higher vocational","West Germany","745","0.556716959595828","0.529133619534801","0.584300299656855"
"Never","2013","higher vocational","East Germany","228","0.490359678423681","0.443219037387254","0.537500319460107"
"Never","2013","higher education","West Germany","2917","0.639282873717778","0.625055021338447","0.65351072609711"
"Never","2013","higher education","East Germany","840","0.550768942605594","0.525219171625399","0.576318713585789"
"Very often","2014","in school","West Germany","","","",""
"Very often","2014","in school","East Germany","","","",""
"Very often","2014","inadequately","West Germany","","","",""
"Very often","2014","inadequately","East Germany","","","",""
"Very often","2014","general elemantary","West Germany","","","",""
"Very often","2014","general elemantary","East Germany","","","",""
"Very often","2014","middle vocational","West Germany","","","",""
"Very often","2014","middle vocational","East Germany","","","",""
"Very often","2014","vocational + Abi","West Germany","","","",""
"Very often","2014","vocational + Abi","East Germany","","","",""
"Very often","2014","higher vocational","West Germany","","","",""
"Very often","2014","higher vocational","East Germany","","","",""
"Very often","2014","higher education","West Germany","","","",""
"Very often","2014","higher education","East Germany","","","",""
"Often","2014","in school","West Germany","","","",""
"Often","2014","in school","East Germany","","","",""
"Often","2014","inadequately","West Germany","","","",""
"Often","2014","inadequately","East Germany","","","",""
"Often","2014","general elemantary","West Germany","","","",""
"Often","2014","general elemantary","East Germany","","","",""
"Often","2014","middle vocational","West Germany","","","",""
"Often","2014","middle vocational","East Germany","","","",""
"Often","2014","vocational + Abi","West Germany","","","",""
"Often","2014","vocational + Abi","East Germany","","","",""
"Often","2014","higher vocational","West Germany","","","",""
"Often","2014","higher vocational","East Germany","","","",""
"Often","2014","higher education","West Germany","","","",""
"Often","2014","higher education","East Germany","","","",""
"Sometimes","2014","in school","West Germany","","","",""
"Sometimes","2014","in school","East Germany","","","",""
"Sometimes","2014","inadequately","West Germany","","","",""
"Sometimes","2014","inadequately","East Germany","","","",""
"Sometimes","2014","general elemantary","West Germany","","","",""
"Sometimes","2014","general elemantary","East Germany","","","",""
"Sometimes","2014","middle vocational","West Germany","","","",""
"Sometimes","2014","middle vocational","East Germany","","","",""
"Sometimes","2014","vocational + Abi","West Germany","","","",""
"Sometimes","2014","vocational + Abi","East Germany","","","",""
"Sometimes","2014","higher vocational","West Germany","","","",""
"Sometimes","2014","higher vocational","East Germany","","","",""
"Sometimes","2014","higher education","West Germany","","","",""
"Sometimes","2014","higher education","East Germany","","","",""
"Rarely ","2014","in school","West Germany","","","",""
"Rarely ","2014","in school","East Germany","","","",""
"Rarely ","2014","inadequately","West Germany","","","",""
"Rarely ","2014","inadequately","East Germany","","","",""
"Rarely ","2014","general elemantary","West Germany","","","",""
"Rarely ","2014","general elemantary","East Germany","","","",""
"Rarely ","2014","middle vocational","West Germany","","","",""
"Rarely ","2014","middle vocational","East Germany","","","",""
"Rarely ","2014","vocational + Abi","West Germany","","","",""
"Rarely ","2014","vocational + Abi","East Germany","","","",""
"Rarely ","2014","higher vocational","West Germany","","","",""
"Rarely ","2014","higher vocational","East Germany","","","",""
"Rarely ","2014","higher education","West Germany","","","",""
"Rarely ","2014","higher education","East Germany","","","",""
"Never","2014","in school","West Germany","","","",""
"Never","2014","in school","East Germany","","","",""
"Never","2014","inadequately","West Germany","","","",""
"Never","2014","inadequately","East Germany","","","",""
"Never","2014","general elemantary","West Germany","","","",""
"Never","2014","general elemantary","East Germany","","","",""
"Never","2014","middle vocational","West Germany","","","",""
"Never","2014","middle vocational","East Germany","","","",""
"Never","2014","vocational + Abi","West Germany","","","",""
"Never","2014","vocational + Abi","East Germany","","","",""
"Never","2014","higher vocational","West Germany","","","",""
"Never","2014","higher vocational","East Germany","","","",""
"Never","2014","higher education","West Germany","","","",""
"Never","2014","higher education","East Germany","","","",""
"Very often","2015","in school","West Germany","","","",""
"Very often","2015","in school","East Germany","","","",""
"Very often","2015","inadequately","West Germany","","","",""
"Very often","2015","inadequately","East Germany","","","",""
"Very often","2015","general elemantary","West Germany","","","",""
"Very often","2015","general elemantary","East Germany","","","",""
"Very often","2015","middle vocational","West Germany","","","",""
"Very often","2015","middle vocational","East Germany","","","",""
"Very often","2015","vocational + Abi","West Germany","","","",""
"Very often","2015","vocational + Abi","East Germany","","","",""
"Very often","2015","higher vocational","West Germany","","","",""
"Very often","2015","higher vocational","East Germany","","","",""
"Very often","2015","higher education","West Germany","","","",""
"Very often","2015","higher education","East Germany","","","",""
"Often","2015","in school","West Germany","","","",""
"Often","2015","in school","East Germany","","","",""
"Often","2015","inadequately","West Germany","","","",""
"Often","2015","inadequately","East Germany","","","",""
"Often","2015","general elemantary","West Germany","","","",""
"Often","2015","general elemantary","East Germany","","","",""
"Often","2015","middle vocational","West Germany","","","",""
"Often","2015","middle vocational","East Germany","","","",""
"Often","2015","vocational + Abi","West Germany","","","",""
"Often","2015","vocational + Abi","East Germany","","","",""
"Often","2015","higher vocational","West Germany","","","",""
"Often","2015","higher vocational","East Germany","","","",""
"Often","2015","higher education","West Germany","","","",""
"Often","2015","higher education","East Germany","","","",""
"Sometimes","2015","in school","West Germany","","","",""
"Sometimes","2015","in school","East Germany","","","",""
"Sometimes","2015","inadequately","West Germany","","","",""
"Sometimes","2015","inadequately","East Germany","","","",""
"Sometimes","2015","general elemantary","West Germany","","","",""
"Sometimes","2015","general elemantary","East Germany","","","",""
"Sometimes","2015","middle vocational","West Germany","","","",""
"Sometimes","2015","middle vocational","East Germany","","","",""
"Sometimes","2015","vocational + Abi","West Germany","","","",""
"Sometimes","2015","vocational + Abi","East Germany","","","",""
"Sometimes","2015","higher vocational","West Germany","","","",""
"Sometimes","2015","higher vocational","East Germany","","","",""
"Sometimes","2015","higher education","West Germany","","","",""
"Sometimes","2015","higher education","East Germany","","","",""
"Rarely ","2015","in school","West Germany","","","",""
"Rarely ","2015","in school","East Germany","","","",""
"Rarely ","2015","inadequately","West Germany","","","",""
"Rarely ","2015","inadequately","East Germany","","","",""
"Rarely ","2015","general elemantary","West Germany","","","",""
"Rarely ","2015","general elemantary","East Germany","","","",""
"Rarely ","2015","middle vocational","West Germany","","","",""
"Rarely ","2015","middle vocational","East Germany","","","",""
"Rarely ","2015","vocational + Abi","West Germany","","","",""
"Rarely ","2015","vocational + Abi","East Germany","","","",""
"Rarely ","2015","higher vocational","West Germany","","","",""
"Rarely ","2015","higher vocational","East Germany","","","",""
"Rarely ","2015","higher education","West Germany","","","",""
"Rarely ","2015","higher education","East Germany","","","",""
"Never","2015","in school","West Germany","","","",""
"Never","2015","in school","East Germany","","","",""
"Never","2015","inadequately","West Germany","","","",""
"Never","2015","inadequately","East Germany","","","",""
"Never","2015","general elemantary","West Germany","","","",""
"Never","2015","general elemantary","East Germany","","","",""
"Never","2015","middle vocational","West Germany","","","",""
"Never","2015","middle vocational","East Germany","","","",""
"Never","2015","vocational + Abi","West Germany","","","",""
"Never","2015","vocational + Abi","East Germany","","","",""
"Never","2015","higher vocational","West Germany","","","",""
"Never","2015","higher vocational","East Germany","","","",""
"Never","2015","higher education","West Germany","","","",""
"Never","2015","higher education","East Germany","","","",""
"Very often","2016","in school","West Germany","2","","",""
"Very often","2016","in school","East Germany","","","",""
"Very often","2016","inadequately","West Germany","101","0.110344917874961","0.0929338703595067","0.127755965390416"
"Very often","2016","inadequately","East Germany","25","","",""
"Very often","2016","general elemantary","West Germany","43","0.0735103545189835","0.0536454779718655","0.0933752310661014"
"Very often","2016","general elemantary","East Germany","6","","",""
"Very often","2016","middle vocational","West Germany","51","0.0962832538910747","0.0731757801171808","0.119390727664969"
"Very often","2016","middle vocational","East Germany","12","","",""
"Very often","2016","vocational + Abi","West Germany","3","","",""
"Very often","2016","vocational + Abi","East Germany","","","",""
"Very often","2016","higher vocational","West Germany","","","",""
"Very often","2016","higher vocational","East Germany","","","",""
"Very often","2016","higher education","West Germany","39","0.064012183112839","0.044822204101599","0.083202162124079"
"Very often","2016","higher education","East Germany","9","","",""
"Often","2016","in school","West Germany","2","","",""
"Often","2016","in school","East Germany","","","",""
"Often","2016","inadequately","West Germany","183","0.203151438683585","0.180793294710904","0.225509582656265"
"Often","2016","inadequately","East Germany","49","0.198352896330256","0.151646112597246","0.245059680063265"
"Often","2016","general elemantary","West Germany","72","0.126537336096582","0.101231374572443","0.15184329762072"
"Often","2016","general elemantary","East Germany","30","0.257015288369848","0.186373962613463","0.327656614126232"
"Often","2016","middle vocational","West Germany","66","0.126710161784834","0.100651875537245","0.152768448032423"
"Often","2016","middle vocational","East Germany","27","","",""
"Often","2016","vocational + Abi","West Germany","12","","",""
"Often","2016","vocational + Abi","East Germany","3","","",""
"Often","2016","higher vocational","West Germany","","","",""
"Often","2016","higher vocational","East Germany","","","",""
"Often","2016","higher education","West Germany","73","0.122899366298557","0.0971594211841429","0.148639311412972"
"Often","2016","higher education","East Germany","12","","",""
"Sometimes","2016","in school","West Germany","7","","",""
"Sometimes","2016","in school","East Germany","","","",""
"Sometimes","2016","inadequately","West Germany","289","0.249626930091417","0.225576533715958","0.273677326466875"
"Sometimes","2016","inadequately","East Germany","75","0.248642071245731","0.198015347936512","0.299268794554951"
"Sometimes","2016","general elemantary","West Germany","134","0.222586522473293","0.190922448477999","0.254250596468587"
"Sometimes","2016","general elemantary","East Germany","46","0.360851020510418","0.283216577323505","0.438485463697331"
"Sometimes","2016","middle vocational","West Germany","147","0.210690218943635","0.178744927553052","0.242635510334218"
"Sometimes","2016","middle vocational","East Germany","34","0.281133994101194","0.2047323111158","0.357535677086587"
"Sometimes","2016","vocational + Abi","West Germany","20","","",""
"Sometimes","2016","vocational + Abi","East Germany","6","","",""
"Sometimes","2016","higher vocational","West Germany","","","",""
"Sometimes","2016","higher vocational","East Germany","","","",""
"Sometimes","2016","higher education","West Germany","113","0.165584338729717","0.136443037861827","0.194725639597607"
"Sometimes","2016","higher education","East Germany","33","0.292728864493938","0.21198790298243","0.373469826005446"
"Rarely ","2016","in school","West Germany","3","","",""
"Rarely ","2016","in school","East Germany","2","","",""
"Rarely ","2016","inadequately","West Germany","213","0.163913687304376","0.143341945362896","0.184485429245856"
"Rarely ","2016","inadequately","East Germany","40","0.141943710148665","0.101066142936066","0.182821277361265"
"Rarely ","2016","general elemantary","West Germany","107","0.180080690404893","0.150831728453034","0.209329652356751"
"Rarely ","2016","general elemantary","East Germany","18","","",""
"Rarely ","2016","middle vocational","West Germany","115","0.199727455541779","0.168409113148668","0.231045797934889"
"Rarely ","2016","middle vocational","East Germany","17","","",""
"Rarely ","2016","vocational + Abi","West Germany","16","","",""
"Rarely ","2016","vocational + Abi","East Germany","3","","",""
"Rarely ","2016","higher vocational","West Germany","","","",""
"Rarely ","2016","higher vocational","East Germany","","","",""
"Rarely ","2016","higher education","West Germany","136","0.24529277426434","0.211560958943528","0.279024589585153"
"Rarely ","2016","higher education","East Germany","27","","",""
"Never","2016","in school","West Germany","8","","",""
"Never","2016","in school","East Germany","","","",""
"Never","2016","inadequately","West Germany","458","0.272963026045661","0.248207733569379","0.297718318521944"
"Never","2016","inadequately","East Germany","91","0.273012113335302","0.220829764822567","0.325194461848036"
"Never","2016","general elemantary","West Germany","307","0.397285096506249","0.360037485009894","0.434532708002604"
"Never","2016","general elemantary","East Germany","47","0.252176582540734","0.181975900526458","0.322377264555011"
"Never","2016","middle vocational","West Germany","247","0.366588909838677","0.32884095584021","0.404336863837145"
"Never","2016","middle vocational","East Germany","43","0.306323660077249","0.227982322435573","0.384664997718925"
"Never","2016","vocational + Abi","West Germany","37","0.299408038855791","0.203717046565391","0.395099031146192"
"Never","2016","vocational + Abi","East Germany","7","","",""
"Never","2016","higher vocational","West Germany","","","",""
"Never","2016","higher vocational","East Germany","","","",""
"Never","2016","higher education","West Germany","264","0.402211337594547","0.363769063267635","0.440653611921458"
"Never","2016","higher education","East Germany","41","0.33483465279931","0.251091716900353","0.418577588698267"
"Very often","2017","in school","West Germany","2","","",""
"Very often","2017","in school","East Germany","","","",""
"Very often","2017","inadequately","West Germany","107","0.0539038893481903","0.0424565337378323","0.0653512449585483"
"Very often","2017","inadequately","East Germany","13","","",""
"Very often","2017","general elemantary","West Germany","71","0.0161838996001372","0.0115618354629234","0.0208059637373509"
"Very often","2017","general elemantary","East Germany","17","","",""
"Very often","2017","middle vocational","West Germany","125","0.0109822399474631","0.00890211454821522","0.013062365346711"
"Very often","2017","middle vocational","East Germany","42","0.0154963708662595","0.0110017000704701","0.0199910416620489"
"Very often","2017","vocational + Abi","West Germany","29","","",""
"Very often","2017","vocational + Abi","East Germany","1","","",""
"Very often","2017","higher vocational","West Germany","4","","",""
"Very often","2017","higher vocational","East Germany","4","","",""
"Very often","2017","higher education","West Germany","55","0.00649879181558488","0.00437521850462867","0.0086223651265411"
"Very often","2017","higher education","East Germany","5","","",""
"Often","2017","in school","West Germany","12","","",""
"Often","2017","in school","East Germany","2","","",""
"Often","2017","inadequately","West Germany","208","0.144746734433395","0.126911482329479","0.162581986537312"
"Often","2017","inadequately","East Germany","25","","",""
"Often","2017","general elemantary","West Germany","214","0.06791294612184","0.0586969572761003","0.0771289349675797"
"Often","2017","general elemantary","East Germany","38","0.0831209358408991","0.0570278704009637","0.109214001280834"
"Often","2017","middle vocational","West Germany","374","0.0327277145433333","0.0291765220080892","0.0362789070785774"
"Often","2017","middle vocational","East Germany","142","0.0495444849656967","0.0416479278095954","0.057441042121798"
"Often","2017","vocational + Abi","West Germany","74","0.040850653988868","0.032082980430278","0.049618327547458"
"Often","2017","vocational + Abi","East Germany","9","","",""
"Often","2017","higher vocational","West Germany","19","","",""
"Often","2017","higher vocational","East Germany","6","","",""
"Often","2017","higher education","West Germany","152","0.0204816914316166","0.0167383802223523","0.024225002640881"
"Often","2017","higher education","East Germany","45","0.0274693461540444","0.0191758148158028","0.0357628774922861"
"Sometimes","2017","in school","West Germany","40","0.108085373416325","0.0759227338083145","0.140248013024335"
"Sometimes","2017","in school","East Germany","9","","",""
"Sometimes","2017","inadequately","West Germany","330","0.228171244457067","0.206898749586235","0.249443739327898"
"Sometimes","2017","inadequately","East Germany","41","0.231127102435686","0.163889482653496","0.298364722217875"
"Sometimes","2017","general elemantary","West Germany","501","0.153637190668775","0.140428374945163","0.166846006392386"
"Sometimes","2017","general elemantary","East Germany","68","0.161470153734728","0.126690980383145","0.196249327086311"
"Sometimes","2017","middle vocational","West Germany","1014","0.102016730092833","0.0959756884431894","0.108057771742477"
"Sometimes","2017","middle vocational","East Germany","348","0.121423036217454","0.109537612288604","0.133308460146304"
"Sometimes","2017","vocational + Abi","West Germany","188","0.100580112245263","0.0872578171752318","0.113902407315293"
"Sometimes","2017","vocational + Abi","East Germany","44","0.131495615159021","0.0951442527448288","0.167846977573212"
"Sometimes","2017","higher vocational","West Germany","95","0.0841366908319055","0.0680508738686828","0.100222507795128"
"Sometimes","2017","higher vocational","East Germany","35","0.070067893305864","0.0449899621304601","0.0951458244812679"
"Sometimes","2017","higher education","West Germany","466","0.0694989355105486","0.062778239378172","0.0762196316429252"
"Sometimes","2017","higher education","East Germany","146","0.0992837045821026","0.0841098234976775","0.114457585666528"
"Rarely ","2017","in school","West Germany","85","0.208298504419684","0.166232584935437","0.25036442390393"
"Rarely ","2017","in school","East Germany","17","","",""
