"plj0589","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","Not Employed","3","","",""
"Very often","2013","Schleswig-Holstein","Employed","6","","",""
"Very often","2013","Hamburg","Not Employed","1","","",""
"Very often","2013","Hamburg","Employed","1","","",""
"Very often","2013","Lower Saxony","Not Employed","21","","",""
"Very often","2013","Lower Saxony","Employed","9","","",""
"Very often","2013","Bremen","Not Employed","1","","",""
"Very often","2013","Bremen","Employed","1","","",""
"Very often","2013","North Rhine-Westphalia","Not Employed","27","","",""
"Very often","2013","North Rhine-Westphalia","Employed","19","","",""
"Very often","2013","Hesse","Not Employed","13","","",""
"Very often","2013","Hesse","Employed","5","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Not Employed","10","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Employed","6","","",""
"Very often","2013","Baden-Württemberg","Not Employed","9","","",""
"Very often","2013","Baden-Württemberg","Employed","19","","",""
"Very often","2013","Bavaria","Not Employed","27","","",""
"Very often","2013","Bavaria","Employed","18","","",""
"Very often","2013","Berlin","Not Employed","7","","",""
"Very often","2013","Berlin","Employed","9","","",""
"Very often","2013","Brandenburg","Not Employed","9","","",""
"Very often","2013","Brandenburg","Employed","4","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Not Employed","5","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Employed","2","","",""
"Very often","2013","Saxony","Not Employed","18","","",""
"Very often","2013","Saxony","Employed","5","","",""
"Very often","2013","Saxony-Anhalt","Not Employed","6","","",""
"Very often","2013","Saxony-Anhalt","Employed","6","","",""
"Very often","2013","Thuringia","Not Employed","15","","",""
"Very often","2013","Thuringia","Employed","6","","",""
"Often","2013","Schleswig-Holstein","Not Employed","18","","",""
"Often","2013","Schleswig-Holstein","Employed","15","","",""
"Often","2013","Hamburg","Not Employed","6","","",""
"Often","2013","Hamburg","Employed","3","","",""
"Often","2013","Lower Saxony","Not Employed","41","0.0458972560051505","0.0320396895088659","0.059754822501435"
"Often","2013","Lower Saxony","Employed","48","0.0351219548904019","0.0260420232543372","0.0442018865264665"
"Often","2013","Bremen","Not Employed","3","","",""
"Often","2013","Bremen","Employed","3","","",""
"Often","2013","North Rhine-Westphalia","Not Employed","78","0.0336514991093251","0.0252717847774155","0.0420312134412346"
"Often","2013","North Rhine-Westphalia","Employed","94","0.0336270619826231","0.0275006836844456","0.0397534402808006"
"Often","2013","Hesse","Not Employed","30","0.0704073667676032","0.0492561517130372","0.0915585818221692"
"Often","2013","Hesse","Employed","33","0.035751611305456","0.02520247555045","0.0463007470604621"
"Often","2013","Rhineland-Palatinate,Saarland","Not Employed","25","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Employed","24","","",""
"Often","2013","Baden-Württemberg","Not Employed","48","0.0575143722799845","0.0425989440445362","0.0724298005154328"
"Often","2013","Baden-Württemberg","Employed","53","0.0254455657380532","0.0186781083475542","0.0322130231285523"
"Often","2013","Bavaria","Not Employed","44","0.0463963442410203","0.0347775500035846","0.058015138478456"
"Often","2013","Bavaria","Employed","81","0.0327890536906411","0.026156028356091","0.0394220790251911"
"Often","2013","Berlin","Not Employed","17","","",""
"Often","2013","Berlin","Employed","21","","",""
"Often","2013","Brandenburg","Not Employed","28","","",""
"Often","2013","Brandenburg","Employed","25","","",""
"Often","2013","Mecklenburg-Western Pomerania","Not Employed","21","","",""
"Often","2013","Mecklenburg-Western Pomerania","Employed","15","","",""
"Often","2013","Saxony","Not Employed","38","0.0772943236440201","0.0562731169216589","0.0983155303663813"
"Often","2013","Saxony","Employed","27","","",""
"Often","2013","Saxony-Anhalt","Not Employed","17","","",""
"Often","2013","Saxony-Anhalt","Employed","23","","",""
"Often","2013","Thuringia","Not Employed","20","","",""
