"plj0589","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","(0) in school","","","",""
"Very often","2013","Full Time","(1a) inadequately completed","","","",""
"Very often","2013","Full Time","(1b) general elementary school","3","","",""
"Very often","2013","Full Time","(1c) basic vocational qualification","8","","",""
"Very often","2013","Full Time","(2b) intermediate general qualification","3","","",""
"Very often","2013","Full Time","(2a) intermediate vocational","10","","",""
"Very often","2013","Full Time","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Full Time","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","Full Time","(3a) lower tertiary education","2","","",""
"Very often","2013","Full Time","(3b) higher tertiary education","8","","",""
"Very often","2013","Part Time","(0) in school","1","","",""
"Very often","2013","Part Time","(1a) inadequately completed","4","","",""
"Very often","2013","Part Time","(1b) general elementary school","11","","",""
"Very often","2013","Part Time","(1c) basic vocational qualification","21","","",""
"Very often","2013","Part Time","(2b) intermediate general qualification","2","","",""
"Very often","2013","Part Time","(2a) intermediate vocational","20","","",""
"Very often","2013","Part Time","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Part Time","(2c_voc) vocational maturity certificate","6","","",""
"Very often","2013","Part Time","(3a) lower tertiary education","3","","",""
"Very often","2013","Part Time","(3b) higher tertiary education","5","","",""
"Very often","2013","Not Working","(0) in school","","","",""
"Very often","2013","Not Working","(1a) inadequately completed","11","","",""
"Very often","2013","Not Working","(1b) general elementary school","43","0.0273865505957986","0.0178069046051789","0.0369661965864183"
"Very often","2013","Not Working","(1c) basic vocational qualification","50","0.0163239242509931","0.0116032570118296","0.0210445914901566"
"Very often","2013","Not Working","(2b) intermediate general qualification","9","","",""
"Very often","2013","Not Working","(2a) intermediate vocational","36","0.0152535075722331","0.00918142033574857","0.0213255948087177"
"Very often","2013","Not Working","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","Not Working","(2c_voc) vocational maturity certificate","8","","",""
