"plj0589","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","66 and older","direct migration background","195","0.536079718324549","0.485265693307141","0.586893743341956","5"
"Never","2013","35-65 y.","indirect migration background","323","0.598327765360664","0.556312923702446","0.640342607018881","5"
"Never","2013","66 and older","no migration background","2871","0.594692362119988","0.580520197032782","0.608864527207194","5"
"Never","2013","66 and older","indirect migration background","1","","","","5"
"Never","2013","16-34 y.","no migration background","2471","0.570163059908268","0.555507117088474","0.584819002728062","5"
"Never","2013","16-34 y.","direct migration background","279","0.505639435460405","0.465700891841626","0.545577979079184","5"
"Never","2013","16-34 y.","indirect migration background","355","0.536418243323116","0.498287054597758","0.574549432048474","5"
"Never","2013","35-65 y.","no migration background","7459","0.564071939091245","0.555453125418735","0.572690752763755","5"
"Never","2013","35-65 y.","direct migration background","831","0.481038984089832","0.457132835357522","0.504945132822143","5"
"Often","2013","16-34 y.","no migration background","155","0.0392220942117129","0.0334751199957542","0.0449690684276717","2"
"Often","2013","35-65 y.","indirect migration background","20","","","","2"
"Often","2013","66 and older","direct migration background","27","","","","2"
"Often","2013","66 and older","indirect migration background","","","","","2"
"Often","2013","16-34 y.","direct migration background","23","","","","2"
"Often","2013","16-34 y.","indirect migration background","26","","","","2"
"Often","2013","35-65 y.","no migration background","450","0.0389901647748537","0.0356257131918415","0.042354616357866","2"
"Often","2013","35-65 y.","direct migration background","86","0.0541034409808891","0.0432794759842741","0.0649274059775041","2"
"Often","2013","66 and older","no migration background","135","0.036208929820549","0.0308163457815472","0.0416015138595508","2"
"Rarely ","2013","16-34 y.","no migration background","1247","0.284801348882213","0.271440110268306","0.298162587496121","4"
"Rarely ","2013","16-34 y.","direct migration background","194","0.322577991722539","0.285236052883576","0.359919930561501","4"
"Rarely ","2013","16-34 y.","indirect migration background","186","0.285894167335317","0.251344064528248","0.320444270142385","4"
"Rarely ","2013","35-65 y.","indirect migration background","116","0.239580914327652","0.203000395579767","0.276161433075536","4"
"Rarely ","2013","66 and older","no migration background","1181","0.26796301434384","0.255177989754772","0.280748038932908","4"
"Rarely ","2013","66 and older","direct migration background","84","0.215994189581571","0.174063895934643","0.257924483228499","4"
"Rarely ","2013","66 and older","indirect migration background","4","","","","4"
"Rarely ","2013","35-65 y.","no migration background","3471","0.285621313038725","0.277770179185814","0.293472446891636","4"
"Rarely ","2013","35-65 y.","direct migration background","488","0.304065173982611","0.282055189397603","0.326075158567619","4"
"Sometimes","2013","35-65 y.","indirect migration background","59","0.112287723844339","0.0852294867009376","0.139345960987739","3"
"Sometimes","2013","66 and older","no migration background","386","0.0928785122679793","0.0844995934868133","0.101257431049145","3"
"Sometimes","2013","16-34 y.","no migration background","464","0.0984927030663304","0.0896710696410138","0.107314336491647","3"
"Sometimes","2013","16-34 y.","direct migration background","100","0.136034281012983","0.108648679562483","0.163419882463483","3"
"Sometimes","2013","16-34 y.","indirect migration background","81","0.133760724067686","0.107732253646554","0.159789194488817","3"
"Sometimes","2013","35-65 y.","no migration background","1182","0.0984258528821321","0.0932482570068088","0.103603448757455","3"
"Sometimes","2013","35-65 y.","direct migration background","247","0.141880182549987","0.125185162386334","0.15857520271364","3"
"Sometimes","2013","66 and older","direct migration background","59","0.166972041954796","0.128970703186898","0.204973380722694","3"
"Sometimes","2013","66 and older","indirect migration background","","","","","3"
"Very often","2013","16-34 y.","no migration background","46","0.00732079393147576","0.00479704638812057","0.00984454147483095","1"
"Very often","2013","16-34 y.","direct migration background","6","","","","1"
"Very often","2013","16-34 y.","indirect migration background","9","","","","1"
"Very often","2013","35-65 y.","no migration background","154","0.0128907302130441","0.0109301067021827","0.0148513537239054","1"
"Very often","2013","35-65 y.","direct migration background","26","","","","1"
"Very often","2013","35-65 y.","indirect migration background","5","","","","1"
"Very often","2013","66 and older","no migration background","37","0.0082571814476439","0.00564494145227322","0.0108694214430146","1"
"Very often","2013","66 and older","direct migration background","5","","","","1"
"Very often","2013","66 and older","indirect migration background","","","","","1"
"Never","2014","35-65 y.","indirect migration background","","","","","5"
"Never","2014","66 and older","direct migration background","","","","","5"
"Never","2014","66 and older","indirect migration background","","","","","5"
"Never","2014","66 and older","no migration background","","","","","5"
"Never","2014","16-34 y.","no migration background","","","","","5"
"Never","2014","16-34 y.","direct migration background","","","","","5"
"Never","2014","16-34 y.","indirect migration background","","","","","5"
"Never","2014","35-65 y.","no migration background","","","","","5"
"Never","2014","35-65 y.","direct migration background","","","","","5"
"Often","2014","35-65 y.","indirect migration background","","","","","2"
"Often","2014","66 and older","direct migration background","","","","","2"
"Often","2014","66 and older","indirect migration background","","","","","2"
"Often","2014","16-34 y.","no migration background","","","","","2"
"Often","2014","35-65 y.","direct migration background","","","","","2"
"Often","2014","66 and older","no migration background","","","","","2"
"Often","2014","16-34 y.","direct migration background","","","","","2"
"Often","2014","16-34 y.","indirect migration background","","","","","2"
"Often","2014","35-65 y.","no migration background","","","","","2"
"Rarely ","2014","35-65 y.","indirect migration background","","","","","4"
"Rarely ","2014","66 and older","no migration background","","","","","4"
"Rarely ","2014","66 and older","direct migration background","","","","","4"
"Rarely ","2014","66 and older","indirect migration background","","","","","4"
"Rarely ","2014","35-65 y.","direct migration background","","","","","4"
"Rarely ","2014","35-65 y.","no migration background","","","","","4"
"Rarely ","2014","16-34 y.","no migration background","","","","","4"
"Rarely ","2014","16-34 y.","indirect migration background","","","","","4"
"Rarely ","2014","16-34 y.","direct migration background","","","","","4"
"Sometimes","2014","35-65 y.","indirect migration background","","","","","3"
"Sometimes","2014","66 and older","no migration background","","","","","3"
"Sometimes","2014","66 and older","direct migration background","","","","","3"
"Sometimes","2014","35-65 y.","direct migration background","","","","","3"
"Sometimes","2014","66 and older","indirect migration background","","","","","3"
"Sometimes","2014","16-34 y.","no migration background","","","","","3"
"Sometimes","2014","16-34 y.","direct migration background","","","","","3"
"Sometimes","2014","16-34 y.","indirect migration background","","","","","3"
"Sometimes","2014","35-65 y.","no migration background","","","","","3"
"Very often","2014","35-65 y.","direct migration background","","","","","1"
"Very often","2014","35-65 y.","indirect migration background","","","","","1"
"Very often","2014","66 and older","no migration background","","","","","1"
"Very often","2014","66 and older","direct migration background","","","","","1"
"Very often","2014","66 and older","indirect migration background","","","","","1"
"Very often","2014","16-34 y.","no migration background","","","","","1"
"Very often","2014","16-34 y.","direct migration background","","","","","1"
"Very often","2014","16-34 y.","indirect migration background","","","","","1"
"Very often","2014","35-65 y.","no migration background","","","","","1"
"Never","2015","35-65 y.","indirect migration background","","","","","5"
"Never","2015","66 and older","direct migration background","","","","","5"
"Never","2015","66 and older","indirect migration background","","","","","5"
"Never","2015","66 and older","no migration background","","","","","5"
"Never","2015","16-34 y.","no migration background","","","","","5"
"Never","2015","16-34 y.","direct migration background","","","","","5"
"Never","2015","16-34 y.","indirect migration background","","","","","5"
"Never","2015","35-65 y.","no migration background","","","","","5"
"Never","2015","35-65 y.","direct migration background","","","","","5"
"Often","2015","35-65 y.","indirect migration background","","","","","2"
"Often","2015","16-34 y.","no migration background","","","","","2"
"Often","2015","35-65 y.","direct migration background","","","","","2"
"Often","2015","66 and older","no migration background","","","","","2"
"Often","2015","66 and older","direct migration background","","","","","2"
"Often","2015","66 and older","indirect migration background","","","","","2"
"Often","2015","16-34 y.","direct migration background","","","","","2"
"Often","2015","16-34 y.","indirect migration background","","","","","2"
"Often","2015","35-65 y.","no migration background","","","","","2"
"Rarely ","2015","66 and older","direct migration background","","","","","4"
"Rarely ","2015","66 and older","no migration background","","","","","4"
"Rarely ","2015","35-65 y.","indirect migration background","","","","","4"
"Rarely ","2015","35-65 y.","direct migration background","","","","","4"
"Rarely ","2015","66 and older","indirect migration background","","","","","4"
