"plj0589","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2016","Rural Area","Female","166","0.353707316716721","0.310343620612614","0.397071012820828","5"
"Never","2016","Urban Area","Male","727","0.32952620846623","0.307739068794124","0.351313348138336","5"
"Often","2016","Urban Area","Female","133","0.144679438530529","0.124241135991881","0.165117741069178","2"
"Often","2016","Rural Area","Male","134","0.183859878668319","0.158075041629596","0.209644715707041","2"
"Often","2016","Rural Area","Female","79","0.137875708408624","0.106606386010764","0.169145030806484","2"
"Often","2016","Urban Area","Male","226","0.183473221460325","0.165532665670096","0.201413777250554","2"
"Rarely ","2016","Rural Area","Female","66","0.124221650867419","0.0943068992498627","0.154136402484975","4"
"Rarely ","2016","Urban Area","Male","326","0.186618867982409","0.1685600568455","0.204677679119317","4"
"Rarely ","2016","Urban Area","Female","200","0.18152259825309","0.159127877259584","0.203917319246595","4"
"Rarely ","2016","Rural Area","Male","156","0.165524062891902","0.140785411532501","0.190262714251302","4"
"Sometimes","2016","Rural Area","Female","121","0.293598773222598","0.252294737140686","0.334902809304509","3"
"Sometimes","2016","Urban Area","Female","258","0.235926228928557","0.211258298281237","0.260594159575877","3"
"Sometimes","2016","Rural Area","Male","205","0.249530269590353","0.220725344496801","0.278335194683905","3"
"Sometimes","2016","Urban Area","Male","383","0.214966464513567","0.195925287277693","0.234007641749442","3"
"Very often","2016","Rural Area","Female","35","0.0905965507846386","0.0645635770030061","0.116629524566271","1"
"Very often","2016","Urban Area","Male","126","0.0854152375774691","0.0724600414795684","0.0983704336753698","1"
"Very often","2016","Rural Area","Male","78","0.107214776982671","0.0866208408161159","0.127808713149226","1"
"Very often","2016","Urban Area","Female","76","0.0813296444161977","0.0654485200058462","0.0972107688265493","1"
"Never","2017","Urban Area","Female","5811","0.591347144646502","0.581802505362041","0.600891783930963","5"
"Never","2017","Rural Area","Male","2661","0.55273383854202","0.538726150609149","0.566741526474892","5"
"Never","2017","Rural Area","Female","2901","0.554007347757314","0.540691430631111","0.567323264883517","5"
"Never","2017","Urban Area","Male","5192","0.583419053222374","0.5732822333293","0.593555873115447","5"
"Often","2017","Urban Area","Male","413","0.03664433631244","0.032781035882201","0.040507636742679","2"
"Often","2017","Urban Area","Female","480","0.0388041376290762","0.0350543561172705","0.0425539191408819","2"
"Often","2017","Rural Area","Male","210","0.0347730265642935","0.0296116994898554","0.0399343536387317","2"
"Often","2017","Rural Area","Female","269","0.0435589044739132","0.038091048610884","0.0490267603369423","2"
"Rarely ","2017","Rural Area","Female","1413","0.260281533648337","0.248527027752654","0.272036039544021","4"
"Rarely ","2017","Urban Area","Male","2313","0.27263175744363","0.263475307741433","0.281788207145826","4"
"Rarely ","2017","Rural Area","Male","1374","0.308261597837717","0.295252233818487","0.321270961856947","4"
"Rarely ","2017","Urban Area","Female","2493","0.247482710591515","0.239103720588122","0.255861700594908","4"
"Sometimes","2017","Rural Area","Female","681","0.127932023993993","0.118984265079645","0.136879782908341","3"
"Sometimes","2017","Rural Area","Male","515","0.093602095951063","0.0853961690616025","0.101808022840523","3"
"Sometimes","2017","Urban Area","Female","1226","0.110123466093976","0.104045394485555","0.116201537702396","3"
"Sometimes","2017","Urban Area","Male","1016","0.0959682887317183","0.0899118485447822","0.102024728918654","3"
"Very often","2017","Rural Area","Female","89","0.0142201901264426","0.0110484899210151","0.0173918903318701","1"
"Very often","2017","Rural Area","Male","80","0.0106294411049061","0.00774035745465242","0.0135185247551598","1"
"Very often","2017","Urban Area","Female","180","0.0122425410389315","0.0101074227421498","0.0143776593357132","1"
"Very often","2017","Urban Area","Male","152","0.0113365642898384","0.0091597233894152","0.0135134051902616","1"
"Never","2018","Urban Area","Male","57","0.528044529647364","0.439460799942501","0.616628259352226","5"
"Never","2018","Urban Area","Female","63","0.388718700908457","0.309376843706299","0.468060558110614","5"
"Never","2018","Rural Area","Male","28","","","","5"
"Never","2018","Rural Area","Female","43","0.626505458305469","0.522438321971288","0.730572594639649","5"
"Often","2018","Urban Area","Male","11","","","","2"
"Often","2018","Rural Area","Male","8","","","","2"
"Often","2018","Rural Area","Female","5","","","","2"
"Often","2018","Urban Area","Female","16","","","","2"
"Rarely ","2018","Rural Area","Female","10","","","","4"
"Rarely ","2018","Urban Area","Male","19","","","","4"
"Rarely ","2018","Rural Area","Male","16","","","","4"
"Rarely ","2018","Urban Area","Female","26","","","","4"
"Sometimes","2018","Rural Area","Male","16","","","","3"
"Sometimes","2018","Rural Area","Female","18","","","","3"
"Sometimes","2018","Urban Area","Male","27","","","","3"
"Sometimes","2018","Urban Area","Female","32","0.234152185627447","0.16522596965647","0.303078401598423","3"
"Very often","2018","Rural Area","Female","7","","","","1"
"Very often","2018","Rural Area","Male","4","","","","1"
"Very often","2018","Urban Area","Male","8","","","","1"
"Very often","2018","Urban Area","Female","8","","","","1"
"Never","2019","Urban Area","Male","47","0.558097039721788","0.45313864487867","0.663055434564907","5"
"Never","2019","Urban Area","Female","43","0.492040339433649","0.385759837931905","0.598320840935393","5"
"Never","2019","Rural Area","Male","18","","","","5"
"Never","2019","Rural Area","Female","24","","","","5"
"Often","2019","Rural Area","Female","5","","","","2"
"Often","2019","Urban Area","Female","8","","","","2"
"Often","2019","Urban Area","Male","7","","","","2"
"Often","2019","Rural Area","Male","1","","","","2"
"Rarely ","2019","Rural Area","Female","10","","","","4"
"Rarely ","2019","Rural Area","Male","15","","","","4"
"Rarely ","2019","Urban Area","Male","9","","","","4"
"Rarely ","2019","Urban Area","Female","17","","","","4"
"Sometimes","2019","Rural Area","Male","9","","","","3"
"Sometimes","2019","Rural Area","Female","14","","","","3"
"Sometimes","2019","Urban Area","Female","17","","","","3"
"Sometimes","2019","Urban Area","Male","20","","","","3"
"Very often","2019","Rural Area","Female","3","","","","1"
"Very often","2019","Rural Area","Male","2","","","","1"
"Very often","2019","Urban Area","Female","","","","","1"
"Very often","2019","Urban Area","Male","3","","","","1"
