"plj0589","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","lower secondary degree","10","","",""
"Very often","2013","Full Time","secondary school degree","15","","",""
"Very often","2013","Full Time","college entrance qualification","12","","",""
"Very often","2013","Full Time","Other degree","1","","",""
"Very often","2013","Full Time","no degree/no degree yet","","","",""
"Very often","2013","Part Time","lower secondary degree","31","0.0192398636734114","0.0123341479742857","0.0261455793725371"
"Very often","2013","Part Time","secondary school degree","24","","",""
"Very often","2013","Part Time","college entrance qualification","8","","",""
"Very often","2013","Part Time","Other degree","6","","",""
"Very often","2013","Part Time","no degree/no degree yet","5","","",""
"Very often","2013","Not Working","lower secondary degree","79","0.0179590111524112","0.0136589327300846","0.0222590895747378"
"Very often","2013","Not Working","secondary school degree","45","0.0147645028366339","0.0095625369223122","0.0199664687509556"
"Very often","2013","Not Working","college entrance qualification","13","","",""
"Very often","2013","Not Working","Other degree","23","","",""
"Very often","2013","Not Working","no degree/no degree yet","11","","",""
"Often","2013","Full Time","lower secondary degree","53","0.0280965321956044","0.0207317860417136","0.0354612783494953"
"Often","2013","Full Time","secondary school degree","97","0.032290293758219","0.0262980641070945","0.0382825234093436"
"Often","2013","Full Time","college entrance qualification","46","0.0186507239750894","0.0141532582976712","0.0231481896525075"
"Often","2013","Full Time","Other degree","23","","",""
"Often","2013","Full Time","no degree/no degree yet","4","","",""
"Often","2013","Part Time","lower secondary degree","63","0.0366591039911263","0.027211814604949","0.0461063933773036"
"Often","2013","Part Time","secondary school degree","88","0.0395219238986594","0.0318507786341751","0.0471930691631437"
"Often","2013","Part Time","college entrance qualification","58","0.0305804278449467","0.0234613420753121","0.0376995136145812"
"Often","2013","Part Time","Other degree","25","","",""
"Often","2013","Part Time","no degree/no degree yet","13","","",""
"Often","2013","Not Working","lower secondary degree","193","0.0570726227002916","0.049561179346384","0.0645840660541992"
"Often","2013","Not Working","secondary school degree","107","0.0561979785784295","0.046264785852551","0.0661311713043081"
"Often","2013","Not Working","college entrance qualification","41","0.0280172315852207","0.0201049495592477","0.0359295136111938"
"Often","2013","Not Working","Other degree","37","0.0524635112176305","0.0348565509918946","0.0700704714433664"
"Often","2013","Not Working","no degree/no degree yet","44","0.0722050977303875","0.0503949112173498","0.0940152842434252"
"Sometimes","2013","Full Time","lower secondary degree","180","0.0875684805062741","0.0749707039021212","0.100166257110427"
"Sometimes","2013","Full Time","secondary school degree","277","0.0777394868032899","0.0686627959332263","0.0868161776733535"
"Sometimes","2013","Full Time","college entrance qualification","215","0.0702608357367027","0.0617642307989071","0.0787574406744984"
"Sometimes","2013","Full Time","Other degree","67","0.120328668211402","0.0928624742424669","0.147794862180337"
"Sometimes","2013","Full Time","no degree/no degree yet","16","","",""
"Sometimes","2013","Part Time","lower secondary degree","182","0.107946137253497","0.09234610884656","0.123546165660434"
"Sometimes","2013","Part Time","secondary school degree","250","0.0991354560580616","0.087369107984176","0.110901804131947"
"Sometimes","2013","Part Time","college entrance qualification","180","0.0802443631316275","0.0690115107601988","0.0914772155030561"
"Sometimes","2013","Part Time","Other degree","75","0.178531300894704","0.143069419025166","0.213993182764243"
"Sometimes","2013","Part Time","no degree/no degree yet","24","","",""
"Sometimes","2013","Not Working","lower secondary degree","441","0.113343401772651","0.103078703093355","0.123608100451946"
"Sometimes","2013","Not Working","secondary school degree","265","0.153228650513372","0.137692581955737","0.168764719071008"
"Sometimes","2013","Not Working","college entrance qualification","137","0.0966154958949533","0.0824503980705981","0.110780593719308"
"Sometimes","2013","Not Working","Other degree","122","0.188878600342215","0.157969095879113","0.219788104805317"
"Sometimes","2013","Not Working","no degree/no degree yet","61","0.120908244474582","0.0934359761428676","0.148380512806297"
"Rarely ","2013","Full Time","lower secondary degree","594","0.31199119660546","0.291342719634059","0.332639673576861"
"Rarely ","2013","Full Time","secondary school degree","958","0.325590079424804","0.30970543639101","0.341474722458598"
"Rarely ","2013","Full Time","college entrance qualification","888","0.246762910894355","0.232430673348439","0.261095148440271"
"Rarely ","2013","Full Time","Other degree","166","0.295494465528038","0.256975857122711","0.334013073933364"
"Rarely ","2013","Full Time","no degree/no degree yet","26","","",""
"Rarely ","2013","Part Time","lower secondary degree","441","0.317839088763427","0.294430600607186","0.341247576919668"
"Rarely ","2013","Part Time","secondary school degree","691","0.287744443057582","0.269919882332329","0.305569003782835"
"Rarely ","2013","Part Time","college entrance qualification","582","0.270664935650023","0.252294218935782","0.289035652364264"
"Rarely ","2013","Part Time","Other degree","124","0.263878025127213","0.223066240334241","0.304689809920185"
"Rarely ","2013","Part Time","no degree/no degree yet","62","0.325194363959662","0.258232116415816","0.392156611503508"
"Rarely ","2013","Not Working","lower secondary degree","932","0.255782406868191","0.241655220984877","0.269909592751504"
"Rarely ","2013","Not Working","secondary school degree","555","0.260943396413104","0.242002520044294","0.279884272781915"
"Rarely ","2013","Not Working","college entrance qualification","445","0.294382071587515","0.272529610877015","0.316234532298014"
"Rarely ","2013","Not Working","Other degree","165","0.249930678687133","0.215739173444748","0.284122183929517"
"Rarely ","2013","Not Working","no degree/no degree yet","143","0.263728097190336","0.22659623133055","0.300859963050121"
"Never","2013","Full Time","lower secondary degree","1097","0.56557336827452","0.543482003223441","0.587664733325599"
"Never","2013","Full Time","secondary school degree","1996","0.558099853705773","0.54126544255944","0.574934264852106"
"Never","2013","Full Time","college entrance qualification","2315","0.660197215650075","0.644451640904167","0.675942790395982"
"Never","2013","Full Time","Other degree","282","0.538987987727852","0.496905696998664","0.581070278457039"
"Never","2013","Full Time","no degree/no degree yet","34","0.494816317789348","0.385256888538658","0.604375747040038"
"Never","2013","Part Time","lower secondary degree","803","0.518315806318538","0.493196668933106","0.543434943703971"
"Never","2013","Part Time","secondary school degree","1425","0.563412457512138","0.543884971633533","0.582939943390743"
"Never","2013","Part Time","college entrance qualification","1419","0.615065244555605","0.594946507675049","0.635183981436162"
"Never","2013","Part Time","Other degree","218","0.470769204439818","0.424548595743763","0.516989813135874"
"Never","2013","Part Time","no degree/no degree yet","84","0.395959681160167","0.326051562714539","0.465867799605796"
"Never","2013","Not Working","lower secondary degree","2019","0.555842557506456","0.539754088140831","0.571931026872082"
"Never","2013","Not Working","secondary school degree","1093","0.51486547165846","0.493309577637212","0.536421365679708"
"Never","2013","Not Working","college entrance qualification","1035","0.572430489451729","0.548709947395996","0.596151031507463"
"Never","2013","Not Working","Other degree","269","0.479847176221726","0.440394661831839","0.519299690611614"
"Never","2013","Not Working","no degree/no degree yet","282","0.520549959752403","0.47845284349094","0.562647076013867"
"Very often","2014","Full Time","lower secondary degree","","","",""
"Very often","2014","Full Time","secondary school degree","","","",""
"Very often","2014","Full Time","college entrance qualification","","","",""
"Very often","2014","Full Time","Other degree","","","",""
"Very often","2014","Full Time","no degree/no degree yet","","","",""
"Very often","2014","Part Time","lower secondary degree","","","",""
"Very often","2014","Part Time","secondary school degree","","","",""
"Very often","2014","Part Time","college entrance qualification","","","",""
"Very often","2014","Part Time","Other degree","","","",""
"Very often","2014","Part Time","no degree/no degree yet","","","",""
"Very often","2014","Not Working","lower secondary degree","","","",""
"Very often","2014","Not Working","secondary school degree","","","",""
"Very often","2014","Not Working","college entrance qualification","","","",""
"Very often","2014","Not Working","Other degree","","","",""
"Very often","2014","Not Working","no degree/no degree yet","","","",""
"Often","2014","Full Time","lower secondary degree","","","",""
"Often","2014","Full Time","secondary school degree","","","",""
"Often","2014","Full Time","college entrance qualification","","","",""
"Often","2014","Full Time","Other degree","","","",""
"Often","2014","Full Time","no degree/no degree yet","","","",""
"Often","2014","Part Time","lower secondary degree","","","",""
"Often","2014","Part Time","secondary school degree","","","",""
"Often","2014","Part Time","college entrance qualification","","","",""
"Often","2014","Part Time","Other degree","","","",""
"Often","2014","Part Time","no degree/no degree yet","","","",""
"Often","2014","Not Working","lower secondary degree","","","",""
"Often","2014","Not Working","secondary school degree","","","",""
"Often","2014","Not Working","college entrance qualification","","","",""
"Often","2014","Not Working","Other degree","","","",""
"Often","2014","Not Working","no degree/no degree yet","","","",""
"Sometimes","2014","Full Time","lower secondary degree","","","",""
"Sometimes","2014","Full Time","secondary school degree","","","",""
"Sometimes","2014","Full Time","college entrance qualification","","","",""
"Sometimes","2014","Full Time","Other degree","","","",""
"Sometimes","2014","Full Time","no degree/no degree yet","","","",""
"Sometimes","2014","Part Time","lower secondary degree","","","",""
"Sometimes","2014","Part Time","secondary school degree","","","",""
"Sometimes","2014","Part Time","college entrance qualification","","","",""
"Sometimes","2014","Part Time","Other degree","","","",""
"Sometimes","2014","Part Time","no degree/no degree yet","","","",""
"Sometimes","2014","Not Working","lower secondary degree","","","",""
"Sometimes","2014","Not Working","secondary school degree","","","",""
"Sometimes","2014","Not Working","college entrance qualification","","","",""
"Sometimes","2014","Not Working","Other degree","","","",""
"Sometimes","2014","Not Working","no degree/no degree yet","","","",""
"Rarely ","2014","Full Time","lower secondary degree","","","",""
"Rarely ","2014","Full Time","secondary school degree","","","",""
"Rarely ","2014","Full Time","college entrance qualification","","","",""
"Rarely ","2014","Full Time","Other degree","","","",""
"Rarely ","2014","Full Time","no degree/no degree yet","","","",""
"Rarely ","2014","Part Time","lower secondary degree","","","",""
"Rarely ","2014","Part Time","secondary school degree","","","",""
"Rarely ","2014","Part Time","college entrance qualification","","","",""
"Rarely ","2014","Part Time","Other degree","","","",""
"Rarely ","2014","Part Time","no degree/no degree yet","","","",""
"Rarely ","2014","Not Working","lower secondary degree","","","",""
"Rarely ","2014","Not Working","secondary school degree","","","",""
"Rarely ","2014","Not Working","college entrance qualification","","","",""
"Rarely ","2014","Not Working","Other degree","","","",""
"Rarely ","2014","Not Working","no degree/no degree yet","","","",""
"Never","2014","Full Time","lower secondary degree","","","",""
"Never","2014","Full Time","secondary school degree","","","",""
"Never","2014","Full Time","college entrance qualification","","","",""
"Never","2014","Full Time","Other degree","","","",""
"Never","2014","Full Time","no degree/no degree yet","","","",""
"Never","2014","Part Time","lower secondary degree","","","",""
"Never","2014","Part Time","secondary school degree","","","",""
"Never","2014","Part Time","college entrance qualification","","","",""
"Never","2014","Part Time","Other degree","","","",""
"Never","2014","Part Time","no degree/no degree yet","","","",""
"Never","2014","Not Working","lower secondary degree","","","",""
"Never","2014","Not Working","secondary school degree","","","",""
"Never","2014","Not Working","college entrance qualification","","","",""
"Never","2014","Not Working","Other degree","","","",""
"Never","2014","Not Working","no degree/no degree yet","","","",""
"Very often","2015","Full Time","lower secondary degree","","","",""
"Very often","2015","Full Time","secondary school degree","","","",""
"Very often","2015","Full Time","college entrance qualification","","","",""
"Very often","2015","Full Time","Other degree","","","",""
"Very often","2015","Full Time","no degree/no degree yet","","","",""
"Very often","2015","Part Time","lower secondary degree","","","",""
"Very often","2015","Part Time","secondary school degree","","","",""
"Very often","2015","Part Time","college entrance qualification","","","",""
"Very often","2015","Part Time","Other degree","","","",""
"Very often","2015","Part Time","no degree/no degree yet","","","",""
"Very often","2015","Not Working","lower secondary degree","","","",""
"Very often","2015","Not Working","secondary school degree","","","",""
"Very often","2015","Not Working","college entrance qualification","","","",""
"Very often","2015","Not Working","Other degree","","","",""
"Very often","2015","Not Working","no degree/no degree yet","","","",""
"Often","2015","Full Time","lower secondary degree","","","",""
"Often","2015","Full Time","secondary school degree","","","",""
"Often","2015","Full Time","college entrance qualification","","","",""
"Often","2015","Full Time","Other degree","","","",""
"Often","2015","Full Time","no degree/no degree yet","","","",""
"Often","2015","Part Time","lower secondary degree","","","",""
"Often","2015","Part Time","secondary school degree","","","",""
"Often","2015","Part Time","college entrance qualification","","","",""
"Often","2015","Part Time","Other degree","","","",""
"Often","2015","Part Time","no degree/no degree yet","","","",""
"Often","2015","Not Working","lower secondary degree","","","",""
"Often","2015","Not Working","secondary school degree","","","",""
"Often","2015","Not Working","college entrance qualification","","","",""
"Often","2015","Not Working","Other degree","","","",""
"Often","2015","Not Working","no degree/no degree yet","","","",""
"Sometimes","2015","Full Time","lower secondary degree","","","",""
"Sometimes","2015","Full Time","secondary school degree","","","",""
"Sometimes","2015","Full Time","college entrance qualification","","","",""
"Sometimes","2015","Full Time","Other degree","","","",""
"Sometimes","2015","Full Time","no degree/no degree yet","","","",""
"Sometimes","2015","Part Time","lower secondary degree","","","",""
"Sometimes","2015","Part Time","secondary school degree","","","",""
"Sometimes","2015","Part Time","college entrance qualification","","","",""
"Sometimes","2015","Part Time","Other degree","","","",""
"Sometimes","2015","Part Time","no degree/no degree yet","","","",""
"Sometimes","2015","Not Working","lower secondary degree","","","",""
"Sometimes","2015","Not Working","secondary school degree","","","",""
"Sometimes","2015","Not Working","college entrance qualification","","","",""
"Sometimes","2015","Not Working","Other degree","","","",""
"Sometimes","2015","Not Working","no degree/no degree yet","","","",""
"Rarely ","2015","Full Time","lower secondary degree","","","",""
"Rarely ","2015","Full Time","secondary school degree","","","",""
"Rarely ","2015","Full Time","college entrance qualification","","","",""
"Rarely ","2015","Full Time","Other degree","","","",""
"Rarely ","2015","Full Time","no degree/no degree yet","","","",""
"Rarely ","2015","Part Time","lower secondary degree","","","",""
"Rarely ","2015","Part Time","secondary school degree","","","",""
"Rarely ","2015","Part Time","college entrance qualification","","","",""
"Rarely ","2015","Part Time","Other degree","","","",""
"Rarely ","2015","Part Time","no degree/no degree yet","","","",""
"Rarely ","2015","Not Working","lower secondary degree","","","",""
"Rarely ","2015","Not Working","secondary school degree","","","",""
"Rarely ","2015","Not Working","college entrance qualification","","","",""
"Rarely ","2015","Not Working","Other degree","","","",""
"Rarely ","2015","Not Working","no degree/no degree yet","","","",""
"Never","2015","Full Time","lower secondary degree","","","",""
"Never","2015","Full Time","secondary school degree","","","",""
"Never","2015","Full Time","college entrance qualification","","","",""
"Never","2015","Full Time","Other degree","","","",""
"Never","2015","Full Time","no degree/no degree yet","","","",""
"Never","2015","Part Time","lower secondary degree","","","",""
"Never","2015","Part Time","secondary school degree","","","",""
"Never","2015","Part Time","college entrance qualification","","","",""
"Never","2015","Part Time","Other degree","","","",""
"Never","2015","Part Time","no degree/no degree yet","","","",""
"Never","2015","Not Working","lower secondary degree","","","",""
"Never","2015","Not Working","secondary school degree","","","",""
"Never","2015","Not Working","college entrance qualification","","","",""
"Never","2015","Not Working","Other degree","","","",""
"Never","2015","Not Working","no degree/no degree yet","","","",""
"Very often","2016","Full Time","lower secondary degree","","","",""
"Very often","2016","Full Time","secondary school degree","","","",""
"Very often","2016","Full Time","college entrance qualification","","","",""
"Very often","2016","Full Time","Other degree","","","",""
"Very often","2016","Full Time","no degree/no degree yet","","","",""
"Very often","2016","Part Time","lower secondary degree","","","",""
"Very often","2016","Part Time","secondary school degree","","","",""
"Very often","2016","Part Time","college entrance qualification","","","",""
"Very often","2016","Part Time","Other degree","","","",""
"Very often","2016","Part Time","no degree/no degree yet","","","",""
"Very often","2016","Not Working","lower secondary degree","","","",""
"Very often","2016","Not Working","secondary school degree","","","",""
"Very often","2016","Not Working","college entrance qualification","","","",""
"Very often","2016","Not Working","Other degree","155","0.0753698775279022","0.0645576973706044","0.0861820576852"
"Very often","2016","Not Working","no degree/no degree yet","130","0.114252133083127","0.0985114405677183","0.129992825598535"
"Often","2016","Full Time","lower secondary degree","","","",""
"Often","2016","Full Time","secondary school degree","","","",""
"Often","2016","Full Time","college entrance qualification","","","",""
"Often","2016","Full Time","Other degree","","","",""
"Often","2016","Full Time","no degree/no degree yet","","","",""
"Often","2016","Part Time","lower secondary degree","","","",""
"Often","2016","Part Time","secondary school degree","","","",""
"Often","2016","Part Time","college entrance qualification","","","",""
"Often","2016","Part Time","Other degree","","","",""
"Often","2016","Part Time","no degree/no degree yet","","","",""
"Often","2016","Not Working","lower secondary degree","2","","",""
"Often","2016","Not Working","secondary school degree","1","","",""
"Often","2016","Not Working","college entrance qualification","2","","",""
"Often","2016","Not Working","Other degree","282","0.157833738476643","0.142901353055272","0.172766123898014"
"Often","2016","Not Working","no degree/no degree yet","235","0.197766076379954","0.178057147184144","0.217475005575765"
"Sometimes","2016","Full Time","lower secondary degree","","","",""
"Sometimes","2016","Full Time","secondary school degree","","","",""
"Sometimes","2016","Full Time","college entrance qualification","","","",""
"Sometimes","2016","Full Time","Other degree","","","",""
"Sometimes","2016","Full Time","no degree/no degree yet","","","",""
"Sometimes","2016","Part Time","lower secondary degree","","","",""
"Sometimes","2016","Part Time","secondary school degree","","","",""
"Sometimes","2016","Part Time","college entrance qualification","","","",""
"Sometimes","2016","Part Time","Other degree","","","",""
"Sometimes","2016","Part Time","no degree/no degree yet","","","",""
"Sometimes","2016","Not Working","lower secondary degree","7","","",""
"Sometimes","2016","Not Working","secondary school degree","1","","",""
"Sometimes","2016","Not Working","college entrance qualification","4","","",""
"Sometimes","2016","Not Working","Other degree","506","0.218807553503187","0.201874295611824","0.23574081139455"
"Sometimes","2016","Not Working","no degree/no degree yet","376","0.254506826036811","0.232953804033497","0.276059848040125"
"Rarely ","2016","Full Time","lower secondary degree","","","",""
"Rarely ","2016","Full Time","secondary school degree","","","",""
"Rarely ","2016","Full Time","college entrance qualification","","","",""
"Rarely ","2016","Full Time","Other degree","","","",""
"Rarely ","2016","Full Time","no degree/no degree yet","","","",""
"Rarely ","2016","Part Time","lower secondary degree","","","",""
"Rarely ","2016","Part Time","secondary school degree","","","",""
"Rarely ","2016","Part Time","college entrance qualification","","","",""
"Rarely ","2016","Part Time","Other degree","","","",""
"Rarely ","2016","Part Time","no degree/no degree yet","","","",""
"Rarely ","2016","Not Working","lower secondary degree","2","","",""
"Rarely ","2016","Not Working","secondary school degree","1","","",""
"Rarely ","2016","Not Working","college entrance qualification","2","","",""
"Rarely ","2016","Not Working","Other degree","421","0.187421528609729","0.171437997023913","0.203405060195544"
"Rarely ","2016","Not Working","no degree/no degree yet","261","0.16111299611056","0.142922119024219","0.179303873196902"
"Never","2016","Full Time","lower secondary degree","","","",""
"Never","2016","Full Time","secondary school degree","","","",""
"Never","2016","Full Time","college entrance qualification","","","",""
"Never","2016","Full Time","Other degree","","","",""
"Never","2016","Full Time","no degree/no degree yet","","","",""
"Never","2016","Part Time","lower secondary degree","","","",""
"Never","2016","Part Time","secondary school degree","","","",""
"Never","2016","Part Time","college entrance qualification","","","",""
"Never","2016","Part Time","Other degree","","","",""
"Never","2016","Part Time","no degree/no degree yet","","","",""
"Never","2016","Not Working","lower secondary degree","11","","",""
"Never","2016","Not Working","secondary school degree","10","","",""
"Never","2016","Not Working","college entrance qualification","6","","",""
"Never","2016","Not Working","Other degree","926","0.360567301882539","0.340901079752192","0.380233524012886"
"Never","2016","Not Working","no degree/no degree yet","567","0.272361968389547","0.250334349876898","0.294389586902197"
"Very often","2017","Full Time","lower secondary degree","11","","",""
"Very often","2017","Full Time","secondary school degree","13","","",""
"Very often","2017","Full Time","college entrance qualification","10","","",""
"Very often","2017","Full Time","Other degree","13","","",""
"Very often","2017","Full Time","no degree/no degree yet","1","","",""
"Very often","2017","Part Time","lower secondary degree","17","","",""
"Very often","2017","Part Time","secondary school degree","22","","",""
"Very often","2017","Part Time","college entrance qualification","13","","",""
"Very often","2017","Part Time","Other degree","21","","",""
"Very often","2017","Part Time","no degree/no degree yet","2","","",""
"Very often","2017","Not Working","lower secondary degree","56","0.018116301321028","0.0133325567536669","0.0229000458883891"
"Very often","2017","Not Working","secondary school degree","37","0.0217307448633113","0.0153756209308688","0.0280858687957538"
"Very often","2017","Not Working","college entrance qualification","18","","",""
"Very often","2017","Not Working","Other degree","119","0.0369958590072777","0.0294095103033211","0.0445822077112344"
"Very often","2017","Not Working","no degree/no degree yet","120","0.0359533642307305","0.0274165151010086","0.0444902133604524"
"Often","2017","Full Time","lower secondary degree","52","0.0283559675323166","0.0205206736693645","0.0361912613952687"
"Often","2017","Full Time","secondary school degree","82","0.0236970538872571","0.0185432890192586","0.0288508187552556"
"Often","2017","Full Time","college entrance qualification","49","0.0105637850922128","0.00724799991023063","0.013879570274195"
"Often","2017","Full Time","Other degree","44","0.042670497451984","0.0312063832934715","0.0541346116104964"
"Often","2017","Full Time","no degree/no degree yet","9","","",""
"Often","2017","Part Time","lower secondary degree","59","0.0356029173167765","0.0258158661748788","0.0453899684586742"
"Often","2017","Part Time","secondary school degree","62","0.0313026035541215","0.0240913896422603","0.0385138174659827"
"Often","2017","Part Time","college entrance qualification","57","0.0186367523956466","0.0133680698616061","0.023905434929687"
"Often","2017","Part Time","Other degree","47","0.0448241643900472","0.0319087781593764","0.0577395506207179"
"Often","2017","Part Time","no degree/no degree yet","23","","",""
"Often","2017","Not Working","lower secondary degree","169","0.0528717772033087","0.0448454006100534","0.0608981537965641"
"Often","2017","Not Working","secondary school degree","111","0.0513453620774544","0.0417256473567716","0.0609650767981373"
"Often","2017","Not Working","college entrance qualification","52","0.0310176829566476","0.0229182547674537","0.0391171111458415"
"Often","2017","Not Working","Other degree","259","0.10468776806741","0.0923828877124521","0.116992648422367"
"Often","2017","Not Working","no degree/no degree yet","229","0.109727020276647","0.0953953368491947","0.124058703704098"
"Sometimes","2017","Full Time","lower secondary degree","178","0.105303236663121","0.0908142419665492","0.119792231359692"
"Sometimes","2017","Full Time","secondary school degree","262","0.0726261354964179","0.0638326912033104","0.0814195797895255"
"Sometimes","2017","Full Time","college entrance qualification","207","0.0615220973913073","0.0537289965024499","0.0693151982801647"
"Sometimes","2017","Full Time","Other degree","136","0.109989331935779","0.0922425825699997","0.127736081301558"
"Sometimes","2017","Full Time","no degree/no degree yet","17","","",""
"Sometimes","2017","Part Time","lower secondary degree","182","0.119535725685114","0.102400656926562","0.136670794443667"
"Sometimes","2017","Part Time","secondary school degree","207","0.0980382152169801","0.0857237417120048","0.110352688721955"
"Sometimes","2017","Part Time","college entrance qualification","214","0.0808918415803582","0.0702690737347714","0.091514609425945"
"Sometimes","2017","Part Time","Other degree","154","0.178435964212191","0.154537414893154","0.202334513531228"
"Sometimes","2017","Part Time","no degree/no degree yet","36","0.158726462343534","0.11076538366477","0.206687541022298"
"Sometimes","2017","Not Working","lower secondary degree","371","0.136107628037406","0.123808502291781","0.148406753783031"
"Sometimes","2017","Not Working","secondary school degree","224","0.11094038710764","0.0972515109362564","0.124629263279023"
"Sometimes","2017","Not Working","college entrance qualification","182","0.104798351086982","0.090488687673438","0.119108014500527"
"Sometimes","2017","Not Working","Other degree","528","0.166149816803704","0.151189661104408","0.181109972502999"
"Sometimes","2017","Not Working","no degree/no degree yet","387","0.192627831813605","0.174544634435554","0.210711029191657"
"Rarely ","2017","Full Time","lower secondary degree","486","0.277487350098863","0.256351302287492","0.298623397910234"
"Rarely ","2017","Full Time","secondary school degree","900","0.28775375932018","0.272414276809583","0.303093241830776"
"Rarely ","2017","Full Time","college entrance qualification","895","0.249698266215151","0.235660162554846","0.263736369875456"
"Rarely ","2017","Full Time","Other degree","318","0.279469756340455","0.254016729052561","0.304922783628348"
"Rarely ","2017","Full Time","no degree/no degree yet","35","0.294709669469524","0.212796115713106","0.376623223225942"
