"plj0589","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Full Time","Female","1998","0.582902018095582","0.566040478457631","0.599763557733534","5"
"Never","2013","Part Time","Female","3177","0.576795003610382","0.563642921080307","0.589947086140457","5"
"Never","2013","Not Working","Male","1938","0.527026666098463","0.510490887716461","0.543562444480466","5"
"Never","2013","Not Working","Female","2886","0.55384314188703","0.540440084895314","0.567246198878747","5"
"Never","2013","Part Time","Male","903","0.508213410046706","0.484406513246046","0.532020306847366","5"
"Never","2013","Full Time","Male","3883","0.603279228141823","0.591254106301144","0.615304349982502","5"
"Often","2013","Full Time","Female","102","0.0359599320186502","0.0295928949630403","0.0423269690742601","2"
"Often","2013","Full Time","Male","130","0.0212511117341578","0.0177061275863425","0.0247960958819731","2"
"Often","2013","Part Time","Male","65","0.0423777526019182","0.0327846859448673","0.0519708192589691","2"
"Often","2013","Part Time","Female","191","0.0391098448217514","0.0339493861334421","0.0442703035100608","2"
"Often","2013","Not Working","Male","149","0.0474483638003685","0.040407192595039","0.054489535005698","2"
"Often","2013","Not Working","Female","285","0.0564556853898854","0.0502326584694094","0.0626787123103614","2"
"Rarely ","2013","Full Time","Female","867","0.283375243481661","0.267965079475163","0.298785407488158","4"
"Rarely ","2013","Full Time","Male","1838","0.296461016165446","0.285235257297042","0.307686775033849","4"
"Rarely ","2013","Part Time","Male","529","0.329972754542573","0.307581591075055","0.352363918010092","4"
"Rarely ","2013","Part Time","Female","1438","0.272923880373454","0.26106567148414","0.284782089262767","4"
"Rarely ","2013","Not Working","Male","974","0.284890710543378","0.269941599283204","0.299839821803551","4"
"Rarely ","2013","Not Working","Female","1325","0.248994234925092","0.23733465327989","0.260653816570295","4"
"Sometimes","2013","Full Time","Female","300","0.0927052002023926","0.08278759849442","0.102622801910365","3"
"Sometimes","2013","Part Time","Male","175","0.104451708257116","0.0898872724253262","0.119016144088906","3"
"Sometimes","2013","Not Working","Female","669","0.122799456741279","0.113950045956337","0.131648867526221","3"
"Sometimes","2013","Not Working","Male","388","0.126827369908468","0.115805721055841","0.137849018761094","3"
"Sometimes","2013","Full Time","Male","485","0.0731408604669663","0.0667409377408509","0.0795407831930817","3"
"Sometimes","2013","Part Time","Female","561","0.102074042870561","0.094014947250021","0.110133138491102","3"
"Very often","2013","Full Time","Male","22","","","","1"
"Very often","2013","Full Time","Female","18","","","","1"
"Very often","2013","Part Time","Male","22","","","","1"
"Very often","2013","Part Time","Female","54","0.00909722832385105","0.00656980227980007","0.011624654367902","1"
"Very often","2013","Not Working","Male","53","0.0138068896493226","0.00994216168938324","0.017671617609262","1"
"Very often","2013","Not Working","Female","119","0.0179074810567126","0.0143317887657745","0.0214831733476506","1"
"Never","2014","Full Time","Female","","","","","5"
"Never","2014","Not Working","Female","","","","","5"
"Never","2014","Part Time","Male","","","","","5"
"Never","2014","Full Time","Male","","","","","5"
"Never","2014","Not Working","Male","","","","","5"
"Never","2014","Part Time","Female","","","","","5"
"Often","2014","Full Time","Female","","","","","2"
"Often","2014","Part Time","Male","","","","","2"
"Often","2014","Part Time","Female","","","","","2"
"Often","2014","Full Time","Male","","","","","2"
"Often","2014","Not Working","Male","","","","","2"
"Often","2014","Not Working","Female","","","","","2"
"Rarely ","2014","Full Time","Female","","","","","4"
"Rarely ","2014","Not Working","Male","","","","","4"
"Rarely ","2014","Not Working","Female","","","","","4"
"Rarely ","2014","Full Time","Male","","","","","4"
"Rarely ","2014","Part Time","Male","","","","","4"
"Rarely ","2014","Part Time","Female","","","","","4"
"Sometimes","2014","Full Time","Female","","","","","3"
"Sometimes","2014","Part Time","Male","","","","","3"
"Sometimes","2014","Full Time","Male","","","","","3"
"Sometimes","2014","Part Time","Female","","","","","3"
"Sometimes","2014","Not Working","Male","","","","","3"
"Sometimes","2014","Not Working","Female","","","","","3"
"Very often","2014","Part Time","Male","","","","","1"
"Very often","2014","Full Time","Male","","","","","1"
"Very often","2014","Full Time","Female","","","","","1"
"Very often","2014","Part Time","Female","","","","","1"
"Very often","2014","Not Working","Male","","","","","1"
"Very often","2014","Not Working","Female","","","","","1"
"Never","2015","Full Time","Female","","","","","5"
"Never","2015","Part Time","Male","","","","","5"
"Never","2015","Not Working","Male","","","","","5"
"Never","2015","Not Working","Female","","","","","5"
"Never","2015","Full Time","Male","","","","","5"
"Never","2015","Part Time","Female","","","","","5"
"Often","2015","Part Time","Female","","","","","2"
"Often","2015","Full Time","Male","","","","","2"
"Often","2015","Part Time","Male","","","","","2"
"Often","2015","Full Time","Female","","","","","2"
"Often","2015","Not Working","Male","","","","","2"
"Often","2015","Not Working","Female","","","","","2"
"Rarely ","2015","Full Time","Female","","","","","4"
"Rarely ","2015","Part Time","Male","","","","","4"
"Rarely ","2015","Full Time","Male","","","","","4"
"Rarely ","2015","Not Working","Male","","","","","4"
"Rarely ","2015","Part Time","Female","","","","","4"
"Rarely ","2015","Not Working","Female","","","","","4"
"Sometimes","2015","Part Time","Male","","","","","3"
"Sometimes","2015","Part Time","Female","","","","","3"
"Sometimes","2015","Full Time","Male","","","","","3"
"Sometimes","2015","Full Time","Female","","","","","3"
"Sometimes","2015","Not Working","Male","","","","","3"
"Sometimes","2015","Not Working","Female","","","","","3"
"Very often","2015","Full Time","Male","","","","","1"
"Very often","2015","Full Time","Female","","","","","1"
"Very often","2015","Part Time","Male","","","","","1"
"Very often","2015","Part Time","Female","","","","","1"
"Very often","2015","Not Working","Male","","","","","1"
"Very often","2015","Not Working","Female","","","","","1"
"Never","2016","Full Time","Male","","","","","5"
"Never","2016","Full Time","Female","","","","","5"
"Never","2016","Part Time","Male","","","","","5"
"Never","2016","Part Time","Female","","","","","5"
"Never","2016","Not Working","Male","1015","0.317315637795853","0.299574842665768","0.335056432925939","5"
"Never","2016","Not Working","Female","632","0.355268207538229","0.33177341318549","0.378763001890968","5"
"Often","2016","Full Time","Male","","","","","2"
"Often","2016","Full Time","Female","","","","","2"
"Often","2016","Part Time","Male","","","","","2"
"Often","2016","Part Time","Female","","","","","2"
"Often","2016","Not Working","Male","360","0.184080678389849","0.169308481837883","0.198852874941814","2"
"Often","2016","Not Working","Female","212","0.143786620750214","0.126561821224715","0.161011420275712","2"
"Rarely ","2016","Full Time","Male","","","","","4"
"Rarely ","2016","Full Time","Female","","","","","4"
"Rarely ","2016","Part Time","Male","","","","","4"
"Rarely ","2016","Part Time","Female","","","","","4"
"Rarely ","2016","Not Working","Male","480","0.179791298576492","0.165153900420076","0.194428696732907","4"
"Rarely ","2016","Not Working","Female","264","0.163417784826445","0.14526647767083","0.18156909198206","4"
"Sometimes","2016","Full Time","Male","","","","","3"
"Sometimes","2016","Full Time","Female","","","","","3"
"Sometimes","2016","Part Time","Male","","","","","3"
"Sometimes","2016","Part Time","Female","","","","","3"
"Sometimes","2016","Not Working","Male","587","0.226537861306003","0.210582476107268","0.242493246504738","3"
"Sometimes","2016","Not Working","Female","376","0.253404643664775","0.232051891506109","0.274757395823441","3"
"Very often","2016","Full Time","Male","","","","","1"
"Very often","2016","Full Time","Female","","","","","1"
"Very often","2016","Part Time","Male","","","","","1"
"Very often","2016","Part Time","Female","","","","","1"
"Very often","2016","Not Working","Male","202","0.0922745239318032","0.0812429994164766","0.10330604844713","1"
"Very often","2016","Not Working","Female","110","0.084122743220338","0.0704964012765357","0.0977490851641403","1"
"Never","2017","Full Time","Male","4185","0.618355440103604","0.60668667690143","0.630024203305778","5"
"Never","2017","Full Time","Female","2338","0.631532360914427","0.616041254650163","0.64702346717869","5"
"Never","2017","Part Time","Male","1145","0.55335247865249","0.531910174257807","0.574794783047173","5"
"Never","2017","Part Time","Female","3264","0.595309391059553","0.582441304717227","0.608177477401879","5"
"Never","2017","Not Working","Male","2523","0.51130664949059","0.49772413699289","0.524889161988291","5"
"Never","2017","Not Working","Female","3110","0.533044463697874","0.520654831655638","0.54543409574011","5"
"Often","2017","Full Time","Male","153","0.0245515924935527","0.0208343732123106","0.0282688117747948","2"
"Often","2017","Part Time","Male","79","0.0376365705977045","0.0294280925581756","0.0458450486372334","2"
"Often","2017","Full Time","Female","98","0.0225137767730443","0.017749856849","0.0272776966970886","2"
"Often","2017","Not Working","Female","464","0.0601792907292856","0.054273406038838","0.0660851754197332","2"
"Often","2017","Part Time","Female","187","0.0301556500798643","0.0256721580317329","0.0346391421279958","2"
"Often","2017","Not Working","Male","391","0.0540697588399259","0.0479246730641076","0.0602148446157443","2"
"Rarely ","2017","Full Time","Male","1778","0.277835442066159","0.26707604082204","0.288594843310279","4"
"Rarely ","2017","Full Time","Female","945","0.252618966604199","0.238665279962826","0.266572653245572","4"
"Rarely ","2017","Not Working","Male","1317","0.291712939199178","0.279361894921423","0.304063983476932","4"
"Rarely ","2017","Part Time","Female","1478","0.258103343751689","0.246631068496304","0.269575619007074","4"
"Rarely ","2017","Not Working","Female","1483","0.245318770238918","0.234633485754504","0.256004054723332","4"
"Rarely ","2017","Part Time","Male","592","0.287928869944222","0.268399314452094","0.30745842543635","4"
"Sometimes","2017","Full Time","Male","511","0.0760715247285584","0.0697034752045755","0.0824395742525413","3"
"Sometimes","2017","Full Time","Female","324","0.0871537156120436","0.0780958320811487","0.0962115991429385","3"
"Sometimes","2017","Not Working","Male","797","0.120040891766869","0.111209746472106","0.128872037061631","3"
"Sometimes","2017","Not Working","Female","975","0.14044681116447","0.131818391796316","0.149075230532623","3"
"Sometimes","2017","Part Time","Male","223","0.107628786997872","0.0942620605006738","0.120995513495071","3"
"Sometimes","2017","Part Time","Female","608","0.108214353822139","0.100070054804699","0.116358652839578","3"
"Very often","2017","Part Time","Male","26","","","","1"
