"plj0014_v3","year","migback","n","percent","lower_confidence","upper_confidence"
"No","1996","direct migration background","1737","0.51891355434099","0.499785374402716","0.538041734279264"
"No","1996","indirect migration background","383","0.545089246659671","0.503435043822165","0.586743449497177"
"No","1996","no migration background","6","","",""
"Yes","1996","direct migration background","884","0.48108644565901","0.461958265720737","0.500214625597284"
"Yes","1996","indirect migration background","166","0.454910753340329","0.413256550502823","0.496564956177835"
"Yes","1996","no migration background","9949","0.998725723294081","0.998024942083763","0.9994265045044"
"No","1997","direct migration background","1612","0.521248446033317","0.50163510603252","0.540861786034114"
"No","1997","indirect migration background","394","0.537170537629296","0.49641555056836","0.577925524690232"
"No","1997","no migration background","6","","",""
"Yes","1997","direct migration background","880","0.478751553966683","0.459138213965886","0.49836489396748"
"Yes","1997","indirect migration background","181","0.462829462370704","0.422074475309769","0.50358444943164"
"Yes","1997","no migration background","9842","0.998552490736816","0.997801611325268","0.999303370148363"
"No","1998","direct migration background","1488","0.52856422872173","0.508679904002293","0.548448553441167"
"No","1998","indirect migration background","393","0.512910290790975","0.473048683598591","0.552771897983359"
"No","1998","no migration background","8","","",""
"Yes","1998","direct migration background","933","0.47143577127827","0.451551446558833","0.491320095997707"
"Yes","1998","indirect migration background","211","0.487089709209025","0.447228102016641","0.526951316401409"
"Yes","1998","no migration background","11294","0.998814572147993","0.998180190752536","0.99944895354345"
"No","1999","direct migration background","1343","0.527653601183509","0.506900494565847","0.548406707801171"
"No","1999","indirect migration background","383","0.503045097223662","0.463432407700776","0.542657786746548"
"No","1999","no migration background","9","","",""
"Yes","1999","direct migration background","880","0.472346398816491","0.451593292198829","0.493099505434153"
"Yes","1999","indirect migration background","229","0.496954902776338","0.457342213253452","0.536567592299224"
"Yes","1999","no migration background","10924","0.998191164214422","0.997394665923421","0.998987662505424"
"No","2000","direct migration background","1854","0.533074720868607","0.516165145792572","0.549984295944642"
"No","2000","indirect migration background","465","0.492386799932256","0.458395542277122","0.526378057587389"
"No","2000","no migration background","12","","",""
"Yes","2000","direct migration background","1490","0.466925279131393","0.450015704055358","0.483834854207428"
"Yes","2000","indirect migration background","366","0.507613200067744","0.473621942412611","0.541604457722878"
"Yes","2000","no migration background","20079","0.998781653338516","0.99829929695421","0.999264009722821"
"No","2001","direct migration background","1617","0.538790703834506","0.520786889956007","0.556794517713005"
"No","2001","indirect migration background","416","0.475292039373245","0.440178332577336","0.510405746169155"
"No","2001","no migration background","11","","",""
"Yes","2001","direct migration background","1328","0.461209296165494","0.443205482286995","0.479213110043993"
"Yes","2001","indirect migration background","361","0.524707960626755","0.489594253830845","0.559821667422664"
"Yes","2001","no migration background","18330","0.998911362539423","0.998434117196136","0.99938860788271"
"No","2002","direct migration background","1508","0.526789755674174","0.508362134901374","0.545217376446975"
"No","2002","indirect migration background","382","0.445313694689387","0.410524305231139","0.480103084147636"
"No","2002","no migration background","10","","",""
"Yes","2002","direct migration background","1312","0.473210244325825","0.454782623553025","0.491637865098626"
"Yes","2002","indirect migration background","402","0.554686305310613","0.519896915852364","0.589475694768861"
"Yes","2002","no migration background","19543","0.999067920430262","0.998640194684317","0.999495646176208"
"No","2003","direct migration background","1373","0.523049857046867","0.504015277491928","0.542084436601807"
"No","2003","indirect migration background","356","0.432016767248715","0.397474359660705","0.466559174836726"
"No","2003","no migration background","12","","",""
"Yes","2003","direct migration background","1272","0.476950142953133","0.457915563398193","0.495984722508072"
"Yes","2003","indirect migration background","434","0.567983232751285","0.533440825163274","0.602525640339295"
"Yes","2003","no migration background","18850","0.998886330873943","0.99841034907526","0.999362312672627"
"No","2004","direct migration background","1281","0.519189439737903","0.499804802412528","0.538574077063278"
"No","2004","indirect migration background","338","0.404715171093551","0.37093399126779","0.438496350919311"
"No","2004","no migration background","9","","",""
"Yes","2004","direct migration background","1271","0.480810560262097","0.461425922936722","0.500195197587472"
"Yes","2004","indirect migration background","473","0.595284828906449","0.561503649080689","0.62906600873221"
"Yes","2004","no migration background","18361","0.99907184525389","0.998631491129918","0.999512199377862"
"No","2005","direct migration background","1184","0.525386777275775","0.505341851545757","0.545431703005793"
"No","2005","indirect migration background","351","0.416793730773872","0.38335294034778","0.450234521199965"
"No","2005","no migration background","9","","",""
"Yes","2005","direct migration background","1200","0.474613222724225","0.454568296994207","0.494658148454243"
"Yes","2005","indirect migration background","484","0.583206269226127","0.549765478800035","0.616647059652219"
"Yes","2005","no migration background","17584","0.998938686616948","0.998457548929619","0.999419824304276"
"No","2006","direct migration background","1140","0.525277542246849","0.505261758124532","0.545293326369166"
"No","2006","indirect migration background","320","0.408607883769893","0.375064084311519","0.442151683228267"
"No","2006","no migration background","10","","",""
"Yes","2006","direct migration background","1251","0.474722457753151","0.454706673630834","0.494738241875468"
"Yes","2006","indirect migration background","505","0.591392116230107","0.557848316771733","0.624935915688481"
"Yes","2006","no migration background","18853","0.999150355383627","0.998734562753544","0.999566148013711"
"No","2007","direct migration background","999","0.536941039342261","0.51579005434331","0.558092024341212"
"No","2007","indirect migration background","277","0.387812994955586","0.353792689060091","0.421833300851082"
"No","2007","no migration background","10","","",""
"Yes","2007","direct migration background","1136","0.463058960657739","0.441907975658788","0.48420994565669"
"Yes","2007","indirect migration background","511","0.612187005044414","0.578166699148918","0.646207310939909"
"Yes","2007","no migration background","17690","0.99883534289847","0.998332876009969","0.999337809786971"
"No","2008","direct migration background","879","0.539470407884303","0.517152014768465","0.561788801000141"
"No","2008","indirect migration background","246","0.366573911601288","0.33260457275923","0.400543250443346"
"No","2008","no migration background","7","","",""
"Yes","2008","direct migration background","1037","0.460529592115697","0.438211198999859","0.482847985231535"
"Yes","2008","indirect migration background","527","0.633426088398712","0.599456749556654","0.66739542724077"
"Yes","2008","no migration background","16735","0.998809709376731","0.998287418660667","0.999332000092795"
"No","2009","direct migration background","752","0.553355364058284","0.529497410366204","0.577213317750365"
"No","2009","indirect migration background","230","0.391861945704189","0.35608010272848","0.427643788679898"
"No","2009","no migration background","7","","",""
"Yes","2009","direct migration background","916","0.446644635941716","0.422786682249636","0.470502589633796"
"Yes","2009","indirect migration background","485","0.608138054295811","0.572356211320102","0.64391989727152"
"Yes","2009","no migration background","15736","0.999121864629646","0.998659170158472","0.999584559100819"
"No","2010","direct migration background","1347","0.554913264931424","0.536853540915229","0.572972988947618"
"No","2010","indirect migration background","304","0.296189086425238","0.269800769254427","0.322577403596049"
"No","2010","no migration background","5","","",""
"Yes","2010","direct migration background","1562","0.445086735068576","0.427027011052382","0.463146459084771"
"Yes","2010","indirect migration background","846","0.703810913574762","0.677422596403951","0.730199230745573"
"Yes","2010","no migration background","20007","0.999497605741549","0.999187138304363","0.999808073178736"
"No","2011","direct migration background","872","0.507492245679528","0.486295603348871","0.528688888010184"
