"plj0014_v3","year","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1996","West Germany","2115","0.103343284498713","0.0971990256151788","0.109487543382248"
"No","1996","East Germany","11","","",""
"Yes","1996","West Germany","7314","0.896656715501287","0.890512456617752","0.902800974384821"
"Yes","1996","East Germany","3685","0.996604754622239","0.994729418277667","0.99848009096681"
"No","1997","West Germany","2001","0.105436361509938","0.0991824800693582","0.111690242950518"
"No","1997","East Germany","11","","",""
"Yes","1997","West Germany","7263","0.894563638490062","0.888309757049482","0.900817519930642"
"Yes","1997","East Germany","3640","0.996095810066272","0.994072985590443","0.998118634542102"
"No","1998","West Germany","1878","0.105912683665468","0.1000103983441","0.111814968986836"
"No","1998","East Germany","11","","",""
"Yes","1998","West Germany","8564","0.894087316334532","0.888185031013164","0.8999896016559"
"Yes","1998","East Germany","3874","0.995651009422945","0.993581819370042","0.997720199475849"
"No","1999","West Germany","1726","0.105478985244831","0.0994480080686642","0.111509962420997"
"No","1999","East Germany","9","","",""
"Yes","1999","West Germany","8239","0.894521014755169","0.888490037579003","0.900551991931336"
"Yes","1999","East Germany","3794","0.996873476506552","0.995099140780793","0.99864781223231"
"No","2000","West Germany","2305","0.102158548046238","0.0977811299849551","0.106535966107521"
"No","2000","East Germany","26","","",""
"Yes","2000","West Germany","16083","0.897841451953762","0.893464033892479","0.902218870015045"
"Yes","2000","East Germany","5852","0.995947655634979","0.994323585691003","0.997571725578956"
"No","2001","West Germany","2034","0.100826864582495","0.0962461840568118","0.105407545108179"
"No","2001","East Germany","10","","",""
"Yes","2001","West Germany","14564","0.899173135417505","0.894592454891821","0.903753815943188"
"Yes","2001","East Germany","5455","0.997919683632958","0.996711687635369","0.999127679630546"
"No","2002","West Germany","1888","0.0992434042123126","0.094838583072995","0.10364822535163"
"No","2002","East Germany","12","","",""
"Yes","2002","West Germany","15811","0.900756595787687","0.89635177464837","0.905161416927005"
"Yes","2002","East Germany","5446","0.996335973073257","0.994733046756658","0.997938899389856"
"No","2003","West Germany","1728","0.100268477703914","0.095743437613806","0.104793517794022"
"No","2003","East Germany","13","","",""
"Yes","2003","West Germany","15197","0.899731522296086","0.895206482205978","0.904256562386194"
"Yes","2003","East Germany","5359","0.996852827949955","0.99535502095502","0.99835063494489"
"No","2004","West Germany","1615","0.100576925067889","0.095984659116883","0.105169191018896"
"No","2004","East Germany","13","","",""
"Yes","2004","West Germany","14863","0.899423074932111","0.894830808981104","0.904015340883117"
"Yes","2004","East Germany","5242","0.996977663094652","0.995493519636608","0.998461806552696"
"No","2005","West Germany","1528","0.103968241305452","0.0992012162096811","0.108735266401223"
"No","2005","East Germany","16","","",""
"Yes","2005","West Germany","14220","0.896031758694548","0.891264733598777","0.900798783790319"
"Yes","2005","East Germany","5048","0.99372379797314","0.9915486813614","0.995898914584881"
"No","2006","West Germany","1447","0.104890408175547","0.100253836989507","0.109526979361586"
"No","2006","East Germany","23","","",""
"Yes","2006","West Germany","15330","0.895109591824453","0.890473020638414","0.899746163010493"
"Yes","2006","East Germany","5279","0.993257712127641","0.991054974107523","0.995460450147759"
"No","2007","West Germany","1266","0.104917866931389","0.100107158202152","0.109728575660626"
"No","2007","East Germany","20","","",""
"Yes","2007","West Germany","14322","0.895082133068611","0.890271424339374","0.899892841797848"
"Yes","2007","East Germany","5015","0.991402681605589","0.988852595155724","0.993952768055454"
"No","2008","West Germany","1113","0.104728950801166","0.0997681985592321","0.109689703043101"
"No","2008","East Germany","19","","",""
