"plj0014_v3","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1996","16-34 y.","general elemantary","296","0.199153339735302","0.172616026787215","0.22569065268339","2"
"No","1996","66 and older","higher education","5","","","","2"
"No","1996","35-65 y.","in school","","","","","2"
"No","1996","35-65 y.","middle vocational","294","0.0505505222174004","0.0432707191686484","0.0578303252661524","2"
"No","1996","16-34 y.","in school","45","0.106214894796855","0.0709953536173671","0.141434435976342","2"
"No","1996","66 and older","inadequately","31","0.480345646149315","0.33101529797288","0.629675994325749","2"
"No","1996","35-65 y.","higher vocational","6","","","","2"
"No","1996","66 and older","middle vocational","14","","","","2"
"No","1996","16-34 y.","higher vocational","16","","","","2"
"No","1996","66 and older","higher vocational","","","","","2"
"No","1996","16-34 y.","inadequately","75","0.454946765015162","0.363934709665818","0.545958820364506","2"
"No","1996","16-34 y.","middle vocational","369","0.0843218345299087","0.0731793646525741","0.0954643044072433","2"
"No","1996","16-34 y.","higher education","36","0.11439552834628","0.0841704304567037","0.144620626235857","2"
"No","1996","35-65 y.","inadequately","300","0.715311895874767","0.667203361670951","0.763420430078584","2"
"No","1996","35-65 y.","vocational + Abi","47","0.228315168076595","0.166478109643573","0.290152226509616","2"
"No","1996","35-65 y.","higher education","47","0.0585801857355713","0.0452094299862648","0.0719509414848778","2"
"No","1996","66 and older","general elemantary","12","","","","2"
"No","1996","66 and older","vocational + Abi","5","","","","2"
"No","1996","16-34 y.","vocational + Abi","47","0.12378567829326","0.0847902958760827","0.162781060710437","2"
"No","1996","35-65 y.","general elemantary","348","0.152988432617683","0.131287191831678","0.174689673403687","2"
"No","1996","66 and older","in school","","","","","2"
"Yes","1996","16-34 y.","in school","249","0.893785105203145","0.858565564023658","0.929004646382633","1"
"Yes","1996","16-34 y.","inadequately","40","0.545053234984838","0.454041179635494","0.636065290334182","1"
"Yes","1996","16-34 y.","general elemantary","574","0.800846660264698","0.77430934731661","0.827383973212785","1"
"Yes","1996","16-34 y.","middle vocational","2020","0.915678165470091","0.904535695592757","0.926820635347426","1"
"Yes","1996","16-34 y.","vocational + Abi","227","0.87621432170674","0.837218939289563","0.915209704123917","1"
"Yes","1996","16-34 y.","higher vocational","210","0.954810714595256","0.927729368324128","0.981892060866385","1"
"Yes","1996","16-34 y.","higher education","390","0.885604471653719","0.855379373764143","0.915829569543296","1"
"Yes","1996","35-65 y.","in school","","","","","1"
"Yes","1996","35-65 y.","inadequately","38","0.284688104125233","0.236579569921416","0.33279663832905","1"
"Yes","1996","35-65 y.","general elemantary","709","0.847011567382317","0.825310326596313","0.868712808168322","1"
"Yes","1996","35-65 y.","middle vocational","3185","0.949449477782599","0.942169674733847","0.956729280831351","1"
"Yes","1996","35-65 y.","vocational + Abi","130","0.771684831923405","0.709847773490384","0.833521890356427","1"
"Yes","1996","35-65 y.","higher vocational","457","0.991622184354196","0.983319928514802","0.99992444019359","1"
"Yes","1996","35-65 y.","higher education","1138","0.941419814264429","0.928049058515122","0.954790570013735","1"
"Yes","1996","66 and older","in school","","","","","1"
"Yes","1996","66 and older","inadequately","12","","","","1"
"Yes","1996","66 and older","general elemantary","470","0.988808764377114","0.979417593447209","0.998199935307018","1"
"Yes","1996","66 and older","middle vocational","765","0.995653934698815","0.991034575935695","1.00027329346193","1"
"Yes","1996","66 and older","vocational + Abi","22","","","","1"
"Yes","1996","66 and older","higher vocational","81","1","1","1","1"
"Yes","1996","66 and older","higher education","154","0.964832187635982","0.93620042418238","0.993463951089584","1"
"No","1997","66 and older","higher education","5","","","","2"
"No","1997","16-34 y.","in school","56","0.130259552474956","0.0931484228221514","0.167370682127761","2"
"No","1997","16-34 y.","general elemantary","292","0.190289597144229","0.164295878084928","0.21628331620353","2"
"No","1997","16-34 y.","middle vocational","332","0.0925604533231272","0.0806198189144289","0.104501087731825","2"
"No","1997","16-34 y.","higher vocational","9","","","","2"
"No","1997","35-65 y.","in school","","","","","2"
"No","1997","35-65 y.","inadequately","288","0.743132736038654","0.695705603548449","0.790559868528859","2"
"No","1997","35-65 y.","middle vocational","272","0.0520895720753888","0.0446715777867719","0.0595075663640056","2"
"No","1997","35-65 y.","higher vocational","6","","","","2"
"No","1997","35-65 y.","higher education","46","0.0614368698299352","0.0478561474160976","0.0750175922437727","2"
"No","1997","66 and older","inadequately","33","0.510646064577065","0.36618835907282","0.655103770081309","2"
"No","1997","66 and older","middle vocational","23","","","","2"
"No","1997","66 and older","vocational + Abi","5","","","","2"
"No","1997","66 and older","higher vocational","1","","","","2"
"No","1997","16-34 y.","inadequately","62","0.419678806820917","0.32095879257833","0.518398821063503","2"
"No","1997","16-34 y.","higher education","34","0.0942574709053519","0.0658710160160452","0.122643925794659","2"
"No","1997","35-65 y.","vocational + Abi","41","0.198316592507679","0.138378267303132","0.258254917712227","2"
"No","1997","66 and older","general elemantary","14","","","","2"
"No","1997","16-34 y.","vocational + Abi","47","0.135935293537266","0.0944363832116202","0.177434203862911","2"
"No","1997","35-65 y.","general elemantary","326","0.158306364057846","0.135636723681921","0.180976004433771","2"
"No","1997","66 and older","in school","","","","","2"
"Yes","1997","16-34 y.","in school","260","0.869740447525044","0.832629317872239","0.906851577177849","1"
"Yes","1997","16-34 y.","inadequately","34","0.580321193179083","0.481601178936497","0.67904120742167","1"
"Yes","1997","16-34 y.","general elemantary","584","0.809710402855771","0.78371668379647","0.835704121915072","1"
"Yes","1997","16-34 y.","middle vocational","1931","0.907439546676873","0.895498912268175","0.919380181085571","1"
"Yes","1997","16-34 y.","vocational + Abi","215","0.864064706462734","0.822565796137089","0.90556361678838","1"
