"plj0014_v3","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No","1996","direct migration background","Female","833","0.492985130656242","0.465849710303846","0.520120551008638"
"No","1996","direct migration background","Male","904","0.544960889274015","0.518066466102797","0.571855312445234"
"No","1996","indirect migration background","Female","194","0.535591987779991","0.477175429917112","0.594008545642871"
"No","1996","indirect migration background","Male","189","0.554889342780724","0.495499915218205","0.614278770343244"
"No","1996","no migration background","Female","2","","",""
"No","1996","no migration background","Male","4","","",""
"Yes","1996","direct migration background","Female","471","0.507014869343758","0.479879448991362","0.534150289696154"
"Yes","1996","direct migration background","Male","413","0.455039110725985","0.428144687554766","0.481933533897203"
"Yes","1996","indirect migration background","Female","86","0.464408012220009","0.405991454357129","0.522824570082888"
"Yes","1996","indirect migration background","Male","80","0.445110657219276","0.385721229656756","0.504500084781795"
"Yes","1996","no migration background","Female","5224","0.999752364986741","0.999325770112053","1.00017895986143"
"Yes","1996","no migration background","Male","4725","0.997589675471028","0.996192093894025","0.998987257048031"
"No","1997","direct migration background","Female","771","0.509914218495586","0.482011201401127","0.537817235590046"
"No","1997","direct migration background","Male","841","0.532577741057253","0.505017600601002","0.560137881513505"
"No","1997","indirect migration background","Female","196","0.578207719108762","0.520568937326299","0.635846500891226"
"No","1997","indirect migration background","Male","198","0.496496637150939","0.439246883233057","0.553746391068821"
"No","1997","no migration background","Female","2","","",""
"No","1997","no migration background","Male","4","","",""
"Yes","1997","direct migration background","Female","462","0.490085781504413","0.462182764409954","0.517988798598873"
"Yes","1997","direct migration background","Male","418","0.467422258942747","0.439862118486495","0.494982399398998"
"Yes","1997","indirect migration background","Female","86","0.421792280891238","0.364153499108774","0.479431062673701"
"Yes","1997","indirect migration background","Male","95","0.503503362849061","0.446253608931179","0.560753116766943"
"Yes","1997","no migration background","Female","5161","0.999740655522069","0.999301438454674","1.00017987258947"
"Yes","1997","no migration background","Male","4681","0.997240737735543","0.995738669058199","0.998742806412887"
"No","1998","direct migration background","Female","712","0.508842498721027","0.480545486758255","0.537139510683799"
"No","1998","direct migration background","Male","776","0.548234049917986","0.520330963887088","0.576137135948884"
"No","1998","indirect migration background","Female","192","0.548169658803609","0.491281796000189","0.605057521607028"
"No","1998","indirect migration background","Male","201","0.480579864537875","0.424962626231642","0.536197102844108"
"No","1998","no migration background","Female","5","","",""
"No","1998","no migration background","Male","3","","",""
"Yes","1998","direct migration background","Female","487","0.491157501278973","0.4628604893162","0.519454513241745"
"Yes","1998","direct migration background","Male","446","0.451765950082014","0.423862864051116","0.479669036112912"
"Yes","1998","indirect migration background","Female","102","0.451830341196391","0.394942478392972","0.508718203999811"
"Yes","1998","indirect migration background","Male","109","0.519420135462125","0.463802897155892","0.575037373768358"
"Yes","1998","no migration background","Female","5913","0.998984693806874","0.99817328718937","0.999796100424379"
"Yes","1998","no migration background","Male","5381","0.998628099139826","0.997639412147048","0.999616786132604"
"No","1999","direct migration background","Female","641","0.505296865381998","0.475831206236229","0.534762524527767"
"No","1999","direct migration background","Male","702","0.549889622065639","0.520714090372941","0.579065153758337"
"No","1999","indirect migration background","Female","187","0.522333676511171","0.465904830538653","0.57876252248369"
"No","1999","indirect migration background","Male","196","0.484616574552658","0.429073201251541","0.540159947853776"
"No","1999","no migration background","Female","4","","",""
"No","1999","no migration background","Male","5","","",""
"Yes","1999","direct migration background","Female","465","0.494703134618002","0.465237475472233","0.524168793763771"
"Yes","1999","direct migration background","Male","415","0.450110377934361","0.420934846241663","0.479285909627059"
"Yes","1999","indirect migration background","Female","114","0.477666323488829","0.421237477516311","0.534095169461347"
"Yes","1999","indirect migration background","Male","115","0.515383425447342","0.459840052146224","0.570926798748459"
"Yes","1999","no migration background","Female","5712","0.99887519951647","0.998006248404404","0.999744150628536"
"Yes","1999","no migration background","Male","5212","0.99744801422982","0.996078955963319","0.998817072496321"
"No","2000","direct migration background","Female","890","0.493580103901892","0.469827976417304","0.517332231386479"
"No","2000","direct migration background","Male","964","0.574065135110375","0.550147750040051","0.597982520180699"
