"plj0014_v3","year","e11102","n","percent","lower_confidence","upper_confidence"
"No","1996","Employed","1368","0.0909418599849172","0.0848127880939106","0.0970709318759239"
"No","1996","Not Employed","758","0.0752673837883001","0.0677015872895058","0.0828331802870944"
"Yes","1996","Employed","7086","0.909058140015083","0.902929068124076","0.915187211906089"
"Yes","1996","Not Employed","3913","0.9247326162117","0.917166819712906","0.932298412710494"
"No","1997","Employed","1233","0.088368246250544","0.0822110778360601","0.094525414665028"
"No","1997","Not Employed","779","0.0833215331502784","0.0754638047016807","0.0911792615988761"
"Yes","1997","Employed","6930","0.911631753749456","0.905474585334972","0.91778892216394"
"Yes","1997","Not Employed","3973","0.916678466849722","0.908820738401124","0.924536195298319"
"No","1998","Employed","1157","0.0929032076381755","0.0868680552832464","0.0989383599931045"
"No","1998","Not Employed","732","0.0780116857048711","0.0708842862232278","0.0851390851865145"
"Yes","1998","Employed","7731","0.907096792361824","0.901061640006895","0.913131944716754"
"Yes","1998","Not Employed","4707","0.921988314295129","0.914860914813486","0.929115713776772"
"No","1999","Employed","1066","0.0932100968373133","0.087135862081959","0.0992843315926677"
"No","1999","Not Employed","669","0.0763175040587147","0.0689345403521153","0.0837004677653141"
"Yes","1999","Employed","7734","0.906789903162687","0.900715668407332","0.912864137918041"
"Yes","1999","Not Employed","4299","0.923682495941285","0.916299532234686","0.931065459647885"
"No","2000","Employed","1444","0.0891104407663232","0.0845804752419423","0.0936404062907042"
"No","2000","Not Employed","887","0.0753136044907725","0.0698823226382215","0.0807448863433235"
"Yes","2000","Employed","13751","0.910889559233677","0.906359593709296","0.915419524758058"
"Yes","2000","Not Employed","8182","0.924686395509228","0.919255113656677","0.930117677361779"
"No","2001","Employed","1304","0.0884997987335325","0.0837822585332652","0.0932173389337999"
"No","2001","Not Employed","740","0.0726109205175274","0.0669733170345173","0.0782485240005375"
"Yes","2001","Employed","12620","0.911500201266467","0.9067826610662","0.916217741466735"
"Yes","2001","Not Employed","7399","0.927389079482473","0.921751475999462","0.933026682965483"
"No","2002","Employed","1201","0.0860476188326761","0.0815369044942363","0.0905583331711159"
"No","2002","Not Employed","699","0.0740487975955941","0.0684185594229068","0.0796790357682815"
"Yes","2002","Employed","13647","0.913952381167324","0.909441666828884","0.918463095505764"
"Yes","2002","Not Employed","7610","0.925951202404406","0.920320964231718","0.931581440577093"
"No","2003","Employed","1066","0.0847174040786958","0.0801175767140306","0.089317231443361"
"No","2003","Not Employed","675","0.078323950735405","0.0725153029324282","0.0841325985383819"
"Yes","2003","Employed","13012","0.915282595921304","0.910682768556639","0.919882423285969"
"Yes","2003","Not Employed","7544","0.921676049264595","0.915867401461618","0.927484697067572"
"No","2004","Employed","982","0.0849196822982283","0.0802192464311396","0.089620118165317"
"No","2004","Not Employed","646","0.0789920642444088","0.0731618733816949","0.0848222551071227"
"Yes","2004","Employed","12529","0.915080317701772","0.910379881834683","0.91978075356886"
"Yes","2004","Not Employed","7576","0.921007935755591","0.915177744892877","0.926838126618305"
"No","2005","Employed","937","0.089894449275661","0.0849553027837024","0.0948335957676196"
"No","2005","Not Employed","607","0.0799257126907278","0.0739568225199415","0.0858946028615142"
"Yes","2005","Employed","11946","0.910105550724339","0.90516640423238","0.915044697216297"
"Yes","2005","Not Employed","7322","0.920074287309272","0.914105397138486","0.926043177480058"
"No","2006","Employed","853","0.0842729388341201","0.0795837467467908","0.0889621309214493"
"No","2006","Not Employed","617","0.0896620497074874","0.0836228375998143","0.0957012618151604"
"Yes","2006","Employed","12629","0.91572706116588","0.911037869078551","0.920416253253209"
"Yes","2006","Not Employed","7980","0.910337950292513","0.90429873818484","0.916377162400186"
"No","2007","Employed","769","0.0866330097942028","0.0817236996733574","0.0915423199150481"
"No","2007","Not Employed","517","0.0869212697699563","0.0807521689303189","0.0930903706095938"
"Yes","2007","Employed","11843","0.913366990205797","0.908457680084952","0.918276300326643"
"Yes","2007","Not Employed","7494","0.913078730230044","0.906909629390406","0.919247831069681"
"No","2008","Employed","677","0.0870947898344808","0.0820347375733004","0.0921548420956612"
"No","2008","Not Employed","455","0.0863046268326678","0.0799501863914831","0.0926590672738525"
"Yes","2008","Employed","11252","0.912905210165519","0.907845157904339","0.9179652624267"
"Yes","2008","Not Employed","7047","0.913695373167332","0.907340932726147","0.920049813608517"
"No","2009","Employed","601","0.0892695451312503","0.0839997268201953","0.0945393634423052"
"No","2009","Not Employed","388","0.0853976229333885","0.0787938379271308","0.0920014079396462"
"Yes","2009","Employed","10645","0.91073045486875","0.905460636557695","0.916000273179805"
"Yes","2009","Not Employed","6492","0.914602377066612","0.907998592060354","0.921206162072869"
"No","2010","Employed","935","0.0849341479805777","0.0805613607593843","0.089306935201771"
"No","2010","Not Employed","721","0.092966029092907","0.086777123716457","0.0991549344693569"
"Yes","2010","Employed","14679","0.915065852019422","0.910693064798229","0.919438639240616"
"Yes","2010","Not Employed","7736","0.907033970907093","0.900845065530643","0.913222876283543"
"No","2011","Employed","656","0.0727219606313377","0.0683840361683141","0.0770598850943612"
"No","2011","Not Employed","448","0.0727142899081755","0.067190833724991","0.0782377460913599"
"Yes","2011","Employed","13110","0.927278039368662","0.922940114905639","0.931615963831686"
"Yes","2011","Not Employed","8042","0.927285710091825","0.92176225390864","0.932809166275009"
"No","2012","Employed","975","0.0826322536461646","0.0786007971624352","0.0866637101298939"
"No","2012","Not Employed","609","0.0822760915973562","0.0768426542824175","0.087709528912295"
"Yes","2012","Employed","16942","0.917367746353835","0.913336289870106","0.921399202837565"
"Yes","2012","Not Employed","9216","0.917723908402644","0.912290471087705","0.923157345717582"
"No","2013","Employed","883","0.0489255961951476","0.0456745292223032","0.0521766631679921"
"No","2013","Not Employed","517","0.0533178010387933","0.0486462876784698","0.0579893143991168"
"Yes","2013","Employed","16029","0.951074403804852","0.947823336832008","0.954325470777697"
"Yes","2013","Not Employed","8368","0.946682198961207","0.942010685600883","0.95135371232153"
"No","2014","Employed","2029","0.0944703633856801","0.090175692102065","0.0987650346692952"
"No","2014","Not Employed","1079","0.0900308651850552","0.0842437447525721","0.0958179856175384"
"Yes","2014","Employed","15788","0.90552963661432","0.901234965330705","0.909824307897935"
"Yes","2014","Not Employed","8318","0.909969134814945","0.904182014382461","0.915756255247428"
"No","2015","Employed","1696","0.0837490096232196","0.0795430164602317","0.0879550027862075"
"No","2015","Not Employed","2320","0.120141403269354","0.113861302461648","0.12642150407706"
"Yes","2015","Employed","14967","0.91625099037678","0.912044997213793","0.920456983539768"
"Yes","2015","Not Employed","7976","0.879858596730646","0.87357849592294","0.886138697538352"
"No","2016","Employed","2131","0.107739917862182","0.102960435581651","0.112519400142712"
"No","2016","Not Employed","1026","0.103126464394594","0.096569884901925","0.109683043887263"
"Yes","2016","Employed","14035","0.892260082137818","0.887480599857288","0.897039564418349"
"Yes","2016","Not Employed","7239","0.896873535605406","0.890316956112737","0.903430115098075"
"No","2017","Employed","2199","0.112879705216362","0.108297644472292","0.117461765960433"
"No","2017","Not Employed","3313","0.122133198368267","0.116021936548067","0.128244460188467"
"Yes","2017","Employed","16123","0.887120294783638","0.882538234039567","0.891702355527708"
"Yes","2017","Not Employed","7715","0.877866801631733","0.871755539811533","0.883978063451933"
"No","2018","Employed","2363","0.120887021094134","0.116124773633436","0.125649268554833"
"No","2018","Not Employed","4242","0.132451387333116","0.126304893043576","0.138597881622656"
"Yes","2018","Employed","15638","0.879112978905866","0.874350731445167","0.883875226366564"
"Yes","2018","Not Employed","7442","0.867548612666884","0.861402118377344","0.873695106956424"
"No","2019","Employed","2426","0.12641101630763","0.121639028168819","0.131183004446441"
"No","2019","Not Employed","3391","0.127721390519113","0.121432503062338","0.134010277975887"
"Yes","2019","Employed","16203","0.87358898369237","0.868816995553559","0.878360971831181"
"Yes","2019","Not Employed","7430","0.872278609480887","0.865989722024113","0.878567496937662"
