"plj0014_v3","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1996","1-pers.-HH","no migration background","1260","0.997057856076539","0.994070833174277","1.0000448789788"
"Yes","1996","1-pers.-HH","direct migration background","87","0.591220804630043","0.520188087779407","0.662253521480678"
"Yes","1996","1-pers.-HH","indirect migration background","23","","",""
"Yes","1996","(Married) couple without C. ","no migration background","2897","0.998051641219156","0.996446419761537","0.999656862676775"
"Yes","1996","(Married) couple without C. ","direct migration background","280","0.623713751819983","0.584950134362956","0.66247736927701"
"Yes","1996","(Married) couple without C. ","indirect migration background","21","","",""
"Yes","1996","Single parent ","no migration background","492","1","1","1"
"Yes","1996","Single parent ","direct migration background","61","0.59509032365227","0.509379959458699","0.680800687845841"
"Yes","1996","Single parent ","indirect migration background","12","","",""
"Yes","1996","Couple + C. LE 16 ","no migration background","2264","1","1","1"
"Yes","1996","Couple + C. LE 16 ","direct migration background","166","0.280498214788366","0.246632852052299","0.314363577524433"
"Yes","1996","Couple + C. LE 16 ","indirect migration background","17","","",""
"Yes","1996","Couple + C. GT 16 ","no migration background","1686","1","1","1"
"Yes","1996","Couple + C. GT 16 ","direct migration background","143","0.407249353393079","0.364691537598854","0.449807169187305"
"Yes","1996","Couple + C. GT 16 ","indirect migration background","46","0.448243100297284","0.375389290340354","0.521096910254213"
"Yes","1996","Couple + C. LE and GT 16","no migration background","801","0.999665472116828","0.998399848955024","1.00093109527863"
"Yes","1996","Couple + C. LE and GT 16","direct migration background","101","0.410532582404975","0.356634064918203","0.464431099891748"
"Yes","1996","Couple + C. LE and GT 16","indirect migration background","43","0.453428847673903","0.368503163948653","0.538354531399153"
"No","1996","1-pers.-HH","no migration background","3","","",""
"No","1996","1-pers.-HH","direct migration background","97","0.408779195369957","0.337746478519322","0.479811912220593"
"No","1996","1-pers.-HH","indirect migration background","20","","",""
"No","1996","(Married) couple without C. ","no migration background","2","","",""
"No","1996","(Married) couple without C. ","direct migration background","320","0.376286248180017","0.33752263072299","0.415049865637044"
"No","1996","(Married) couple without C. ","indirect migration background","51","0.541140510200285","0.426040138760988","0.656240881639582"
"No","1996","Single parent ","no migration background","","","",""
"No","1996","Single parent ","direct migration background","65","0.40490967634773","0.319199312154159","0.490620040541301"
"No","1996","Single parent ","indirect migration background","24","","",""
"No","1996","Couple + C. LE 16 ","no migration background","","","",""
"No","1996","Couple + C. LE 16 ","direct migration background","510","0.719501785211634","0.685636422475567","0.753367147947701"
"No","1996","Couple + C. LE 16 ","indirect migration background","52","0.768050680949687","0.668460840671177","0.867640521228198"
"No","1996","Couple + C. GT 16 ","no migration background","","","",""
"No","1996","Couple + C. GT 16 ","direct migration background","369","0.59275064660692","0.550192830812695","0.635308462401146"
"No","1996","Couple + C. GT 16 ","indirect migration background","133","0.551756899702716","0.478903089745787","0.624610709659646"
"No","1996","Couple + C. LE and GT 16","no migration background","1","","",""
"No","1996","Couple + C. LE and GT 16","direct migration background","219","0.589467417595025","0.535568900108252","0.643365935081797"
"No","1996","Couple + C. LE and GT 16","indirect migration background","89","0.546571152326097","0.461645468600847","0.631496836051347"
"Yes","1997","1-pers.-HH","no migration background","1238","0.996533728014373","0.993263790001687","0.999803666027058"
"Yes","1997","1-pers.-HH","direct migration background","87","0.632076112700726","0.560007269841528","0.704144955559924"
"Yes","1997","1-pers.-HH","indirect migration background","26","","",""
"Yes","1997","(Married) couple without C. ","no migration background","2924","0.997875071362584","0.996206590646512","0.999543552078656"
"Yes","1997","(Married) couple without C. ","direct migration background","279","0.577405632006298","0.538554412885159","0.616256851127436"
"Yes","1997","(Married) couple without C. ","indirect migration background","19","","",""
"Yes","1997","Single parent ","no migration background","489","1","1","1"
"Yes","1997","Single parent ","direct migration background","66","0.6592095571723","0.572203173843053","0.746215940501547"
"Yes","1997","Single parent ","indirect migration background","14","","",""
"Yes","1997","Couple + C. LE 16 ","no migration background","2143","1","1","1"
"Yes","1997","Couple + C. LE 16 ","direct migration background","168","0.30076108569441","0.264922869489829","0.336599301898992"
"Yes","1997","Couple + C. LE 16 ","indirect migration background","13","","",""
"Yes","1997","Couple + C. GT 16 ","no migration background","1716","1","1","1"
"Yes","1997","Couple + C. GT 16 ","direct migration background","130","0.410221845726597","0.365941331737143","0.454502359716051"
"Yes","1997","Couple + C. GT 16 ","indirect migration background","60","0.507306190241915","0.436218414754801","0.578393965729029"
"Yes","1997","Couple + C. LE and GT 16","no migration background","795","0.99965192570443","0.998356084047104","1.00094776736176"
"Yes","1997","Couple + C. LE and GT 16","direct migration background","100","0.368441340736535","0.312826564564195","0.424056116908874"
"Yes","1997","Couple + C. LE and GT 16","indirect migration background","42","0.413052903318899","0.327753611579522","0.498352195058276"
"No","1997","1-pers.-HH","no migration background","3","","",""
"No","1997","1-pers.-HH","direct migration background","85","0.367923887299274","0.295855044440076","0.439992730158471"
"No","1997","1-pers.-HH","indirect migration background","24","","",""
"No","1997","(Married) couple without C. ","no migration background","2","","",""
"No","1997","(Married) couple without C. ","direct migration background","342","0.422594367993702","0.383743148872564","0.461445587114841"
"No","1997","(Married) couple without C. ","indirect migration background","51","0.535823048895783","0.418993808653777","0.652652289137789"
"No","1997","Single parent ","no migration background","","","",""
"No","1997","Single parent ","direct migration background","48","0.3407904428277","0.253784059498453","0.427796826156947"
"No","1997","Single parent ","indirect migration background","21","","",""
"No","1997","Couple + C. LE 16 ","no migration background","","","",""
"No","1997","Couple + C. LE 16 ","direct migration background","461","0.69923891430559","0.663400698101008","0.735077130510172"
"No","1997","Couple + C. LE 16 ","indirect migration background","63","0.80629844679845","0.717448789291372","0.895148104305528"
"No","1997","Couple + C. GT 16 ","no migration background","","","",""
"No","1997","Couple + C. GT 16 ","direct migration background","344","0.589778154273403","0.545497640283949","0.634058668262857"
"No","1997","Couple + C. GT 16 ","indirect migration background","130","0.492693809758085","0.421606034270971","0.563781585245199"
"No","1997","Couple + C. LE and GT 16","no migration background","1","","",""
"No","1997","Couple + C. LE and GT 16","direct migration background","189","0.631558659263465","0.575943883091126","0.687173435435804"
"No","1997","Couple + C. LE and GT 16","indirect migration background","86","0.586947096681101","0.501647804941724","0.672246388420478"
"Yes","1998","1-pers.-HH","no migration background","1516","0.995024546893611","0.991487347734365","0.998561746052858"
"Yes","1998","1-pers.-HH","direct migration background","98","0.59968211591993","0.530377761630517","0.668986470209344"
"Yes","1998","1-pers.-HH","indirect migration background","29","","",""
"Yes","1998","(Married) couple without C. ","no migration background","3497","0.999876910209423","0.999509322987587","1.00024449743126"
"Yes","1998","(Married) couple without C. ","direct migration background","295","0.575086379039637","0.535728775545116","0.614443982534157"
"Yes","1998","(Married) couple without C. ","indirect migration background","22","","",""
"Yes","1998","Single parent ","no migration background","567","1","1","1"
"Yes","1998","Single parent ","direct migration background","50","0.517650036789087","0.420677835429305","0.614622238148869"
"Yes","1998","Single parent ","indirect migration background","22","","",""
"Yes","1998","Couple + C. LE 16 ","no migration background","2402","1","1","1"
"Yes","1998","Couple + C. LE 16 ","direct migration background","204","0.364111292271099","0.326357252710577","0.401865331831621"
"Yes","1998","Couple + C. LE 16 ","indirect migration background","19","","",""
"Yes","1998","Couple + C. GT 16 ","no migration background","1908","0.999766905378927","0.999082110299668","1.00045170045819"
"Yes","1998","Couple + C. GT 16 ","direct migration background","141","0.409885058675706","0.365135531603727","0.454634585747685"
"Yes","1998","Couple + C. GT 16 ","indirect migration background","68","0.540340136269732","0.47074692385952","0.609933348679944"
"Yes","1998","Couple + C. LE and GT 16","no migration background","870","0.999577138205719","0.998211780659587","1.00094249575185"
"Yes","1998","Couple + C. LE and GT 16","direct migration background","96","0.312600054072941","0.257409758899102","0.367790349246779"
"Yes","1998","Couple + C. LE and GT 16","indirect migration background","40","0.380013772499695","0.291300242577984","0.468727302421406"
"No","1998","1-pers.-HH","no migration background","4","","",""
"No","1998","1-pers.-HH","direct migration background","94","0.40031788408007","0.331013529790656","0.469622238369483"
"No","1998","1-pers.-HH","indirect migration background","24","","",""
"No","1998","(Married) couple without C. ","no migration background","2","","",""
"No","1998","(Married) couple without C. ","direct migration background","311","0.424913620960363","0.385556017465843","0.464271224454884"
"No","1998","(Married) couple without C. ","indirect migration background","61","0.58144300659131","0.475312577077429","0.68757343610519"
"No","1998","Single parent ","no migration background","","","",""
"No","1998","Single parent ","direct migration background","52","0.482349963210913","0.385377761851131","0.579322164570695"
"No","1998","Single parent ","indirect migration background","23","","",""
"No","1998","Couple + C. LE 16 ","no migration background","","","",""
"No","1998","Couple + C. LE 16 ","direct migration background","420","0.635888707728901","0.598134668168378","0.673642747289423"
"No","1998","Couple + C. LE 16 ","indirect migration background","68","0.749459281874587","0.658404733430463","0.840513830318712"
"No","1998","Couple + C. GT 16 ","no migration background","1","","",""
"No","1998","Couple + C. GT 16 ","direct migration background","323","0.590114941324294","0.545365414252315","0.634864468396273"
"No","1998","Couple + C. GT 16 ","indirect migration background","129","0.459659863730268","0.390066651320056","0.52925307614048"
"No","1998","Couple + C. LE and GT 16","no migration background","1","","",""
"No","1998","Couple + C. LE and GT 16","direct migration background","175","0.687399945927059","0.632209650753221","0.742590241100898"
"No","1998","Couple + C. LE and GT 16","indirect migration background","75","0.619986227500305","0.531272697578594","0.708699757422016"
"Yes","1999","1-pers.-HH","no migration background","1467","0.996082276000585","0.992888871387004","0.999275680614165"
"Yes","1999","1-pers.-HH","direct migration background","89","0.592732423442059","0.518436889092475","0.667027957791642"
"Yes","1999","1-pers.-HH","indirect migration background","31","0.557777923114059","0.433144637572644","0.682411208655475"
"Yes","1999","(Married) couple without C. ","no migration background","3480","0.997619633643335","0.99600127135661","0.99923799593006"
"Yes","1999","(Married) couple without C. ","direct migration background","277","0.548478335453628","0.507978512028397","0.588978158878859"
"Yes","1999","(Married) couple without C. ","indirect migration background","29","","",""
"Yes","1999","Single parent ","no migration background","564","1","1","1"
"Yes","1999","Single parent ","direct migration background","53","0.582501600002921","0.487264656759079","0.677738543246763"
"Yes","1999","Single parent ","indirect migration background","28","","",""
"Yes","1999","Couple + C. LE 16 ","no migration background","2352","1","1","1"
"Yes","1999","Couple + C. LE 16 ","direct migration background","211","0.391843567638341","0.352217787377347","0.431469347899335"
"Yes","1999","Couple + C. LE 16 ","indirect migration background","23","","",""
"Yes","1999","Couple + C. GT 16 ","no migration background","1874","0.998910257895311","0.997417268317372","1.00040324747325"
"Yes","1999","Couple + C. GT 16 ","direct migration background","130","0.374996116858726","0.329657759751989","0.420334473965462"
"Yes","1999","Couple + C. GT 16 ","indirect migration background","75","0.536705038614973","0.466716421888463","0.606693655341483"
"Yes","1999","Couple + C. LE and GT 16","no migration background","846","0.999528192248065","0.998065723999266","1.00099066049686"
"Yes","1999","Couple + C. LE and GT 16","direct migration background","85","0.341109114081832","0.278176864542348","0.404041363621316"
"Yes","1999","Couple + C. LE and GT 16","indirect migration background","34","0.395820448954322","0.299490214274551","0.492150683634093"
"No","1999","1-pers.-HH","no migration background","3","","",""
"No","1999","1-pers.-HH","direct migration background","79","0.407267576557941","0.332972042208358","0.481563110907525"
"No","1999","1-pers.-HH","indirect migration background","30","0.44222207688594","0.317588791344525","0.566855362427356"
"No","1999","(Married) couple without C. ","no migration background","3","","",""
"No","1999","(Married) couple without C. ","direct migration background","303","0.451521664546372","0.411021841121141","0.492021487971603"
"No","1999","(Married) couple without C. ","indirect migration background","55","0.438257632801356","0.332151183358102","0.54436408224461"
"No","1999","Single parent ","no migration background","","","",""
"No","1999","Single parent ","direct migration background","50","0.417498399997079","0.322261456753237","0.512735343240921"
"No","1999","Single parent ","indirect migration background","24","","",""
"No","1999","Couple + C. LE 16 ","no migration background","","","",""
"No","1999","Couple + C. LE 16 ","direct migration background","372","0.608156432361659","0.568530652100665","0.647782212622653"
"No","1999","Couple + C. LE 16 ","indirect migration background","76","0.716223461142707","0.627417318020699","0.805029604264715"
"No","1999","Couple + C. GT 16 ","no migration background","2","","",""
"No","1999","Couple + C. GT 16 ","direct migration background","308","0.625003883141274","0.579665526034538","0.670342240248011"
"No","1999","Couple + C. GT 16 ","indirect migration background","120","0.463294961385027","0.393306344658516","0.533283578111537"
"No","1999","Couple + C. LE and GT 16","no migration background","1","","",""
"No","1999","Couple + C. LE and GT 16","direct migration background","133","0.658890885918168","0.595958636378684","0.721823135457652"
"No","1999","Couple + C. LE and GT 16","indirect migration background","65","0.604179551045678","0.507849316365907","0.700509785725449"
"Yes","2000","1-pers.-HH","no migration background","2983","0.997137972060048","0.995222194677263","0.999053749442832"
"Yes","2000","1-pers.-HH","direct migration background","160","0.594777830722725","0.538660318389741","0.65089534305571"
"Yes","2000","1-pers.-HH","indirect migration background","52","0.606378194352309","0.505444028404942","0.707312360299676"
"Yes","2000","(Married) couple without C. ","no migration background","6651","0.998961036470117","0.998186964896742","0.999735108043491"
"Yes","2000","(Married) couple without C. ","direct migration background","426","0.538555735506213","0.50443517799554","0.572676293016885"
"Yes","2000","(Married) couple without C. ","indirect migration background","48","0.473996253849979","0.383903687016438","0.56408882068352"
"Yes","2000","Single parent ","no migration background","981","1","1","1"
"Yes","2000","Single parent ","direct migration background","81","0.550165644278638","0.471848780805898","0.628482507751378"
"Yes","2000","Single parent ","indirect migration background","44","0.646289935694725","0.534285176648713","0.758294694740737"
"Yes","2000","Couple + C. LE 16 ","no migration background","4171","1","1","1"
"Yes","2000","Couple + C. LE 16 ","direct migration background","353","0.348358318478466","0.317932647799984","0.378783989156947"
"Yes","2000","Couple + C. LE 16 ","indirect migration background","50","0.384984444678018","0.306324422432072","0.463644466923964"
"Yes","2000","Couple + C. GT 16 ","no migration background","3163","0.998454358293628","0.99708596430323","0.999822752284027"
"Yes","2000","Couple + C. GT 16 ","direct migration background","202","0.391455441008869","0.350995099337526","0.431915782680213"
"Yes","2000","Couple + C. GT 16 ","indirect migration background","98","0.470368794609752","0.407613411114075","0.53312417810543"
"Yes","2000","Couple + C. LE and GT 16","no migration background","1437","0.999435681107857","0.998208644798875","1.00066271741684"
"Yes","2000","Couple + C. LE and GT 16","direct migration background","188","0.460464078045327","0.41028339756913","0.510644758521523"
"Yes","2000","Couple + C. LE and GT 16","indirect migration background","63","0.518455492583155","0.432563956137083","0.604347029029227"
"No","2000","1-pers.-HH","no migration background","4","","",""
"No","2000","1-pers.-HH","direct migration background","134","0.405222169277275","0.34910465694429","0.461339681610259"
"No","2000","1-pers.-HH","indirect migration background","38","0.393621805647691","0.292687639700324","0.494555971595057"
"No","2000","(Married) couple without C. ","no migration background","3","","",""
"No","2000","(Married) couple without C. ","direct migration background","394","0.461444264493787","0.427323706983115","0.49556482200446"
"No","2000","(Married) couple without C. ","indirect migration background","70","0.526003746150021","0.43591117931648","0.616096312983562"
"No","2000","Single parent ","no migration background","","","",""
"No","2000","Single parent ","direct migration background","74","0.449834355721362","0.371517492248622","0.528151219194102"
"No","2000","Single parent ","indirect migration background","26","","",""
"No","2000","Couple + C. LE 16 ","no migration background","","","",""
"No","2000","Couple + C. LE 16 ","direct migration background","589","0.651641681521534","0.621216010843053","0.682067352200016"
"No","2000","Couple + C. LE 16 ","indirect migration background","97","0.615015555321982","0.536355533076036","0.693675577567928"
"No","2000","Couple + C. GT 16 ","no migration background","3","","",""
"No","2000","Couple + C. GT 16 ","direct migration background","357","0.60854455899113","0.568084217319787","0.649004900662474"
"No","2000","Couple + C. GT 16 ","indirect migration background","145","0.529631205390248","0.46687582189457","0.592386588885925"
"No","2000","Couple + C. LE and GT 16","no migration background","2","","",""
"No","2000","Couple + C. LE and GT 16","direct migration background","191","0.539535921954673","0.489355241478477","0.58971660243087"
"No","2000","Couple + C. LE and GT 16","indirect migration background","67","0.481544507416845","0.395652970970773","0.567436043862917"
"Yes","2001","1-pers.-HH","no migration background","2677","0.998138831128641","0.996507023121426","0.999770639135856"
"Yes","2001","1-pers.-HH","direct migration background","145","0.614516323182205","0.553321503098309","0.675711143266101"
"Yes","2001","1-pers.-HH","indirect migration background","55","0.609373138022455","0.512777445904502","0.705968830140407"
"Yes","2001","(Married) couple without C. ","no migration background","6044","0.998748166876195","0.99785695836841","0.999639375383979"
"Yes","2001","(Married) couple without C. ","direct migration background","387","0.519590059875567","0.484116316918532","0.555063802832601"
"Yes","2001","(Married) couple without C. ","indirect migration background","46","0.48367079212827","0.389855611388678","0.577485972867861"
"Yes","2001","Single parent ","no migration background","922","1","1","1"
"Yes","2001","Single parent ","direct migration background","82","0.53244738654392","0.45260085495705","0.612293918130791"
"Yes","2001","Single parent ","indirect migration background","34","0.566000167949299","0.438448202515598","0.693552133383"
"Yes","2001","Couple + C. LE 16 ","no migration background","3773","1","1","1"
"Yes","2001","Couple + C. LE 16 ","direct migration background","333","0.361963504070048","0.329348291135135","0.394578717004962"
"Yes","2001","Couple + C. LE 16 ","indirect migration background","64","0.42079907931282","0.345010057628307","0.496588100997333"
"Yes","2001","Couple + C. GT 16 ","no migration background","2954","0.998329539433548","0.996857642150869","0.999801436716228"
"Yes","2001","Couple + C. GT 16 ","direct migration background","177","0.383562007013748","0.340016552852454","0.427107461175043"
"Yes","2001","Couple + C. GT 16 ","indirect migration background","96","0.526367158908061","0.459313329399786","0.593420988416336"
"Yes","2001","Couple + C. LE and GT 16","no migration background","1335","0.999421949788078","0.998133582731391","1.00071031684477"
"Yes","2001","Couple + C. LE and GT 16","direct migration background","142","0.420442875077223","0.365314606081379","0.475571144073067"
"Yes","2001","Couple + C. LE and GT 16","indirect migration background","53","0.54972323679453","0.455454428397294","0.643992045191766"
"No","2001","1-pers.-HH","no migration background","3","","",""
"No","2001","1-pers.-HH","direct migration background","98","0.385483676817795","0.324288856733899","0.446678496901691"
