"plj0014_v3","year","regtyp","n","percent","lower_confidence","upper_confidence"
"No","1996","Rural Area","261","0.0293138214316439","0.0243487455695511","0.0342788972937367"
"No","1996","Urban Area","1865","0.107824969220233","0.101303838492931","0.114346099947534"
"Yes","1996","Rural Area","4173","0.970686178568356","0.965721102706263","0.975651254430449"
"Yes","1996","Urban Area","6825","0.892175030779767","0.885653900052466","0.898696161507069"
"No","1997","Rural Area","242","0.0301322663704613","0.0250614442070532","0.0352030885338694"
"No","1997","Urban Area","1770","0.110026276857193","0.103392625618283","0.116659928096102"
"Yes","1997","Rural Area","4124","0.969867733629539","0.964796911466131","0.974938555792947"
"Yes","1997","Urban Area","6778","0.889973723142808","0.883340071903898","0.896607374381717"
"No","1998","Rural Area","226","0.0310126031202189","0.0261513976056889","0.0358738086347489"
"No","1998","Urban Area","1663","0.110358799081513","0.10403865440835","0.116678943754675"
"Yes","1998","Rural Area","4659","0.968987396879781","0.964126191365251","0.973848602394311"
"Yes","1998","Urban Area","7779","0.889641200918487","0.883321056245325","0.89596134559165"
"No","1999","Rural Area","201","0.0280004592001413","0.0232980007834977","0.032702917616785"
"No","1999","Urban Area","1534","0.111267956515807","0.104785578524995","0.11775033450662"
"Yes","1999","Rural Area","4527","0.971999540799859","0.967297082383215","0.976701999216502"
"Yes","1999","Urban Area","7506","0.888732043484193","0.88224966549338","0.895214421475005"
"No","2000","Rural Area","277","0.0279244237878","0.0243814485935325","0.0314673989820675"
"No","2000","Urban Area","2054","0.108600758619145","0.103773530604839","0.113427986633452"
"Yes","2000","Rural Area","8030","0.9720755762122","0.968532601017932","0.975618551406467"
"Yes","2000","Urban Area","13905","0.891399241380855","0.886572013366548","0.896226469395161"
"No","2001","Rural Area","245","0.0285800755518558","0.0248173781198576","0.032342772983854"
"No","2001","Urban Area","1799","0.106225655245193","0.101215583611975","0.111235726878411"
"Yes","2001","Rural Area","7288","0.971419924448144","0.967657227016146","0.975182621880142"
"Yes","2001","Urban Area","12731","0.893774344754807","0.888764273121589","0.898784416388025"
"No","2002","Rural Area","226","0.0298618204311843","0.026052694357602","0.0336709465047665"
"No","2002","Urban Area","1674","0.104509694915264","0.0996916241321345","0.109327765698394"
"Yes","2002","Rural Area","7444","0.970138179568816","0.966329053495233","0.973947305642398"
"Yes","2002","Urban Area","13813","0.895490305084736","0.890672234301606","0.900308375867865"
"No","2003","Rural Area","208","0.0305812486522206","0.0266449527649938","0.0345175445394473"
"No","2003","Urban Area","1533","0.105180826965577","0.100262617687","0.110099036244155"
"Yes","2003","Rural Area","7142","0.969418751347779","0.965482455460553","0.973355047235006"
"Yes","2003","Urban Area","13414","0.894819173034423","0.889900963755845","0.899737382313"
"No","2004","Rural Area","202","0.0334658711642268","0.0293098998757134","0.0376218424527401"
"No","2004","Urban Area","1426","0.104498824227559","0.099526383614608","0.10947126484051"
"Yes","2004","Rural Area","6992","0.966534128835773","0.96237815754726","0.970690100124287"
"Yes","2004","Urban Area","13113","0.895501175772441","0.89052873515949","0.900473616385392"
"No","2005","Rural Area","182","0.0361490087040731","0.0317383138061153","0.040559703602031"
"No","2005","Urban Area","1362","0.108350509758153","0.103189271351187","0.11351174816512"
"Yes","2005","Rural Area","6698","0.963850991295927","0.959440296397969","0.968261686193885"
"Yes","2005","Urban Area","12570","0.891649490241847","0.88648825183488","0.896810728648813"
"No","2006","Rural Area","190","0.0360035501557243","0.0317657595873815","0.0402413407240671"
"No","2006","Urban Area","1280","0.109637243103063","0.104578790027935","0.114695696178191"
"Yes","2006","Rural Area","7234","0.963996449844276","0.959758659275933","0.968234240412619"
"Yes","2006","Urban Area","13375","0.890362756896937","0.885304303821809","0.895421209972065"
"No","2007","Rural Area","176","0.0418223512395907","0.0371274850780315","0.04651721740115"
"No","2007","Urban Area","1110","0.107647222060652","0.10244574688933","0.112848697231973"
"Yes","2007","Rural Area","6808","0.958177648760409","0.95348278259885","0.962872514921968"
"Yes","2007","Urban Area","12529","0.892352777939348","0.887151302768027","0.89755425311067"
"No","2008","Rural Area","155","0.0454567538393676","0.0404221627520963","0.0504913449266388"
"No","2008","Urban Area","977","0.105879728171274","0.100560894246859","0.111198562095689"
"Yes","2008","Rural Area","6421","0.954543246160632","0.949508655073361","0.959577837247904"
"Yes","2008","Urban Area","11878","0.894120271828726","0.888801437904311","0.899439105753141"
"No","2009","Rural Area","149","0.0471820249993557","0.0419296686501237","0.0524343813485878"
"No","2009","Urban Area","840","0.106808176461363","0.101250790769148","0.112365562153578"
"Yes","2009","Rural Area","6111","0.952817975000644","0.947565618651412","0.958070331349876"
"Yes","2009","Urban Area","11026","0.893191823538637","0.887634437846422","0.898749209230852"
"No","2010","Rural Area","278","0.0510260803591464","0.0462765609298174","0.0557755997884753"
"No","2010","Urban Area","1378","0.104702683963765","0.0999324598853354","0.109472908042194"
"Yes","2010","Rural Area","7968","0.948973919640854","0.944224400211525","0.953723439070183"
"Yes","2010","Urban Area","14447","0.895297316036235","0.890527091957806","0.900067540114665"
"No","2011","Rural Area","190","0.0458897578273737","0.0412236366953463","0.0505558789594011"
"No","2011","Urban Area","914","0.0851790689692952","0.0806403339301821","0.0897178040084083"
"Yes","2011","Rural Area","7535","0.954110242172626","0.949444121040599","0.958776363304654"
