"plj0014_v3","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"No","1996","general elemantary","Female","328","0.0802494053828774","0.0668745403579537","0.093624270407801"
"No","1996","general elemantary","Male","328","0.21156919857231","0.183682795728268","0.239455601416352"
"No","1996","higher education","Female","35","0.0648862748561018","0.047817131173465","0.0819554185387385"
"No","1996","higher education","Male","53","0.0699641326577076","0.0539113694316717","0.0860168958837435"
"No","1996","higher vocational","Female","12","","",""
"No","1996","higher vocational","Male","10","","",""
"No","1996","in school","Female","22","","",""
"No","1996","in school","Male","23","","",""
"No","1996","inadequately","Female","244","0.64421524685261","0.589490521351794","0.698939972353426"
"No","1996","inadequately","Male","162","0.590859122584168","0.523055825172744","0.658662419995593"
"No","1996","middle vocational","Female","269","0.0418072498736104","0.034978466100258","0.0486360336469628"
"No","1996","middle vocational","Male","408","0.0608189418692765","0.0527221248019419","0.0689157589366112"
"No","1996","vocational + Abi","Female","50","0.167854144347149","0.120272474463858","0.215435814230439"
"No","1996","vocational + Abi","Male","49","0.145033600027819","0.100575755064985","0.189491444990653"
"Yes","1996","general elemantary","Female","1257","0.919750594617123","0.906375729592199","0.933125459642046"
"Yes","1996","general elemantary","Male","496","0.78843080142769","0.760544398583648","0.816317204271732"
"Yes","1996","higher education","Female","765","0.935113725143898","0.918044581461262","0.952182868826535"
"Yes","1996","higher education","Male","917","0.930035867342292","0.913983104116256","0.946088630568328"
"Yes","1996","higher vocational","Female","284","0.969635884583036","0.950088579461966","0.989183189704106"
"Yes","1996","higher vocational","Male","464","0.994431400834971","0.98773225682434","1.0011305448456"
"Yes","1996","in school","Female","134","0.927077352677934","0.886275959631733","0.967878745724134"
"Yes","1996","in school","Male","115","0.858472165654096","0.800316425464791","0.916627905843402"
"Yes","1996","inadequately","Female","50","0.35578475314739","0.301060027646574","0.410509478648206"
"Yes","1996","inadequately","Male","40","0.409140877415832","0.341337580004407","0.476944174827256"
"Yes","1996","middle vocational","Female","3031","0.95819275012639","0.951363966353037","0.965021533899742"
"Yes","1996","middle vocational","Male","2939","0.939181058130724","0.931084241063389","0.947277875198058"
"Yes","1996","vocational + Abi","Female","187","0.832145855652851","0.784564185769561","0.879727525536142"
"Yes","1996","vocational + Abi","Male","192","0.854966399972181","0.810508555009347","0.899424244935015"
"No","1997","general elemantary","Female","316","0.0864135913408461","0.0722838228419166","0.100543359839776"
"No","1997","general elemantary","Male","316","0.203949902096861","0.176554383264915","0.231345420928806"
"No","1997","higher education","Female","33","0.0633053327014927","0.0464522218046762","0.0801584435983093"
"No","1997","higher education","Male","52","0.0670114805788559","0.0513004589137424","0.0827225022439695"
"No","1997","higher vocational","Female","8","","",""
"No","1997","higher vocational","Male","8","","",""
"No","1997","in school","Female","25","","",""
"No","1997","in school","Male","31","0.15909058077436","0.101694447672664","0.216486713876055"
"No","1997","inadequately","Female","229","0.68454625004344","0.629623662572873","0.739468837514007"
"No","1997","inadequately","Male","154","0.58002640458188","0.510395135293449","0.649657673870311"
"No","1997","middle vocational","Female","246","0.0469123722113462","0.0396582790433126","0.0541664653793797"
"No","1997","middle vocational","Male","381","0.0632363798443749","0.0548712761198706","0.0716014835688793"
"No","1997","vocational + Abi","Female","45","0.157891147749855","0.109925025387691","0.205857270112019"
"No","1997","vocational + Abi","Male","48","0.14863591144041","0.103250985777591","0.194020837103229"
"Yes","1997","general elemantary","Female","1203","0.913586408659154","0.899456640160224","0.927716177158083"
"Yes","1997","general elemantary","Male","515","0.796050097903139","0.768654579071194","0.823445616735085"
"Yes","1997","higher education","Female","769","0.936694667298507","0.919841556401691","0.953547778195324"
"Yes","1997","higher education","Male","921","0.932988519421144","0.917277497756031","0.948699541086258"
"Yes","1997","higher vocational","Female","280","0.969545936336725","0.949700590663648","0.989391282009803"
"Yes","1997","higher vocational","Male","467","0.99529671588439","0.989143839655487","1.00144959211329"
"Yes","1997","in school","Female","135","0.897837342899629","0.850909237409309","0.94476544838995"
"Yes","1997","in school","Male","125","0.84090941922564","0.783513286123945","0.898305552327336"
"Yes","1997","inadequately","Female","46","0.31545374995656","0.260531162485993","0.370376337427127"
"Yes","1997","inadequately","Male","39","0.41997359541812","0.350342326129689","0.489604864706551"
"Yes","1997","middle vocational","Female","3018","0.953087627788654","0.94583353462062","0.960341720956687"
"Yes","1997","middle vocational","Male","2871","0.936763620155625","0.928398516431121","0.945128723880129"
"Yes","1997","vocational + Abi","Female","177","0.842108852250145","0.794142729887981","0.89007497461231"
"Yes","1997","vocational + Abi","Male","188","0.851364088559591","0.805979162896772","0.89674901422241"
"No","1998","general elemantary","Female","296","0.0914958215278718","0.0775335770777818","0.105458065977962"
"No","1998","general elemantary","Male","301","0.199786852727952","0.173991971385459","0.225581734070444"
"No","1998","higher education","Female","34","0.0537966153098051","0.0389989879568049","0.0685942426628054"
"No","1998","higher education","Male","55","0.0649283166050192","0.0502737593271996","0.0795828738828388"
"No","1998","higher vocational","Female","11","","",""
"No","1998","higher vocational","Male","10","","",""
"No","1998","in school","Female","23","","",""
"No","1998","in school","Male","33","0.167108401303292","0.109835699424862","0.224381103181722"
"No","1998","inadequately","Female","199","0.629645758690456","0.571172910619003","0.688118606761909"
"No","1998","inadequately","Male","138","0.557732838952437","0.486357682400497","0.629107995504376"
"No","1998","middle vocational","Female","226","0.0440898330830359","0.0373184559912882","0.0508612101747836"
"No","1998","middle vocational","Male","339","0.0622446169475422","0.0542712629998548","0.0702179708952297"
"No","1998","vocational + Abi","Female","46","0.170080252808721","0.125183291682286","0.214977213935156"
"No","1998","vocational + Abi","Male","44","0.159505534392073","0.113469250295787","0.205541818488358"
"Yes","1998","general elemantary","Female","1342","0.908504178472128","0.894541934022038","0.922466422922218"
"Yes","1998","general elemantary","Male","622","0.800213147272048","0.774418265929556","0.826008028614541"
"Yes","1998","higher education","Female","859","0.946203384690195","0.931405757337195","0.961001012043195"
"Yes","1998","higher education","Male","1031","0.935071683394981","0.920417126117161","0.9497262406728"
"Yes","1998","higher vocational","Female","317","0.953810782225002","0.931095790305632","0.976525774144372"
"Yes","1998","higher vocational","Male","490","0.99043040313989","0.981897007299164","0.998963798980615"
"Yes","1998","in school","Female","148","0.866830708440874","0.815907093606818","0.917754323274931"
"Yes","1998","in school","Male","130","0.832891598696708","0.775618896818278","0.890164300575138"
"Yes","1998","inadequately","Female","63","0.370354241309544","0.311881393238091","0.428827089380997"
"Yes","1998","inadequately","Male","48","0.442267161047563","0.370892004495624","0.513642317599503"
"Yes","1998","middle vocational","Female","3305","0.955910166916964","0.949138789825216","0.962681544008712"
"Yes","1998","middle vocational","Male","3188","0.937755383052458","0.92978202910477","0.945728737000145"
"Yes","1998","vocational + Abi","Female","223","0.829919747191279","0.785022786064844","0.874816708317714"
"Yes","1998","vocational + Abi","Male","199","0.840494465607928","0.794458181511642","0.886530749704213"
"No","1999","general elemantary","Female","268","0.0838089140974062","0.0701368927011476","0.0974809354936647"
"No","1999","general elemantary","Male","276","0.197338736445876","0.171088086359687","0.223589386532065"
"No","1999","higher education","Female","32","0.0624422668316818","0.0465012949315851","0.0783832387317786"
"No","1999","higher education","Male","49","0.0597436994117036","0.0456474894419692","0.0738399093814379"
"No","1999","higher vocational","Female","11","","",""
"No","1999","higher vocational","Male","9","","",""
"No","1999","in school","Female","19","","",""
"No","1999","in school","Male","25","","",""
"No","1999","inadequately","Female","188","0.633490193954221","0.57399792010947","0.692982467798972"
"No","1999","inadequately","Male","123","0.529558448639293","0.455818718408374","0.603298178870212"
"No","1999","middle vocational","Female","213","0.0438359882813168","0.0370407652563159","0.0506312113063176"
"No","1999","middle vocational","Male","331","0.0668531898155217","0.0585559788192251","0.0751504008118183"
"No","1999","vocational + Abi","Female","43","0.176073426902054","0.1306418959057","0.221504957898407"
"No","1999","vocational + Abi","Male","35","0.122518784907553","0.0810364947784456","0.16400107503666"
"Yes","1999","general elemantary","Female","1310","0.916191085902594","0.902519064506335","0.929863107298852"
"Yes","1999","general elemantary","Male","607","0.802661263554124","0.776410613467935","0.828911913640313"
"Yes","1999","higher education","Female","853","0.937557733168318","0.921616761268221","0.953498705068415"
"Yes","1999","higher education","Male","1037","0.940256300588296","0.926160090618562","0.954352510558031"
"Yes","1999","higher vocational","Female","323","0.965487968739679","0.94591153623775","0.985064401241608"
"Yes","1999","higher vocational","Male","480","0.987092200575605","0.977087626002265","0.997096775148946"
"Yes","1999","in school","Female","143","0.904399050039658","0.859119538166425","0.949678561912891"
"Yes","1999","in school","Male","134","0.868910913950257","0.816451863801987","0.921369964098526"
"Yes","1999","inadequately","Female","64","0.366509806045779","0.307017532201028","0.42600207989053"
"Yes","1999","inadequately","Male","53","0.470441551360707","0.396701821129788","0.544181281591626"
"Yes","1999","middle vocational","Female","3274","0.956164011718683","0.949368788693682","0.962959234743684"
"Yes","1999","middle vocational","Male","3150","0.933146810184478","0.924849599188182","0.941444021180775"
"Yes","1999","vocational + Abi","Female","227","0.823926573097946","0.778495042101593","0.8693581040943"
"Yes","1999","vocational + Abi","Male","205","0.877481215092448","0.835998924963341","0.918963505221555"
"No","2000","general elemantary","Female","407","0.114754665338874","0.102050768996401","0.127458561681347"
"No","2000","general elemantary","Male","330","0.223503736948535","0.199540578434403","0.247466895462666"
"No","2000","higher education","Female","95","0.079587195514985","0.0665946807905319","0.0925797102394382"
"No","2000","higher education","Male","114","0.0668929826737581","0.0563885104718973","0.0773974548756189"
"No","2000","higher vocational","Female","48","0.0710620073679575","0.0534118741783211","0.088712140557594"
"No","2000","higher vocational","Male","43","0.0389748693833788","0.0274324747225156","0.0505172640442421"
"No","2000","in school","Female","27","","",""
"No","2000","in school","Male","28","","",""
"No","2000","inadequately","Female","151","0.575896487932404","0.512844288722738","0.63894868714207"
"No","2000","inadequately","Male","99","0.510858994785561","0.435715534777995","0.586002454793127"
"No","2000","middle vocational","Female","317","0.0416933566060379","0.0368610781248709","0.0465256350872049"
"No","2000","middle vocational","Male","496","0.0672804505347674","0.0610970763166147","0.0734638247529201"
"No","2000","vocational + Abi","Female","70","0.118119978244103","0.0926739336058148","0.143566022882391"
"No","2000","vocational + Abi","Male","86","0.151759150668157","0.120681359373654","0.18283694196266"
"Yes","2000","general elemantary","Female","2011","0.885245334661126","0.872541438318653","0.897949231003599"
"Yes","2000","general elemantary","Male","831","0.776496263051465","0.752533104537334","0.800459421565597"
"Yes","2000","higher education","Female","1572","0.920412804485015","0.907420289760562","0.933405319209468"
"Yes","2000","higher education","Male","2059","0.933107017326242","0.922602545124381","0.943611489528103"
"Yes","2000","higher vocational","Female","766","0.928937992632043","0.911287859442406","0.946588125821679"
"Yes","2000","higher vocational","Male","1037","0.961025130616621","0.949482735955758","0.972567525277484"
"Yes","2000","in school","Female","232","0.922529502376815","0.889971592725803","0.955087412027827"
"Yes","2000","in school","Male","211","0.889488490179341","0.849739777944757","0.929237202413925"
"Yes","2000","inadequately","Female","85","0.424103512067597","0.361051312857931","0.487155711277263"
"Yes","2000","inadequately","Male","71","0.489141005214439","0.413997545206873","0.564284465222005"
"Yes","2000","middle vocational","Female","6256","0.958306643393962","0.953474364912795","0.963138921875129"
"Yes","2000","middle vocational","Male","5809","0.932719549465233","0.92653617524708","0.938902923683385"
"Yes","2000","vocational + Abi","Female","548","0.881880021755897","0.856433977117609","0.907326066394185"
"Yes","2000","vocational + Abi","Male","426","0.848240849331843","0.81716305803734","0.879318640626346"
