"plj0014_v3","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1996","(Married) couple without C. ","373","0.0584177510583739","0.0507254776163348","0.0661100245004129","2"
"No","1996","1-pers.-HH","120","0.0432374973025216","0.0329101851573127","0.0535648094477305","2"
"No","1996","Couple + C. GT 16 ","502","0.111790647607141","0.0991230602750626","0.124458234939219","2"
"No","1996","Couple + C. LE 16 ","562","0.126832601674427","0.114942071929166","0.138723131419688","2"
"No","1996","Couple + C. LE and GT 16","309","0.152914992978646","0.132995060827932","0.17283492512936","2"
"No","1996","Single parent ","89","0.0850404288364389","0.0636621424860631","0.106418715186815","2"
"Yes","1996","Couple + C. LE and GT 16","945","0.847085007021354","0.82716507487064","0.867004939172068","1"
"Yes","1996","Single parent ","565","0.914959571163561","0.893581284813185","0.936337857513937","1"
"Yes","1996","(Married) couple without C. ","3198","0.941582248941626","0.933889975499587","0.949274522383665","1"
"Yes","1996","1-pers.-HH","1370","0.956762502697478","0.94643519055227","0.967089814842687","1"
"Yes","1996","Couple + C. GT 16 ","1875","0.888209352392859","0.875541765060781","0.900876939724937","1"
"Yes","1996","Couple + C. LE 16 ","2447","0.873167398325573","0.861276868580312","0.885057928070834","1"
"No","1997","(Married) couple without C. ","395","0.0667839516658846","0.0586481380168385","0.0749197653149307","2"
"No","1997","1-pers.-HH","112","0.0421470710756412","0.0318512960649853","0.0524428460862971","2"
"No","1997","Couple + C. GT 16 ","474","0.107825246150163","0.0953644782573728","0.120286014042952","2"
"No","1997","Couple + C. LE 16 ","524","0.127686648957487","0.115429566634132","0.139943731280843","2"
"No","1997","Couple + C. LE and GT 16","276","0.16229027202193","0.141540624959109","0.183039919084751","2"
"No","1997","Single parent ","69","0.0697675868380972","0.0499996958931154","0.0895354777830789","2"
"Yes","1997","Couple + C. LE and GT 16","937","0.83770972797807","0.816960080915249","0.858459375040891","1"
"Yes","1997","Single parent ","569","0.930232413161903","0.910464522216921","0.950000304106885","1"
"Yes","1997","(Married) couple without C. ","3222","0.933216048334115","0.925080234685069","0.941351861983162","1"
"Yes","1997","1-pers.-HH","1351","0.957852928924359","0.947557153913703","0.968148703935015","1"
"Yes","1997","Couple + C. GT 16 ","1906","0.892174753849837","0.879713985957048","0.904635521742627","1"
"Yes","1997","Couple + C. LE 16 ","2324","0.872313351042513","0.860056268719157","0.884570433365868","1"
"No","1998","(Married) couple without C. ","374","0.0606489034052977","0.0534200369082118","0.0678777699023836","2"
