"plj0014_v3","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","1996","35-65 y.","Berlin","32","0.0774146798006811","0.0467091547910146","0.108120204810348","2"
"No","1996","35-65 y.","Baden-Württemberg","308","0.157458788681686","0.132604568225974","0.182313009137397","2"
"No","1996","16-34 y.","Schleswig-Holstein","9","","","","2"
"No","1996","16-34 y.","Hamburg","9","","","","2"
"No","1996","16-34 y.","Lower Saxony","62","0.089090157551318","0.0616491229587095","0.116531192143926","2"
"No","1996","16-34 y.","Bremen","9","","","","2"
"No","1996","35-65 y.","Bavaria","172","0.118502016906538","0.0960494970221194","0.140954536790956","2"
"No","1996","35-65 y.","Brandenburg","1","","","","2"
"No","1996","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1996","35-65 y.","Saxony","3","","","","2"
"No","1996","35-65 y.","Saxony-Anhalt","","","","","2"
"No","1996","16-34 y.","North Rhine-Westphalia","268","0.147276690125949","0.124729830553755","0.169823549698143","2"
"No","1996","16-34 y.","Baden-Württemberg","283","0.18865861654299","0.159466627827671","0.21785060525831","2"
"No","1996","16-34 y.","Bavaria","140","0.132287748144537","0.106690797231444","0.15788469905763","2"
"No","1996","16-34 y.","Saxony-Anhalt","","","","","2"
"No","1996","35-65 y.","Hamburg","16","","","","2"
"No","1996","35-65 y.","Lower Saxony","60","0.0587572085028367","0.0384267140812968","0.0790877029243766","2"
"No","1996","35-65 y.","Bremen","6","","","","2"
"No","1996","35-65 y.","North Rhine-Westphalia","283","0.103318300847217","0.0870092827373826","0.119627318957052","2"
"No","1996","35-65 y.","Hesse","145","0.153240846425825","0.12094836906012","0.185533323791529","2"
"No","1996","35-65 y.","Rhineland-Palatinate,Saarland","40","0.0793930958214078","0.050614027897456","0.10817216374536","2"
"No","1996","16-34 y.","Hesse","110","0.187468786900196","0.144300205401844","0.230637368398548","2"
"No","1996","16-34 y.","Rhineland-Palatinate,Saarland","52","0.136094827864837","0.0941734665842757","0.178016189145398","2"
"No","1996","16-34 y.","Berlin","35","0.193115446998127","0.136986680506062","0.249244213490192","2"
"No","1996","16-34 y.","Brandenburg","","","","","2"
"No","1996","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1996","16-34 y.","Saxony","2","","","","2"
"No","1996","16-34 y.","Thuringia","2","","","","2"
"No","1996","35-65 y.","Schleswig-Holstein","9","","","","2"
"No","1996","35-65 y.","Thuringia","1","","","","2"
"No","1996","66 and older","Schleswig-Holstein","1","","","","2"
"No","1996","66 and older","Hamburg","1","","","","2"
"No","1996","66 and older","Lower Saxony","3","","","","2"
"No","1996","66 and older","Bremen","","","","","2"
"No","1996","66 and older","North Rhine-Westphalia","20","","","","2"
"No","1996","66 and older","Hesse","11","","","","2"
"No","1996","66 and older","Rhineland-Palatinate,Saarland","3","","","","2"
"No","1996","66 and older","Brandenburg","1","","","","2"
"No","1996","66 and older","Baden-Württemberg","21","","","","2"
"No","1996","66 and older","Bavaria","8","","","","2"
"No","1996","66 and older","Berlin","","","","","2"
"No","1996","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"No","1996","66 and older","Saxony","","","","","2"
"No","1996","66 and older","Saxony-Anhalt","","","","","2"
"No","1996","66 and older","Thuringia","","","","","2"
"Yes","1996","16-34 y.","Schleswig-Holstein","102","0.962270687130177","0.926824079513596","0.997717294746758","1"
"Yes","1996","16-34 y.","Hamburg","31","0.899309134687426","0.806055099268984","0.992563170105868","1"
"Yes","1996","16-34 y.","Lower Saxony","352","0.910909842448682","0.883468807856074","0.938350877041291","1"
"Yes","1996","16-34 y.","Bremen","24","","","","1"
"Yes","1996","16-34 y.","North Rhine-Westphalia","681","0.852723309874051","0.830176450301857","0.875270169446245","1"
"Yes","1996","16-34 y.","Hesse","204","0.812531213099804","0.769362631601452","0.855699794598156","1"
"Yes","1996","16-34 y.","Rhineland-Palatinate,Saarland","205","0.863905172135163","0.821983810854602","0.905826533415724","1"
"Yes","1996","16-34 y.","Baden-Württemberg","407","0.81134138345701","0.78214939474169","0.840533372172329","1"
"Yes","1996","16-34 y.","Bavaria","533","0.867712251855463","0.84211530094237","0.893309202768556","1"
"Yes","1996","16-34 y.","Berlin","155","0.806884553001873","0.750755786509807","0.863013319493938","1"
"Yes","1996","16-34 y.","Brandenburg","186","1","1","1","1"
"Yes","1996","16-34 y.","Mecklenburg-Western Pomerania","133","1","1","1","1"
"Yes","1996","16-34 y.","Saxony","354","0.990300665028273","0.980119965815425","1.00048136424112","1"
"Yes","1996","16-34 y.","Saxony-Anhalt","209","1","1","1","1"
"Yes","1996","16-34 y.","Thuringia","223","0.991033998482545","0.978717124081293","1.0033508728838","1"
"Yes","1996","35-65 y.","Schleswig-Holstein","130","0.961141147217519","0.929013474766365","0.993268819668674","1"
