"plj0014_v3","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Full Time","Rural Area","123","0.0289092570274261","0.0216277547613389","0.0361907592935133","2"
"No","1996","Full Time","Urban Area","736","0.108768268818216","0.098761786546613","0.118774751089818","2"
"No","1996","Not Working","Rural Area","79","0.0241587837362793","0.0164877146717838","0.0318298528007749","2"
"No","1996","Not Working","Urban Area","679","0.0974282175384364","0.0870412251898309","0.107815209887042","2"
"No","1996","Part Time","Rural Area","59","0.0417806168543848","0.0284156952707266","0.0551455384380431","2"
"No","1996","Part Time","Urban Area","450","0.128704880037796","0.11340389722263","0.144005862852963","2"
"Yes","1996","Part Time","Rural Area","802","0.958219383145615","0.944854461561957","0.971584304729273","1"
"Yes","1996","Part Time","Urban Area","1390","0.871295119962204","0.855994137147037","0.88659610277737","1"
"Yes","1996","Full Time","Rural Area","1911","0.971090742972574","0.963809240706487","0.978372245238661","1"
"Yes","1996","Full Time","Urban Area","2983","0.891231731181784","0.881225248910182","0.901238213453387","1"
"Yes","1996","Not Working","Rural Area","1460","0.975841216263721","0.968170147199225","0.983512285328216","1"
"Yes","1996","Not Working","Urban Area","2452","0.902571782461564","0.892184790112958","0.912958774810169","1"
"No","1997","Full Time","Rural Area","112","0.0284074408001729","0.0210543921499407","0.0357604894504051","2"
"No","1997","Full Time","Urban Area","688","0.105670560451999","0.0956906856366969","0.115650435267301","2"
"No","1997","Not Working","Rural Area","83","0.0287974276949094","0.0205381974693872","0.0370566579204315","2"
"No","1997","Not Working","Urban Area","696","0.106839433775477","0.0960961164626261","0.117582751088327","2"
"No","1997","Part Time","Rural Area","47","0.036519683402158","0.0237584112677904","0.0492809555365255","2"
"No","1997","Part Time","Urban Area","386","0.126783290048667","0.111090724552531","0.142475855544803","2"
"Yes","1997","Part Time","Rural Area","783","0.963480316597842","0.950719044463474","0.97624158873221","1"
"Yes","1997","Part Time","Urban Area","1341","0.873216709951333","0.857524144455197","0.888909275447469","1"
"Yes","1997","Full Time","Rural Area","1849","0.971592559199827","0.964239510549595","0.978945607850059","1"
"Yes","1997","Full Time","Urban Area","2957","0.894329439548001","0.884349564732699","0.904309314363303","1"
