"plj0014_v3","year","e11103","n","percent","lower_confidence","upper_confidence"
"No","1996","Full Time","859","0.0852323323061639","0.0780169641827197","0.092447700429608"
"No","1996","Not Working","758","0.0752673837883001","0.0677015872895058","0.0828331802870944"
"No","1996","Part Time","509","0.102899707201587","0.0914415871656258","0.114357827237549"
"Yes","1996","Full Time","4894","0.914767667693836","0.907552299570392","0.92198303581728"
"Yes","1996","Not Working","3913","0.9247326162117","0.917166819712906","0.932298412710494"
"Yes","1996","Part Time","2192","0.897100292798413","0.885642172762451","0.908558412834374"
"No","1997","Full Time","800","0.0833050173184203","0.0760711664534626","0.0905388681833779"
"No","1997","Not Working","779","0.0833215331502784","0.0754638047016807","0.0911792615988761"
"No","1997","Part Time","433","0.0989778760913069","0.0874029155392912","0.110552836643323"
"Yes","1997","Full Time","4806","0.91669498268158","0.909461131816622","0.923928833546537"
"Yes","1997","Not Working","3973","0.916678466849722","0.908820738401124","0.924536195298319"
"Yes","1997","Part Time","2124","0.901022123908693","0.889447163356678","0.912597084460709"
"No","1998","Full Time","724","0.085472431444973","0.0784022476256349","0.0925426152643111"
"No","1998","Not Working","732","0.0780116857048711","0.0708842862232278","0.0851390851865145"
"No","1998","Part Time","433","0.108150010637011","0.0968094206024547","0.119490600671568"
"Yes","1998","Full Time","5283","0.914527568555027","0.907457384735689","0.921597752374365"
"Yes","1998","Not Working","4707","0.921988314295129","0.914860914813486","0.929115713776772"
"Yes","1998","Part Time","2448","0.891849989362989","0.880509399328432","0.903190579397545"
"No","1999","Full Time","688","0.0884798248760915","0.0812030605104934","0.0957565892416897"
"No","1999","Not Working","669","0.0763175040587147","0.0689345403521153","0.0837004677653141"
"No","1999","Part Time","378","0.102254054462045","0.0913188300624439","0.113189278861647"
"Yes","1999","Full Time","5163","0.911520175123908","0.90424341075831","0.918796939489507"
"Yes","1999","Not Working","4299","0.923682495941285","0.916299532234686","0.931065459647885"
"Yes","1999","Part Time","2571","0.897745945537955","0.886810721138353","0.908681169937556"
"No","2000","Full Time","911","0.0843915498452002","0.0789701269893734","0.089812972701027"
"No","2000","Not Working","887","0.0753136044907725","0.0698823226382215","0.0807448863433235"
"No","2000","Part Time","533","0.0984725297048362","0.0902920191171206","0.106653040292552"
"Yes","2000","Full Time","9188","0.9156084501548","0.910187027298973","0.921029873010627"
"Yes","2000","Not Working","8182","0.924686395509228","0.919255113656677","0.930117677361779"
"Yes","2000","Part Time","4563","0.901527470295164","0.893346959707448","0.909707980882879"
"No","2001","Full Time","814","0.0820439931100321","0.076400864424722","0.0876871217953423"
"No","2001","Not Working","740","0.0726109205175274","0.0669733170345173","0.0782485240005375"
"No","2001","Part Time","490","0.100631898040814","0.092155587638856","0.109108208442771"
"Yes","2001","Full Time","8271","0.917956006889968","0.912312878204658","0.923599135575278"
"Yes","2001","Not Working","7399","0.927389079482473","0.921751475999462","0.933026682965483"
"Yes","2001","Part Time","4349","0.899368101959186","0.890891791557229","0.907844412361144"
"No","2002","Full Time","753","0.0823585181406451","0.0768578381226246","0.0878591981586656"
"No","2002","Not Working","699","0.0740487975955941","0.0684185594229068","0.0796790357682815"
"No","2002","Part Time","448","0.0926382609637642","0.0847980126336307","0.100478509293898"
"Yes","2002","Full Time","8842","0.917641481859355","0.912140801841334","0.923142161877375"
"Yes","2002","Not Working","7610","0.925951202404406","0.920320964231718","0.931581440577093"
"Yes","2002","Part Time","4805","0.907361739036236","0.899521490706102","0.915201987366369"
"No","2003","Full Time","655","0.0824331272830103","0.0767299197557571","0.0881363348102635"
"No","2003","Not Working","675","0.078323950735405","0.0725153029324282","0.0841325985383819"
"No","2003","Part Time","411","0.0886389381016917","0.0808726605308014","0.096405215672582"
"Yes","2003","Full Time","8278","0.91756687271699","0.911863665189737","0.923270080244243"
"Yes","2003","Not Working","7544","0.921676049264595","0.915867401461618","0.927484697067572"
"Yes","2003","Part Time","4734","0.911361061898308","0.903594784327418","0.919127339469199"
"No","2004","Full Time","602","0.0798040923021726","0.0740360491168355","0.0855721354875098"
"No","2004","Not Working","646","0.0789920642444088","0.0731618733816949","0.0848222551071227"
"No","2004","Part Time","380","0.0934490797823887","0.0854071293692767","0.101491030195501"
"Yes","2004","Full Time","7877","0.920195907697827","0.91442786451249","0.925963950883164"
"Yes","2004","Not Working","7576","0.921007935755591","0.915177744892877","0.926838126618305"
"Yes","2004","Part Time","4652","0.906550920217611","0.898508969804499","0.914592870630723"
"No","2005","Full Time","565","0.0814243524786228","0.075451196413264","0.0873975085439817"
"No","2005","Not Working","607","0.0799257126907278","0.0739568225199415","0.0858946028615142"
"No","2005","Part Time","372","0.103879062282666","0.0952746373849588","0.112483487180372"
"Yes","2005","Full Time","7488","0.918575647521377","0.912602491456018","0.924548803586736"
"Yes","2005","Not Working","7322","0.920074287309272","0.914105397138486","0.926043177480058"
"Yes","2005","Part Time","4458","0.896120937717334","0.887516512819628","0.904725362615041"
"No","2006","Full Time","519","0.0824347092451368","0.0765703714330444","0.0882990470572291"
"No","2006","Not Working","617","0.0896620497074874","0.0836228375998143","0.0957012618151604"
"No","2006","Part Time","334","0.0873931548614952","0.0795909886933959","0.0951953210295945"
"Yes","2006","Full Time","7930","0.917565290754863","0.911700952942771","0.923429628566956"
"Yes","2006","Not Working","7980","0.910337950292513","0.90429873818484","0.916377162400186"
"Yes","2006","Part Time","4699","0.912606845138505","0.904804678970406","0.920409011306604"
"No","2007","Full Time","449","0.0764673921359452","0.0706010608591973","0.0823337234126931"
"No","2007","Not Working","517","0.0869212697699563","0.0807521689303189","0.0930903706095938"
"No","2007","Part Time","320","0.103893858019769","0.0951974862430327","0.112590229796506"
"Yes","2007","Full Time","7434","0.923532607864055","0.917666276587307","0.929398939140803"
"Yes","2007","Not Working","7494","0.913078730230044","0.906909629390406","0.919247831069681"
"Yes","2007","Part Time","4409","0.896106141980231","0.887409770203494","0.904802513756967"
"No","2008","Full Time","393","0.0771308734012527","0.071094364273563","0.0831673825289423"
"No","2008","Not Working","455","0.0863046268326678","0.0799501863914831","0.0926590672738525"
"No","2008","Part Time","284","0.104381864479346","0.0953730961632139","0.113390632795478"
"Yes","2008","Full Time","7111","0.922869126598747","0.916832617471058","0.928905635726437"
"Yes","2008","Not Working","7047","0.913695373167332","0.907340932726147","0.920049813608517"
"Yes","2008","Part Time","4141","0.895618135520654","0.886609367204522","0.904626903836786"
"No","2009","Full Time","330","0.0764608764199401","0.0702419918602895","0.0826797609795907"
"No","2009","Not Working","388","0.0853976229333885","0.0787938379271308","0.0920014079396462"
