"plj0014_v3","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1996","16-34 y.","no migration background","3420","0.99797726369205","0.996472351461955","0.999482175922144"
"Yes","1996","16-34 y.","direct migration background","239","0.34293937394974","0.310933393658965","0.374945354240515"
"Yes","1996","16-34 y.","indirect migration background","141","0.423535036303791","0.380734989861793","0.46633508274579"
"Yes","1996","35-65 y.","no migration background","5188","0.998861232900004","0.997943584545073","0.999778881254935"
"Yes","1996","35-65 y.","direct migration background","480","0.443403817708157","0.418632239602627","0.468175395813688"
"Yes","1996","35-65 y.","indirect migration background","21","","",""
"Yes","1996","66 and older","no migration background","1341","0.999419825901042","0.998131502244309","1.00070814955777"
"Yes","1996","66 and older","direct migration background","165","0.875173533644075","0.832550679579383","0.917796387708767"
"Yes","1996","66 and older","indirect migration background","4","","",""
"No","1996","16-34 y.","no migration background","4","","",""
"No","1996","16-34 y.","direct migration background","606","0.65706062605026","0.625054645759485","0.689066606341035"
"No","1996","16-34 y.","indirect migration background","371","0.576464963696209","0.53366491725421","0.619265010138207"
"No","1996","35-65 y.","no migration background","1","","",""
"No","1996","35-65 y.","direct migration background","1065","0.556596182291843","0.531824604186313","0.581367760397373"
"No","1996","35-65 y.","indirect migration background","10","","",""
"No","1996","66 and older","no migration background","1","","",""
"No","1996","66 and older","direct migration background","66","0.124826466355925","0.0822036122912331","0.167449320420617"
"No","1996","66 and older","indirect migration background","2","","",""
"Yes","1997","16-34 y.","no migration background","3314","0.99752169310687","0.99582989467872","0.999213491535019"
"Yes","1997","16-34 y.","direct migration background","244","0.355538377648109","0.322010274548043","0.389066480748175"
"Yes","1997","16-34 y.","indirect migration background","156","0.455355497189846","0.413156410250878","0.497554584128814"
"Yes","1997","35-65 y.","no migration background","5161","0.998762248374262","0.997803097553407","0.999721399195117"
"Yes","1997","35-65 y.","direct migration background","475","0.44655777324945","0.421152917842097","0.471962628656802"
"Yes","1997","35-65 y.","indirect migration background","23","","",""
"Yes","1997","66 and older","no migration background","1367","0.999400919702202","0.998104285619084","1.00069755378532"
"Yes","1997","66 and older","direct migration background","161","0.819642326316466","0.770795189379998","0.868489463252934"
"Yes","1997","66 and older","indirect migration background","2","","",""
"No","1997","16-34 y.","no migration background","4","","",""
"No","1997","16-34 y.","direct migration background","539","0.644461622351891","0.610933519251825","0.677989725451957"
"No","1997","16-34 y.","indirect migration background","379","0.544644502810154","0.502445415871186","0.586843589749122"
"No","1997","35-65 y.","no migration background","1","","",""
"No","1997","35-65 y.","direct migration background","996","0.55344222675055","0.528037371343198","0.578847082157903"
"No","1997","35-65 y.","indirect migration background","10","","",""
"No","1997","66 and older","no migration background","1","","",""
"No","1997","66 and older","direct migration background","77","0.180357673683534","0.131510536747067","0.229204810620002"
"No","1997","66 and older","indirect migration background","5","","",""
"Yes","1998","16-34 y.","no migration background","3605","0.997473814034538","0.995836100038151","0.999111528030924"
"Yes","1998","16-34 y.","direct migration background","250","0.362879384266265","0.327806501041475","0.397952267491056"
"Yes","1998","16-34 y.","indirect migration background","180","0.471415465624087","0.429848114707277","0.512982816540898"
"Yes","1998","35-65 y.","no migration background","6060","0.999894755642932","0.999636519705978","1.00015299157989"
"Yes","1998","35-65 y.","direct migration background","502","0.428833838980654","0.403316233056346","0.454351444904961"
"Yes","1998","35-65 y.","indirect migration background","29","","",""
"Yes","1998","66 and older","no migration background","1629","0.99777027214271","0.995481185029001","1.00005935925642"
"Yes","1998","66 and older","direct migration background","181","0.823014446165693","0.776078684330565","0.869950208000822"
"Yes","1998","66 and older","indirect migration background","2","","",""
"No","1998","16-34 y.","no migration background","4","","",""
"No","1998","16-34 y.","direct migration background","472","0.637120615733735","0.602047732508944","0.672193498958525"
"No","1998","16-34 y.","indirect migration background","374","0.528584534375913","0.487017183459102","0.570151885292723"
"No","1998","35-65 y.","no migration background","2","","",""
"No","1998","35-65 y.","direct migration background","943","0.571166161019346","0.545648555095039","0.596683766943654"
"No","1998","35-65 y.","indirect migration background","15","","",""
"No","1998","66 and older","no migration background","2","","",""
"No","1998","66 and older","direct migration background","73","0.176985553834307","0.130049791999178","0.223921315669435"
"No","1998","66 and older","indirect migration background","4","","",""
"Yes","1999","16-34 y.","no migration background","3421","0.999175214346051","0.998213803143161","1.00013662554894"
"Yes","1999","16-34 y.","direct migration background","234","0.385034767606768","0.347305974144864","0.422763561068673"
"Yes","1999","16-34 y.","indirect migration background","192","0.487588879798362","0.445928646797056","0.529249112799667"
"Yes","1999","35-65 y.","no migration background","5929","0.998000649021803","0.996863918682519","0.999137379361086"
"Yes","1999","35-65 y.","direct migration background","478","0.413087690524843","0.386645117366952","0.439530263682734"
"Yes","1999","35-65 y.","indirect migration background","34","0.629574605318062","0.498318233212611","0.760830977423513"
"Yes","1999","66 and older","no migration background","1574","0.997472302937619","0.994993266449893","0.999951339425345"
"Yes","1999","66 and older","direct migration background","168","0.81257293367443","0.764389787932495","0.860756079416365"
"Yes","1999","66 and older","indirect migration background","3","","",""
"No","1999","16-34 y.","no migration background","4","","",""
"No","1999","16-34 y.","direct migration background","405","0.614965232393232","0.577236438931327","0.652694025855136"
"No","1999","16-34 y.","indirect migration background","361","0.512411120201638","0.470750887200333","0.554071353202944"
"No","1999","35-65 y.","no migration background","3","","",""
"No","1999","35-65 y.","direct migration background","854","0.586912309475157","0.560469736317266","0.613354882633048"
"No","1999","35-65 y.","indirect migration background","18","","",""
"No","1999","66 and older","no migration background","2","","",""
"No","1999","66 and older","direct migration background","84","0.18742706632557","0.139243920583635","0.235610212067506"
"No","1999","66 and older","indirect migration background","4","","",""
"Yes","2000","16-34 y.","no migration background","5432","0.999169999393668","0.998404530896267","0.999935467891069"
"Yes","2000","16-34 y.","direct migration background","423","0.418961510909309","0.388258443266614","0.449664578552005"
"Yes","2000","16-34 y.","indirect migration background","292","0.489009379370085","0.452394581689341","0.525624177050829"
"Yes","2000","35-65 y.","no migration background","11386","0.998763298332968","0.998117895413427","0.999408701252509"
"Yes","2000","35-65 y.","direct migration background","817","0.414651196337473","0.393010995356669","0.436291397318277"
"Yes","2000","35-65 y.","indirect migration background","62","0.610528907400634","0.513488423336291","0.707569391464977"
"Yes","2000","66 and older","no migration background","3259","0.998381389636932","0.997001666051293","0.999761113222572"
"Yes","2000","66 and older","direct migration background","250","0.7774036530584","0.734491846838518","0.820315459278282"
"Yes","2000","66 and older","indirect migration background","12","","",""
"No","2000","16-34 y.","no migration background","5","","",""
"No","2000","16-34 y.","direct migration background","569","0.581038489090691","0.550335421447995","0.611741556733386"
"No","2000","16-34 y.","indirect migration background","424","0.510990620629915","0.474375822949171","0.547605418310659"
"No","2000","35-65 y.","no migration background","5","","",""
"No","2000","35-65 y.","direct migration background","1174","0.585348803662527","0.563708602681723","0.606989004643331"
"No","2000","35-65 y.","indirect migration background","35","0.389471092599366","0.292430608535023","0.486511576663709"
"No","2000","66 and older","no migration background","2","","",""
"No","2000","66 and older","direct migration background","111","0.2225963469416","0.179684540721718","0.265508153161482"
"No","2000","66 and older","indirect migration background","6","","",""
"Yes","2001","16-34 y.","no migration background","4805","0.999067239103232","0.99820454252097","0.999929935685494"
"Yes","2001","16-34 y.","direct migration background","375","0.427595455498192","0.39403924343941","0.461151667556974"
"Yes","2001","16-34 y.","indirect migration background","283","0.501977630692392","0.463686865235217","0.540268396149567"
"Yes","2001","35-65 y.","no migration background","10441","0.998703185989708","0.998013024164709","0.999393347814707"
"Yes","2001","35-65 y.","direct migration background","729","0.41212756702056","0.389190306100893","0.435064827940227"
"Yes","2001","35-65 y.","indirect migration background","65","0.627220761634857","0.534288289005892","0.720153234263823"
"Yes","2001","66 and older","no migration background","3084","0.999265327129485","0.998309371927671","1.0002212823313"
"Yes","2001","66 and older","direct migration background","224","0.730354374830839","0.683252910581679","0.777455839079999"
"Yes","2001","66 and older","indirect migration background","13","","",""
"No","2001","16-34 y.","no migration background","5","","",""
"No","2001","16-34 y.","direct migration background","460","0.572404544501808","0.538848332443026","0.60596075656059"
"No","2001","16-34 y.","indirect migration background","372","0.498022369307608","0.459731603850433","0.536313134764783"
"No","2001","35-65 y.","no migration background","4","","",""
"No","2001","35-65 y.","direct migration background","1040","0.58787243297944","0.564935172059773","0.610809693899107"
"No","2001","35-65 y.","indirect migration background","39","0.372779238365143","0.279846765736177","0.465711710994109"
"No","2001","66 and older","no migration background","2","","",""
"No","2001","66 and older","direct migration background","117","0.269645625169161","0.222544160920001","0.316747089418321"
"No","2001","66 and older","indirect migration background","5","","",""
"Yes","2002","16-34 y.","no migration background","4799","0.99942241532628","0.998742939248994","1.00010189140357"
"Yes","2002","16-34 y.","direct migration background","363","0.472322381458876","0.436473669642764","0.508171093274987"
"Yes","2002","16-34 y.","indirect migration background","311","0.527966885156301","0.489229765323689","0.566704004988912"
