"plj0014_v3","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Female","1029","0.0767447052954659","0.0704226302047454","0.0830667803861865","2"
"No","1996","Male","1097","0.0927467483318592","0.0855923185357621","0.0999011781279564","2"
"Yes","1996","Female","5781","0.923255294704534","0.916933219613813","0.929577369795255","1"
"Yes","1996","Male","5218","0.907253251668141","0.900098821872044","0.914407681464238","1"
"No","1997","Female","969","0.0811696891079121","0.0746197165312868","0.0877196616845374","2"
"No","1997","Male","1043","0.0917047291574038","0.0845421470784476","0.09886731123636","2"
"Yes","1997","Female","5709","0.918830310892088","0.912280338315463","0.925380283468713","1"
"Yes","1997","Male","5194","0.908295270842596","0.90113268876364","0.915457852921552","1"
"No","1998","Female","909","0.0808893122255258","0.0746814915373313","0.0870971329137203","2"
"No","1998","Male","980","0.0924539598322223","0.0856271518085617","0.0992807678558828","2"
"Yes","1998","Female","6502","0.919110687774474","0.91290286708628","0.925318508462669","1"
"Yes","1998","Male","5936","0.907546040167778","0.900719232144117","0.914372848191438","1"
"No","1999","Female","832","0.0800933697605131","0.0737897969090719","0.0863969426119543","2"
"No","1999","Male","903","0.0928989025019973","0.0859192510378751","0.0998785539661194","2"
"Yes","1999","Female","6291","0.919906630239487","0.913603057388046","0.926210203090928","1"
"Yes","1999","Male","5742","0.907101097498003","0.900121446033881","0.914080748962125","1"
"No","2000","Female","1129","0.0772087494074402","0.0725499335954139","0.0818675652194665","2"
"No","2000","Male","1202","0.0903812573053011","0.0851759998947005","0.0955865147159017","2"
"Yes","2000","Female","11481","0.92279125059256","0.918132434780534","0.927450066404586","1"
"Yes","2000","Male","10454","0.909618742694699","0.904413485284098","0.9148240001053","1"
"No","2001","Female","1003","0.077242472510319","0.0723589846284221","0.0821259603922159","2"
"No","2001","Male","1041","0.0875828705752559","0.0821968189094207","0.0929689222410912","2"
"Yes","2001","Female","10478","0.922757527489681","0.917874039607784","0.927641015371578","1"
"Yes","2001","Male","9541","0.912417129424744","0.907031077758909","0.917803181090579","1"
"No","2002","Female","948","0.0769257867343093","0.0721538784140547","0.081697695054564","2"
"No","2002","Male","952","0.0858288900378232","0.0806361505806451","0.0910216294950013","2"
"Yes","2002","Female","11031","0.923074213265691","0.918302304945436","0.927846121585945","1"
"Yes","2002","Male","10226","0.914171109962177","0.908978370504999","0.919363849419355","1"
"No","2003","Female","878","0.0781678095191147","0.0732756973879545","0.0830599216502749","2"
"No","2003","Male","863","0.0862544431841899","0.0809427696984483","0.0915661166699316","2"
"Yes","2003","Female","10688","0.921832190480885","0.916940078349725","0.926724302612046","1"
"Yes","2003","Male","9868","0.91374555681581","0.908433883330068","0.919057230301552","1"
"No","2004","Female","822","0.0796999147583274","0.0747073273602793","0.0846925021563754","2"
"No","2004","Male","806","0.08536174317799","0.0799990484387839","0.0907244379171962","2"
"Yes","2004","Female","10482","0.920300085241673","0.915307497843625","0.925292672639721","1"
"Yes","2004","Male","9623","0.91463825682201","0.909275562082804","0.920000951561216","1"
"No","2005","Female","781","0.0824223381523589","0.0772513075610737","0.0875933687436442","2"
"No","2005","Male","763","0.0895183988166187","0.08390799951468","0.0951287981185573","2"
"Yes","2005","Female","10084","0.917577661847641","0.912406631256356","0.922748692438926","1"
"Yes","2005","Male","9184","0.910481601183381","0.904871201881443","0.91609200048532","1"
"No","2006","Female","762","0.0845023974980697","0.0794323326806437","0.0895724623154957","2"
"No","2006","Male","708","0.0885729757189081","0.0831430601546236","0.0940028912831925","2"
"Yes","2006","Female","10799","0.91549760250193","0.910427537684504","0.920567667319356","1"
"Yes","2006","Male","9810","0.911427024281092","0.905997108716807","0.916856939845376","1"
"No","2007","Female","662","0.0859650238304787","0.0806798666142451","0.0912501810467122","2"
"No","2007","Male","624","0.0875828693640344","0.0819908972699253","0.0931748414581435","2"
"Yes","2007","Female","10144","0.914034976169521","0.908749818953288","0.919320133385755","1"
"Yes","2007","Male","9193","0.912417130635966","0.906825158541857","0.918009102730075","1"
"No","2008","Female","586","0.0868210929524782","0.081350571016632","0.0922916148883244","2"
"No","2008","Male","546","0.0867422503835378","0.081007752866452","0.0924767479006235","2"
"Yes","2008","Female","9591","0.913178907047522","0.907708385111676","0.918649428983368","1"
"Yes","2008","Male","8708","0.913257749616462","0.907523252099376","0.918992247133548","1"
"No","2009","Female","523","0.0905998134216921","0.0848223223013449","0.0963773045420392","2"
"No","2009","Male","466","0.0848201062034863","0.0789466551623384","0.0906935572446341","2"
"Yes","2009","Female","8959","0.909400186578308","0.903622695457961","0.915177677698655","1"
"Yes","2009","Male","8178","0.915179893796514","0.909306442755366","0.921053344837661","1"
"No","2010","Female","908","0.0912706633355907","0.0863421752666127","0.0961991514045686","2"
"No","2010","Male","748","0.084566363049592","0.0793559280494694","0.0897767980497147","2"
"Yes","2010","Female","12209","0.908729336664409","0.903800848595431","0.913657824733387","1"
"Yes","2010","Male","10206","0.915433636950408","0.910223201950285","0.920644071950531","1"
"No","2011","Female","606","0.0760833167682726","0.0713251067780266","0.0808415267585185","2"
"No","2011","Male","498","0.0691695488237932","0.0642761375868427","0.0740629600607438","2"
"Yes","2011","Female","11321","0.923916683231727","0.919158473241481","0.928674893221973","1"
"Yes","2011","Male","9831","0.930830451176207","0.925937039939256","0.935723862413157","1"
"No","2012","Female","877","0.0860856648702104","0.0816180612535075","0.0905532684869133","2"
"No","2012","Male","707","0.078700198725151","0.0739985387064059","0.0834018587438962","2"
"Yes","2012","Female","14265","0.91391433512979","0.909446731513087","0.918381938746493","1"
"Yes","2012","Male","11893","0.921299801274849","0.916598141256104","0.926001461293594","1"
"No","2013","Female","789","0.051988189591201","0.048327206601291","0.0556491725811111","2"
"No","2013","Male","611","0.0491470454906586","0.0452251190470115","0.0530689719343057","2"
"Yes","2013","Female","13337","0.948011810408799","0.944350827418889","0.951672793398709","1"
