"plj0014_v3","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1996","in school","East Germany","","","","","2"
"No","1996","general elemantary","West Germany","653","0.129027772740193","0.114469953242894","0.143585592237493","2"
"No","1996","inadequately","East Germany","","","","","2"
"No","1996","higher education","East Germany","3","","","","2"
"No","1996","inadequately","West Germany","406","0.643335362693831","0.600616147680086","0.686054577707576","2"
"No","1996","higher vocational","East Germany","","","","","2"
"No","1996","higher education","West Germany","85","0.0966915123946403","0.0776871870756305","0.11569583771365","2"
"No","1996","in school","West Germany","45","0.130901436285497","0.0836813498915848","0.17812152267941","2"
"No","1996","higher vocational","West Germany","22","","","","2"
"No","1996","general elemantary","East Germany","3","","","","2"
"No","1996","middle vocational","West Germany","675","0.0642319766512514","0.0571556108702319","0.0713083424322709","2"
"No","1996","middle vocational","East Germany","2","","","","2"
"No","1996","vocational + Abi","West Germany","98","0.169472230106469","0.132843495185517","0.206100965027421","2"
"No","1996","vocational + Abi","East Germany","1","","","","2"
"Yes","1996","in school","West Germany","151","0.869098563714503","0.82187847732059","0.916318650108415","1"
"Yes","1996","in school","East Germany","98","1","1","1","1"
"Yes","1996","inadequately","West Germany","77","0.356664637306169","0.313945422292424","0.399383852319914","1"
"Yes","1996","inadequately","East Germany","13","","","","1"
"Yes","1996","general elemantary","West Germany","1384","0.870972227259807","0.856414407762507","0.885530046757106","1"
"Yes","1996","general elemantary","East Germany","369","0.991560200320377","0.982264069350915","1.00085633128984","1"
"Yes","1996","middle vocational","West Germany","3936","0.935768023348749","0.928691657567729","0.942844389129768","1"
"Yes","1996","middle vocational","East Germany","2034","0.998874664878907","0.997418348815899","1.00033098094191","1"
"Yes","1996","vocational + Abi","West Germany","305","0.830527769893531","0.793899034972579","0.867156504814483","1"
"Yes","1996","vocational + Abi","East Germany","74","0.971159087432634","0.933282822340196","1.00903535252507","1"
"Yes","1996","higher vocational","West Germany","517","0.980736660965778","0.969132982194841","0.992340339736714","1"
"Yes","1996","higher vocational","East Germany","231","1","1","1","1"
"Yes","1996","higher education","West Germany","844","0.90330848760536","0.88430416228635","0.92231281292437","1"
"Yes","1996","higher education","East Germany","838","0.996658841063544","0.992758775369227","1.00055890675786","1"
"No","1997","higher education","East Germany","3","","","","2"
"No","1997","in school","East Germany","","","","","2"
"No","1997","higher vocational","East Germany","","","","","2"
"No","1997","inadequately","West Germany","383","0.658980007362973","0.615517374556229","0.702442640169718","2"
"No","1997","inadequately","East Germany","","","","","2"
"No","1997","general elemantary","West Germany","629","0.131965758135557","0.117121513060797","0.146810003210316","2"
"No","1997","higher education","West Germany","82","0.0937206806123187","0.0750400713106296","0.112401289914008","2"
"No","1997","in school","West Germany","56","0.165218902103826","0.114504577025669","0.215933227181984","2"
"No","1997","higher vocational","West Germany","16","","","","2"
"No","1997","general elemantary","East Germany","3","","","","2"
"No","1997","middle vocational","West Germany","624","0.0684682695452509","0.0611082613254557","0.0758282777650462","2"
"No","1997","middle vocational","East Germany","3","","","","2"
"No","1997","vocational + Abi","West Germany","92","0.166019218732313","0.128850727655518","0.203187709809108","2"
"No","1997","vocational + Abi","East Germany","1","","","","2"
"Yes","1997","in school","West Germany","150","0.834781097896174","0.784066772818016","0.885495422974331","1"
"Yes","1997","in school","East Germany","110","1","1","1","1"
"Yes","1997","inadequately","West Germany","74","0.341019992637026","0.297557359830282","0.384482625443771","1"
"Yes","1997","inadequately","East Germany","11","","","","1"
"Yes","1997","general elemantary","West Germany","1368","0.868034241864443","0.853189996789684","0.882878486939203","1"
"Yes","1997","general elemantary","East Germany","350","0.990174656639867","0.979885245765581","1.00046406751415","1"
"Yes","1997","middle vocational","West Germany","3899","0.931531730454749","0.924171722234954","0.938891738674544","1"
"Yes","1997","middle vocational","East Germany","1990","0.997674889975054","0.995560375235063","0.999789404715045","1"
"Yes","1997","vocational + Abi","West Germany","293","0.833980781267687","0.796812290190892","0.871149272344482","1"
"Yes","1997","vocational + Abi","East Germany","72","0.969728307377427","0.930424913822891","1.00903170093196","1"
"Yes","1997","higher vocational","West Germany","514","0.981471643198766","0.969990966501875","0.992952319895656","1"
"Yes","1997","higher vocational","East Germany","233","1","1","1","1"
"Yes","1997","higher education","West Germany","853","0.906279319387681","0.887598710085992","0.92495992868937","1"
"Yes","1997","higher education","East Germany","837","0.996582607204377","0.992636103184955","1.0005291112238","1"
"No","1998","in school","East Germany","","","","","2"
"No","1998","inadequately","West Germany","337","0.623622552665302","0.577989781271255","0.66925532405935","2"
"No","1998","in school","West Germany","56","0.187964817006211","0.136916369565802","0.239013264446619","2"
"No","1998","general elemantary","West Germany","594","0.138503813423553","0.124003500006295","0.153004126840811","2"
"No","1998","inadequately","East Germany","","","","","2"
"No","1998","higher vocational","West Germany","21","","","","2"
"No","1998","higher vocational","East Germany","","","","","2"
"No","1998","higher education","East Germany","3","","","","2"
"No","1998","general elemantary","East Germany","3","","","","2"
"No","1998","higher education","West Germany","86","0.0853600957045205","0.068907640007328","0.101812551401713","2"
"No","1998","middle vocational","East Germany","2","","","","2"
"No","1998","vocational + Abi","West Germany","89","0.177685860460634","0.142130759203613","0.213240961717654","2"
"No","1998","vocational + Abi","East Germany","1","","","","2"
"No","1998","middle vocational","West Germany","563","0.0666114614581829","0.059668003618278","0.0735549192980878","2"
"Yes","1998","in school","West Germany","169","0.812035182993789","0.760986735553381","0.863083630434198","1"
"Yes","1998","in school","East Germany","109","1","1","1","1"
"Yes","1998","inadequately","West Germany","96","0.376377447334698","0.33074467594065","0.422010218728745","1"
"Yes","1998","inadequately","East Germany","15","","","","1"
"Yes","1998","general elemantary","West Germany","1586","0.861496186576447","0.846995873159189","0.875996499993705","1"
"Yes","1998","general elemantary","East Germany","378","0.99207322125216","0.983168797183864","1.00097764532046","1"
"Yes","1998","middle vocational","West Germany","4391","0.933388538541817","0.926445080701912","0.940331996381722","1"
"Yes","1998","middle vocational","East Germany","2102","0.996689188640415","0.994234636198676","0.999143741082154","1"
"Yes","1998","vocational + Abi","West Germany","355","0.822314139539366","0.786759038282346","0.857869240796387","1"
"Yes","1998","vocational + Abi","East Germany","67","0.975764578722815","0.93921423666336","1.01231492078227","1"
"Yes","1998","higher vocational","West Germany","568","0.969126489949629","0.95515722096838","0.983095758930878","1"
"Yes","1998","higher vocational","East Germany","239","1","1","1","1"
"Yes","1998","higher education","West Germany","1022","0.914639904295479","0.898187448598287","0.931092359992672","1"
"Yes","1998","higher education","East Germany","868","0.996530865692251","0.992626100279416","1.00043563110509","1"
"No","1999","in school","East Germany","","","","","2"
"No","1999","inadequately","West Germany","311","0.612155573855878","0.565105624063147","0.65920552364861","2"
"No","1999","inadequately","East Germany","","","","","2"
"No","1999","higher vocational","West Germany","20","","","","2"
"No","1999","higher vocational","East Germany","","","","","2"
"No","1999","in school","West Germany","44","0.142732820633059","0.0960839388177086","0.18938170244841","2"
"No","1999","general elemantary","West Germany","542","0.131163155224944","0.116686977257341","0.145639333192547","2"
"No","1999","general elemantary","East Germany","2","","","","2"
"No","1999","higher education","West Germany","78","0.0829423450834325","0.0667177795120842","0.0991669106547808","2"
"No","1999","higher education","East Germany","3","","","","2"
"No","1999","middle vocational","West Germany","542","0.0695296676506717","0.0623948061787714","0.076664529122572","2"
"No","1999","middle vocational","East Germany","2","","","","2"
"No","1999","vocational + Abi","West Germany","77","0.163576530518167","0.128856631945387","0.198296429090947","2"
