"plj0014_v3","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","West Germany","Female","1024","0.093787679808401","0.0856014802321394","0.101973879384662","2"
"No","1996","West Germany","Male","1091","0.113769924756973","0.104550675557259","0.122989173956686","2"
"No","1996","East Germany","Female","5","","","","2"
"No","1996","East Germany","Male","6","","","","2"
"Yes","1996","East Germany","Female","1933","0.996301925935606","0.99359949569529","0.999004356175923","1"
"Yes","1996","East Germany","Male","1752","0.996933627086955","0.994349081104654","0.999518173069255","1"
"Yes","1996","West Germany","Male","3466","0.886230075243027","0.877010826043314","0.895449324442741","1"
"Yes","1996","West Germany","Female","3848","0.906212320191599","0.898026120615338","0.914398519767861","1"
"No","1997","West Germany","Female","964","0.0989809673137456","0.0905132208211818","0.107448713806309","2"
"No","1997","West Germany","Male","1037","0.112480127701628","0.103234308434772","0.121725946968484","2"
"No","1997","East Germany","Female","5","","","","2"
"No","1997","East Germany","Male","6","","","","2"
"Yes","1997","West Germany","Male","3449","0.887519872298372","0.878274053031516","0.896765691565228","1"
"Yes","1997","West Germany","Female","3814","0.901019032686254","0.892551286193691","0.909486779178818","1"
"Yes","1997","East Germany","Female","1895","0.996028618706891","0.99320062790887","0.998856609504913","1"
"Yes","1997","East Germany","Male","1745","0.996167355919336","0.993273210052324","0.999061501786349","1"
"No","1998","West Germany","Male","975","0.113562256971652","0.104801996101836","0.122322517841469","2"
"No","1998","East Germany","Female","6","","","","2"
"No","1998","East Germany","Male","5","","","","2"
"No","1998","West Germany","Female","903","0.0988482067820279","0.0908900227040533","0.106806390860003","2"
"Yes","1998","West Germany","Male","4064","0.886437743028348","0.877677482158531","0.895198003898164","1"
"Yes","1998","East Germany","Male","1872","0.995345389690512","0.992266142719748","0.998424636661275","1"
"Yes","1998","West Germany","Female","4500","0.901151793217972","0.893193609139997","0.909109977295947","1"
"Yes","1998","East Germany","Female","2002","0.995941305263021","0.993160463332905","0.998722147193138","1"
"No","1999","West Germany","Male","899","0.114275557329172","0.105294022449823","0.123257092208522","2"
"No","1999","East Germany","Female","5","","","","2"
"No","1999","East Germany","Male","4","","","","2"
"No","1999","West Germany","Female","827","0.0972873686348964","0.0891897300435079","0.105385007226285","2"
"Yes","1999","West Germany","Male","3921","0.885724442670828","0.876742907791478","0.894705977550177","1"
"Yes","1999","East Germany","Male","1821","0.99872019995617","0.997079951514044","1.00036044839829","1"
"Yes","1999","West Germany","Female","4318","0.902712631365104","0.894614992773715","0.910810269956492","1"
"Yes","1999","East Germany","Female","1973","0.995118302894752","0.992046751977152","0.998189853812352","1"
"No","2000","West Germany","Male","1189","0.110570457645474","0.104035022622127","0.117105892668822","2"
"No","2000","West Germany","Female","1116","0.0942745967261299","0.0884118484837864","0.100137344968473","2"
"No","2000","East Germany","Female","13","","","","2"
"No","2000","East Germany","Male","13","","","","2"
"Yes","2000","West Germany","Male","7656","0.889429542354526","0.882894107331178","0.895964977377873","1"
"Yes","2000","East Germany","Male","2798","0.996685494483216","0.99456075293605","0.998810236030382","1"
"Yes","2000","West Germany","Female","8427","0.90572540327387","0.899862655031527","0.911588151516214","1"
"Yes","2000","East Germany","Female","3054","0.995266666022131","0.99283757098451","0.997695761059752","1"
"No","2001","West Germany","Male","1037","0.107737503451755","0.100920770857247","0.114554236046263","2"
"No","2001","East Germany","Male","4","","","","2"
"No","2001","West Germany","Female","997","0.0943529105691317","0.0881930329531686","0.100512788185095","2"
"No","2001","East Germany","Female","6","","","","2"
"Yes","2001","West Germany","Male","6910","0.892262496548245","0.885445763953736","0.899079229142753","1"
"Yes","2001","East Germany","Male","2631","0.998807161379115","0.997489240158108","1.00012508260012","1"
"Yes","2001","West Germany","Female","7654","0.905647089430868","0.899487211814905","0.911806967046831","1"
"Yes","2001","East Germany","Female","2824","0.997077197455046","0.995088269720404","0.999066125189688","1"
"No","2002","West Germany","Male","947","0.105762286769933","0.099237157419833","0.112287416120032","2"
"No","2002","East Germany","Male","5","","","","2"
"No","2002","West Germany","Female","941","0.0931600006473765","0.0872097091748296","0.0991102921199233","2"
"No","2002","East Germany","Female","7","","","","2"
"Yes","2002","West Germany","Female","8225","0.906839999352624","0.900889707880077","0.91279029082517","1"
"Yes","2002","West Germany","Male","7586","0.894237713230068","0.887712583879968","0.900762842580167","1"
"Yes","2002","East Germany","Male","2640","0.998746444945176","0.997397995768987","1.00009489412137","1"
"Yes","2002","East Germany","Female","2806","0.994019096300198","0.991169758144983","0.996868434455413","1"
"No","2003","West Germany","Male","856","0.106135036365368","0.0994418232050055","0.112828249525731","2"
"No","2003","East Germany","Male","7","","","","2"
"No","2003","West Germany","Female","872","0.094789399236387","0.088665777520507","0.100913020952267","2"
"No","2003","East Germany","Female","6","","","","2"
"Yes","2003","East Germany","Male","2589","0.99821031821297","0.996584415021442","0.999836221404499","1"
"Yes","2003","West Germany","Female","7918","0.905210600763613","0.899086979047733","0.911334222479493","1"
"Yes","2003","West Germany","Male","7279","0.893864963634632","0.887171750474269","0.900558176794995","1"
"Yes","2003","East Germany","Female","2770","0.995529720906343","0.993048115112767","0.998011326699919","1"
"No","2004","West Germany","Male","800","0.104795540174736","0.0980487020956328","0.11154237825384","2"
"No","2004","East Germany","Male","6","","","","2"
"No","2004","West Germany","Female","815","0.096615276341743","0.0903571386561325","0.102873414027354","2"
"No","2004","East Germany","Female","7","","","","2"
"Yes","2004","East Germany","Male","2506","0.99870382707672","0.997296846496976","1.00011080765646","1"
"Yes","2004","West Germany","Female","7746","0.903384723658257","0.897126585972646","0.909642861343868","1"
