"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Schleswig-Holstein","in school","6","","",""
"Yes","1996","Schleswig-Holstein","inadequately","2","","",""
"Yes","1996","Schleswig-Holstein","general elemantary","44","0.962208443843695","0.909352350786794","1.0150645369006"
"Yes","1996","Schleswig-Holstein","middle vocational","155","0.992659266477327","0.979473512053721","1.00584502090093"
"Yes","1996","Schleswig-Holstein","vocational + Abi","11","","",""
"Yes","1996","Schleswig-Holstein","higher vocational","27","","",""
"Yes","1996","Schleswig-Holstein","higher education","21","","",""
"Yes","1996","Hamburg","in school","","","",""
"Yes","1996","Hamburg","inadequately","1","","",""
"Yes","1996","Hamburg","general elemantary","18","","",""
"Yes","1996","Hamburg","middle vocational","63","0.965068042967729","0.922657652711213","1.00747843322424"
"Yes","1996","Hamburg","vocational + Abi","4","","",""
"Yes","1996","Hamburg","higher vocational","3","","",""
"Yes","1996","Hamburg","higher education","13","","",""
"Yes","1996","Lower Saxony","in school","17","","",""
"Yes","1996","Lower Saxony","inadequately","15","","",""
"Yes","1996","Lower Saxony","general elemantary","178","0.932383013870765","0.898663339627305","0.966102688114225"
"Yes","1996","Lower Saxony","middle vocational","483","0.964799146009149","0.948990018779346","0.980608273238952"
"Yes","1996","Lower Saxony","vocational + Abi","48","0.874117538931684","0.786450916236141","0.961784161627226"
"Yes","1996","Lower Saxony","higher vocational","69","0.982976294530398","0.952672456108434","1.01328013295236"
"Yes","1996","Lower Saxony","higher education","101","0.924863042300997","0.874441171254077","0.975284913347918"
"Yes","1996","Bremen","in school","2","","",""
"Yes","1996","Bremen","inadequately","1","","",""
"Yes","1996","Bremen","general elemantary","24","","",""
"Yes","1996","Bremen","middle vocational","41","0.88587603290507","0.795925782155354","0.975826283654787"
"Yes","1996","Bremen","vocational + Abi","4","","",""
"Yes","1996","Bremen","higher vocational","4","","",""
"Yes","1996","Bremen","higher education","3","","",""
"Yes","1996","North Rhine-Westphalia","in school","59","0.888870858973278","0.816773397456579","0.960968320489977"
"Yes","1996","North Rhine-Westphalia","inadequately","18","","",""
"Yes","1996","North Rhine-Westphalia","general elemantary","323","0.84230041223997","0.810607290378383","0.873993534101558"
"Yes","1996","North Rhine-Westphalia","middle vocational","1086","0.93557666736051","0.921993923440444","0.949159411280576"
"Yes","1996","North Rhine-Westphalia","vocational + Abi","99","0.891308573632901","0.836525179646919","0.946091967618882"
"Yes","1996","North Rhine-Westphalia","higher vocational","127","0.991154467376937","0.975181198907805","1.00712773584607"
"Yes","1996","North Rhine-Westphalia","higher education","255","0.940171817355858","0.912089733664354","0.968253901047362"
"Yes","1996","Hesse","in school","9","","",""
"Yes","1996","Hesse","inadequately","6","","",""
"Yes","1996","Hesse","general elemantary","131","0.841235054353996","0.792156215469284","0.890313893238707"
"Yes","1996","Hesse","middle vocational","334","0.888890046726779","0.859289165048662","0.918490928404895"
"Yes","1996","Hesse","vocational + Abi","28","","",""
"Yes","1996","Hesse","higher vocational","36","0.982933760982823","0.942796370527325","1.02307115143832"
"Yes","1996","Hesse","higher education","91","0.89977091944282","0.841204286908079","0.958337551977561"
"Yes","1996","Rhineland-Palatinate,Saarland","in school","3","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","general elemantary","167","0.930528304696662","0.894564451256446","0.966492158136879"
"Yes","1996","Rhineland-Palatinate,Saarland","middle vocational","307","0.946429553534121","0.92253066624293","0.970328440825312"
"Yes","1996","Rhineland-Palatinate,Saarland","vocational + Abi","17","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","higher vocational","37","0.994244508312948","0.970192900775298","1.0182961158506"
"Yes","1996","Rhineland-Palatinate,Saarland","higher education","52","0.968459680460064","0.922270467406928","1.0146488935132"
"Yes","1996","Baden-Württemberg","in school","23","","",""
"Yes","1996","Baden-Württemberg","inadequately","11","","",""
"Yes","1996","Baden-Württemberg","general elemantary","226","0.851015659079357","0.816251265692688","0.885780052466026"
"Yes","1996","Baden-Württemberg","middle vocational","590","0.915228538498638","0.895731005147368","0.934726071849909"
"Yes","1996","Baden-Württemberg","vocational + Abi","46","0.746011371113897","0.644760497961402","0.847262244266393"
"Yes","1996","Baden-Württemberg","higher vocational","89","0.955435775220379","0.914372257424899","0.996499293015858"
"Yes","1996","Baden-Württemberg","higher education","112","0.892355167945713","0.839077908274423","0.945632427617003"
"Yes","1996","Bavaria","in school","23","","",""
"Yes","1996","Bavaria","inadequately","12","","",""
"Yes","1996","Bavaria","general elemantary","240","0.845811447823986","0.808192269568962","0.883430626079011"
"Yes","1996","Bavaria","middle vocational","754","0.939024212775024","0.922994405089714","0.955054020460335"
"Yes","1996","Bavaria","vocational + Abi","44","0.826865150053193","0.731127655613186","0.9226026444932"
"Yes","1996","Bavaria","higher vocational","104","0.984714537495168","0.961359012973326","1.00807006201701"
"Yes","1996","Bavaria","higher education","155","0.887787478173873","0.840754745961338","0.934820210386408"
"Yes","1996","Berlin","in school","18","","",""
"Yes","1996","Berlin","inadequately","1","","",""
"Yes","1996","Berlin","general elemantary","43","0.836638687920063","0.744615807209166","0.92866156863096"
