"plj0014_v3","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No","1996","16-34 y.","981","0.121930853456267","0.112655939600622","0.131205767311911"
"No","1996","35-65 y.","1076","0.0890996223499287","0.0823109075608747","0.0958883371389828"
"No","1996","66 and older","69","0.0152397907922989","0.00919735875202755","0.0212822228325703"
"Yes","1996","16-34 y.","3800","0.878069146543733","0.868794232688089","0.887344060399378"
"Yes","1996","35-65 y.","5689","0.910900377650071","0.904111662861017","0.917689092439125"
"Yes","1996","66 and older","1510","0.984760209207701","0.97871777716743","0.990802641247972"
"No","1997","16-34 y.","922","0.123864002795616","0.114381244199678","0.133346761391553"
"No","1997","35-65 y.","1007","0.0888835603969409","0.0820521071704842","0.0957150136233976"
"No","1997","66 and older","83","0.023941012500088","0.0164809889854126","0.0314010360147633"
"Yes","1997","16-34 y.","3714","0.876135997204384","0.866653238608447","0.885618755800322"
"Yes","1997","35-65 y.","5659","0.911116439603059","0.904284986376602","0.917947892829516"
"Yes","1997","66 and older","1530","0.976058987499912","0.968598963985237","0.983519011014587"
"No","1998","16-34 y.","850","0.127897637328963","0.118532140968808","0.137263133689118"
"No","1998","35-65 y.","960","0.0876416387875294","0.0812636488610859","0.0940196287139729"
"No","1998","66 and older","79","0.0237186810172985","0.0168600872029378","0.0305772748316592"
"Yes","1998","16-34 y.","4035","0.872102362671037","0.862736866310882","0.881467859031192"
"Yes","1998","35-65 y.","6591","0.91235836121247","0.905980371286027","0.918736351138914"
"Yes","1998","66 and older","1812","0.976281318982702","0.969422725168341","0.983139912797062"
"No","1999","16-34 y.","770","0.120843418395589","0.111441580246878","0.1302452565443"
"No","1999","35-65 y.","875","0.0904912423868499","0.0839174200814643","0.0970650646922356"
"No","1999","66 and older","90","0.0279003517177032","0.0203652297093771","0.0354354737260293"
"Yes","1999","16-34 y.","3847","0.879156581604411","0.8697547434557","0.888558419753122"
"Yes","1999","35-65 y.","6441","0.90950875761315","0.902934935307765","0.916082579918536"
"Yes","1999","66 and older","1745","0.972099648282297","0.964564526273971","0.979634770290623"
